STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,28,,0,0,0,TALUK,Srivaikuntam,Total,46808,191883,93472,98411,23048,11890,11158,42094,20745,21349,856,430,426,135803,71808,63995,56080,21664,34416,82651,52256,30395,72012,47728,24284,11778,8563,3215,24040,13677,10363,5389,1185,4204,30805,24303,6502,10639,4528,6111,642,344,298,6405,2558,3847,1132,137,995,2460,1489,971,109232,41216,68016,6.0
33,28,,0,0,0,TALUK,Srivaikuntam,Rural,36557,147160,71622,75538,17935,9263,8672,36923,18164,18759,357,165,192,101133,54109,47024,46027,17513,28514,66656,40583,26073,57610,36877,20733,11072,7917,3155,20843,11648,9195,4349,853,3496,21346,16459,4887,9046,3706,5340,615,331,284,5599,2162,3437,936,100,836,1896,1113,783,80504,31039,49465,6.0
33,28,,0,0,0,TALUK,Srivaikuntam,Urban,10251,44723,21850,22873,5113,2627,2486,5171,2581,2590,499,265,234,34670,17699,16971,10053,4151,5902,15995,11673,4322,14402,10851,3551,706,646,60,3197,2029,1168,1040,332,708,9459,7844,1615,1593,822,771,27,13,14,806,396,410,196,37,159,564,376,188,28728,10177,18551,6.0
33,28,,1562200,0,0,VILLAGE,Alanda,Rural,554,2238,1135,1103,241,127,114,1889,974,915,0,0,0,1397,792,605,841,343,498,1198,640,558,960,521,439,321,238,83,440,177,263,43,5,38,156,101,55,238,119,119,13,9,4,204,95,109,3,0,3,18,15,3,1040,495,545,6.0
33,28,,1562300,0,0,VILLAGE,Poovani,Rural,531,2000,948,1052,173,98,75,1459,706,753,0,0,0,1272,656,616,728,292,436,1230,588,642,951,459,492,451,222,229,455,212,243,8,5,3,37,20,17,279,129,150,12,6,6,256,117,139,4,3,1,7,3,4,770,360,410,6.0
33,28,,1562400,0,0,VILLAGE,Meenakshipuram Sekkarakkudi,Rural,361,1274,595,679,158,83,75,2,0,2,0,0,0,857,488,369,417,107,310,678,315,363,557,296,261,191,98,93,134,22,112,15,8,7,217,168,49,121,19,102,5,0,5,103,15,88,6,0,6,7,4,3,596,280,316,6.0
33,28,,1562500,0,0,VILLAGE,Sekkarakkudi,Rural,1467,5399,2667,2732,656,363,293,1039,542,497,4,1,3,3398,1987,1411,2001,680,1321,2948,1512,1436,2292,1329,963,295,168,127,1481,736,745,25,16,9,491,409,82,656,183,473,77,47,30,525,113,412,6,0,6,48,23,25,2451,1155,1296,6.0
33,28,,1562600,0,0,VILLAGE,Vadakkukariseri,Rural,350,1261,623,638,138,84,54,628,316,312,0,0,0,807,450,357,454,173,281,631,355,276,587,337,250,160,100,60,250,115,135,6,1,5,171,121,50,44,18,26,9,2,7,18,5,13,0,0,0,17,11,6,630,268,362,6.0
33,28,,1562700,0,0,VILLAGE,Singathakurichi,Rural,627,2254,1067,1187,249,128,121,843,399,444,0,0,0,1296,725,571,958,342,616,1432,705,727,684,490,194,252,225,27,176,86,90,75,15,60,181,164,17,748,215,533,51,22,29,565,134,431,31,5,26,101,54,47,822,362,460,6.0
33,28,,1562800,0,0,VILLAGE,Ulakkudi,Rural,160,658,328,330,88,36,52,637,318,319,0,0,0,380,225,155,278,103,175,412,208,204,294,180,114,106,64,42,126,86,40,20,0,20,42,30,12,118,28,90,10,4,6,89,16,73,9,2,7,10,6,4,246,120,126,6.0
