STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,28,,0,0,0,TALUK,Tiruchendur,Total,67992,291428,138040,153388,34370,17794,16576,44010,21375,22635,376,200,176,223856,109482,114374,67572,28558,39014,106251,72967,33284,92443,67692,24751,6525,5254,1271,17240,10731,6509,7364,2025,5339,61314,49682,11632,13808,5275,8533,345,206,139,4687,2048,2639,3863,272,3591,4913,2749,2164,185177,65073,120104,7.0
33,28,,0,0,0,TALUK,Tiruchendur,Rural,33373,141133,66140,74993,16502,8578,7924,27588,13425,14163,43,24,19,106774,51703,55071,34359,14437,19922,55627,35145,20482,47162,31898,15264,4976,3966,1010,13243,8145,5098,5002,1033,3969,23941,18754,5187,8465,3247,5218,306,185,121,3807,1697,2110,2061,156,1905,2291,1209,1082,85506,30995,54511,7.0
33,28,,0,0,0,TALUK,Tiruchendur,Urban,34619,150295,71900,78395,17868,9216,8652,16422,7950,8472,333,176,157,117082,57779,59303,33213,14121,19092,50624,37822,12802,45281,35794,9487,1549,1288,261,3997,2586,1411,2362,992,1370,37373,30928,6445,5343,2028,3315,39,21,18,880,351,529,1802,116,1686,2622,1540,1082,99671,34078,65593,7.0
33,28,,1568700,0,0,VILLAGE,Malavarayanatham,Rural,240,1027,529,498,130,70,60,378,195,183,0,0,0,719,392,327,308,137,171,514,275,239,438,248,190,278,161,117,102,56,46,28,13,15,30,18,12,76,27,49,11,7,4,60,19,41,3,1,2,2,0,2,513,254,259,7.0
33,28,,1568800,0,0,VILLAGE,Athinathapuram,Rural,281,1346,679,667,151,82,69,796,417,379,0,0,0,1017,536,481,329,143,186,661,363,298,614,337,277,53,46,7,435,223,212,11,1,10,115,67,48,47,26,21,2,2,0,44,23,21,0,0,0,1,1,0,685,316,369,7.0
33,28,,1568900,0,0,VILLAGE,Thirukalore  ,Rural,1153,4508,2002,2506,547,272,275,1136,539,597,4,2,2,3324,1558,1766,1184,444,740,1707,1078,629,1648,1068,580,134,105,29,425,262,163,102,46,56,987,655,332,59,10,49,7,1,6,24,0,24,4,1,3,24,8,16,2801,924,1877,7.0
33,28,,1569000,0,0,VILLAGE,Maveedupannai  ,Rural,230,844,348,496,82,35,47,71,34,37,0,0,0,680,294,386,164,54,110,509,226,283,499,225,274,38,30,8,378,143,235,20,7,13,63,45,18,10,1,9,0,0,0,8,0,8,1,1,0,1,0,1,335,122,213,7.0
33,28,,1569100,0,0,VILLAGE,Thenthiruperai (Kurukatur),Rural,357,1560,743,817,179,92,87,875,420,455,0,0,0,1164,598,566,396,145,251,824,437,387,756,425,331,260,152,108,319,147,172,25,11,14,152,115,37,68,12,56,8,3,5,48,8,40,9,1,8,3,0,3,736,306,430,7.0
33,28,,1569200,0,0,VILLAGE,Thenthiruperai (Rajapathi),Rural,294,1284,663,621,128,67,61,1045,544,501,0,0,0,942,529,413,342,134,208,662,374,288,627,360,267,402,217,185,132,62,70,5,1,4,88,80,8,35,14,21,11,8,3,16,2,14,1,0,1,7,4,3,622,289,333,7.0
33,28,,1569300,0,0,VILLAGE,Sethukkuvaithan,Rural,622,2498,1157,1341,304,151,153,638,324,314,2,1,1,1802,876,926,696,281,415,963,611,352,801,574,227,93,73,20,350,229,121,32,16,16,326,256,70,162,37,125,0,0,0,80,9,71,27,0,27,55,28,27,1535,546,989,7.0
