STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,28,,0,0,0,TALUK,Vilathikulam,Total,33810,135285,66743,68542,16014,8226,7788,28236,14086,14150,23,12,11,89259,49831,39428,46026,16912,29114,74272,40897,33375,58550,35147,23403,14012,8351,5661,20648,9794,10854,1645,531,1114,22245,16471,5774,15722,5750,9972,2260,1039,1221,10248,3304,6944,776,150,626,2438,1257,1181,61013,25846,35167,3.0
33,28,,0,0,0,TALUK,Vilathikulam,Rural,28510,113652,55972,57680,13293,6820,6473,24641,12341,12300,23,12,11,74171,41564,32607,39481,14408,25073,64643,34752,29891,50370,29436,20934,13540,8024,5516,18862,8972,9890,1231,398,833,16737,12042,4695,14273,5316,8957,2244,1033,1211,9501,3124,6377,624,119,505,1904,1040,864,49009,21220,27789,3.0
33,28,,0,0,0,TALUK,Vilathikulam,Urban,5300,21633,10771,10862,2721,1406,1315,3595,1745,1850,0,0,0,15088,8267,6821,6545,2504,4041,9629,6145,3484,8180,5711,2469,472,327,145,1786,822,964,414,133,281,5508,4429,1079,1449,434,1015,16,6,10,747,180,567,152,31,121,534,217,317,12004,4626,7378,3.0
33,28,,1544700,0,0,VILLAGE,Mettilpatti ,Rural,717,2490,1202,1288,236,119,117,179,88,91,0,0,0,1770,970,800,720,232,488,1612,786,826,1585,779,806,479,282,197,695,216,479,19,5,14,392,276,116,27,7,20,2,2,0,21,3,18,1,0,1,3,2,1,878,416,462,3.0
33,28,,1544800,0,0,VILLAGE,Muthusamypuram,Rural,409,1613,808,805,165,80,85,378,192,186,0,0,0,1099,622,477,514,186,328,1009,546,463,837,533,304,227,163,64,398,210,188,7,6,1,205,154,51,172,13,159,110,10,100,56,3,53,5,0,5,1,0,1,604,262,342,3.0
33,28,,1544900,0,0,VILLAGE,Maniakaranpatti,Rural,281,1146,583,563,120,58,62,96,50,46,0,0,0,811,482,329,335,101,234,648,374,274,315,192,123,71,40,31,168,99,69,7,6,1,69,47,22,333,182,151,157,97,60,149,71,78,6,2,4,21,12,9,498,209,289,3.0
33,28,,1545000,0,0,VILLAGE,Vannipatti,Rural,171,621,310,311,51,26,25,0,0,0,0,0,0,424,241,183,197,69,128,413,207,206,398,206,192,79,45,34,277,132,145,1,0,1,41,29,12,15,1,14,0,0,0,14,1,13,0,0,0,1,0,1,208,103,105,3.0
33,28,,1545100,0,0,VILLAGE,Nadukattur,Rural,413,1522,749,773,128,66,62,174,84,90,0,0,0,962,554,408,560,195,365,1025,513,512,857,477,380,354,207,147,349,169,180,36,1,35,118,100,18,168,36,132,6,2,4,103,18,85,46,4,42,13,12,1,497,236,261,3.0
33,28,,1545200,0,0,VILLAGE,Sennampatti,Rural,151,569,285,284,51,26,25,12,6,6,0,0,0,405,220,185,164,65,99,384,192,192,384,192,192,225,111,114,82,36,46,0,0,0,77,45,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,93,92,3.0
33,28,,1545300,0,0,VILLAGE,Sivalarpatti,Rural,604,2511,1256,1255,248,124,124,413,217,196,0,0,0,1736,984,752,775,272,503,1509,834,675,1199,764,435,306,199,107,397,207,190,10,3,7,486,355,131,310,70,240,25,10,15,255,48,207,9,2,7,21,10,11,1002,422,580,3.0
