STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,15,,0,0,0,TALUK,Lalgudi,Total,58938,245698,121753,123945,27965,14437,13528,50337,24729,25608,397,197,200,167844,93056,74788,77854,28697,49157,113140,68937,44203,88078,57348,30730,26063,17243,8820,33893,18017,15876,2240,1131,1109,25882,20957,4925,25062,11589,13473,3921,1925,1996,17338,7160,10178,711,217,494,3092,2287,805,132558,52816,79742,5.0
33,15,,0,0,0,TALUK,Lalgudi,Rural,46104,190681,94552,96129,22077,11459,10618,42500,20928,21572,328,164,164,126447,70860,55587,64234,23692,40542,92714,54306,38408,70937,44650,26287,24190,15768,8422,28896,15280,13616,1851,872,979,16000,12730,3270,21777,9656,12121,3863,1890,1973,15378,6211,9167,593,169,424,1943,1386,557,97967,40246,57721,5.0
33,15,,0,0,0,TALUK,Lalgudi,Urban,12834,55017,27201,27816,5888,2978,2910,7837,3801,4036,69,33,36,41397,22196,19201,13620,5005,8615,20426,14631,5795,17141,12698,4443,1873,1475,398,4997,2737,2260,389,259,130,9882,8227,1655,3285,1933,1352,58,35,23,1960,949,1011,118,48,70,1149,901,248,34591,12570,22021,5.0
33,15,,904400,0,0,VILLAGE,Neikulam ,Rural,637,2457,1233,1224,249,124,125,616,315,301,0,0,0,1685,959,726,772,274,498,1477,794,683,1418,764,654,1014,545,469,207,71,136,19,6,13,178,142,36,59,30,29,12,6,6,38,17,21,0,0,0,9,7,2,980,439,541,5.0
33,15,,904500,0,0,VILLAGE,Oottathur,Rural,713,2635,1344,1291,295,172,123,5,2,3,0,0,0,1564,948,616,1071,396,675,1247,786,461,1175,772,403,669,490,179,312,116,196,17,10,7,177,156,21,72,14,58,2,1,1,65,10,55,2,0,2,3,3,0,1388,558,830,5.0
33,15,,904600,0,0,VILLAGE,Thiranipalayam,Rural,731,2793,1391,1402,416,222,194,754,396,358,0,0,0,1255,793,462,1538,598,940,1850,896,954,1753,876,877,1502,747,755,203,96,107,7,4,3,41,29,12,97,20,77,43,11,32,51,8,43,0,0,0,3,1,2,943,495,448,5.0
33,15,,904700,0,0,VILLAGE,Garudamangalam (North),Rural,301,1046,529,517,135,74,61,425,223,202,0,0,0,606,375,231,440,154,286,707,358,349,700,357,343,165,83,82,466,220,246,4,1,3,65,53,12,7,1,6,0,0,0,7,1,6,0,0,0,0,0,0,339,171,168,5.0
33,15,,904800,0,0,VILLAGE,Garudamangalam (South),Rural,446,1818,950,868,203,100,103,601,331,270,0,0,0,1100,661,439,718,289,429,971,607,364,640,483,157,558,416,142,20,11,9,0,0,0,62,56,6,331,124,207,70,50,20,243,60,183,12,9,3,6,5,1,847,343,504,5.0
33,15,,904900,0,0,VILLAGE,Saradamangalam,Rural,334,1336,674,662,184,96,88,446,219,227,0,0,0,610,390,220,726,284,442,781,430,351,633,410,223,441,280,161,114,71,43,10,8,2,68,51,17,148,20,128,62,4,58,84,15,69,1,0,1,1,1,0,555,244,311,5.0
33,15,,905000,0,0,VILLAGE,M. Kannanoor,Rural,408,1545,782,763,158,86,72,359,175,184,0,0,0,865,567,298,680,215,465,957,488,469,93,67,26,58,40,18,0,0,0,0,0,0,35,27,8,864,421,443,554,286,268,304,132,172,2,2,0,4,1,3,588,294,294,5.0
33,15,,905100,0,0,VILLAGE,Orathur,Rural,427,1956,992,964,259,130,129,523,258,265,0,0,0,944,562,382,1012,430,582,1151,607,544,1060,582,478,747,407,340,253,130,123,9,5,4,51,40,11,91,25,66,3,1,2,81,21,60,4,1,3,3,2,1,805,385,420,5.0
33,15,,905200,0,0,VILLAGE,Sadurbagam,Rural,214,852,445,407,91,51,40,612,317,295,0,0,0,419,262,157,433,183,250,560,287,273,558,287,271,129,67,62,414,208,206,1,0,1,14,12,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,292,158,134,5.0
33,15,,905300,0,0,VILLAGE,Malvoy,Rural,478,1907,963,944,240,132,108,0,0,0,0,0,0,1078,675,403,829,288,541,1025,606,419,721,548,173,542,411,131,99,70,29,6,6,0,74,61,13,304,58,246,11,5,6,284,51,233,2,0,2,7,2,5,882,357,525,5.0
33,15,,905400,0,0,VILLAGE,Sirukalapur,Rural,442,1814,919,895,189,100,89,587,300,287,0,0,0,1066,634,432,748,285,463,1205,614,591,993,595,398,640,355,285,298,198,100,9,3,6,46,39,7,212,19,193,30,3,27,170,6,164,6,4,2,6,6,0,609,305,304,5.0
33,15,,905500,0,0,VILLAGE,Nambukurichi,Rural,247,920,447,473,115,56,59,608,304,304,0,0,0,547,320,227,373,127,246,609,287,322,609,287,322,565,266,299,5,3,2,20,6,14,19,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,160,151,5.0
33,15,,905600,0,0,VILLAGE,Periyakurukkai ,Rural,540,1971,999,972,220,113,107,603,307,296,0,0,0,1049,658,391,922,341,581,1300,649,651,1296,649,647,972,483,489,258,111,147,1,0,1,65,55,10,4,0,4,0,0,0,3,0,3,1,0,1,0,0,0,671,350,321,5.0
