STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,29,,0,0,0,TALUK,Alangulam,Total,38872,157001,76962,80039,20656,10547,10109,16111,7743,8368,127,64,63,97203,54385,42818,59798,22577,37221,88806,43571,45235,84511,40869,43642,11973,10096,1877,15220,11487,3733,38378,2970,35408,18940,16316,2624,4295,2702,1593,159,101,58,2311,1639,672,830,92,738,995,870,125,68195,33391,34804,6.0
33,29,,0,0,0,TALUK,Alangulam,Rural,29466,118656,58034,60622,15522,7956,7566,13171,6324,6847,37,23,14,71720,40206,31514,46936,17828,29108,68027,32826,35201,64398,30538,33860,10080,8403,1677,12629,9393,3236,29306,2107,27199,12383,10635,1748,3629,2288,1341,153,96,57,1949,1433,516,745,80,665,782,679,103,50629,25208,25421,6.0
33,29,,0,0,0,TALUK,Alangulam,Urban,9406,38345,18928,19417,5134,2591,2543,2940,1419,1521,90,41,49,25483,14179,11304,12862,4749,8113,20779,10745,10034,20113,10331,9782,1893,1693,200,2591,2094,497,9072,863,8209,6557,5681,876,666,414,252,6,5,1,362,206,156,85,12,73,213,191,22,17566,8183,9383,6.0
33,29,,1594400,0,0,VILLAGE,Kaluneerkulam  ,Rural,1828,7790,3812,3978,976,479,497,655,310,345,0,0,0,5156,2871,2285,2634,941,1693,4708,2295,2413,4581,2233,2348,786,675,111,1033,850,183,2036,64,1972,726,644,82,127,62,65,29,13,16,29,17,12,40,6,34,29,26,3,3082,1517,1565,6.0
33,29,,1594500,0,0,VILLAGE,Thuthikulam,Rural,361,1441,709,732,176,92,84,133,65,68,0,0,0,934,521,413,507,188,319,933,456,477,928,454,474,253,223,30,254,157,97,349,15,334,72,59,13,5,2,3,1,0,1,3,2,1,1,0,1,0,0,0,508,253,255,6.0
33,29,,1594600,0,0,VILLAGE,Mayamankurichi ,Rural,2485,9491,4568,4923,1228,625,603,1758,813,945,0,0,0,5783,3315,2468,3708,1253,2455,5664,2636,3028,5578,2590,2988,1023,866,157,885,537,348,2724,319,2405,946,868,78,86,46,40,7,5,2,14,11,3,35,4,31,30,26,4,3827,1932,1895,6.0
33,29,,1594700,0,0,VILLAGE,Kidarakulam,Rural,509,2009,976,1033,259,137,122,630,309,321,0,0,0,1158,673,485,851,303,548,1143,582,561,543,283,260,188,155,33,97,71,26,195,17,178,63,40,23,600,299,301,8,4,4,483,278,205,99,11,88,10,6,4,866,394,472,6.0
33,29,,1594900,0,0,VILLAGE,Kavalakurichi,Rural,943,3765,1858,1907,509,268,241,513,242,271,0,0,0,1940,1140,800,1825,718,1107,2259,1102,1157,2174,1071,1103,632,452,180,611,365,246,665,35,630,266,219,47,85,31,54,21,13,8,34,11,23,23,2,21,7,5,2,1506,756,750,6.0
33,29,,1595000,0,0,VILLAGE,Kadanganeri,Rural,1852,7487,3691,3796,930,476,454,879,439,440,5,3,2,4710,2623,2087,2777,1068,1709,3871,1927,1944,3840,1909,1931,464,425,39,853,678,175,1469,46,1423,1054,760,294,31,18,13,4,4,0,1,1,0,7,1,6,19,12,7,3616,1764,1852,6.0
33,29,,1595100,0,0,VILLAGE,Kaduvetti,Rural,153,594,299,295,60,32,28,183,94,89,0,0,0,415,229,186,179,70,109,248,139,109,248,139,109,77,69,8,114,39,75,15,3,12,42,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,160,186,6.0
