STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,29,,0,0,0,TALUK,Nanguneri,Total,49645,204381,97985,106396,24716,12660,12056,34283,16255,18028,632,317,315,146722,75798,70924,57659,22187,35472,91340,53797,37543,74573,46396,28177,14597,10944,3653,24603,15352,9251,10451,1213,9238,24922,18887,6035,16767,7401,9366,808,493,315,10266,4771,5495,2782,280,2502,2911,1857,1054,113041,44188,68853,10.0
33,29,,0,0,0,TALUK,Nanguneri,Rural,33427,137161,65815,71346,16932,8728,8204,22450,10673,11777,273,147,126,96475,50040,46435,40686,15775,24911,64376,36390,27986,51709,31068,20641,12210,9055,3155,17189,10495,6694,7327,863,6464,14983,10655,4328,12667,5322,7345,687,412,275,7955,3632,4323,2265,245,2020,1760,1033,727,72785,29425,43360,10.0
33,29,,0,0,0,TALUK,Nanguneri,Urban,16218,67220,32170,35050,7784,3932,3852,11833,5582,6251,359,170,189,50247,25758,24489,16973,6412,10561,26964,17407,9557,22864,15328,7536,2387,1889,498,7414,4857,2557,3124,350,2774,9939,8232,1707,4100,2079,2021,121,81,40,2311,1139,1172,517,35,482,1151,824,327,40256,14763,25493,10.0
33,29,,1614600,0,0,VILLAGE,Melkarai,Rural,271,1276,660,616,177,96,81,40,17,23,0,0,0,727,421,306,549,239,310,817,418,399,815,418,397,192,106,86,561,298,263,9,4,5,53,10,43,2,0,2,0,0,0,1,0,1,0,0,0,1,0,1,459,242,217,10.0
33,29,,1614700,0,0,VILLAGE,Tennirkulam,Rural,66,276,135,141,35,11,24,79,37,42,0,0,0,235,123,112,41,12,29,173,86,87,172,86,86,1,1,0,156,78,78,9,2,7,6,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,103,49,54,10.0
33,29,,1614800,0,0,VILLAGE,Singikulam (NEW),Rural,420,1720,842,878,223,122,101,588,294,294,0,0,0,1204,648,556,516,194,322,1040,500,540,638,311,327,87,75,12,305,145,160,114,15,99,132,76,56,402,189,213,5,3,2,377,177,200,8,3,5,12,6,6,680,342,338,10.0
33,29,,1614900,0,0,VILLAGE,Singikulam (OLD),Rural,134,567,247,320,80,37,43,311,138,173,0,0,0,349,166,183,218,81,137,356,158,198,347,157,190,113,67,46,175,82,93,47,0,47,12,8,4,9,1,8,0,0,0,0,0,0,8,0,8,1,1,0,211,89,122,10.0
33,29,,1615000,0,0,VILLAGE,Poolam,Rural,633,2696,1341,1355,296,154,142,742,352,390,0,0,0,1985,1037,948,711,304,407,1104,650,454,489,376,113,206,187,19,32,23,9,50,18,32,201,148,53,615,274,341,47,31,16,462,199,263,58,13,45,48,31,17,1592,691,901,10.0
33,29,,1615100,0,0,VILLAGE,Thottakudi,Rural,899,3647,1788,1859,462,261,201,492,242,250,4,2,2,2575,1334,1241,1072,454,618,1771,1040,731,1402,828,574,286,193,93,640,340,300,83,10,73,393,285,108,369,212,157,92,78,14,42,18,24,72,37,35,163,79,84,1876,748,1128,10.0
33,29,,1615200,0,0,VILLAGE,Sathangulam,Rural,773,2972,1424,1548,365,199,166,442,218,224,47,29,18,2064,1078,986,908,346,562,1384,743,641,1013,600,413,206,154,52,189,122,67,64,11,53,554,313,241,371,143,228,8,4,4,251,116,135,66,6,60,46,17,29,1588,681,907,10.0
33,29,,1615300,0,0,VILLAGE,Alwaneri,Rural,630,2530,1194,1336,293,139,154,169,75,94,0,0,0,1791,916,875,739,278,461,1218,677,541,1056,621,435,397,254,143,165,92,73,97,12,85,397,263,134,162,56,106,16,6,10,90,40,50,34,2,32,22,8,14,1312,517,795,10.0
33,29,,1615400,0,0,VILLAGE,Paruthipadi,Rural,662,2675,1299,1376,333,169,164,739,349,390,3,1,2,1679,914,765,996,385,611,1573,812,761,1491,778,713,477,290,187,443,244,199,264,24,240,307,220,87,82,34,48,6,4,2,42,19,23,17,3,14,17,8,9,1102,487,615,10.0
33,29,,1615500,0,0,VILLAGE,Chintamani,Rural,285,1032,493,539,89,54,35,125,60,65,0,0,0,768,397,371,264,96,168,538,274,264,527,270,257,27,21,6,212,102,110,57,6,51,231,141,90,11,4,7,2,0,2,1,1,0,2,0,2,6,3,3,494,219,275,10.0
33,29,,1615600,0,0,VILLAGE,Deivanayagaperi,Rural,192,709,357,352,73,45,28,57,26,31,0,0,0,434,252,182,275,105,170,441,216,225,441,216,225,125,72,53,198,94,104,59,0,59,59,50,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,141,127,10.0
33,29,,1615700,0,0,VILLAGE,Unnankulam,Rural,581,2282,1152,1130,282,155,127,916,462,454,0,0,0,1617,912,705,665,240,425,1012,598,414,521,310,211,242,173,69,143,80,63,45,1,44,91,56,35,491,288,203,23,17,6,257,187,70,46,2,44,165,82,83,1270,554,716,10.0
