STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,29,,0,0,0,TALUK,Palayamkottai,Total,16204,67222,33173,34049,8237,4219,4018,16168,7890,8278,24,12,12,44179,24208,19971,23043,8965,14078,32218,18598,13620,24400,14950,9450,4532,3411,1121,6204,3662,2542,4425,635,3790,9239,7242,1997,7818,3648,4170,351,196,155,4437,2105,2332,1089,108,981,1941,1239,702,35004,14575,20429,8.0
33,29,,0,0,0,TALUK,Palayamkottai,Rural,16204,67222,33173,34049,8237,4219,4018,16168,7890,8278,24,12,12,44179,24208,19971,23043,8965,14078,32218,18598,13620,24400,14950,9450,4532,3411,1121,6204,3662,2542,4425,635,3790,9239,7242,1997,7818,3648,4170,351,196,155,4437,2105,2332,1089,108,981,1941,1239,702,35004,14575,20429,8.0
33,29,,0,0,0,TALUK,Palayamkottai,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
33,29,,1604000,0,0,VILLAGE,Sivalaperi ,Rural,1036,4214,2099,2115,539,279,260,732,350,382,0,0,0,2075,1207,868,2139,892,1247,1847,1202,645,1550,1005,545,422,334,88,348,192,156,89,18,71,691,461,230,297,197,100,9,5,4,119,51,68,19,12,7,150,129,21,2367,897,1470,8.0
33,29,,1604100,0,0,VILLAGE,Kansapuram ,Rural,122,503,228,275,83,39,44,285,132,153,0,0,0,241,134,107,262,94,168,245,119,126,128,64,64,3,3,0,19,12,7,41,7,34,65,42,23,117,55,62,5,4,1,98,44,54,2,0,2,12,7,5,258,109,149,8.0
33,29,,1604200,0,0,VILLAGE,Keelapattam,Rural,520,2179,1083,1096,259,140,119,938,464,474,0,0,0,1180,681,499,999,402,597,890,584,306,806,555,251,125,118,7,423,289,134,44,7,37,214,141,73,84,29,55,2,0,2,53,27,26,24,0,24,5,2,3,1289,499,790,8.0
33,29,,1604300,0,0,VILLAGE,Thirumalaikolunthupuram,Rural,478,1910,938,972,258,125,133,527,256,271,0,0,0,1366,739,627,544,199,345,809,595,214,599,453,146,113,100,13,31,27,4,41,2,39,414,324,90,210,142,68,3,3,0,122,70,52,5,2,3,80,67,13,1101,343,758,8.0
33,29,,1604400,0,0,VILLAGE,Manappadaividu,Rural,373,1518,756,762,167,86,81,259,123,136,0,0,0,1035,554,481,483,202,281,823,442,381,714,404,310,215,155,60,217,108,109,125,9,116,157,132,25,109,38,71,0,0,0,103,36,67,0,0,0,6,2,4,695,314,381,8.0
33,29,,1604500,0,0,VILLAGE,Melapattam  ,Rural,466,1867,917,950,213,115,98,647,308,339,0,0,0,1417,741,676,450,176,274,876,517,359,606,432,174,109,89,20,123,65,58,106,35,71,268,243,25,270,85,185,10,3,7,84,27,57,96,11,85,80,44,36,991,400,591,8.0
33,29,,1604600,0,0,VILLAGE,Keelanatham,Rural,1060,4438,2236,2202,453,218,235,766,385,381,6,3,3,3263,1783,1480,1175,453,722,1759,1167,592,1473,1051,422,75,70,5,426,263,163,120,19,101,852,699,153,286,116,170,11,8,3,236,87,149,23,10,13,16,11,5,2679,1069,1610,8.0
