STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,29,,0,0,0,TALUK,Radhapuram,Total,62680,264595,126060,138535,33741,17178,16563,34421,16313,18108,2270,1108,1162,190113,95274,94839,74482,30786,43696,104872,64947,39925,90660,58530,32130,8700,7476,1224,17692,12450,5242,18473,1821,16652,45795,36783,9012,14212,6417,7795,464,237,227,6099,3072,3027,3540,270,3270,4109,2838,1271,159723,61113,98610,11.0
33,29,,0,0,0,TALUK,Radhapuram,Rural,46516,195512,92411,103101,25313,12848,12465,25760,12161,13599,1825,884,941,139015,69018,69997,56497,23393,33104,78547,46976,31571,66863,41882,24981,7776,6694,1082,13436,9483,3953,15070,1278,13792,30581,24427,6154,11684,5094,6590,420,212,208,5232,2589,2643,2920,172,2748,3112,2121,991,116965,45435,71530,11.0
33,29,,0,0,0,TALUK,Radhapuram,Urban,16164,69083,33649,35434,8428,4330,4098,8661,4152,4509,445,224,221,51098,26256,24842,17985,7393,10592,26325,17971,8354,23797,16648,7149,924,782,142,4256,2967,1289,3403,543,2860,15214,12356,2858,2528,1323,1205,44,25,19,867,483,384,620,98,522,997,717,280,42758,15678,27080,11.0
33,29,,1620500,0,0,VILLAGE,Achampadu,Rural,748,2907,1325,1582,286,143,143,373,171,202,0,0,0,2267,1068,1199,640,257,383,991,668,323,798,535,263,91,87,4,154,116,38,197,58,139,356,274,82,193,133,60,8,7,1,43,29,14,10,1,9,132,96,36,1916,657,1259,11.0
33,29,,1620600,0,0,VILLAGE,Anaikulam,Rural,871,3773,1786,1987,373,176,197,396,190,206,0,0,0,2928,1484,1444,845,302,543,1531,920,611,1209,766,443,242,199,43,391,272,119,223,27,196,353,268,85,322,154,168,1,0,1,188,115,73,85,2,83,48,37,11,2242,866,1376,11.0
33,29,,1620700,0,0,VILLAGE,Kannanallur,Rural,753,3052,1452,1600,394,207,187,639,314,325,0,0,0,2304,1145,1159,748,307,441,1698,871,827,1681,858,823,437,298,139,740,452,288,370,21,349,134,87,47,17,13,4,0,0,0,7,6,1,8,5,3,2,2,0,1354,581,773,11.0
33,29,,1620800,0,0,VILLAGE,Kovankulam,Rural,328,1181,553,628,163,80,83,0,0,0,0,0,0,826,420,406,355,133,222,622,334,288,492,271,221,97,79,18,111,66,45,145,15,130,139,111,28,130,63,67,6,1,5,108,53,55,7,4,3,9,5,4,559,219,340,11.0
33,29,,1620900,0,0,VILLAGE,Kottaikarungulam ,Rural,714,2960,1389,1571,342,183,159,232,116,116,698,352,346,2105,1073,1032,855,316,539,1204,729,475,808,519,289,167,156,11,258,126,132,108,17,91,275,220,55,396,210,186,20,15,5,311,161,150,24,5,19,41,29,12,1756,660,1096,11.0
33,29,,1621000,0,0,VILLAGE,Kumarapuram ,Rural,859,3599,1645,1954,433,212,221,267,121,146,0,0,0,2567,1230,1337,1032,415,617,1424,845,579,1343,809,534,103,99,4,378,289,89,261,7,254,601,414,187,81,36,45,1,1,0,23,6,17,16,1,15,41,28,13,2175,800,1375,11.0
33,29,,1621100,0,0,VILLAGE,Appuvilai,Rural,325,1384,658,726,201,92,109,159,76,83,14,5,9,984,495,489,400,163,237,574,387,187,514,362,152,46,43,3,42,33,9,100,14,86,326,272,54,60,25,35,4,0,4,7,2,5,20,0,20,29,23,6,810,271,539,11.0
