STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,29,,0,0,0,TALUK,Tirunelveli,Total,126409,539327,265606,273721,59838,30577,29261,86864,42552,44312,1871,886,985,395207,210749,184458,144120,54857,89263,216272,141191,75081,198936,133140,65796,9730,6707,3023,22804,13177,9627,37514,3916,33598,128888,109340,19548,17336,8051,9285,687,328,359,5991,2588,3403,3862,274,3588,6796,4861,1935,323055,124415,198640,7.0
33,29,,0,0,0,TALUK,Tirunelveli,Rural,26733,105975,51473,54502,12786,6583,6203,33383,16110,17273,174,82,92,62689,34859,27830,43286,16614,26672,54502,29387,25115,46486,26054,20432,8065,5454,2611,16033,8999,7034,8410,799,7611,13978,10802,3176,8016,3333,4683,628,295,333,4388,1945,2443,1530,79,1451,1470,1014,456,51473,22086,29387,7.0
33,29,,0,0,0,TALUK,Tirunelveli,Urban,99676,433352,214133,219219,47052,23994,23058,53481,26442,27039,1697,804,893,332518,175890,156628,100834,38243,62591,161770,111804,49966,152450,107086,45364,1665,1253,412,6771,4178,2593,29104,3117,25987,114910,98538,16372,9320,4718,4602,59,33,26,1603,643,960,2332,195,2137,5326,3847,1479,271582,102329,169253,7.0
33,29,,1597600,0,0,VILLAGE,Ukkirankottai,Rural,1185,4679,2220,2459,492,251,241,547,269,278,0,0,0,2931,1554,1377,1748,666,1082,2235,1180,1055,1539,817,722,339,237,102,587,329,258,289,37,252,324,214,110,696,363,333,13,8,5,585,334,251,74,2,72,24,19,5,2444,1040,1404,7.0
33,29,,1597700,0,0,VILLAGE,Vagaikulam,Rural,874,3511,1636,1875,445,210,235,449,182,267,0,0,0,1872,1025,847,1639,611,1028,1976,908,1068,1635,889,746,430,359,71,435,272,163,491,22,469,279,236,43,341,19,322,6,4,2,26,4,22,290,0,290,19,11,8,1535,728,807,7.0
33,29,,1597800,0,0,VILLAGE,Alagiapandiapuram,Rural,615,2697,1339,1358,307,167,140,664,328,336,0,0,0,1657,937,720,1040,402,638,1485,787,698,1142,728,414,176,141,35,545,355,190,189,41,148,232,191,41,343,59,284,63,8,55,146,29,117,90,1,89,44,21,23,1212,552,660,7.0
33,29,,1597900,0,0,VILLAGE,Kattarankulam,Rural,571,2271,1074,1197,328,168,160,263,114,149,0,0,0,1214,676,538,1057,398,659,1262,630,632,1115,588,527,208,171,37,254,130,124,347,10,337,306,277,29,147,42,105,6,2,4,35,11,24,77,4,73,29,25,4,1009,444,565,7.0
33,29,,1598000,0,0,VILLAGE,Shezhilanallur,Rural,800,3184,1518,1666,422,207,215,576,263,313,4,1,3,1578,922,656,1606,596,1010,1854,923,931,1642,840,802,319,189,130,694,358,336,287,29,258,342,264,78,212,83,129,27,12,15,109,39,70,40,2,38,36,30,6,1330,595,735,7.0
33,29,,1598100,0,0,VILLAGE,Pirancheri,Rural,882,3775,1891,1884,493,247,246,1015,527,488,0,0,0,1636,1020,616,2139,871,1268,2091,1094,997,1730,993,737,225,183,42,1018,548,470,179,29,150,308,233,75,361,101,260,2,1,1,261,75,186,82,18,64,16,7,9,1684,797,887,7.0
33,29,,1598200,0,0,VILLAGE,Chittar Chatram,Rural,187,717,352,365,80,46,34,476,238,238,0,0,0,434,249,185,283,103,180,422,204,218,360,176,184,132,71,61,214,95,119,0,0,0,14,10,4,62,28,34,34,16,18,28,12,16,0,0,0,0,0,0,295,148,147,7.0
