STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,29,,0,0,0,TALUK,Veerakeralamputhur,Total,25905,104591,51052,53539,12984,6613,6371,12801,6132,6669,5,2,3,63912,36255,27657,40679,14797,25882,60464,30244,30220,56433,28476,27957,11893,8266,3627,13640,8024,5616,18157,1277,16880,12743,10909,1834,4031,1768,2263,239,80,159,1995,1018,977,1064,63,1001,733,607,126,44127,20808,23319,3.0
33,29,,0,0,0,TALUK,Veerakeralamputhur,Rural,19012,76445,36980,39465,9363,4724,4639,10288,4889,5399,0,0,0,45765,26035,19730,30680,10945,19735,44723,21871,22852,41229,20439,20790,10363,7016,3347,11811,6774,5037,12084,905,11179,6971,5744,1227,3494,1432,2062,225,71,154,1925,980,945,924,40,884,420,341,79,31722,15109,16613,3.0
33,29,,0,0,0,TALUK,Veerakeralamputhur,Urban,6893,28146,14072,14074,3621,1889,1732,2513,1243,1270,5,2,3,18147,10220,7927,9999,3852,6147,15741,8373,7368,15204,8037,7167,1530,1250,280,1829,1250,579,6073,372,5701,5772,5165,607,537,336,201,14,9,5,70,38,32,140,23,117,313,266,47,12405,5699,6706,3.0
33,29,,1587800,0,0,VILLAGE,Keelakalangal,Rural,778,3256,1555,1701,382,178,204,440,213,227,0,0,0,2100,1183,917,1156,372,784,1941,944,997,1908,931,977,370,263,107,666,391,275,541,31,510,331,246,85,33,13,20,7,4,3,14,5,9,8,1,7,4,3,1,1315,611,704,3.0
33,29,,1587900,0,0,VILLAGE,Balabadraramapuram,Rural,979,3907,1872,2035,431,234,197,1131,525,606,0,0,0,2036,1214,822,1871,658,1213,2432,1128,1304,2397,1119,1278,871,494,377,1068,474,594,269,4,265,189,147,42,35,9,26,5,2,3,24,5,19,5,1,4,1,1,0,1475,744,731,3.0
33,29,,1588000,0,0,VILLAGE,Marukkalankulam,Rural,668,2988,1438,1550,410,217,193,251,126,125,0,0,0,1572,933,639,1416,505,911,1790,868,922,1597,813,784,637,383,254,760,322,438,69,19,50,131,89,42,193,55,138,6,4,2,178,49,129,7,1,6,2,1,1,1198,570,628,3.0
33,29,,1588200,0,0,VILLAGE,Melamarudappapuram,Rural,751,3054,1435,1619,357,196,161,447,217,230,0,0,0,1802,970,832,1252,465,787,1679,856,823,1511,828,683,560,356,204,655,320,335,119,8,111,177,144,33,168,28,140,109,6,103,43,15,28,3,0,3,13,7,6,1375,579,796,3.0
33,29,,1588300,0,0,VILLAGE,Navaneethakrishnapuram,Rural,410,1534,721,813,149,85,64,400,194,206,0,0,0,912,497,415,622,224,398,1022,473,549,986,461,525,393,227,166,425,153,272,69,9,60,99,72,27,36,12,24,0,0,0,27,7,20,2,0,2,7,5,2,512,248,264,3.0
33,29,,1588400,0,0,VILLAGE,Melakaangal,Rural,692,2843,1395,1448,343,182,161,307,155,152,0,0,0,1650,999,651,1193,396,797,1817,852,965,1778,837,941,660,435,225,485,280,205,500,9,491,133,113,20,39,15,24,4,3,1,18,6,12,10,0,10,7,6,1,1026,543,483,3.0
33,29,,1588500,0,0,VILLAGE,Kulaiyaneri,Rural,1246,4915,2398,2517,544,279,265,261,127,134,0,0,0,2904,1720,1184,2011,678,1333,3035,1476,1559,2982,1444,1538,637,427,210,752,437,315,1012,76,936,581,504,77,53,32,21,11,5,6,10,5,5,14,4,10,18,18,0,1880,922,958,3.0
