STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,6,,0,0,0,TALUK,Arani,Total,59796,268043,133555,134488,31247,15983,15264,44448,21819,22629,672,330,342,173039,99398,73641,95004,34157,60847,121914,77489,44425,95562,68078,27484,21328,15236,6092,21565,10838,10727,14813,10945,3868,37856,31059,6797,26352,9411,16941,1280,564,716,18254,5822,12432,2867,488,2379,3951,2537,1414,146129,56066,90063,1.0
33,6,,0,0,0,TALUK,Arani,Rural,44097,194231,96965,97266,22992,11814,11178,36723,18093,18630,552,266,286,120660,70621,50039,73571,26344,47227,95599,56809,38790,70627,48098,22529,20907,14892,6015,20457,10204,10253,9819,7182,2637,19444,15820,3624,24972,8711,16261,1247,556,691,18087,5782,12305,2530,385,2145,3108,1988,1120,98632,40156,58476,1.0
33,6,,0,0,0,TALUK,Arani,Urban,15699,73812,36590,37222,8255,4169,4086,7725,3726,3999,120,64,56,52379,28777,23602,21433,7813,13620,26315,20680,5635,24935,19980,4955,421,344,77,1108,634,474,4994,3763,1231,18412,15239,3173,1380,700,680,33,8,25,167,40,127,337,103,234,843,549,294,47497,15910,31587,1.0
33,6,,377400,0,0,VILLAGE,Kattukanallur,Rural,1684,7676,3796,3880,841,423,418,1433,668,765,0,0,0,4983,2870,2113,2693,926,1767,3532,2177,1355,2837,1977,860,558,398,160,1016,520,496,448,360,88,815,699,116,695,200,495,60,24,36,378,135,243,214,18,196,43,23,20,4144,1619,2525,1.0
33,6,,377500,0,0,VILLAGE,Kolathur,Rural,966,4273,2142,2131,425,211,214,514,266,248,14,5,9,2696,1597,1099,1577,545,1032,1897,1170,727,1605,1048,557,278,202,76,662,339,323,162,125,37,503,382,121,292,122,170,19,8,11,236,97,139,20,4,16,17,13,4,2376,972,1404,1.0
33,6,,377600,0,0,VILLAGE,Kannamangalam  ,Rural,1438,6325,3234,3091,641,323,318,819,419,400,5,1,4,4246,2509,1737,2079,725,1354,3016,1820,1196,2637,1663,974,956,575,381,1028,562,466,57,35,22,596,491,105,379,157,222,10,7,3,316,117,199,2,0,2,51,33,18,3309,1414,1895,1.0
33,6,,377700,0,0,VILLAGE,Athimalaipattu,Rural,655,2940,1459,1481,337,175,162,793,380,413,3,1,2,1738,1036,702,1202,423,779,1611,879,732,839,567,272,422,258,164,177,101,76,73,60,13,167,148,19,772,312,460,94,58,36,441,127,314,73,15,58,164,112,52,1329,580,749,1.0
33,6,,377800,0,0,VILLAGE,Sirumur ,Rural,1169,4922,2449,2473,583,300,283,885,444,441,9,5,4,3167,1831,1336,1755,618,1137,2899,1527,1372,2339,1370,969,1076,675,401,881,424,457,109,42,67,273,229,44,560,157,403,74,21,53,398,87,311,24,4,20,64,45,19,2023,922,1101,1.0
33,6,,377900,0,0,VILLAGE,Poosimalaikuppam,Rural,616,2274,1092,1182,248,144,104,62,28,34,0,0,0,1378,804,574,896,288,608,1241,603,638,872,438,434,484,241,243,255,83,172,0,0,0,133,114,19,369,165,204,9,6,3,345,155,190,11,0,11,4,4,0,1033,489,544,1.0
33,6,,378000,0,0,VILLAGE,Mullandram ,Rural,1134,4571,2228,2343,527,285,242,283,142,141,33,15,18,2749,1617,1132,1822,611,1211,2227,1284,943,1090,747,343,407,334,73,389,168,221,25,11,14,269,234,35,1137,537,600,11,7,4,1031,462,569,26,13,13,69,55,14,2344,944,1400,1.0
