STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,6,,0,0,0,TALUK,Vandavasi,Total,72414,316559,158194,158365,33604,17137,16467,79083,39581,39502,4851,2398,2453,194732,114419,80313,121827,43775,78052,156883,91549,65334,121085,78895,42190,49305,33832,15473,38452,18594,19858,5192,3618,1574,28136,22851,5285,35798,12654,23144,2904,1183,1721,28092,8998,19094,1914,510,1404,2888,1963,925,159676,66645,93031,3.0
33,6,,0,0,0,TALUK,Vandavasi,Rural,64193,276229,138412,137817,29203,14889,14314,72466,36412,36054,4358,2161,2197,165535,98664,66871,110694,39748,70946,143508,81257,62251,109277,69356,39921,48506,33304,15202,37431,18039,19392,4892,3399,1493,18448,14614,3834,34231,11901,22330,2884,1169,1715,27284,8663,18621,1725,481,1244,2338,1588,750,132721,57155,75566,3.0
33,6,,0,0,0,TALUK,Vandavasi,Urban,8221,40330,19782,20548,4401,2248,2153,6617,3169,3448,493,237,256,29197,15755,13442,11133,4027,7106,13375,10292,3083,11808,9539,2269,799,528,271,1021,555,466,300,219,81,9688,8237,1451,1567,753,814,20,14,6,808,335,473,189,29,160,550,375,175,26955,9490,17465,3.0
33,6,,404400,0,0,VILLAGE,Melanur,Rural,398,1647,827,820,200,106,94,338,179,159,4,2,2,796,504,292,851,323,528,857,497,360,522,357,165,162,103,59,131,83,48,179,131,48,50,40,10,335,140,195,26,11,15,196,67,129,109,58,51,4,4,0,790,330,460,3.0
33,6,,404500,0,0,VILLAGE,Sudrakatteri,Rural,277,1111,552,559,145,75,70,218,106,112,0,0,0,579,365,214,532,187,345,567,329,238,464,283,181,277,170,107,16,12,4,149,83,66,22,18,4,103,46,57,0,0,0,82,33,49,19,11,8,2,2,0,544,223,321,3.0
33,6,,404600,0,0,VILLAGE,Anmarudai,Rural,414,1733,809,924,176,89,87,296,144,152,34,20,14,1001,565,436,732,244,488,887,482,405,507,332,175,212,131,81,26,13,13,127,79,48,142,109,33,380,150,230,9,5,4,316,103,213,6,2,4,49,40,9,846,327,519,3.0
33,6,,404700,0,0,VILLAGE,Avaniyapuram,Rural,577,2480,1265,1215,259,130,129,346,186,160,0,0,0,1534,913,621,946,352,594,1174,800,374,1064,765,299,312,277,35,603,364,239,63,53,10,86,71,15,110,35,75,37,8,29,69,25,44,2,0,2,2,2,0,1306,465,841,3.0
33,6,,404800,0,0,VILLAGE,Solavaram,Rural,187,873,441,432,98,46,52,296,141,155,23,11,12,547,345,202,326,96,230,370,232,138,323,213,110,107,101,6,190,93,97,10,5,5,16,14,2,47,19,28,1,0,1,36,15,21,10,4,6,0,0,0,503,209,294,3.0
33,6,,405000,0,0,VILLAGE,Nambedu,Rural,425,1854,905,949,205,97,108,341,168,173,35,19,16,1148,657,491,706,248,458,1256,632,624,1251,630,621,741,377,364,374,173,201,42,20,22,94,60,34,5,2,3,1,1,0,3,1,2,1,0,1,0,0,0,598,273,325,3.0
33,6,,405100,0,0,VILLAGE,Anaibogi,Rural,314,1388,707,681,164,86,78,678,330,348,38,20,18,833,491,342,555,216,339,700,456,244,652,440,212,204,178,26,292,135,157,26,20,6,130,107,23,48,16,32,0,0,0,32,5,27,4,2,2,12,9,3,688,251,437,3.0
