STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,4,,0,0,0,TALUK,Tirupathur,Total,111192,500455,253656,246799,67071,35301,31770,80209,40160,40049,27341,13967,13374,286345,165904,120441,214110,87752,126358,224999,138303,86696,181863,120546,61317,49980,33457,16523,33978,17817,16161,32726,15998,16728,65179,53274,11905,43136,17757,25379,4226,1802,2424,23961,9240,14721,7427,1791,5636,7522,4924,2598,275456,115353,160103,8.0
33,4,,0,0,0,TALUK,Tirupathur,Rural,90789,403278,204966,198312,55276,29264,26012,65277,32895,32382,26916,13749,13167,218294,128565,89729,184984,76401,108583,192402,113525,78877,152688,97444,55244,49022,32721,16301,33138,17321,15817,28870,13958,14912,41658,33444,8214,39714,16081,23633,4135,1773,2362,23110,8888,14222,6658,1614,5044,5811,3806,2005,210876,91441,119435,8.0
33,4,,0,0,0,TALUK,Tirupathur,Urban,20403,97177,48690,48487,11795,6037,5758,14932,7265,7667,425,218,207,68051,37339,30712,29126,11351,17775,32597,24778,7819,29175,23102,6073,958,736,222,840,496,344,3856,2040,1816,23521,19830,3691,3422,1676,1746,91,29,62,851,352,499,769,177,592,1711,1118,593,64580,23912,40668,8.0
33,4,,252800,0,0,VILLAGE,Kothur R.F,Rural,371,1813,954,859,215,111,104,13,7,6,0,0,0,1049,642,407,764,312,452,990,539,451,786,439,347,601,322,279,27,15,12,37,19,18,121,83,38,204,100,104,30,11,19,121,55,66,25,10,15,28,24,4,823,415,408,8.0
33,4,,252900,0,0,VILLAGE,Kothur ,Rural,1216,5562,2792,2770,774,387,387,431,215,216,0,0,0,3007,1797,1210,2555,995,1560,2861,1613,1248,1772,1097,675,1062,658,404,214,98,116,60,26,34,436,315,121,1089,516,573,247,109,138,557,284,273,143,30,113,142,93,49,2701,1179,1522,8.0
33,4,,253000,0,0,VILLAGE,Sorakanatham,Rural,932,3900,1980,1920,537,282,255,250,117,133,0,0,0,2103,1278,825,1797,702,1095,2057,1134,923,1799,1027,772,1079,641,438,291,152,139,273,118,155,156,116,40,258,107,151,95,33,62,117,59,58,37,10,27,9,5,4,1843,846,997,8.0
33,4,,253100,0,0,VILLAGE,Nayanaseruvu,Rural,1034,4569,2349,2220,719,382,337,626,339,287,0,0,0,2291,1388,903,2278,961,1317,2387,1296,1091,2095,1201,894,783,496,287,151,92,59,897,412,485,264,201,63,292,95,197,31,12,19,227,62,165,20,11,9,14,10,4,2182,1053,1129,8.0
33,4,,253200,0,0,VILLAGE,Thoppalagunda,Rural,377,1822,938,884,238,127,111,156,79,77,0,0,0,1002,605,397,820,333,487,802,526,276,695,469,226,251,192,59,63,40,23,294,161,133,87,76,11,107,57,50,8,1,7,92,53,39,6,3,3,1,0,1,1020,412,608,8.0
33,4,,253300,0,0,VILLAGE,Katheri,Rural,549,2515,1277,1238,369,190,179,45,23,22,0,0,0,1362,825,537,1153,452,701,1527,796,731,1109,670,439,391,313,78,212,84,128,396,196,200,110,77,33,418,126,292,47,34,13,308,80,228,55,9,46,8,3,5,988,481,507,8.0
33,4,,253400,0,0,VILLAGE,Athurkuppam,Rural,1672,7350,3728,3622,890,473,417,1082,557,525,18,9,9,4284,2501,1783,3066,1227,1839,3845,2128,1717,3403,1989,1414,865,560,305,657,343,314,1319,641,678,562,445,117,442,139,303,74,29,45,173,50,123,144,28,116,51,32,19,3505,1600,1905,8.0
33,4,,253500,0,0,VILLAGE,Kudiyanakuppam ,Rural,886,4233,2145,2088,567,265,302,1094,530,564,0,0,0,2285,1370,915,1948,775,1173,2074,1212,862,1476,1048,428,254,181,73,117,87,30,699,440,259,406,340,66,598,164,434,65,25,40,136,58,78,203,35,168,194,46,148,2159,933,1226,8.0
33,4,,253600,0,0,VILLAGE,Chinnamottur ,Rural,1031,4414,2203,2211,620,322,298,1154,583,571,2,0,2,2221,1248,973,2193,955,1238,2095,1273,822,960,628,332,441,249,192,118,48,70,44,14,30,357,317,40,1135,645,490,201,113,88,405,146,259,189,82,107,340,304,36,2319,930,1389,8.0
33,4,,253700,0,0,VILLAGE,Mandalavadi,Rural,1479,6706,3396,3310,1093,569,524,541,287,254,6,1,5,2905,1750,1155,3801,1646,2155,3256,1788,1468,2928,1627,1301,835,495,340,859,451,408,761,348,413,473,333,140,328,161,167,45,23,22,102,40,62,67,31,36,114,67,47,3450,1608,1842,8.0
33,4,,253800,0,0,VILLAGE,Jolarpettai R.F.,Rural,169,747,379,368,79,39,40,63,32,31,519,263,256,336,215,121,411,164,247,333,187,146,160,124,36,72,58,14,13,7,6,4,4,0,71,55,16,173,63,110,10,4,6,153,54,99,0,0,0,10,5,5,414,192,222,8.0
33,4,,253900,0,0,VILLAGE,Mangalam R.F.,Rural,252,1145,580,565,153,79,74,0,0,0,1053,537,516,520,341,179,625,239,386,637,312,325,238,215,23,159,154,5,11,8,3,2,2,0,66,51,15,399,97,302,47,23,24,348,74,274,2,0,2,2,0,2,508,268,240,8.0
33,4,,254000,0,0,VILLAGE,Mangalam Extension,Rural,275,1118,571,547,121,58,63,0,0,0,854,437,417,498,304,194,620,267,353,687,358,329,320,281,39,93,77,16,159,144,15,0,0,0,68,60,8,367,77,290,77,12,65,244,49,195,1,0,1,45,16,29,431,213,218,8.0
33,4,,254100,0,0,VILLAGE,Elagiri Hills,Rural,441,2571,1418,1153,242,132,110,78,61,17,1487,711,776,1674,1022,652,897,396,501,869,474,395,549,414,135,169,150,19,166,128,38,40,22,18,174,114,60,320,60,260,35,11,24,261,43,218,2,1,1,22,5,17,1702,944,758,8.0
33,4,,254200,0,0,VILLAGE,Nagalathu R.F.,Rural,45,187,85,102,24,13,11,0,0,0,174,78,96,71,44,27,116,41,75,102,50,52,99,48,51,8,4,4,19,7,12,1,1,0,71,36,35,3,2,1,1,0,1,0,0,0,0,0,0,2,2,0,85,35,50,8.0
33,4,,254300,0,0,VILLAGE,Nagalathu Extension R.F.,Rural,95,370,176,194,34,13,21,2,1,1,300,141,159,148,94,54,222,82,140,217,112,105,109,65,44,91,50,41,5,4,1,2,1,1,11,10,1,108,47,61,2,1,1,92,37,55,12,7,5,2,2,0,153,64,89,8.0
33,4,,254400,0,0,VILLAGE,Ponneri ,Rural,1625,7122,3582,3540,888,463,425,653,339,314,32,20,12,4167,2391,1776,2955,1191,1764,3071,1892,1179,2724,1720,1004,695,455,240,330,199,131,1217,692,525,482,374,108,347,172,175,28,16,12,155,71,84,108,44,64,56,41,15,4051,1690,2361,8.0
33,4,,254500,0,0,VILLAGE,Elagiri Village,Rural,937,4352,2155,2197,546,269,277,721,348,373,0,0,0,2755,1552,1203,1597,603,994,1897,1225,672,1685,1093,592,409,285,124,138,91,47,795,436,359,343,281,62,212,132,80,10,6,4,153,92,61,32,23,9,17,11,6,2455,930,1525,8.0
33,4,,254600,0,0,VILLAGE,Katteri ,Rural,1393,6151,3107,3044,776,400,376,714,352,362,0,0,0,3692,2172,1520,2459,935,1524,2660,1709,951,2409,1601,808,169,132,37,156,97,59,1486,852,634,598,520,78,251,108,143,13,5,8,129,59,70,75,13,62,34,31,3,3491,1398,2093,8.0
33,4,,254700,0,0,VILLAGE,Thiriyalam ,Rural,1983,8610,4397,4213,1177,650,527,1435,713,722,10,5,5,4633,2711,1922,3977,1686,2291,4222,2369,1853,3317,2098,1219,844,572,272,330,190,140,1442,773,669,701,563,138,905,271,634,67,24,43,443,162,281,364,62,302,31,23,8,4388,2028,2360,8.0
33,4,,254800,0,0,VILLAGE,Vettapattu,Rural,1132,5004,2515,2489,734,387,347,127,70,57,43,20,23,2721,1586,1135,2283,929,1354,2380,1381,999,2201,1292,909,637,446,191,128,48,80,1245,650,595,191,148,43,179,89,90,9,8,1,115,51,64,31,11,20,24,19,5,2624,1134,1490,8.0
33,4,,254900,0,0,VILLAGE,Bandarapalli,Rural,1148,5112,2623,2489,708,378,330,677,347,330,0,0,0,2856,1761,1095,2256,862,1394,2478,1425,1053,2278,1326,952,815,535,280,537,257,280,527,231,296,399,303,96,200,99,101,14,9,5,147,64,83,17,10,7,22,16,6,2634,1198,1436,8.0
33,4,,255000,0,0,VILLAGE,Pachoor,Rural,1500,7048,3537,3511,986,513,473,421,195,226,26,11,15,3941,2297,1644,3107,1240,1867,3128,1922,1206,2247,1530,717,887,561,326,364,237,127,183,98,85,813,634,179,881,392,489,118,45,73,444,188,256,46,10,36,273,149,124,3920,1615,2305,8.0
33,4,,255100,0,0,VILLAGE,Bynapalli,Rural,117,546,274,272,74,44,30,188,91,97,0,0,0,333,182,151,213,92,121,224,148,76,99,81,18,70,61,9,11,4,7,4,2,2,14,14,0,125,67,58,28,21,7,65,21,44,5,2,3,27,23,4,322,126,196,8.0
33,4,,255200,0,0,VILLAGE,Velakalnatham,Rural,1513,6618,3332,3286,936,481,455,405,196,209,16,6,10,3192,1875,1317,3426,1457,1969,2760,1717,1043,1453,1068,385,851,651,200,150,85,65,148,68,80,304,264,40,1307,649,658,68,43,25,943,417,526,115,38,77,181,151,30,3858,1615,2243,8.0
33,4,,255300,0,0,VILLAGE,Nandibenda R.F.,Rural,325,1370,714,656,215,119,96,14,8,6,0,0,0,538,333,205,832,381,451,645,414,231,291,260,31,203,198,5,4,2,2,58,40,18,26,20,6,354,154,200,1,1,0,206,82,124,116,40,76,31,31,0,725,300,425,8.0
33,4,,255400,0,0,VILLAGE,Mandalanayanagunda,Rural,599,2641,1333,1308,385,211,174,240,125,115,0,0,0,1322,775,547,1319,558,761,1387,727,660,949,548,401,224,161,63,634,337,297,55,18,37,36,32,4,438,179,259,11,5,6,356,153,203,47,4,43,24,17,7,1254,606,648,8.0
33,4,,255500,0,0,VILLAGE,Gollankuttai,Rural,1092,4772,2435,2337,639,365,274,265,130,135,4,2,2,2645,1582,1063,2127,853,1274,2260,1285,975,1414,908,506,307,239,68,290,177,113,483,202,281,334,290,44,846,377,469,29,16,13,324,165,159,350,65,285,143,131,12,2512,1150,1362,8.0
33,4,,255600,0,0,VILLAGE,Paniyandapalli,Rural,1478,6219,3091,3128,848,464,384,471,227,244,0,0,0,3319,1967,1352,2900,1124,1776,2958,1707,1251,2170,1358,812,687,473,214,304,230,74,534,130,404,645,525,120,788,349,439,36,22,14,347,180,167,290,66,224,115,81,34,3261,1384,1877,8.0
33,4,,255700,0,0,VILLAGE,Mallapalli,Rural,1426,6021,3072,2949,865,468,397,245,118,127,1,1,0,3377,2044,1333,2644,1028,1616,3583,1836,1747,3041,1624,1417,999,706,293,1093,421,672,539,181,358,410,316,94,542,212,330,45,25,20,390,151,239,76,14,62,31,22,9,2438,1236,1202,8.0
33,4,,255800,0,0,VILLAGE,Agraharam,Rural,1419,6272,3167,3105,774,414,360,191,93,98,0,0,0,3419,2043,1376,2853,1124,1729,3472,1876,1596,2723,1629,1094,764,484,280,225,133,92,1402,747,655,332,265,67,749,247,502,192,70,122,186,63,123,299,70,229,72,44,28,2800,1291,1509,8.0
