STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,4,,0,0,0,TALUK,Wallajah,Total,81708,380396,190203,190193,46764,24001,22763,64647,31993,32654,951,485,466,253603,143220,110383,126793,46983,79810,141617,101086,40531,119515,90634,28881,17938,13381,4557,17158,9818,7340,12302,7260,5042,72117,60175,11942,22102,10452,11650,2062,1061,1001,12897,5099,7798,1928,458,1470,5215,3834,1381,238779,89117,149662,3.0
33,4,,0,0,0,TALUK,Wallajah,Rural,46837,212368,106485,105883,26400,13609,12791,39119,19446,19673,640,337,303,133231,77621,55610,79137,28864,50273,87662,58883,28779,68702,50448,18254,17157,12791,4366,15405,8808,6597,4208,2405,1803,31932,26444,5488,18960,8435,10525,1922,975,947,12079,4612,7467,1445,333,1112,3514,2515,999,124706,47602,77104,3.0
33,4,,0,0,0,TALUK,Wallajah,Urban,34871,168028,83718,84310,20364,10392,9972,25528,12547,12981,311,148,163,120372,65599,54773,47656,18119,29537,53955,42203,11752,50813,40186,10627,781,590,191,1753,1010,743,8094,4855,3239,40185,33731,6454,3142,2017,1125,140,86,54,818,487,331,483,125,358,1701,1319,382,114073,41515,72558,3.0
33,4,,194300,0,0,VILLAGE,Somasamudram,Rural,583,2846,1423,1423,348,182,166,1335,650,685,0,0,0,1813,1045,768,1033,378,655,1123,787,336,766,726,40,84,83,1,271,254,17,48,41,7,363,348,15,357,61,296,9,1,8,333,51,282,4,1,3,11,8,3,1723,636,1087,3.0
33,4,,194400,0,0,VILLAGE,Kalpattu,Rural,128,691,356,335,99,55,44,0,0,0,0,0,0,511,290,221,180,66,114,244,184,60,196,177,19,51,46,5,58,48,10,1,1,0,86,82,4,48,7,41,0,0,0,39,7,32,7,0,7,2,0,2,447,172,275,3.0
33,4,,194500,0,0,VILLAGE,Pandiyanellore,Rural,639,3070,1561,1509,490,243,247,1401,707,694,56,28,28,1879,1115,764,1191,446,745,1145,842,303,807,733,74,72,64,8,216,192,24,4,1,3,515,476,39,338,109,229,6,2,4,272,56,216,0,0,0,60,51,9,1925,719,1206,3.0
33,4,,194600,0,0,VILLAGE,Vasur,Rural,359,1770,888,882,222,117,105,123,64,59,0,0,0,1053,650,403,717,238,479,523,416,107,105,75,30,29,29,0,2,1,1,1,1,0,73,44,29,418,341,77,168,150,18,144,115,29,32,11,21,74,65,9,1247,472,775,3.0
33,4,,194700,0,0,VILLAGE,Palleri,Rural,170,771,401,370,98,54,44,94,46,48,18,9,9,395,235,160,376,166,210,291,211,80,278,202,76,92,73,19,106,73,33,23,2,21,57,54,3,13,9,4,0,0,0,3,1,2,2,0,2,8,8,0,480,190,290,3.0
33,4,,194800,0,0,VILLAGE,Kondakuppam,Rural,560,2439,1224,1215,276,149,127,503,240,263,0,0,0,1423,873,550,1016,351,665,1175,723,452,855,579,276,278,232,46,201,113,88,104,18,86,272,216,56,320,144,176,2,1,1,181,90,91,74,4,70,63,49,14,1264,501,763,3.0
33,4,,194900,0,0,VILLAGE,Thagarakuppam,Rural,507,2320,1163,1157,338,180,158,45,22,23,7,3,4,1230,764,466,1090,399,691,781,559,222,553,484,69,276,261,15,188,147,41,7,5,2,82,71,11,228,75,153,5,1,4,184,54,130,18,3,15,21,17,4,1539,604,935,3.0
