STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,7,,0,0,0,TALUK,Kallakkurichi,Total,87296,385250,194719,190531,47974,24723,23251,126014,63700,62314,830,454,376,208253,125814,82439,176997,68905,108092,207762,117032,90730,173124,103568,69556,70742,42155,28587,65909,32637,33272,3313,1829,1484,33160,26947,6213,34638,13464,21174,4261,1737,2524,26623,9576,17047,816,250,566,2938,1901,1037,177488,77687,99801,7.0
33,7,,0,0,0,TALUK,Kallakkurichi,Rural,67537,295462,149425,146037,37250,19206,18044,108145,54751,53394,319,162,157,148264,91908,56356,147198,57517,89681,172477,91903,80574,141892,80236,61656,67016,39537,27479,58474,28472,30002,2246,1248,998,14156,10979,3177,30585,11667,18918,3875,1623,2252,24538,8801,15737,633,195,438,1539,1048,491,122985,57522,65463,7.0
33,7,,0,0,0,TALUK,Kallakkurichi,Urban,19759,89788,45294,44494,10724,5517,5207,17869,8949,8920,511,292,219,59989,33906,26083,29799,11388,18411,35285,25129,10156,31232,23332,7900,3726,2618,1108,7435,4165,3270,1067,581,486,19004,15968,3036,4053,1797,2256,386,114,272,2085,775,1310,183,55,128,1399,853,546,54503,20165,34338,7.0
33,7,,603000,0,0,VILLAGE,Sellampattu,Rural,485,2222,1107,1115,258,131,127,207,105,102,0,0,0,1203,695,508,1019,412,607,1357,711,646,1327,696,631,711,403,308,500,215,285,25,12,13,91,66,25,30,15,15,7,4,3,21,11,10,0,0,0,2,0,2,865,396,469,7.0
33,7,,603100,0,0,VILLAGE,Karadichittur,Rural,1866,8062,4121,3941,968,490,478,2810,1430,1380,0,0,0,3992,2475,1517,4070,1646,2424,4592,2480,2112,4089,2286,1803,1955,1133,822,1763,873,890,59,43,16,312,237,75,503,194,309,70,31,39,393,139,254,13,8,5,27,16,11,3470,1641,1829,7.0
33,7,,603200,0,0,VILLAGE,Manmalai,Rural,612,2690,1427,1263,309,176,133,1052,542,510,0,0,0,1202,785,417,1488,642,846,1633,868,765,1586,861,725,948,499,449,521,284,237,30,13,17,87,65,22,47,7,40,4,1,3,39,5,34,1,0,1,3,1,2,1057,559,498,7.0
33,7,,603300,0,0,VILLAGE,Eduthavoinatham,Rural,1558,6556,3396,3160,834,452,382,609,318,291,25,11,14,3115,1981,1134,3441,1415,2026,3767,2114,1653,3636,2061,1575,1294,766,528,2027,1046,981,61,43,18,254,206,48,131,53,78,31,10,21,76,33,43,2,1,1,22,9,13,2789,1282,1507,7.0
33,7,,603500,0,0,VILLAGE,Parigam,Rural,734,3146,1594,1552,383,200,183,1714,868,846,0,0,0,1534,960,574,1612,634,978,1886,972,914,1785,940,845,609,326,283,1090,558,532,21,12,9,65,44,21,101,32,69,20,8,12,76,22,54,4,1,3,1,1,0,1260,622,638,7.0
33,7,,603600,0,0,VILLAGE,Mathur,Rural,1069,4404,2202,2202,550,280,270,2449,1217,1232,6,3,3,2113,1296,817,2291,906,1385,2669,1350,1319,2320,1194,1126,1380,720,660,768,342,426,34,24,10,138,108,30,349,156,193,34,16,18,314,139,175,1,1,0,0,0,0,1735,852,883,7.0
33,7,,603700,0,0,VILLAGE,Palrampattu,Rural,493,2209,1121,1088,311,158,153,906,444,462,0,0,0,1028,675,353,1181,446,735,1415,721,694,1411,720,691,479,265,214,873,411,462,18,9,9,41,35,6,4,1,3,0,0,0,3,0,3,0,0,0,1,1,0,794,400,394,7.0
