STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,7,,0,0,0,TALUK,Vanur,Total,34773,166567,84868,81699,20653,10488,10165,53187,27069,26118,1709,844,865,100469,58961,41508,66098,25907,40191,73003,48787,24216,57817,42383,15434,13554,10640,2914,22015,13125,8890,1188,851,337,21060,17767,3293,15186,6404,8782,1526,772,754,11166,4145,7021,437,131,306,2057,1356,701,93564,36081,57483,3.0
33,7,,0,0,0,TALUK,Vanur,Rural,30076,142492,72740,69752,17434,8929,8505,50340,25655,24685,1612,794,818,84688,50028,34660,57804,22712,35092,64606,41917,22689,50350,35883,14467,13393,10501,2892,21206,12600,8606,1038,735,303,14713,12047,2666,14256,6034,8222,1488,763,725,10754,3981,6773,351,111,240,1663,1179,484,77886,30823,47063,3.0
33,7,,0,0,0,TALUK,Vanur,Urban,4697,24075,12128,11947,3219,1559,1660,2847,1414,1433,97,50,47,15781,8933,6848,8294,3195,5099,8397,6870,1527,7467,6500,967,161,139,22,809,525,284,150,116,34,6347,5720,627,930,370,560,38,9,29,412,164,248,86,20,66,394,177,217,15678,5258,10420,3.0
33,7,,534500,0,0,VILLAGE,Kodippakkam (Ten),Rural,317,1619,813,806,187,86,101,874,433,441,40,22,18,928,555,373,691,258,433,574,477,97,530,458,72,111,103,8,281,240,41,14,7,7,124,108,16,44,19,25,2,2,0,37,12,25,0,0,0,5,5,0,1045,336,709,3.0
33,7,,534600,0,0,VILLAGE,Peravur,Rural,514,2414,1264,1150,291,173,118,1209,637,572,35,16,19,1150,726,424,1264,538,726,1376,745,631,1210,710,500,375,240,135,666,353,313,14,6,8,155,111,44,166,35,131,37,8,29,118,18,100,1,1,0,10,8,2,1038,519,519,3.0
33,7,,534700,0,0,VILLAGE,Olagapuram,Rural,505,2523,1267,1256,302,142,160,1460,753,707,0,0,0,1168,695,473,1355,572,783,1240,770,470,828,714,114,135,129,6,620,519,101,6,5,1,67,61,6,412,56,356,7,1,6,401,53,348,2,0,2,2,2,0,1283,497,786,3.0
33,7,,534800,0,0,VILLAGE,Kumalampattu,Rural,261,1118,596,522,153,85,68,532,280,252,34,20,14,445,271,174,673,325,348,604,349,255,484,321,163,188,164,24,271,136,135,5,3,2,20,18,2,120,28,92,43,15,28,74,12,62,1,0,1,2,1,1,514,247,267,3.0
33,7,,535000,0,0,VILLAGE,Komadippattu,Rural,145,717,369,348,89,47,42,371,192,179,101,50,51,393,236,157,324,133,191,383,225,158,300,185,115,113,80,33,171,92,79,2,2,0,14,11,3,83,40,43,31,17,14,49,22,27,0,0,0,3,1,2,334,144,190,3.0
33,7,,535100,0,0,VILLAGE,Talaiganikuppam,Rural,146,705,386,319,77,44,33,0,0,0,0,0,0,512,312,200,193,74,119,486,269,217,482,268,214,447,250,197,26,14,12,1,1,0,8,3,5,4,1,3,3,1,2,1,0,1,0,0,0,0,0,0,219,117,102,3.0
33,7,,535200,0,0,VILLAGE,Kayalmedu,Rural,79,389,211,178,48,29,19,59,35,24,0,0,0,197,134,63,192,77,115,229,120,109,104,92,12,70,65,5,24,22,2,0,0,0,10,5,5,125,28,97,1,0,1,124,28,96,0,0,0,0,0,0,160,91,69,3.0
33,7,,535300,0,0,VILLAGE,Chittanappakkam,Rural,34,170,85,85,18,11,7,89,47,42,0,0,0,87,55,32,83,30,53,94,46,48,46,42,4,29,28,1,17,14,3,0,0,0,0,0,0,48,4,44,1,0,1,47,4,43,0,0,0,0,0,0,76,39,37,3.0
33,7,,535400,0,0,VILLAGE,Vengaram,Rural,90,419,219,200,51,24,27,303,162,141,0,0,0,219,140,79,200,79,121,224,113,111,118,107,11,54,50,4,63,56,7,0,0,0,1,1,0,106,6,100,3,1,2,103,5,98,0,0,0,0,0,0,195,106,89,3.0
33,7,,535500,0,0,VILLAGE,Devanandal,Rural,80,359,193,166,37,18,19,201,106,95,0,0,0,180,107,73,179,86,93,187,102,85,85,75,10,80,73,7,3,1,2,1,0,1,1,1,0,102,27,75,2,1,1,100,26,74,0,0,0,0,0,0,172,91,81,3.0
33,7,,535600,0,0,VILLAGE,Kilappakkam,Rural,180,999,509,490,148,79,69,182,89,93,0,0,0,669,380,289,330,129,201,567,291,276,392,236,156,273,190,83,92,25,67,6,5,1,21,16,5,175,55,120,15,10,5,153,44,109,1,0,1,6,1,5,432,218,214,3.0
33,7,,535700,0,0,VILLAGE,Karattai,Rural,344,1568,796,772,169,74,95,130,73,57,0,0,0,1075,658,417,493,138,355,652,452,200,649,452,197,324,262,62,265,138,127,4,4,0,56,48,8,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,916,344,572,3.0
33,7,,535800,0,0,VILLAGE,Aruvadai,Rural,107,478,231,247,45,22,23,0,0,0,0,0,0,291,173,118,187,58,129,274,164,110,272,163,109,74,63,11,189,96,93,7,2,5,2,2,0,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,204,67,137,3.0
33,7,,535900,0,0,VILLAGE,Uppuvelur,Rural,797,3429,1712,1717,374,183,191,817,411,406,80,31,49,2063,1207,856,1366,505,861,1665,1092,573,1530,1074,456,481,407,74,870,510,360,37,29,8,142,128,14,135,18,117,5,1,4,127,15,112,0,0,0,3,2,1,1764,620,1144,3.0
33,7,,536000,0,0,VILLAGE,Pudukkuppam,Rural,229,1060,533,527,103,49,54,0,0,0,0,0,0,683,407,276,377,126,251,343,290,53,328,282,46,255,227,28,49,39,10,10,10,0,14,6,8,15,8,7,5,4,1,9,3,6,0,0,0,1,1,0,717,243,474,3.0
33,7,,536100,0,0,VILLAGE,T. Parangani,Rural,268,1272,648,624,176,92,84,338,166,172,97,48,49,505,336,169,767,312,455,742,383,359,739,382,357,251,134,117,458,232,226,4,2,2,26,14,12,3,1,2,1,0,1,2,1,1,0,0,0,0,0,0,530,265,265,3.0
33,7,,536200,0,0,VILLAGE,Nallavur,Rural,693,3246,1669,1577,389,194,195,1554,796,758,0,0,0,1836,1117,719,1410,552,858,1589,943,646,1573,929,644,176,156,20,1208,622,586,8,4,4,181,147,34,16,14,2,0,0,0,2,0,2,2,2,0,12,12,0,1657,726,931,3.0
33,7,,536300,0,0,VILLAGE,Kondamur,Rural,386,1881,951,930,222,119,103,951,475,476,26,14,12,1202,688,514,679,263,416,780,516,264,485,440,45,58,54,4,292,269,23,1,1,0,134,116,18,295,76,219,7,1,6,281,71,210,3,2,1,4,2,2,1101,435,666,3.0
33,7,,536400,0,0,VILLAGE,Aruvapakkam,Rural,277,1409,707,702,178,89,89,633,318,315,0,0,0,768,471,297,641,236,405,602,395,207,328,267,61,43,42,1,196,154,42,12,10,2,77,61,16,274,128,146,10,8,2,151,62,89,48,12,36,65,46,19,807,312,495,3.0
33,7,,536500,0,0,VILLAGE,Siruvalur (Ten),Rural,345,1630,834,796,146,79,67,0,0,0,22,9,13,1013,596,417,617,238,379,758,464,294,617,417,200,114,69,45,245,129,116,3,3,0,255,216,39,141,47,94,1,0,1,137,46,91,1,0,1,2,1,1,872,370,502,3.0
33,7,,536600,0,0,VILLAGE,Adanappattu,Rural,362,1780,935,845,188,90,98,549,299,250,43,18,25,959,591,368,821,344,477,695,476,219,512,395,117,306,248,58,85,44,41,5,2,3,116,101,15,183,81,102,13,5,8,160,68,92,2,1,1,8,7,1,1085,459,626,3.0
33,7,,536700,0,0,VILLAGE,Parikkalpattu,Rural,189,772,397,375,109,55,54,534,264,270,0,0,0,446,264,182,326,133,193,316,224,92,297,218,79,99,95,4,121,55,66,2,2,0,75,66,9,19,6,13,1,0,1,9,0,9,0,0,0,9,6,3,456,173,283,3.0
33,7,,536800,0,0,VILLAGE,Siruvarur,Rural,82,353,181,172,37,21,16,236,121,115,0,0,0,213,120,93,140,61,79,187,102,85,162,98,64,22,14,8,117,64,53,1,0,1,22,20,2,25,4,21,0,0,0,25,4,21,0,0,0,0,0,0,166,79,87,3.0
33,7,,536900,0,0,VILLAGE,Murukkam,Rural,152,802,408,394,92,49,43,435,220,215,40,20,20,456,268,188,346,140,206,271,225,46,270,224,46,41,41,0,188,150,38,1,0,1,40,33,7,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,531,183,348,3.0
33,7,,537000,0,0,VILLAGE,Terkunam,Rural,515,2457,1262,1195,270,123,147,306,162,144,78,42,36,1533,939,594,924,323,601,1141,768,373,872,637,235,382,263,119,238,154,84,34,31,3,218,189,29,269,131,138,12,5,7,213,88,125,0,0,0,44,38,6,1316,494,822,3.0
33,7,,537100,0,0,VILLAGE,Kilkoothapakkam,Rural,274,1218,600,618,159,73,86,680,341,339,157,76,81,728,431,297,490,169,321,549,338,211,302,273,29,54,52,2,203,180,23,0,0,0,45,41,4,247,65,182,6,1,5,236,63,173,1,0,1,4,1,3,669,262,407,3.0
33,7,,537200,0,0,VILLAGE,Kiliyanur,Rural,1105,5260,2715,2545,637,330,307,2967,1546,1421,66,35,31,3247,1927,1320,2013,788,1225,2512,1507,1005,1122,754,368,138,104,34,621,350,271,32,23,9,331,277,54,1390,753,637,134,85,49,1164,609,555,46,25,21,46,34,12,2748,1208,1540,3.0
33,7,,537300,0,0,VILLAGE,Kanjimangalam,Rural,485,2236,1143,1093,272,141,131,352,179,173,0,0,0,1267,790,477,969,353,616,1160,682,478,541,365,176,303,208,95,208,128,80,8,7,1,22,22,0,619,317,302,78,49,29,523,259,264,15,6,9,3,3,0,1076,461,615,3.0
33,7,,537400,0,0,VILLAGE,Idaichcheri,Rural,58,280,139,141,31,16,15,275,136,139,0,0,0,139,78,61,141,61,80,150,79,71,6,6,0,0,0,0,4,4,0,0,0,0,2,2,0,144,73,71,0,0,0,143,72,71,1,1,0,0,0,0,130,60,70,3.0
33,7,,537500,0,0,VILLAGE,Vilvanatham,Rural,170,835,426,409,109,52,57,548,281,267,34,18,16,421,255,166,414,171,243,347,206,141,228,178,50,17,17,0,164,129,35,10,6,4,37,26,11,119,28,91,0,0,0,111,22,89,1,0,1,7,6,1,488,220,268,3.0
33,7,,537600,0,0,VILLAGE,Kaluperumbakkam,Rural,291,1383,716,667,180,100,80,583,304,279,0,0,0,825,489,336,558,227,331,502,361,141,484,356,128,151,151,0,252,134,118,6,5,1,75,66,9,18,5,13,12,3,9,4,1,3,0,0,0,2,1,1,881,355,526,3.0
