STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,26,,0,0,0,TALUK,Sattur,Total,41087,156968,76464,80504,18699,9535,9164,32865,16201,16664,255,124,131,97434,54825,42609,59534,21639,37895,88119,45755,42364,82144,43364,38780,5635,3440,2195,11993,6103,5890,3411,860,2551,61105,32961,28144,5975,2391,3584,330,148,182,2061,932,1129,366,61,305,3218,1250,1968,68849,30709,38140,8.0
33,26,,0,0,0,TALUK,Sattur,Rural,31524,119200,58005,61195,14462,7358,7104,30658,15139,15519,57,30,27,70221,40254,29967,48979,17751,31228,69745,34879,34866,64482,32696,31786,5565,3399,2166,11889,6037,5852,3071,731,2340,43957,22529,21428,5263,2183,3080,328,148,180,2058,931,1127,274,45,229,2603,1059,1544,49455,23126,26329,8.0
33,26,,0,0,0,TALUK,Sattur,Urban,9563,37768,18459,19309,4237,2177,2060,2207,1062,1145,198,94,104,27213,14571,12642,10555,3888,6667,18374,10876,7498,17662,10668,6994,70,41,29,104,66,38,340,129,211,17148,10432,6716,712,208,504,2,0,2,3,1,2,92,16,76,615,191,424,19394,7583,11811,8.0
33,26,,1486800,0,0,VILLAGE,Kumaralingapuram,Rural,321,1244,607,637,103,43,60,248,122,126,0,0,0,816,456,360,428,151,277,687,389,298,451,298,153,151,97,54,64,40,24,35,21,14,201,140,61,236,91,145,6,2,4,35,27,8,14,4,10,181,58,123,557,218,339,8.0
33,26,,1486900,0,0,VILLAGE,Muthulingapuram,Rural,448,1792,868,924,177,82,95,294,129,165,0,0,0,1106,643,463,686,225,461,885,508,377,773,461,312,86,74,12,122,90,32,14,8,6,551,289,262,112,47,65,8,1,7,17,8,9,11,1,10,76,37,39,907,360,547,8.0
33,26,,1487000,0,0,VILLAGE,Veppilaipatti,Rural,146,608,286,322,50,18,32,203,93,110,0,0,0,315,191,124,293,95,198,417,205,212,391,194,197,106,55,51,220,98,122,34,21,13,31,20,11,26,11,15,2,0,2,13,4,9,3,1,2,8,6,2,191,81,110,8.0
33,26,,1487100,0,0,VILLAGE,Sandaiyur,Rural,340,1297,642,655,156,75,81,917,471,446,0,0,0,671,396,275,626,246,380,790,380,410,788,378,410,81,52,29,140,73,67,4,1,3,563,252,311,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,507,262,245,8.0
33,26,,1487200,0,0,VILLAGE,Golwarpatti ,Rural,674,2455,1178,1277,337,174,163,2229,1062,1167,0,0,0,1459,835,624,996,343,653,1244,581,663,591,309,282,147,103,44,61,26,35,65,1,64,318,179,139,653,272,381,41,19,22,450,183,267,3,1,2,159,69,90,1211,597,614,8.0
33,26,,1487300,0,0,VILLAGE,Nallamanayakkanpatti,Rural,127,476,229,247,50,24,26,206,106,100,0,0,0,321,169,152,155,60,95,234,123,111,234,123,111,70,40,30,145,69,76,4,2,2,15,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,106,136,8.0
33,26,,1487400,0,0,VILLAGE,Kundalakkuttu,Rural,344,1405,664,741,129,62,67,209,100,109,0,0,0,893,503,390,512,161,351,727,362,365,404,228,176,88,66,22,177,98,79,14,5,9,125,59,66,323,134,189,6,1,5,240,109,131,2,1,1,75,23,52,678,302,376,8.0
33,26,,1487500,0,0,VILLAGE,Pappakudi,Rural,588,2262,1152,1110,230,118,112,107,55,52,0,0,0,1309,810,499,953,342,611,1213,648,565,1182,636,546,169,92,77,566,289,277,12,6,6,435,249,186,31,12,19,2,1,1,10,5,5,3,2,1,16,4,12,1049,504,545,8.0
33,26,,1487600,0,0,VILLAGE,Kosukkundu,Rural,662,2504,1215,1289,307,156,151,278,131,147,0,0,0,1380,829,551,1124,386,738,1527,745,782,1364,698,666,378,216,162,560,252,308,45,18,27,381,212,169,163,47,116,12,3,9,95,31,64,32,5,27,24,8,16,977,470,507,8.0
33,26,,1487700,0,0,VILLAGE,Athipatti,Rural,49,210,108,102,20,6,14,209,107,102,0,0,0,119,69,50,91,39,52,119,59,60,119,59,60,10,6,4,60,30,30,0,0,0,49,23,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,49,42,8.0
33,26,,1487800,0,0,VILLAGE,Sirukulam,Rural,383,1386,666,720,168,78,90,329,159,170,0,0,0,649,396,253,737,270,467,808,394,414,768,372,396,140,73,67,441,212,229,11,7,4,176,80,96,40,22,18,2,2,0,30,17,13,1,0,1,7,3,4,578,272,306,8.0
33,26,,1487900,0,0,VILLAGE,Ammapatti ,Rural,689,2516,1238,1278,274,147,127,234,116,118,0,0,0,1516,883,633,1000,355,645,1498,770,728,1419,735,684,158,85,73,120,56,64,57,10,47,1084,584,500,79,35,44,8,4,4,3,1,2,7,0,7,61,30,31,1018,468,550,8.0
33,26,,1488100,0,0,VILLAGE,Mettamalai ,Rural,1205,4367,2077,2290,579,288,291,1084,538,546,0,0,0,2413,1375,1038,1954,702,1252,2954,1380,1574,2671,1202,1469,63,33,30,73,47,26,456,97,359,2079,1025,1054,283,178,105,8,6,2,119,110,9,74,14,60,82,48,34,1413,697,716,8.0
33,26,,1488200,0,0,VILLAGE,Chinnakamanpatti,Rural,734,2949,1306,1643,359,172,187,626,285,341,0,0,0,1897,962,935,1052,344,708,1605,777,828,1592,767,825,50,36,14,81,47,34,6,4,2,1455,680,775,13,10,3,1,1,0,0,0,0,0,0,0,12,9,3,1344,529,815,8.0
33,26,,1488300,0,0,VILLAGE,Vadamalaipuram,Rural,37,151,68,83,15,10,5,0,0,0,0,0,0,86,47,39,65,21,44,93,36,57,91,35,56,19,11,8,5,2,3,5,0,5,62,22,40,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,58,32,26,8.0
33,26,,1488400,0,0,VILLAGE,Padandal ,Rural,3810,14656,7102,7554,1831,941,890,1932,963,969,23,12,11,9607,5218,4389,5049,1884,3165,7839,4276,3563,7615,4153,3462,78,45,33,74,45,29,65,40,25,7398,4023,3375,224,123,101,15,5,10,7,3,4,9,2,7,193,113,80,6817,2826,3991,8.0
33,26,,1488500,0,0,VILLAGE,Kattalampatti,Rural,439,1695,826,869,199,97,102,1256,605,651,0,0,0,1026,599,427,669,227,442,887,436,451,691,354,337,81,40,41,32,13,19,14,7,7,564,294,270,196,82,114,21,7,14,109,46,63,2,1,1,64,28,36,808,390,418,8.0
33,26,,1488600,0,0,VILLAGE,Alampatti,Rural,113,466,234,232,56,28,28,364,187,177,0,0,0,345,189,156,121,45,76,181,99,82,57,45,12,0,0,0,3,1,2,2,0,2,52,44,8,124,54,70,4,0,4,115,52,63,2,1,1,3,1,2,285,135,150,8.0
