STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,26,,0,0,0,TALUK,Srivilliputhur,Total,70369,269317,134051,135266,31080,15832,15248,66605,33054,33551,124,61,63,169503,96727,72776,99814,37324,62490,136197,78621,57576,121657,73091,48566,9650,6376,3274,40934,20396,20538,9117,3333,5784,61956,42986,18970,14540,5530,9010,681,300,381,8163,2957,5206,1126,148,978,4570,2125,2445,133120,55430,77690,2.0
33,26,,0,0,0,TALUK,Srivilliputhur,Rural,35126,133808,66751,67057,15658,8009,7649,45095,22422,22673,69,38,31,80114,46720,33394,53694,20031,33663,71362,39160,32202,62350,35669,26681,7619,4919,2700,26335,12737,13598,2089,782,1307,26307,17231,9076,9012,3491,5521,619,284,335,5922,2071,3851,377,56,321,2094,1080,1014,62446,27591,34855,2.0
33,26,,0,0,0,TALUK,Srivilliputhur,Urban,35243,135509,67300,68209,15422,7823,7599,21510,10632,10878,55,23,32,89389,50007,39382,46120,17293,28827,64835,39461,25374,59307,37422,21885,2031,1457,574,14599,7659,6940,7028,2551,4477,35649,25755,9894,5528,2039,3489,62,16,46,2241,886,1355,749,92,657,2476,1045,1431,70674,27839,42835,2.0
33,26,,1438000,0,0,VILLAGE,Watrap ,Rural,967,3698,1843,1855,376,173,203,776,399,377,0,0,0,2105,1259,846,1593,584,1009,2249,1198,1051,1748,1058,690,300,230,70,1150,599,551,9,2,7,289,227,62,501,140,361,8,3,5,386,98,288,15,1,14,92,38,54,1449,645,804,2.0
33,26,,1438100,0,0,VILLAGE,Maharajapuram ,Rural,2178,7601,3794,3807,748,396,352,2026,1029,997,0,0,0,4247,2556,1691,3354,1238,2116,4346,2314,2032,2480,1500,980,568,389,179,1208,594,614,96,39,57,608,478,130,1866,814,1052,50,22,28,1749,755,994,24,11,13,43,26,17,3255,1480,1775,2.0
33,26,,1438200,0,0,VILLAGE,Thambipatti,Rural,766,2983,1483,1500,339,179,160,646,325,321,0,0,0,1590,940,650,1393,543,850,1552,870,682,981,611,370,59,47,12,674,355,319,17,6,11,231,203,28,571,259,312,33,25,8,437,173,264,25,1,24,76,60,16,1431,613,818,2.0
33,26,,1438300,0,0,VILLAGE,Kottaiyur,Rural,1693,6068,3104,2964,633,344,289,2877,1473,1404,0,0,0,3147,1905,1242,2921,1199,1722,3673,1898,1775,3620,1877,1743,557,337,220,2217,1050,1167,81,19,62,765,471,294,53,21,32,10,4,6,36,14,22,1,1,0,6,2,4,2395,1206,1189,2.0
33,26,,1438400,0,0,VILLAGE,Ilandaikulam,Rural,960,3524,1728,1796,409,194,215,1161,582,579,0,0,0,1898,1134,764,1626,594,1032,2051,1028,1023,2027,1022,1005,582,317,265,1114,470,644,17,8,9,314,227,87,24,6,18,5,2,3,14,2,12,3,0,3,2,2,0,1473,700,773,2.0
33,26,,1438500,0,0,VILLAGE,Ayaidharmam,Rural,484,1786,864,922,216,109,107,173,88,85,0,0,0,1054,609,445,732,255,477,742,491,251,733,490,243,224,201,23,390,200,190,15,9,6,104,80,24,9,1,8,2,1,1,7,0,7,0,0,0,0,0,0,1044,373,671,2.0
33,26,,1438600,0,0,VILLAGE,Govindanallur,Rural,287,1069,534,535,99,58,41,244,128,116,0,0,0,647,393,254,422,141,281,590,308,282,512,287,225,69,46,23,308,150,158,9,8,1,126,83,43,78,21,57,3,0,3,38,10,28,5,0,5,32,11,21,479,226,253,2.0
