STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,26,,0,0,0,TALUK,Tiruchuli,Total,22027,91262,45050,46212,12382,6291,6091,19206,9580,9626,99,47,52,49728,30193,19535,41534,14857,26677,51267,27299,23968,38905,24050,14855,19241,11863,7378,10694,5303,5391,511,282,229,8459,6602,1857,12362,3249,9113,1740,445,1295,9664,2338,7326,198,31,167,760,435,325,39995,17751,22244,6.0
33,26,,0,0,0,TALUK,Tiruchuli,Rural,22027,91262,45050,46212,12382,6291,6091,19206,9580,9626,99,47,52,49728,30193,19535,41534,14857,26677,51267,27299,23968,38905,24050,14855,19241,11863,7378,10694,5303,5391,511,282,229,8459,6602,1857,12362,3249,9113,1740,445,1295,9664,2338,7326,198,31,167,760,435,325,39995,17751,22244,6.0
33,26,,0,0,0,TALUK,Tiruchuli,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
33,26,,1463600,0,0,VILLAGE,Poombidagai,Rural,346,1453,727,726,209,109,100,377,191,186,0,0,0,744,467,277,709,260,449,916,483,433,615,414,201,322,195,127,205,146,59,1,1,0,87,72,15,301,69,232,4,1,3,291,65,226,3,0,3,3,3,0,537,244,293,6.0
33,26,,1463700,0,0,VILLAGE,Karisalkulam,Rural,126,455,218,237,30,14,16,50,24,26,0,0,0,98,57,41,357,161,196,350,171,179,349,171,178,337,161,176,2,1,1,1,0,1,9,9,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,105,47,58,6.0
33,26,,1463900,0,0,VILLAGE,Kallattur,Rural,89,372,189,183,52,31,21,273,138,135,0,0,0,200,123,77,172,66,106,204,101,103,21,12,9,14,8,6,0,0,0,0,0,0,7,4,3,183,89,94,17,9,8,150,71,79,2,0,2,14,9,5,168,88,80,6.0
33,26,,1464000,0,0,VILLAGE,Pillaiyarkulam,Rural,383,1599,781,818,209,101,108,100,47,53,0,0,0,934,585,349,665,196,469,1019,503,516,768,468,300,627,408,219,121,45,76,4,3,1,16,12,4,251,35,216,19,12,7,225,21,204,5,0,5,2,2,0,580,278,302,6.0
33,26,,1464100,0,0,VILLAGE,Kallumadaipulangulam,Rural,130,546,257,289,65,35,30,40,21,19,0,0,0,294,175,119,252,82,170,253,157,96,175,145,30,90,83,7,21,18,3,0,0,0,64,44,20,78,12,66,64,11,53,12,1,11,0,0,0,2,0,2,293,100,193,6.0
33,26,,1464200,0,0,VILLAGE,Karungulamnedungulam,Rural,57,235,108,127,26,11,15,93,45,48,0,0,0,115,67,48,120,41,79,137,67,70,101,61,40,65,44,21,30,14,16,0,0,0,6,3,3,36,6,30,7,1,6,29,5,24,0,0,0,0,0,0,98,41,57,6.0
33,26,,1464300,0,0,VILLAGE,Tiruvidanallur ,Rural,366,1449,707,742,192,98,94,263,132,131,0,0,0,645,417,228,804,290,514,755,418,337,632,367,265,328,216,112,192,65,127,5,3,2,107,83,24,123,51,72,1,0,1,105,48,57,6,1,5,11,2,9,694,289,405,6.0
33,26,,1464400,0,0,VILLAGE,Eluvani ,Rural,278,1241,614,627,156,73,83,504,250,254,0,0,0,767,502,265,474,112,362,727,390,337,724,389,335,313,222,91,364,140,224,23,10,13,24,17,7,3,1,2,0,0,0,3,1,2,0,0,0,0,0,0,514,224,290,6.0
