State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,630.0,0.0,0.0,0.0,0.0,DISTRICT,Dharmapuri,Total,375873.0,1506843.0,774303.0,732540.0,167940.0,87777.0,80163.0,245392.0,124706.0,120686.0,63044.0,32130.0,30914.0,917709.0,527599.0,390110.0,589134.0,246704.0,342430.0,751170.0,446057.0,305113.0,652996.0,400551.0,252445.0,191080.0,110977.0,80103.0,217062.0,103784.0,113278.0,11308.0,5373.0,5935.0,233546.0,180417.0,53129.0,98174.0,45506.0,52668.0,10248.0,4962.0,5286.0,50283.0,19241.0,31042.0,4033.0,1148.0,2885.0,33610.0,20155.0,13455.0,82293.0,38988.0,43305.0,8901.0,4399.0,4502.0,43127.0,17010.0,26117.0,2881.0,890.0,1991.0,27384.0,16689.0,10695.0,15881.0,6518.0,9363.0,1347.0,563.0,784.0,7156.0,2231.0,4925.0,1152.0,258.0,894.0,6226.0,3466.0,2760.0,755673.0,328246.0,427427.0,,
33.0,630.0,0.0,0.0,0.0,0.0,DISTRICT,Dharmapuri,Rural,310409.0,1245931.0,643215.0,602716.0,140903.0,73834.0,67069.0,207187.0,105556.0,101631.0,60385.0,30730.0,29655.0,727785.0,425299.0,302486.0,518146.0,217916.0,300230.0,646077.0,373109.0,272968.0,558125.0,333117.0,225008.0,184221.0,106540.0,77681.0,204652.0,97301.0,107351.0,8081.0,3906.0,4175.0,161171.0,125370.0,35801.0,87952.0,39992.0,47960.0,9907.0,4770.0,5137.0,48085.0,18282.0,29803.0,3206.0,952.0,2254.0,26754.0,15988.0,10766.0,74082.0,34497.0,39585.0,8589.0,4224.0,4365.0,41271.0,16187.0,25084.0,2333.0,748.0,1585.0,21889.0,13338.0,8551.0,13870.0,5495.0,8375.0,1318.0,546.0,772.0,6814.0,2095.0,4719.0,873.0,204.0,669.0,4865.0,2650.0,2215.0,599854.0,270106.0,329748.0,,
33.0,630.0,0.0,0.0,0.0,0.0,DISTRICT,Dharmapuri,Urban,65464.0,260912.0,131088.0,129824.0,27037.0,13943.0,13094.0,38205.0,19150.0,19055.0,2659.0,1400.0,1259.0,189924.0,102300.0,87624.0,70988.0,28788.0,42200.0,105093.0,72948.0,32145.0,94871.0,67434.0,27437.0,6859.0,4437.0,2422.0,12410.0,6483.0,5927.0,3227.0,1467.0,1760.0,72375.0,55047.0,17328.0,10222.0,5514.0,4708.0,341.0,192.0,149.0,2198.0,959.0,1239.0,827.0,196.0,631.0,6856.0,4167.0,2689.0,8211.0,4491.0,3720.0,312.0,175.0,137.0,1856.0,823.0,1033.0,548.0,142.0,406.0,5495.0,3351.0,2144.0,2011.0,1023.0,988.0,29.0,17.0,12.0,342.0,136.0,206.0,279.0,54.0,225.0,1361.0,816.0,545.0,155819.0,58140.0,97679.0,,
33.0,630.0,5885.0,0.0,0.0,0.0,SUB-DISTRICT,Palakkodu,Total,84641.0,346489.0,178574.0,167915.0,40639.0,21450.0,19189.0,33977.0,17180.0,16797.0,5874.0,2977.0,2897.0,200273.0,116603.0,83670.0,146216.0,61971.0,84245.0,177189.0,104342.0,72847.0,151604.0,92418.0,59186.0,46169.0,27366.0,18803.0,53421.0,25321.0,28100.0,2167.0,962.0,1205.0,49847.0,38769.0,11078.0,25585.0,11924.0,13661.0,2945.0,1457.0,1488.0,13588.0,5553.0,8035.0,822.0,237.0,585.0,8230.0,4677.0,3553.0,20985.0,10055.0,10930.0,2510.0,1309.0,1201.0,11368.0,4801.0,6567.0,578.0,185.0,393.0,6529.0,3760.0,2769.0,4600.0,1869.0,2731.0,435.0,148.0,287.0,2220.0,752.0,1468.0,244.0,52.0,192.0,1701.0,917.0,784.0,169300.0,74232.0,95068.0,,
33.0,630.0,5885.0,0.0,0.0,0.0,SUB-DISTRICT,Palakkodu,Rural,73116.0,299568.0,155018.0,144550.0,35461.0,18766.0,16695.0,31154.0,15781.0,15373.0,5860.0,2967.0,2893.0,168337.0,99183.0,69154.0,131231.0,55835.0,75396.0,157735.0,90890.0,66845.0,135176.0,80544.0,54632.0,45113.0,26611.0,18502.0,51453.0,24218.0,27235.0,1506.0,691.0,815.0,37104.0,29024.0,8080.0,22559.0,10346.0,12213.0,2886.0,1417.0,1469.0,12534.0,5058.0,7476.0,565.0,211.0,354.0,6574.0,3660.0,2914.0,18577.0,8753.0,9824.0,2459.0,1274.0,1185.0,10388.0,4336.0,6052.0,427.0,169.0,258.0,5303.0,2974.0,2329.0,3982.0,1593.0,2389.0,427.0,143.0,284.0,2146.0,722.0,1424.0,138.0,42.0,96.0,1271.0,686.0,585.0,141833.0,64128.0,77705.0,,
33.0,630.0,5885.0,0.0,0.0,0.0,SUB-DISTRICT,Palakkodu,Urban,11525.0,46921.0,23556.0,23365.0,5178.0,2684.0,2494.0,2823.0,1399.0,1424.0,14.0,10.0,4.0,31936.0,17420.0,14516.0,14985.0,6136.0,8849.0,19454.0,13452.0,6002.0,16428.0,11874.0,4554.0,1056.0,755.0,301.0,1968.0,1103.0,865.0,661.0,271.0,390.0,12743.0,9745.0,2998.0,3026.0,1578.0,1448.0,59.0,40.0,19.0,1054.0,495.0,559.0,257.0,26.0,231.0,1656.0,1017.0,639.0,2408.0,1302.0,1106.0,51.0,35.0,16.0,980.0,465.0,515.0,151.0,16.0,135.0,1226.0,786.0,440.0,618.0,276.0,342.0,8.0,5.0,3.0,74.0,30.0,44.0,106.0,10.0,96.0,430.0,231.0,199.0,27467.0,10104.0,17363.0,,
33.0,630.0,5886.0,0.0,0.0,0.0,SUB-DISTRICT,Harur,Total,61776.0,240908.0,122571.0,118337.0,26661.0,13766.0,12895.0,71693.0,36362.0,35331.0,16066.0,8122.0,7944.0,147070.0,83590.0,63480.0,93838.0,38981.0,54857.0,125664.0,71404.0,54260.0,111678.0,64831.0,46847.0,37131.0,20620.0,16511.0,43391.0,20512.0,22879.0,1894.0,921.0,973.0,29262.0,22778.0,6484.0,13986.0,6573.0,7413.0,1481.0,686.0,795.0,7144.0,2836.0,4308.0,766.0,204.0,562.0,4595.0,2847.0,1748.0,11616.0,5538.0,6078.0,1305.0,618.0,687.0,6133.0,2493.0,3640.0,470.0,134.0,336.0,3708.0,2293.0,1415.0,2370.0,1035.0,1335.0,176.0,68.0,108.0,1011.0,343.0,668.0,296.0,70.0,226.0,887.0,554.0,333.0,115244.0,51167.0,64077.0,,
33.0,630.0,5886.0,0.0,0.0,0.0,SUB-DISTRICT,Harur,Rural,52145.0,203245.0,103774.0,99471.0,22748.0,11766.0,10982.0,62982.0,32050.0,30932.0,15878.0,8025.0,7853.0,120494.0,69323.0,51171.0,82751.0,34451.0,48300.0,110342.0,61137.0,49205.0,97834.0,55477.0,42357.0,34682.0,19187.0,15495.0,40610.0,19214.0,21396.0,1703.0,817.0,886.0,20839.0,16259.0,4580.0,12508.0,5660.0,6848.0,1407.0,638.0,769.0,6706.0,2626.0,4080.0,688.0,167.0,521.0,3707.0,2229.0,1478.0,10583.0,4906.0,5677.0,1237.0,572.0,665.0,5844.0,2354.0,3490.0,432.0,119.0,313.0,3070.0,1861.0,1209.0,1925.0,754.0,1171.0,170.0,66.0,104.0,862.0,272.0,590.0,256.0,48.0,208.0,637.0,368.0,269.0,92903.0,42637.0,50266.0,,
33.0,630.0,5886.0,0.0,0.0,0.0,SUB-DISTRICT,Harur,Urban,9631.0,37663.0,18797.0,18866.0,3913.0,2000.0,1913.0,8711.0,4312.0,4399.0,188.0,97.0,91.0,26576.0,14267.0,12309.0,11087.0,4530.0,6557.0,15322.0,10267.0,5055.0,13844.0,9354.0,4490.0,2449.0,1433.0,1016.0,2781.0,1298.0,1483.0,191.0,104.0,87.0,8423.0,6519.0,1904.0,1478.0,913.0,565.0,74.0,48.0,26.0,438.0,210.0,228.0,78.0,37.0,41.0,888.0,618.0,270.0,1033.0,632.0,401.0,68.0,46.0,22.0,289.0,139.0,150.0,38.0,15.0,23.0,638.0,432.0,206.0,445.0,281.0,164.0,6.0,2.0,4.0,149.0,71.0,78.0,40.0,22.0,18.0,250.0,186.0,64.0,22341.0,8530.0,13811.0,,
33.0,630.0,5887.0,0.0,0.0,0.0,SUB-DISTRICT,Pappireddipatti,Total,62806.0,243445.0,123771.0,119674.0,24479.0,12618.0,11861.0,64353.0,32448.0,31905.0,29479.0,14932.0,14547.0,155177.0,88467.0,66710.0,88268.0,35304.0,52964.0,125150.0,71313.0,53837.0,111242.0,64947.0,46295.0,32314.0,18455.0,13859.0,47773.0,22593.0,25180.0,1558.0,868.0,690.0,29597.0,23031.0,6566.0,13908.0,6366.0,7542.0,1469.0,767.0,702.0,8323.0,3063.0,5260.0,569.0,215.0,354.0,3547.0,2321.0,1226.0,11745.0,5468.0,6277.0,1297.0,672.0,625.0,7195.0,2748.0,4447.0,390.0,166.0,224.0,2863.0,1882.0,981.0,2163.0,898.0,1265.0,172.0,95.0,77.0,1128.0,315.0,813.0,179.0,49.0,130.0,684.0,439.0,245.0,118295.0,52458.0,65837.0,,
