State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,604.0,0.0,0.0,0.0,0.0,DISTRICT,Kancheepuram,Total,1006245.0,3998252.0,2012958.0,1985294.0,431574.0,220341.0,211233.0,948081.0,474264.0,473817.0,41210.0,20605.0,20605.0,3013382.0,1611461.0,1401921.0,984870.0,401497.0,583373.0,1673814.0,1181308.0,492506.0,1367378.0,1017443.0,349935.0,74761.0,55012.0,19749.0,162494.0,92427.0,70067.0,41149.0,25979.0,15170.0,1088974.0,844025.0,244949.0,306436.0,163865.0,142571.0,14582.0,8832.0,5750.0,110020.0,49930.0,60090.0,13583.0,5221.0,8362.0,168251.0,99882.0,68369.0,261173.0,141002.0,120171.0,12864.0,7829.0,5035.0,94724.0,44051.0,50673.0,10294.0,4002.0,6292.0,143291.0,85120.0,58171.0,45263.0,22863.0,22400.0,1718.0,1003.0,715.0,15296.0,5879.0,9417.0,3289.0,1219.0,2070.0,24960.0,14762.0,10198.0,2324438.0,831650.0,1492788.0,,
33.0,604.0,0.0,0.0,0.0,0.0,DISTRICT,Kancheepuram,Rural,361365.0,1459916.0,734979.0,724937.0,158626.0,80899.0,77727.0,550997.0,275720.0,275277.0,27057.0,13486.0,13571.0,988378.0,546994.0,441384.0,471538.0,187985.0,283553.0,678251.0,434328.0,243923.0,490908.0,341586.0,149322.0,66647.0,48930.0,17717.0,144527.0,80806.0,63721.0,14672.0,8751.0,5921.0,265062.0,203099.0,61963.0,187343.0,92742.0,94601.0,12427.0,7484.0,4943.0,100333.0,44642.0,55691.0,7578.0,2760.0,4818.0,67005.0,37856.0,29149.0,157530.0,79522.0,78008.0,10816.0,6557.0,4259.0,86077.0,39301.0,46776.0,5598.0,2123.0,3475.0,55039.0,31541.0,23498.0,29813.0,13220.0,16593.0,1611.0,927.0,684.0,14256.0,5341.0,8915.0,1980.0,637.0,1343.0,11966.0,6315.0,5651.0,781665.0,300651.0,481014.0,,
33.0,604.0,0.0,0.0,0.0,0.0,DISTRICT,Kancheepuram,Urban,644880.0,2538336.0,1277979.0,1260357.0,272948.0,139442.0,133506.0,397084.0,198544.0,198540.0,14153.0,7119.0,7034.0,2025004.0,1064467.0,960537.0,513332.0,213512.0,299820.0,995563.0,746980.0,248583.0,876470.0,675857.0,200613.0,8114.0,6082.0,2032.0,17967.0,11621.0,6346.0,26477.0,17228.0,9249.0,823912.0,640926.0,182986.0,119093.0,71123.0,47970.0,2155.0,1348.0,807.0,9687.0,5288.0,4399.0,6005.0,2461.0,3544.0,101246.0,62026.0,39220.0,103643.0,61480.0,42163.0,2048.0,1272.0,776.0,8647.0,4750.0,3897.0,4696.0,1879.0,2817.0,88252.0,53579.0,34673.0,15450.0,9643.0,5807.0,107.0,76.0,31.0,1040.0,538.0,502.0,1309.0,582.0,727.0,12994.0,8447.0,4547.0,1542773.0,530999.0,1011774.0,,
33.0,604.0,5702.0,0.0,0.0,0.0,SUB-DISTRICT,Sriperumbudur,Total,125938.0,510836.0,258881.0,251955.0,58036.0,29724.0,28312.0,143544.0,71809.0,71735.0,4130.0,2100.0,2030.0,379192.0,205236.0,173956.0,131644.0,53645.0,77999.0,210632.0,152709.0,57923.0,170566.0,130017.0,40549.0,6132.0,4955.0,1177.0,11733.0,7610.0,4123.0,4849.0,2893.0,1956.0,147852.0,114559.0,33293.0,40066.0,22692.0,17374.0,1974.0,1122.0,852.0,9942.0,4767.0,5175.0,1980.0,802.0,1178.0,26170.0,16001.0,10169.0,33812.0,19389.0,14423.0,1762.0,998.0,764.0,8844.0,4351.0,4493.0,1535.0,628.0,907.0,21671.0,13412.0,8259.0,6254.0,3303.0,2951.0,212.0,124.0,88.0,1098.0,416.0,682.0,445.0,174.0,271.0,4499.0,2589.0,1910.0,300204.0,106172.0,194032.0,,
33.0,604.0,5702.0,0.0,0.0,0.0,SUB-DISTRICT,Sriperumbudur,Rural,53243.0,220796.0,112103.0,108693.0,24330.0,12332.0,11998.0,81128.0,40464.0,40664.0,2662.0,1374.0,1288.0,154988.0,85975.0,69013.0,65808.0,26128.0,39680.0,95274.0,65385.0,29889.0,70029.0,52001.0,18028.0,5143.0,4171.0,972.0,9427.0,5945.0,3482.0,2463.0,1365.0,1098.0,52996.0,40520.0,12476.0,25245.0,13384.0,11861.0,1779.0,999.0,780.0,8852.0,4127.0,4725.0,1266.0,496.0,770.0,13348.0,7762.0,5586.0,21166.0,11479.0,9687.0,1577.0,883.0,694.0,7946.0,3809.0,4137.0,974.0,396.0,578.0,10669.0,6391.0,4278.0,4079.0,1905.0,2174.0,202.0,116.0,86.0,906.0,318.0,588.0,292.0,100.0,192.0,2679.0,1371.0,1308.0,125522.0,46718.0,78804.0,,
33.0,604.0,5702.0,0.0,0.0,0.0,SUB-DISTRICT,Sriperumbudur,Urban,72695.0,290040.0,146778.0,143262.0,33706.0,17392.0,16314.0,62416.0,31345.0,31071.0,1468.0,726.0,742.0,224204.0,119261.0,104943.0,65836.0,27517.0,38319.0,115358.0,87324.0,28034.0,100537.0,78016.0,22521.0,989.0,784.0,205.0,2306.0,1665.0,641.0,2386.0,1528.0,858.0,94856.0,74039.0,20817.0,14821.0,9308.0,5513.0,195.0,123.0,72.0,1090.0,640.0,450.0,714.0,306.0,408.0,12822.0,8239.0,4583.0,12646.0,7910.0,4736.0,185.0,115.0,70.0,898.0,542.0,356.0,561.0,232.0,329.0,11002.0,7021.0,3981.0,2175.0,1398.0,777.0,10.0,8.0,2.0,192.0,98.0,94.0,153.0,74.0,79.0,1820.0,1218.0,602.0,174682.0,59454.0,115228.0,,
33.0,604.0,5703.0,0.0,0.0,0.0,SUB-DISTRICT,Tambaram,Total,98067.0,383718.0,194083.0,189635.0,39732.0,20228.0,19504.0,54289.0,27117.0,27172.0,3523.0,1784.0,1739.0,316582.0,165468.0,151114.0,67136.0,28615.0,38521.0,149395.0,113787.0,35608.0,134662.0,104776.0,29886.0,1121.0,793.0,328.0,1100.0,712.0,388.0,1729.0,1079.0,650.0,130712.0,102192.0,28520.0,14733.0,9011.0,5722.0,306.0,150.0,156.0,413.0,259.0,154.0,625.0,263.0,362.0,13389.0,8339.0,5050.0,12399.0,7325.0,5074.0,280.0,133.0,147.0,360.0,233.0,127.0,447.0,181.0,266.0,11312.0,6778.0,4534.0,2334.0,1686.0,648.0,26.0,17.0,9.0,53.0,26.0,27.0,178.0,82.0,96.0,2077.0,1561.0,516.0,234323.0,80296.0,154027.0,,
33.0,604.0,5703.0,0.0,0.0,0.0,SUB-DISTRICT,Tambaram,Rural,6866.0,27396.0,13762.0,13634.0,3255.0,1645.0,1610.0,5408.0,2699.0,2709.0,699.0,347.0,352.0,21061.0,11085.0,9976.0,6335.0,2677.0,3658.0,10626.0,8074.0,2552.0,9627.0,7540.0,2087.0,393.0,279.0,114.0,312.0,179.0,133.0,196.0,139.0,57.0,8726.0,6943.0,1783.0,999.0,534.0,465.0,84.0,26.0,58.0,46.0,23.0,23.0,47.0,18.0,29.0,822.0,467.0,355.0,928.0,492.0,436.0,72.0,18.0,54.0,43.0,23.0,20.0,37.0,14.0,23.0,776.0,437.0,339.0,71.0,42.0,29.0,12.0,8.0,4.0,3.0,0.0,3.0,10.0,4.0,6.0,46.0,30.0,16.0,16770.0,5688.0,11082.0,,
33.0,604.0,5703.0,0.0,0.0,0.0,SUB-DISTRICT,Tambaram,Urban,91201.0,356322.0,180321.0,176001.0,36477.0,18583.0,17894.0,48881.0,24418.0,24463.0,2824.0,1437.0,1387.0,295521.0,154383.0,141138.0,60801.0,25938.0,34863.0,138769.0,105713.0,33056.0,125035.0,97236.0,27799.0,728.0,514.0,214.0,788.0,533.0,255.0,1533.0,940.0,593.0,121986.0,95249.0,26737.0,13734.0,8477.0,5257.0,222.0,124.0,98.0,367.0,236.0,131.0,578.0,245.0,333.0,12567.0,7872.0,4695.0,11471.0,6833.0,4638.0,208.0,115.0,93.0,317.0,210.0,107.0,410.0,167.0,243.0,10536.0,6341.0,4195.0,2263.0,1644.0,619.0,14.0,9.0,5.0,50.0,26.0,24.0,168.0,78.0,90.0,2031.0,1531.0,500.0,217553.0,74608.0,142945.0,,
33.0,604.0,5704.0,0.0,0.0,0.0,SUB-DISTRICT,Alandur ,Total,164765.0,642237.0,322086.0,320151.0,67032.0,34107.0,32925.0,106748.0,53207.0,53541.0,2266.0,1161.0,1105.0,529260.0,274012.0,255248.0,112977.0,48074.0,64903.0,248312.0,187076.0,61236.0,223353.0,172321.0,51032.0,881.0,601.0,280.0,1467.0,1018.0,449.0,2898.0,1831.0,1067.0,218107.0,168871.0,49236.0,24959.0,14755.0,10204.0,425.0,217.0,208.0,397.0,244.0,153.0,1043.0,463.0,580.0,23094.0,13831.0,9263.0,22142.0,12989.0,9153.0,414.0,209.0,205.0,316.0,187.0,129.0,855.0,375.0,480.0,20557.0,12218.0,8339.0,2817.0,1766.0,1051.0,11.0,8.0,3.0,81.0,57.0,24.0,188.0,88.0,100.0,2537.0,1613.0,924.0,393925.0,135010.0,258915.0,,
33.0,604.0,5704.0,0.0,0.0,0.0,SUB-DISTRICT,Alandur ,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
