State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,613.0,0.0,0.0,0.0,0.0,DISTRICT,Karur ,Total,287095.0,1064493.0,528184.0,536309.0,102731.0,52969.0,49762.0,221385.0,108809.0,112576.0,575.0,297.0,278.0,727044.0,401726.0,325318.0,337449.0,126458.0,210991.0,543298.0,329034.0,214264.0,508507.0,313811.0,194696.0,83800.0,51777.0,32023.0,182639.0,86199.0,96440.0,10162.0,5155.0,5007.0,231906.0,170680.0,61226.0,34791.0,15223.0,19568.0,2072.0,1117.0,955.0,18198.0,6365.0,11833.0,1178.0,350.0,828.0,13343.0,7391.0,5952.0,29722.0,12962.0,16760.0,1900.0,1037.0,863.0,16076.0,5633.0,10443.0,898.0,274.0,624.0,10848.0,6018.0,4830.0,5069.0,2261.0,2808.0,172.0,80.0,92.0,2122.0,732.0,1390.0,280.0,76.0,204.0,2495.0,1373.0,1122.0,521195.0,199150.0,322045.0,,
33.0,613.0,0.0,0.0,0.0,0.0,DISTRICT,Karur ,Rural,168396.0,629976.0,312628.0,317348.0,61264.0,31442.0,29822.0,152799.0,75149.0,77650.0,191.0,101.0,90.0,394134.0,224431.0,169703.0,235842.0,88197.0,147645.0,352276.0,198005.0,154271.0,327687.0,187801.0,139886.0,74343.0,45402.0,28941.0,156261.0,72974.0,83287.0,5504.0,2896.0,2608.0,91579.0,66529.0,25050.0,24589.0,10204.0,14385.0,1832.0,1035.0,797.0,16066.0,5614.0,10452.0,608.0,196.0,412.0,6083.0,3359.0,2724.0,21570.0,9038.0,12532.0,1678.0,960.0,718.0,14167.0,4957.0,9210.0,471.0,150.0,321.0,5254.0,2971.0,2283.0,3019.0,1166.0,1853.0,154.0,75.0,79.0,1899.0,657.0,1242.0,137.0,46.0,91.0,829.0,388.0,441.0,277700.0,114623.0,163077.0,,
33.0,613.0,0.0,0.0,0.0,0.0,DISTRICT,Karur ,Urban,118699.0,434517.0,215556.0,218961.0,41467.0,21527.0,19940.0,68586.0,33660.0,34926.0,384.0,196.0,188.0,332910.0,177295.0,155615.0,101607.0,38261.0,63346.0,191022.0,131029.0,59993.0,180820.0,126010.0,54810.0,9457.0,6375.0,3082.0,26378.0,13225.0,13153.0,4658.0,2259.0,2399.0,140327.0,104151.0,36176.0,10202.0,5019.0,5183.0,240.0,82.0,158.0,2132.0,751.0,1381.0,570.0,154.0,416.0,7260.0,4032.0,3228.0,8152.0,3924.0,4228.0,222.0,77.0,145.0,1909.0,676.0,1233.0,427.0,124.0,303.0,5594.0,3047.0,2547.0,2050.0,1095.0,955.0,18.0,5.0,13.0,223.0,75.0,148.0,143.0,30.0,113.0,1666.0,985.0,681.0,243495.0,84527.0,158968.0,,
33.0,613.0,5768.0,0.0,0.0,0.0,SUB-DISTRICT,Aravakurichi,Total,53489.0,183321.0,90669.0,92652.0,15090.0,7800.0,7290.0,40129.0,19991.0,20138.0,35.0,19.0,16.0,125033.0,69821.0,55212.0,58288.0,20848.0,37440.0,98300.0,59914.0,38386.0,91366.0,56702.0,34664.0,22770.0,13413.0,9357.0,31009.0,14780.0,16229.0,1642.0,856.0,786.0,35945.0,27653.0,8292.0,6934.0,3212.0,3722.0,463.0,229.0,234.0,3808.0,1595.0,2213.0,236.0,73.0,163.0,2427.0,1315.0,1112.0,5668.0,2596.0,3072.0,415.0,208.0,207.0,3160.0,1329.0,1831.0,179.0,52.0,127.0,1914.0,1007.0,907.0,1266.0,616.0,650.0,48.0,21.0,27.0,648.0,266.0,382.0,57.0,21.0,36.0,513.0,308.0,205.0,85021.0,30755.0,54266.0,,
33.0,613.0,5768.0,0.0,0.0,0.0,SUB-DISTRICT,Aravakurichi,Rural,42501.0,140285.0,69514.0,70771.0,10509.0,5448.0,5061.0,37546.0,18722.0,18824.0,30.0,17.0,13.0,90738.0,52041.0,38697.0,49547.0,17473.0,32074.0,83065.0,47350.0,35715.0,77322.0,44787.0,32535.0,22387.0,13160.0,9227.0,30319.0,14399.0,15920.0,1474.0,797.0,677.0,23142.0,16431.0,6711.0,5743.0,2563.0,3180.0,445.0,222.0,223.0,3565.0,1492.0,2073.0,184.0,59.0,125.0,1549.0,790.0,759.0,4764.0,2145.0,2619.0,397.0,201.0,196.0,2922.0,1228.0,1694.0,139.0,42.0,97.0,1306.0,674.0,632.0,979.0,418.0,561.0,48.0,21.0,27.0,643.0,264.0,379.0,45.0,17.0,28.0,243.0,116.0,127.0,57220.0,22164.0,35056.0,,
33.0,613.0,5768.0,0.0,0.0,0.0,SUB-DISTRICT,Aravakurichi,Urban,10988.0,43036.0,21155.0,21881.0,4581.0,2352.0,2229.0,2583.0,1269.0,1314.0,5.0,2.0,3.0,34295.0,17780.0,16515.0,8741.0,3375.0,5366.0,15235.0,12564.0,2671.0,14044.0,11915.0,2129.0,383.0,253.0,130.0,690.0,381.0,309.0,168.0,59.0,109.0,12803.0,11222.0,1581.0,1191.0,649.0,542.0,18.0,7.0,11.0,243.0,103.0,140.0,52.0,14.0,38.0,878.0,525.0,353.0,904.0,451.0,453.0,18.0,7.0,11.0,238.0,101.0,137.0,40.0,10.0,30.0,608.0,333.0,275.0,287.0,198.0,89.0,0.0,0.0,0.0,5.0,2.0,3.0,12.0,4.0,8.0,270.0,192.0,78.0,27801.0,8591.0,19210.0,,
33.0,613.0,5769.0,0.0,0.0,0.0,SUB-DISTRICT,Karur,Total,125412.0,445389.0,221278.0,224111.0,40514.0,21089.0,19425.0,81915.0,40295.0,41620.0,291.0,152.0,139.0,329019.0,178770.0,150249.0,116370.0,42508.0,73862.0,212779.0,137468.0,75311.0,201694.0,132216.0,69478.0,18817.0,11453.0,7364.0,36836.0,16739.0,20097.0,5221.0,2460.0,2761.0,140820.0,101564.0,39256.0,11085.0,5252.0,5833.0,372.0,160.0,212.0,2771.0,921.0,1850.0,606.0,165.0,441.0,7336.0,4006.0,3330.0,9143.0,4290.0,4853.0,340.0,146.0,194.0,2497.0,839.0,1658.0,442.0,126.0,316.0,5864.0,3179.0,2685.0,1942.0,962.0,980.0,32.0,14.0,18.0,274.0,82.0,192.0,164.0,39.0,125.0,1472.0,827.0,645.0,232610.0,83810.0,148800.0,,
33.0,613.0,5769.0,0.0,0.0,0.0,SUB-DISTRICT,Karur,Rural,37364.0,128648.0,63711.0,64937.0,10853.0,5643.0,5210.0,32821.0,16077.0,16744.0,42.0,24.0,18.0,83979.0,48084.0,35895.0,44669.0,15627.0,29042.0,71692.0,41049.0,30643.0,68308.0,39548.0,28760.0,13421.0,7992.0,5429.0,26860.0,11969.0,14891.0,1507.0,744.0,763.0,26520.0,18843.0,7677.0,3384.0,1501.0,1883.0,233.0,106.0,127.0,1533.0,511.0,1022.0,135.0,42.0,93.0,1483.0,842.0,641.0,3047.0,1373.0,1674.0,216.0,97.0,119.0,1414.0,486.0,928.0,96.0,27.0,69.0,1321.0,763.0,558.0,337.0,128.0,209.0,17.0,9.0,8.0,119.0,25.0,94.0,39.0,15.0,24.0,162.0,79.0,83.0,56956.0,22662.0,34294.0,,
33.0,613.0,5769.0,0.0,0.0,0.0,SUB-DISTRICT,Karur,Urban,88048.0,316741.0,157567.0,159174.0,29661.0,15446.0,14215.0,49094.0,24218.0,24876.0,249.0,128.0,121.0,245040.0,130686.0,114354.0,71701.0,26881.0,44820.0,141087.0,96419.0,44668.0,133386.0,92668.0,40718.0,5396.0,3461.0,1935.0,9976.0,4770.0,5206.0,3714.0,1716.0,1998.0,114300.0,82721.0,31579.0,7701.0,3751.0,3950.0,139.0,54.0,85.0,1238.0,410.0,828.0,471.0,123.0,348.0,5853.0,3164.0,2689.0,6096.0,2917.0,3179.0,124.0,49.0,75.0,1083.0,353.0,730.0,346.0,99.0,247.0,4543.0,2416.0,2127.0,1605.0,834.0,771.0,15.0,5.0,10.0,155.0,57.0,98.0,125.0,24.0,101.0,1310.0,748.0,562.0,175654.0,61148.0,114506.0,,
33.0,613.0,5770.0,0.0,0.0,0.0,SUB-DISTRICT,Krishnarayapuram,Total,31279.0,119213.0,59415.0,59798.0,12603.0,6469.0,6134.0,30533.0,14946.0,15587.0,64.0,31.0,33.0,75548.0,42757.0,32791.0,43665.0,16658.0,27007.0,63307.0,36538.0,26769.0,60286.0,35219.0,25067.0,9944.0,6449.0,3495.0,33307.0,16167.0,17140.0,901.0,541.0,360.0,16134.0,12062.0,4072.0,3021.0,1319.0,1702.0,330.0,156.0,174.0,1834.0,704.0,1130.0,67.0,21.0,46.0,790.0,438.0,352.0,2707.0,1210.0,1497.0,322.0,153.0,169.0,1638.0,653.0,985.0,57.0,19.0,38.0,690.0,385.0,305.0,314.0,109.0,205.0,8.0,3.0,5.0,196.0,51.0,145.0,10.0,2.0,8.0,100.0,53.0,47.0,55906.0,22877.0,33029.0,,
