State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,614.0,0.0,0.0,0.0,0.0,DISTRICT,Tiruchirappalli,Total,698404.0,2722290.0,1352284.0,1370006.0,272456.0,139946.0,132510.0,466561.0,230790.0,235771.0,18198.0,9414.0,8784.0,2038981.0,1087765.0,951216.0,683309.0,264519.0,418790.0,1213979.0,789206.0,424773.0,1082329.0,724111.0,358218.0,161657.0,100046.0,61611.0,319720.0,154780.0,164940.0,25174.0,12632.0,12542.0,575778.0,456653.0,119125.0,131650.0,65095.0,66555.0,9012.0,4849.0,4163.0,59062.0,22809.0,36253.0,5212.0,1709.0,3503.0,58364.0,35728.0,22636.0,113318.0,56979.0,56339.0,7794.0,4309.0,3485.0,50834.0,20110.0,30724.0,3828.0,1283.0,2545.0,50862.0,31277.0,19585.0,18332.0,8116.0,10216.0,1218.0,540.0,678.0,8228.0,2699.0,5529.0,1384.0,426.0,958.0,7502.0,4451.0,3051.0,1508311.0,563078.0,945233.0,,
33.0,614.0,0.0,0.0,0.0,0.0,DISTRICT,Tiruchirappalli,Rural,357244.0,1384257.0,688552.0,695705.0,145260.0,74986.0,70274.0,287702.0,141797.0,145905.0,13784.0,7171.0,6613.0,950242.0,524233.0,426009.0,434015.0,164319.0,269696.0,718141.0,413096.0,305045.0,632679.0,375301.0,257378.0,151689.0,92441.0,59248.0,285888.0,136550.0,149338.0,13978.0,7193.0,6785.0,181124.0,139117.0,42007.0,85462.0,37795.0,47667.0,7985.0,4215.0,3770.0,52672.0,19820.0,32852.0,2789.0,992.0,1797.0,22016.0,12768.0,9248.0,73425.0,33021.0,40404.0,6856.0,3721.0,3135.0,45536.0,17480.0,28056.0,1967.0,718.0,1249.0,19066.0,11102.0,7964.0,12037.0,4774.0,7263.0,1129.0,494.0,635.0,7136.0,2340.0,4796.0,822.0,274.0,548.0,2950.0,1666.0,1284.0,666116.0,275456.0,390660.0,,
33.0,614.0,0.0,0.0,0.0,0.0,DISTRICT,Tiruchirappalli,Urban,341160.0,1338033.0,663732.0,674301.0,127196.0,64960.0,62236.0,178859.0,88993.0,89866.0,4414.0,2243.0,2171.0,1088739.0,563532.0,525207.0,249294.0,100200.0,149094.0,495838.0,376110.0,119728.0,449650.0,348810.0,100840.0,9968.0,7605.0,2363.0,33832.0,18230.0,15602.0,11196.0,5439.0,5757.0,394654.0,317536.0,77118.0,46188.0,27300.0,18888.0,1027.0,634.0,393.0,6390.0,2989.0,3401.0,2423.0,717.0,1706.0,36348.0,22960.0,13388.0,39893.0,23958.0,15935.0,938.0,588.0,350.0,5298.0,2630.0,2668.0,1861.0,565.0,1296.0,31796.0,20175.0,11621.0,6295.0,3342.0,2953.0,89.0,46.0,43.0,1092.0,359.0,733.0,562.0,152.0,410.0,4552.0,2785.0,1767.0,842195.0,287622.0,554573.0,,
33.0,614.0,5773.0,0.0,0.0,0.0,SUB-DISTRICT,Thottiyam,Total,36936.0,135120.0,67266.0,67854.0,13675.0,7090.0,6585.0,30062.0,14830.0,15232.0,13.0,7.0,6.0,90880.0,50562.0,40318.0,44240.0,16704.0,27536.0,70624.0,41239.0,29385.0,65545.0,39001.0,26544.0,9382.0,6093.0,3289.0,37576.0,19455.0,18121.0,3857.0,1931.0,1926.0,14730.0,11522.0,3208.0,5079.0,2238.0,2841.0,401.0,214.0,187.0,3158.0,1159.0,1999.0,399.0,173.0,226.0,1121.0,692.0,429.0,4370.0,1938.0,2432.0,362.0,200.0,162.0,2856.0,1086.0,1770.0,163.0,55.0,108.0,989.0,597.0,392.0,709.0,300.0,409.0,39.0,14.0,25.0,302.0,73.0,229.0,236.0,118.0,118.0,132.0,95.0,37.0,64496.0,26027.0,38469.0,,
33.0,614.0,5773.0,0.0,0.0,0.0,SUB-DISTRICT,Thottiyam,Rural,29934.0,109278.0,54483.0,54795.0,11282.0,5851.0,5431.0,22226.0,10941.0,11285.0,10.0,4.0,6.0,71429.0,40087.0,31342.0,37849.0,14396.0,23453.0,58685.0,33571.0,25114.0,54574.0,31792.0,22782.0,8626.0,5437.0,3189.0,31460.0,16007.0,15453.0,3667.0,1849.0,1818.0,10821.0,8499.0,2322.0,4111.0,1779.0,2332.0,343.0,185.0,158.0,2513.0,889.0,1624.0,383.0,166.0,217.0,872.0,539.0,333.0,3579.0,1531.0,2048.0,319.0,174.0,145.0,2343.0,846.0,1497.0,151.0,49.0,102.0,766.0,462.0,304.0,532.0,248.0,284.0,24.0,11.0,13.0,170.0,43.0,127.0,232.0,117.0,115.0,106.0,77.0,29.0,50593.0,20912.0,29681.0,,
33.0,614.0,5773.0,0.0,0.0,0.0,SUB-DISTRICT,Thottiyam,Urban,7002.0,25842.0,12783.0,13059.0,2393.0,1239.0,1154.0,7836.0,3889.0,3947.0,3.0,3.0,0.0,19451.0,10475.0,8976.0,6391.0,2308.0,4083.0,11939.0,7668.0,4271.0,10971.0,7209.0,3762.0,756.0,656.0,100.0,6116.0,3448.0,2668.0,190.0,82.0,108.0,3909.0,3023.0,886.0,968.0,459.0,509.0,58.0,29.0,29.0,645.0,270.0,375.0,16.0,7.0,9.0,249.0,153.0,96.0,791.0,407.0,384.0,43.0,26.0,17.0,513.0,240.0,273.0,12.0,6.0,6.0,223.0,135.0,88.0,177.0,52.0,125.0,15.0,3.0,12.0,132.0,30.0,102.0,4.0,1.0,3.0,26.0,18.0,8.0,13903.0,5115.0,8788.0,,
33.0,614.0,5774.0,0.0,0.0,0.0,SUB-DISTRICT,Musiri,Total,63161.0,231655.0,115774.0,115881.0,23800.0,12327.0,11473.0,46739.0,23038.0,23701.0,164.0,98.0,66.0,159152.0,88075.0,71077.0,72503.0,27699.0,44804.0,122718.0,70921.0,51797.0,108597.0,65049.0,43548.0,24847.0,15234.0,9613.0,48323.0,23032.0,25291.0,2376.0,1226.0,1150.0,33051.0,25557.0,7494.0,14121.0,5872.0,8249.0,1457.0,642.0,815.0,8150.0,2742.0,5408.0,841.0,284.0,557.0,3673.0,2204.0,1469.0,12074.0,5184.0,6890.0,1235.0,593.0,642.0,6945.0,2424.0,4521.0,711.0,235.0,476.0,3183.0,1932.0,1251.0,2047.0,688.0,1359.0,222.0,49.0,173.0,1205.0,318.0,887.0,130.0,49.0,81.0,490.0,272.0,218.0,108937.0,44853.0,64084.0,,
33.0,614.0,5774.0,0.0,0.0,0.0,SUB-DISTRICT,Musiri,Rural,49722.0,182267.0,91335.0,90932.0,19206.0,9994.0,9212.0,38395.0,18922.0,19473.0,156.0,95.0,61.0,121511.0,68045.0,53466.0,60756.0,23290.0,37466.0,101740.0,56770.0,44970.0,89787.0,52067.0,37720.0,23996.0,14613.0,9383.0,43496.0,20556.0,22940.0,1630.0,829.0,801.0,20665.0,16069.0,4596.0,11953.0,4703.0,7250.0,1406.0,613.0,793.0,7686.0,2538.0,5148.0,401.0,144.0,257.0,2460.0,1408.0,1052.0,10278.0,4199.0,6079.0,1188.0,567.0,621.0,6553.0,2236.0,4317.0,342.0,127.0,215.0,2195.0,1269.0,926.0,1675.0,504.0,1171.0,218.0,46.0,172.0,1133.0,302.0,831.0,59.0,17.0,42.0,265.0,139.0,126.0,80527.0,34565.0,45962.0,,
33.0,614.0,5774.0,0.0,0.0,0.0,SUB-DISTRICT,Musiri,Urban,13439.0,49388.0,24439.0,24949.0,4594.0,2333.0,2261.0,8344.0,4116.0,4228.0,8.0,3.0,5.0,37641.0,20030.0,17611.0,11747.0,4409.0,7338.0,20978.0,14151.0,6827.0,18810.0,12982.0,5828.0,851.0,621.0,230.0,4827.0,2476.0,2351.0,746.0,397.0,349.0,12386.0,9488.0,2898.0,2168.0,1169.0,999.0,51.0,29.0,22.0,464.0,204.0,260.0,440.0,140.0,300.0,1213.0,796.0,417.0,1796.0,985.0,811.0,47.0,26.0,21.0,392.0,188.0,204.0,369.0,108.0,261.0,988.0,663.0,325.0,372.0,184.0,188.0,4.0,3.0,1.0,72.0,16.0,56.0,71.0,32.0,39.0,225.0,133.0,92.0,28410.0,10288.0,18122.0,,
33.0,614.0,5775.0,0.0,0.0,0.0,SUB-DISTRICT,Thuraiyur,Total,69677.0,249327.0,123290.0,126037.0,24076.0,12491.0,11585.0,54984.0,26960.0,28024.0,12778.0,6601.0,6177.0,175478.0,94905.0,80573.0,73849.0,28385.0,45464.0,130547.0,74244.0,56303.0,119761.0,69630.0,50131.0,33158.0,18891.0,14267.0,49811.0,22234.0,27577.0,1817.0,979.0,838.0,34975.0,27526.0,7449.0,10786.0,4614.0,6172.0,1353.0,680.0,673.0,6385.0,2102.0,4283.0,304.0,111.0,193.0,2744.0,1721.0,1023.0,9028.0,3877.0,5151.0,1193.0,599.0,594.0,5331.0,1745.0,3586.0,219.0,78.0,141.0,2285.0,1455.0,830.0,1758.0,737.0,1021.0,160.0,81.0,79.0,1054.0,357.0,697.0,85.0,33.0,52.0,459.0,266.0,193.0,118780.0,49046.0,69734.0,,
