State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,633.0,0.0,0.0,0.0,0.0,DISTRICT,Tiruppur,Total,712210.0,2479052.0,1246159.0,1232893.0,241351.0,123612.0,117739.0,395876.0,196907.0,198969.0,5458.0,2740.0,2718.0,1760566.0,959623.0,800943.0,718486.0,286536.0,431950.0,1266137.0,819783.0,446354.0,1168596.0,772253.0,396343.0,130331.0,79024.0,51307.0,216945.0,107791.0,109154.0,36139.0,20250.0,15889.0,785181.0,565188.0,219993.0,97541.0,47530.0,50011.0,5486.0,2632.0,2854.0,29388.0,12277.0,17111.0,4849.0,1338.0,3511.0,57818.0,31283.0,26535.0,85052.0,42057.0,42995.0,5061.0,2489.0,2572.0,26144.0,11057.0,15087.0,3805.0,1100.0,2705.0,50042.0,27411.0,22631.0,12489.0,5473.0,7016.0,425.0,143.0,282.0,3244.0,1220.0,2024.0,1044.0,238.0,806.0,7776.0,3872.0,3904.0,1212915.0,426376.0,786539.0,,
33.0,633.0,0.0,0.0,0.0,0.0,DISTRICT,Tiruppur,Rural,283187.0,957941.0,479309.0,478632.0,79787.0,40947.0,38840.0,237893.0,118360.0,119533.0,2650.0,1318.0,1332.0,611317.0,343434.0,267883.0,346624.0,135875.0,210749.0,548558.0,322746.0,225812.0,500054.0,300944.0,199110.0,112462.0,67757.0,44705.0,175748.0,86374.0,89374.0,18219.0,10215.0,8004.0,193625.0,136598.0,57027.0,48504.0,21802.0,26702.0,4414.0,2050.0,2364.0,23282.0,9545.0,13737.0,2327.0,669.0,1658.0,18481.0,9538.0,8943.0,42826.0,19702.0,23124.0,4028.0,1925.0,2103.0,20797.0,8653.0,12144.0,1840.0,545.0,1295.0,16161.0,8579.0,7582.0,5678.0,2100.0,3578.0,386.0,125.0,261.0,2485.0,892.0,1593.0,487.0,124.0,363.0,2320.0,959.0,1361.0,409383.0,156563.0,252820.0,,
33.0,633.0,0.0,0.0,0.0,0.0,DISTRICT,Tiruppur,Urban,429023.0,1521111.0,766850.0,754261.0,161564.0,82665.0,78899.0,157983.0,78547.0,79436.0,2808.0,1422.0,1386.0,1149249.0,616189.0,533060.0,371862.0,150661.0,221201.0,717579.0,497037.0,220542.0,668542.0,471309.0,197233.0,17869.0,11267.0,6602.0,41197.0,21417.0,19780.0,17920.0,10035.0,7885.0,591556.0,428590.0,162966.0,49037.0,25728.0,23309.0,1072.0,582.0,490.0,6106.0,2732.0,3374.0,2522.0,669.0,1853.0,39337.0,21745.0,17592.0,42226.0,22355.0,19871.0,1033.0,564.0,469.0,5347.0,2404.0,2943.0,1965.0,555.0,1410.0,33881.0,18832.0,15049.0,6811.0,3373.0,3438.0,39.0,18.0,21.0,759.0,328.0,431.0,557.0,114.0,443.0,5456.0,2913.0,2543.0,803532.0,269813.0,533719.0,,
33.0,633.0,5901.0,0.0,0.0,0.0,SUB-DISTRICT,Kangeyam,Total,64069.0,209385.0,104751.0,104634.0,16257.0,8482.0,7775.0,41090.0,20527.0,20563.0,111.0,54.0,57.0,141891.0,78955.0,62936.0,67494.0,25796.0,41698.0,121062.0,71540.0,49522.0,109977.0,66643.0,43334.0,20988.0,12227.0,8761.0,28484.0,14135.0,14349.0,5316.0,2808.0,2508.0,55189.0,37473.0,17716.0,11085.0,4897.0,6188.0,1051.0,490.0,561.0,3337.0,1313.0,2024.0,828.0,223.0,605.0,5869.0,2871.0,2998.0,9974.0,4519.0,5455.0,920.0,444.0,476.0,3089.0,1240.0,1849.0,653.0,181.0,472.0,5312.0,2654.0,2658.0,1111.0,378.0,733.0,131.0,46.0,85.0,248.0,73.0,175.0,175.0,42.0,133.0,557.0,217.0,340.0,88323.0,33211.0,55112.0,,
33.0,633.0,5901.0,0.0,0.0,0.0,SUB-DISTRICT,Kangeyam,Rural,38515.0,123667.0,61824.0,61843.0,9005.0,4679.0,4326.0,27643.0,13800.0,13843.0,63.0,33.0,30.0,78280.0,44542.0,33738.0,45387.0,17282.0,28105.0,75806.0,43063.0,32743.0,68332.0,39740.0,28592.0,19017.0,10995.0,8022.0,22801.0,11189.0,11612.0,2558.0,1262.0,1296.0,23956.0,16294.0,7662.0,7474.0,3323.0,4151.0,947.0,443.0,504.0,2901.0,1165.0,1736.0,499.0,133.0,366.0,3127.0,1582.0,1545.0,6793.0,3083.0,3710.0,827.0,403.0,424.0,2684.0,1097.0,1587.0,407.0,109.0,298.0,2875.0,1474.0,1401.0,681.0,240.0,441.0,120.0,40.0,80.0,217.0,68.0,149.0,92.0,24.0,68.0,252.0,108.0,144.0,47861.0,18761.0,29100.0,,
33.0,633.0,5901.0,0.0,0.0,0.0,SUB-DISTRICT,Kangeyam,Urban,25554.0,85718.0,42927.0,42791.0,7252.0,3803.0,3449.0,13447.0,6727.0,6720.0,48.0,21.0,27.0,63611.0,34413.0,29198.0,22107.0,8514.0,13593.0,45256.0,28477.0,16779.0,41645.0,26903.0,14742.0,1971.0,1232.0,739.0,5683.0,2946.0,2737.0,2758.0,1546.0,1212.0,31233.0,21179.0,10054.0,3611.0,1574.0,2037.0,104.0,47.0,57.0,436.0,148.0,288.0,329.0,90.0,239.0,2742.0,1289.0,1453.0,3181.0,1436.0,1745.0,93.0,41.0,52.0,405.0,143.0,262.0,246.0,72.0,174.0,2437.0,1180.0,1257.0,430.0,138.0,292.0,11.0,6.0,5.0,31.0,5.0,26.0,83.0,18.0,65.0,305.0,109.0,196.0,40462.0,14450.0,26012.0,,
33.0,633.0,5902.0,0.0,0.0,0.0,SUB-DISTRICT,Dharapuram,Total,86520.0,282752.0,140576.0,142176.0,21502.0,11099.0,10403.0,73742.0,36728.0,37014.0,78.0,40.0,38.0,186369.0,104194.0,82175.0,96383.0,36382.0,60001.0,165003.0,95484.0,69519.0,147473.0,86822.0,60651.0,43511.0,25088.0,18423.0,52705.0,25616.0,27089.0,3799.0,1968.0,1831.0,47458.0,34150.0,13308.0,17530.0,8662.0,8868.0,1487.0,707.0,780.0,8721.0,3885.0,4836.0,739.0,247.0,492.0,6583.0,3823.0,2760.0,15588.0,7772.0,7816.0,1433.0,687.0,746.0,7773.0,3524.0,4249.0,592.0,207.0,385.0,5790.0,3354.0,2436.0,1942.0,890.0,1052.0,54.0,20.0,34.0,948.0,361.0,587.0,147.0,40.0,107.0,793.0,469.0,324.0,117749.0,45092.0,72657.0,,
33.0,633.0,5902.0,0.0,0.0,0.0,SUB-DISTRICT,Dharapuram,Rural,53660.0,170965.0,85519.0,85446.0,12350.0,6400.0,5950.0,47638.0,23814.0,23824.0,13.0,5.0,8.0,105253.0,60664.0,44589.0,65712.0,24855.0,40857.0,108416.0,59910.0,48506.0,97652.0,55019.0,42633.0,35932.0,20695.0,15237.0,39472.0,19139.0,20333.0,2524.0,1324.0,1200.0,19724.0,13861.0,5863.0,10764.0,4891.0,5873.0,1261.0,579.0,682.0,6091.0,2610.0,3481.0,437.0,122.0,315.0,2975.0,1580.0,1395.0,9701.0,4477.0,5224.0,1212.0,561.0,651.0,5462.0,2379.0,3083.0,353.0,100.0,253.0,2674.0,1437.0,1237.0,1063.0,414.0,649.0,49.0,18.0,31.0,629.0,231.0,398.0,84.0,22.0,62.0,301.0,143.0,158.0,62549.0,25609.0,36940.0,,
33.0,633.0,5902.0,0.0,0.0,0.0,SUB-DISTRICT,Dharapuram,Urban,32860.0,111787.0,55057.0,56730.0,9152.0,4699.0,4453.0,26104.0,12914.0,13190.0,65.0,35.0,30.0,81116.0,43530.0,37586.0,30671.0,11527.0,19144.0,56587.0,35574.0,21013.0,49821.0,31803.0,18018.0,7579.0,4393.0,3186.0,13233.0,6477.0,6756.0,1275.0,644.0,631.0,27734.0,20289.0,7445.0,6766.0,3771.0,2995.0,226.0,128.0,98.0,2630.0,1275.0,1355.0,302.0,125.0,177.0,3608.0,2243.0,1365.0,5887.0,3295.0,2592.0,221.0,126.0,95.0,2311.0,1145.0,1166.0,239.0,107.0,132.0,3116.0,1917.0,1199.0,879.0,476.0,403.0,5.0,2.0,3.0,319.0,130.0,189.0,63.0,18.0,45.0,492.0,326.0,166.0,55200.0,19483.0,35717.0,,
33.0,633.0,5903.0,0.0,0.0,0.0,SUB-DISTRICT,Avanashi,Total,96346.0,340899.0,169340.0,171559.0,33103.0,16925.0,16178.0,68346.0,33634.0,34712.0,342.0,164.0,178.0,228191.0,124703.0,103488.0,112708.0,44637.0,68071.0,178988.0,112258.0,66730.0,163612.0,105579.0,58033.0,19542.0,12274.0,7268.0,28217.0,13838.0,14379.0,6504.0,3808.0,2696.0,109349.0,75659.0,33690.0,15376.0,6679.0,8697.0,944.0,399.0,545.0,3530.0,1339.0,2191.0,1086.0,259.0,827.0,9816.0,4682.0,5134.0,12862.0,5796.0,7066.0,811.0,369.0,442.0,2990.0,1162.0,1828.0,781.0,190.0,591.0,8280.0,4075.0,4205.0,2514.0,883.0,1631.0,133.0,30.0,103.0,540.0,177.0,363.0,305.0,69.0,236.0,1536.0,607.0,929.0,161911.0,57082.0,104829.0,,
