State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,607.0,0.0,0.0,0.0,0.0,DISTRICT,Viluppuram,Total,800368.0,3458873.0,1740819.0,1718054.0,404106.0,208246.0,195860.0,1015716.0,510869.0,504847.0,74859.0,37570.0,37289.0,2195776.0,1234479.0,961297.0,1263097.0,506340.0,756757.0,1703249.0,1017383.0,685866.0,1260802.0,806396.0,454406.0,322900.0,217338.0,105562.0,537581.0,278731.0,258850.0,23961.0,13609.0,10352.0,376360.0,296718.0,79642.0,442447.0,210987.0,231460.0,46746.0,26577.0,20169.0,294632.0,125524.0,169108.0,14276.0,5479.0,8797.0,86793.0,53407.0,33386.0,376624.0,182509.0,194115.0,41496.0,23790.0,17706.0,250426.0,108071.0,142355.0,10497.0,4195.0,6302.0,74205.0,46453.0,27752.0,65823.0,28478.0,37345.0,5250.0,2787.0,2463.0,44206.0,17453.0,26753.0,3779.0,1284.0,2495.0,12588.0,6954.0,5634.0,1755624.0,723436.0,1032188.0,,
33.0,607.0,0.0,0.0,0.0,0.0,DISTRICT,Viluppuram,Rural,678847.0,2939785.0,1481475.0,1458310.0,347396.0,179154.0,168242.0,924896.0,465644.0,459252.0,71370.0,35789.0,35581.0,1803943.0,1025617.0,778326.0,1135842.0,455858.0,679984.0,1512953.0,874316.0,638637.0,1105108.0,684347.0,420761.0,315697.0,211762.0,103935.0,521528.0,269116.0,252412.0,19712.0,11044.0,8668.0,248171.0,192425.0,55746.0,407845.0,189969.0,217876.0,45940.0,26042.0,19898.0,285051.0,120691.0,164360.0,12055.0,4643.0,7412.0,64799.0,38593.0,26206.0,348918.0,165218.0,183700.0,40757.0,23300.0,17457.0,243686.0,104405.0,139281.0,8921.0,3624.0,5297.0,55554.0,33889.0,21665.0,58927.0,24751.0,34176.0,5183.0,2742.0,2441.0,41365.0,16286.0,25079.0,3134.0,1019.0,2115.0,9245.0,4704.0,4541.0,1426832.0,607159.0,819673.0,,
33.0,607.0,0.0,0.0,0.0,0.0,DISTRICT,Viluppuram,Urban,121521.0,519088.0,259344.0,259744.0,56710.0,29092.0,27618.0,90820.0,45225.0,45595.0,3489.0,1781.0,1708.0,391833.0,208862.0,182971.0,127255.0,50482.0,76773.0,190296.0,143067.0,47229.0,155694.0,122049.0,33645.0,7203.0,5576.0,1627.0,16053.0,9615.0,6438.0,4249.0,2565.0,1684.0,128189.0,104293.0,23896.0,34602.0,21018.0,13584.0,806.0,535.0,271.0,9581.0,4833.0,4748.0,2221.0,836.0,1385.0,21994.0,14814.0,7180.0,27706.0,17291.0,10415.0,739.0,490.0,249.0,6740.0,3666.0,3074.0,1576.0,571.0,1005.0,18651.0,12564.0,6087.0,6896.0,3727.0,3169.0,67.0,45.0,22.0,2841.0,1167.0,1674.0,645.0,265.0,380.0,3343.0,2250.0,1093.0,328792.0,116277.0,212515.0,,
33.0,607.0,5728.0,0.0,0.0,0.0,SUB-DISTRICT,Gingee,Total,100430.0,423942.0,213509.0,210433.0,44361.0,22939.0,21422.0,94919.0,48118.0,46801.0,8468.0,4226.0,4242.0,274926.0,154727.0,120199.0,149016.0,58782.0,90234.0,232250.0,130207.0,102043.0,159805.0,94154.0,65651.0,64257.0,39347.0,24910.0,57585.0,27098.0,30487.0,3504.0,1639.0,1865.0,34459.0,26070.0,8389.0,72445.0,36053.0,36392.0,13945.0,8089.0,5856.0,44364.0,19280.0,25084.0,2349.0,963.0,1386.0,11787.0,7721.0,4066.0,56943.0,28531.0,28412.0,11317.0,6716.0,4601.0,33666.0,14360.0,19306.0,1622.0,694.0,928.0,10338.0,6761.0,3577.0,15502.0,7522.0,7980.0,2628.0,1373.0,1255.0,10698.0,4920.0,5778.0,727.0,269.0,458.0,1449.0,960.0,489.0,191692.0,83302.0,108390.0,,
33.0,607.0,5728.0,0.0,0.0,0.0,SUB-DISTRICT,Gingee,Rural,92671.0,390005.0,196346.0,193659.0,40694.0,21075.0,19619.0,87900.0,44549.0,43351.0,8162.0,4082.0,4080.0,249584.0,141096.0,108488.0,140421.0,55250.0,85171.0,218570.0,120983.0,97587.0,150572.0,87439.0,63133.0,63657.0,38937.0,24720.0,56337.0,26349.0,29988.0,3047.0,1443.0,1604.0,27531.0,20710.0,6821.0,67998.0,33544.0,34454.0,13895.0,8056.0,5839.0,41819.0,17894.0,23925.0,2007.0,836.0,1171.0,10277.0,6758.0,3519.0,54200.0,26821.0,27379.0,11272.0,6686.0,4586.0,32395.0,13515.0,18880.0,1395.0,609.0,786.0,9138.0,6011.0,3127.0,13798.0,6723.0,7075.0,2623.0,1370.0,1253.0,9424.0,4379.0,5045.0,612.0,227.0,385.0,1139.0,747.0,392.0,171435.0,75363.0,96072.0,,
33.0,607.0,5728.0,0.0,0.0,0.0,SUB-DISTRICT,Gingee,Urban,7759.0,33937.0,17163.0,16774.0,3667.0,1864.0,1803.0,7019.0,3569.0,3450.0,306.0,144.0,162.0,25342.0,13631.0,11711.0,8595.0,3532.0,5063.0,13680.0,9224.0,4456.0,9233.0,6715.0,2518.0,600.0,410.0,190.0,1248.0,749.0,499.0,457.0,196.0,261.0,6928.0,5360.0,1568.0,4447.0,2509.0,1938.0,50.0,33.0,17.0,2545.0,1386.0,1159.0,342.0,127.0,215.0,1510.0,963.0,547.0,2743.0,1710.0,1033.0,45.0,30.0,15.0,1271.0,845.0,426.0,227.0,85.0,142.0,1200.0,750.0,450.0,1704.0,799.0,905.0,5.0,3.0,2.0,1274.0,541.0,733.0,115.0,42.0,73.0,310.0,213.0,97.0,20257.0,7939.0,12318.0,,
33.0,607.0,5729.0,0.0,0.0,0.0,SUB-DISTRICT,Tindivanam,Total,105834.0,446682.0,223525.0,223157.0,48842.0,24791.0,24051.0,147460.0,73835.0,73625.0,6165.0,3038.0,3127.0,297702.0,165062.0,132640.0,148980.0,58463.0,90517.0,210287.0,130931.0,79356.0,157412.0,106674.0,50738.0,33985.0,24412.0,9573.0,61889.0,32685.0,29204.0,2268.0,1275.0,993.0,59270.0,48302.0,10968.0,52875.0,24257.0,28618.0,3670.0,2165.0,1505.0,34419.0,14184.0,20235.0,1977.0,549.0,1428.0,12809.0,7359.0,5450.0,44713.0,20927.0,23786.0,3306.0,1991.0,1315.0,29048.0,12012.0,17036.0,1280.0,385.0,895.0,11079.0,6539.0,4540.0,8162.0,3330.0,4832.0,364.0,174.0,190.0,5371.0,2172.0,3199.0,697.0,164.0,533.0,1730.0,820.0,910.0,236395.0,92594.0,143801.0,,
33.0,607.0,5729.0,0.0,0.0,0.0,SUB-DISTRICT,Tindivanam,Rural,83460.0,351852.0,176189.0,175663.0,38513.0,19489.0,19024.0,127605.0,63964.0,63641.0,5566.0,2743.0,2823.0,225923.0,126991.0,98932.0,125929.0,49198.0,76731.0,177055.0,105126.0,71929.0,129395.0,84187.0,45208.0,33079.0,23686.0,9393.0,59871.0,31500.0,28371.0,1685.0,996.0,689.0,34760.0,28005.0,6755.0,47660.0,20939.0,26721.0,3577.0,2096.0,1481.0,33809.0,13898.0,19911.0,1673.0,448.0,1225.0,8601.0,4497.0,4104.0,40285.0,18047.0,22238.0,3221.0,1926.0,1295.0,28587.0,11827.0,16760.0,1107.0,333.0,774.0,7370.0,3961.0,3409.0,7375.0,2892.0,4483.0,356.0,170.0,186.0,5222.0,2071.0,3151.0,566.0,115.0,451.0,1231.0,536.0,695.0,174797.0,71063.0,103734.0,,
33.0,607.0,5729.0,0.0,0.0,0.0,SUB-DISTRICT,Tindivanam,Urban,22374.0,94830.0,47336.0,47494.0,10329.0,5302.0,5027.0,19855.0,9871.0,9984.0,599.0,295.0,304.0,71779.0,38071.0,33708.0,23051.0,9265.0,13786.0,33232.0,25805.0,7427.0,28017.0,22487.0,5530.0,906.0,726.0,180.0,2018.0,1185.0,833.0,583.0,279.0,304.0,24510.0,20297.0,4213.0,5215.0,3318.0,1897.0,93.0,69.0,24.0,610.0,286.0,324.0,304.0,101.0,203.0,4208.0,2862.0,1346.0,4428.0,2880.0,1548.0,85.0,65.0,20.0,461.0,185.0,276.0,173.0,52.0,121.0,3709.0,2578.0,1131.0,787.0,438.0,349.0,8.0,4.0,4.0,149.0,101.0,48.0,131.0,49.0,82.0,499.0,284.0,215.0,61598.0,21531.0,40067.0,,
33.0,607.0,5730.0,0.0,0.0,0.0,SUB-DISTRICT,Vanur,Total,45758.0,196422.0,98822.0,97600.0,22845.0,11663.0,11182.0,62253.0,31264.0,30989.0,2619.0,1307.0,1312.0,132379.0,73675.0,58704.0,64043.0,25147.0,38896.0,92885.0,57964.0,34921.0,69427.0,46910.0,22517.0,10865.0,7478.0,3387.0,23876.0,12561.0,11315.0,1299.0,729.0,570.0,33387.0,26142.0,7245.0,23458.0,11054.0,12404.0,1825.0,1069.0,756.0,14317.0,6540.0,7777.0,578.0,216.0,362.0,6738.0,3229.0,3509.0,20352.0,9916.0,10436.0,1719.0,1000.0,719.0,13153.0,6164.0,6989.0,451.0,177.0,274.0,5029.0,2575.0,2454.0,3106.0,1138.0,1968.0,106.0,69.0,37.0,1164.0,376.0,788.0,127.0,39.0,88.0,1709.0,654.0,1055.0,103537.0,40858.0,62679.0,,
