State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,632.0,0.0,0.0,0.0,0.0,DISTRICT,Coimbatore,Total,958035.0,3458045.0,1729297.0,1728748.0,319332.0,163230.0,156102.0,535911.0,266960.0,268951.0,28342.0,14245.0,14097.0,2635907.0,1394790.0,1241117.0,822138.0,334507.0,487631.0,1567950.0,1083125.0,484825.0,1443252.0,1022328.0,420924.0,75411.0,49412.0,25999.0,201351.0,105640.0,95711.0,44582.0,25854.0,18728.0,1121908.0,841422.0,280486.0,124698.0,60797.0,63901.0,4806.0,2267.0,2539.0,28675.0,11807.0,16868.0,5503.0,1794.0,3709.0,85714.0,44929.0,40785.0,108156.0,53208.0,54948.0,4364.0,2076.0,2288.0,24360.0,10201.0,14159.0,4304.0,1407.0,2897.0,75128.0,39524.0,35604.0,16542.0,7589.0,8953.0,442.0,191.0,251.0,4315.0,1606.0,2709.0,1199.0,387.0,812.0,10586.0,5405.0,5181.0,1890095.0,646172.0,1243923.0,,
33.0,632.0,0.0,0.0,0.0,0.0,DISTRICT,Coimbatore,Rural,242157.0,839105.0,419032.0,420073.0,70035.0,35589.0,34446.0,187055.0,93037.0,94018.0,19622.0,9815.0,9807.0,554965.0,305718.0,249247.0,284140.0,113314.0,170826.0,452489.0,277811.0,174678.0,406615.0,257488.0,149127.0,59378.0,37767.0,21611.0,140412.0,72989.0,67423.0,16069.0,9039.0,7030.0,190756.0,137693.0,53063.0,45874.0,20323.0,25551.0,3116.0,1389.0,1727.0,20196.0,8216.0,11980.0,2200.0,758.0,1442.0,20362.0,9960.0,10402.0,39482.0,17835.0,21647.0,2766.0,1251.0,1515.0,17409.0,7255.0,10154.0,1765.0,607.0,1158.0,17542.0,8722.0,8820.0,6392.0,2488.0,3904.0,350.0,138.0,212.0,2787.0,961.0,1826.0,435.0,151.0,284.0,2820.0,1238.0,1582.0,386616.0,141221.0,245395.0,,
33.0,632.0,0.0,0.0,0.0,0.0,DISTRICT,Coimbatore,Urban,715878.0,2618940.0,1310265.0,1308675.0,249297.0,127641.0,121656.0,348856.0,173923.0,174933.0,8720.0,4430.0,4290.0,2080942.0,1089072.0,991870.0,537998.0,221193.0,316805.0,1115461.0,805314.0,310147.0,1036637.0,764840.0,271797.0,16033.0,11645.0,4388.0,60939.0,32651.0,28288.0,28513.0,16815.0,11698.0,931152.0,703729.0,227423.0,78824.0,40474.0,38350.0,1690.0,878.0,812.0,8479.0,3591.0,4888.0,3303.0,1036.0,2267.0,65352.0,34969.0,30383.0,68674.0,35373.0,33301.0,1598.0,825.0,773.0,6951.0,2946.0,4005.0,2539.0,800.0,1739.0,57586.0,30802.0,26784.0,10150.0,5101.0,5049.0,92.0,53.0,39.0,1528.0,645.0,883.0,764.0,236.0,528.0,7766.0,4167.0,3599.0,1503479.0,504951.0,998528.0,,
33.0,632.0,5895.0,0.0,0.0,0.0,SUB-DISTRICT,Mettupalayam,Total,73189.0,260172.0,129447.0,130725.0,23023.0,11703.0,11320.0,44149.0,21985.0,22164.0,8712.0,4317.0,4395.0,185053.0,99211.0,85842.0,75119.0,30236.0,44883.0,120923.0,82146.0,38777.0,109408.0,76450.0,32958.0,11694.0,7465.0,4229.0,21908.0,12414.0,9494.0,6104.0,3334.0,2770.0,69702.0,53237.0,16465.0,11515.0,5696.0,5819.0,740.0,342.0,398.0,3806.0,1704.0,2102.0,765.0,267.0,498.0,6204.0,3383.0,2821.0,9852.0,5071.0,4781.0,657.0,303.0,354.0,3256.0,1546.0,1710.0,586.0,218.0,368.0,5353.0,3004.0,2349.0,1663.0,625.0,1038.0,83.0,39.0,44.0,550.0,158.0,392.0,179.0,49.0,130.0,851.0,379.0,472.0,139249.0,47301.0,91948.0,,
33.0,632.0,5895.0,0.0,0.0,0.0,SUB-DISTRICT,Mettupalayam,Rural,39680.0,137570.0,68643.0,68927.0,11688.0,5852.0,5836.0,26346.0,13118.0,13228.0,7859.0,3897.0,3962.0,91231.0,50040.0,41191.0,46339.0,18603.0,27736.0,70525.0,44793.0,25732.0,62231.0,40833.0,21398.0,10695.0,6791.0,3904.0,18710.0,10581.0,8129.0,3607.0,2080.0,1527.0,29219.0,21381.0,7838.0,8294.0,3960.0,4334.0,713.0,325.0,388.0,3229.0,1469.0,1760.0,580.0,223.0,357.0,3772.0,1943.0,1829.0,7112.0,3544.0,3568.0,630.0,286.0,344.0,2729.0,1319.0,1410.0,452.0,181.0,271.0,3301.0,1758.0,1543.0,1182.0,416.0,766.0,83.0,39.0,44.0,500.0,150.0,350.0,128.0,42.0,86.0,471.0,185.0,286.0,67045.0,23850.0,43195.0,,
33.0,632.0,5895.0,0.0,0.0,0.0,SUB-DISTRICT,Mettupalayam,Urban,33509.0,122602.0,60804.0,61798.0,11335.0,5851.0,5484.0,17803.0,8867.0,8936.0,853.0,420.0,433.0,93822.0,49171.0,44651.0,28780.0,11633.0,17147.0,50398.0,37353.0,13045.0,47177.0,35617.0,11560.0,999.0,674.0,325.0,3198.0,1833.0,1365.0,2497.0,1254.0,1243.0,40483.0,31856.0,8627.0,3221.0,1736.0,1485.0,27.0,17.0,10.0,577.0,235.0,342.0,185.0,44.0,141.0,2432.0,1440.0,992.0,2740.0,1527.0,1213.0,27.0,17.0,10.0,527.0,227.0,300.0,134.0,37.0,97.0,2052.0,1246.0,806.0,481.0,209.0,272.0,0.0,0.0,0.0,50.0,8.0,42.0,51.0,7.0,44.0,380.0,194.0,186.0,72204.0,23451.0,48753.0,,
33.0,632.0,5895.0,644340.0,0.0,0.0,VILLAGE,Chinnakallipatti,Rural,1098.0,3858.0,1958.0,1900.0,353.0,187.0,166.0,945.0,476.0,469.0,0.0,0.0,0.0,2226.0,1280.0,946.0,1632.0,678.0,954.0,2044.0,1291.0,753.0,1928.0,1234.0,694.0,516.0,331.0,185.0,840.0,491.0,349.0,18.0,15.0,3.0,554.0,397.0,157.0,116.0,57.0,59.0,16.0,9.0,7.0,64.0,31.0,33.0,4.0,1.0,3.0,32.0,16.0,16.0,99.0,50.0,49.0,15.0,9.0,6.0,55.0,27.0,28.0,1.0,0.0,1.0,28.0,14.0,14.0,17.0,7.0,10.0,1.0,0.0,1.0,9.0,4.0,5.0,3.0,1.0,2.0,4.0,2.0,2.0,1814.0,667.0,1147.0,,
33.0,632.0,5895.0,644341.0,0.0,0.0,VILLAGE,Muduthurai,Rural,1254.0,4394.0,2233.0,2161.0,350.0,181.0,169.0,2005.0,1036.0,969.0,0.0,0.0,0.0,2467.0,1419.0,1048.0,1927.0,814.0,1113.0,2390.0,1437.0,953.0,2232.0,1385.0,847.0,449.0,281.0,168.0,929.0,555.0,374.0,26.0,17.0,9.0,828.0,532.0,296.0,158.0,52.0,106.0,10.0,3.0,7.0,45.0,12.0,33.0,11.0,4.0,7.0,92.0,33.0,59.0,103.0,43.0,60.0,8.0,2.0,6.0,24.0,8.0,16.0,9.0,4.0,5.0,62.0,29.0,33.0,55.0,9.0,46.0,2.0,1.0,1.0,21.0,4.0,17.0,2.0,0.0,2.0,30.0,4.0,26.0,2004.0,796.0,1208.0,,
33.0,632.0,5895.0,644342.0,0.0,0.0,VILLAGE,Irumborai,Rural,2295.0,8001.0,3974.0,4027.0,644.0,319.0,325.0,2446.0,1216.0,1230.0,0.0,0.0,0.0,4860.0,2686.0,2174.0,3141.0,1288.0,1853.0,4686.0,2697.0,1989.0,4363.0,2562.0,1801.0,1189.0,705.0,484.0,1532.0,904.0,628.0,192.0,35.0,157.0,1450.0,918.0,532.0,323.0,135.0,188.0,27.0,13.0,14.0,90.0,26.0,64.0,17.0,1.0,16.0,189.0,95.0,94.0,296.0,131.0,165.0,24.0,12.0,12.0,80.0,26.0,54.0,16.0,1.0,15.0,176.0,92.0,84.0,27.0,4.0,23.0,3.0,1.0,2.0,10.0,0.0,10.0,1.0,0.0,1.0,13.0,3.0,10.0,3315.0,1277.0,2038.0,,
33.0,632.0,5895.0,644343.0,0.0,0.0,VILLAGE,Illuppanatham,Rural,2665.0,9255.0,4569.0,4686.0,758.0,372.0,386.0,2025.0,997.0,1028.0,39.0,19.0,20.0,6225.0,3387.0,2838.0,3030.0,1182.0,1848.0,4474.0,2958.0,1516.0,3279.0,2385.0,894.0,571.0,432.0,139.0,400.0,268.0,132.0,474.0,278.0,196.0,1834.0,1407.0,427.0,1195.0,573.0,622.0,150.0,78.0,72.0,514.0,259.0,255.0,68.0,20.0,48.0,463.0,216.0,247.0,905.0,443.0,462.0,119.0,59.0,60.0,376.0,199.0,177.0,55.0,15.0,40.0,355.0,170.0,185.0,290.0,130.0,160.0,31.0,19.0,12.0,138.0,60.0,78.0,13.0,5.0,8.0,108.0,46.0,62.0,4781.0,1611.0,3170.0,,
