State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,629.0,0.0,0.0,0.0,0.0,DISTRICT,Kanniyakumari,Total,483539.0,1870374.0,926345.0,944029.0,182350.0,92835.0,89515.0,74249.0,36817.0,37432.0,7282.0,3554.0,3728.0,1548738.0,780541.0,768197.0,321636.0,145804.0,175832.0,679620.0,524629.0,154991.0,552658.0,446895.0,105763.0,12229.0,10619.0,1610.0,51350.0,44394.0,6956.0,21078.0,8626.0,12452.0,468001.0,383256.0,84745.0,126962.0,77734.0,49228.0,3381.0,2429.0,952.0,21517.0,17001.0,4516.0,14711.0,3752.0,10959.0,87353.0,54552.0,32801.0,102816.0,63167.0,39649.0,2927.0,2108.0,819.0,17212.0,13865.0,3347.0,10670.0,2619.0,8051.0,72007.0,44575.0,27432.0,24146.0,14567.0,9579.0,454.0,321.0,133.0,4305.0,3136.0,1169.0,4041.0,1133.0,2908.0,15346.0,9977.0,5369.0,1190754.0,401716.0,789038.0,,
33.0,629.0,0.0,0.0,0.0,0.0,DISTRICT,Kanniyakumari,Rural,85478.0,330572.0,164938.0,165634.0,33780.0,17262.0,16518.0,18972.0,9458.0,9514.0,3741.0,1808.0,1933.0,269380.0,136432.0,132948.0,61192.0,28506.0,32686.0,125416.0,94908.0,30508.0,100972.0,81591.0,19381.0,4331.0,3506.0,825.0,13102.0,10417.0,2685.0,4398.0,1690.0,2708.0,79141.0,65978.0,13163.0,24444.0,13317.0,11127.0,1206.0,706.0,500.0,5119.0,3691.0,1428.0,2496.0,583.0,1913.0,15623.0,8337.0,7286.0,20531.0,11403.0,9128.0,1005.0,603.0,402.0,4301.0,3210.0,1091.0,1887.0,453.0,1434.0,13338.0,7137.0,6201.0,3913.0,1914.0,1999.0,201.0,103.0,98.0,818.0,481.0,337.0,609.0,130.0,479.0,2285.0,1200.0,1085.0,205156.0,70030.0,135126.0,,
33.0,629.0,0.0,0.0,0.0,0.0,DISTRICT,Kanniyakumari,Urban,398061.0,1539802.0,761407.0,778395.0,148570.0,75573.0,72997.0,55277.0,27359.0,27918.0,3541.0,1746.0,1795.0,1279358.0,644109.0,635249.0,260444.0,117298.0,143146.0,554204.0,429721.0,124483.0,451686.0,365304.0,86382.0,7898.0,7113.0,785.0,38248.0,33977.0,4271.0,16680.0,6936.0,9744.0,388860.0,317278.0,71582.0,102518.0,64417.0,38101.0,2175.0,1723.0,452.0,16398.0,13310.0,3088.0,12215.0,3169.0,9046.0,71730.0,46215.0,25515.0,82285.0,51764.0,30521.0,1922.0,1505.0,417.0,12911.0,10655.0,2256.0,8783.0,2166.0,6617.0,58669.0,37438.0,21231.0,20233.0,12653.0,7580.0,253.0,218.0,35.0,3487.0,2655.0,832.0,3432.0,1003.0,2429.0,13061.0,8777.0,4284.0,985598.0,331686.0,653912.0,,
33.0,629.0,5881.0,0.0,0.0,0.0,SUB-DISTRICT,Vilavancode,Total,148746.0,590567.0,291713.0,298854.0,59142.0,30189.0,28953.0,11958.0,5867.0,6091.0,2970.0,1454.0,1516.0,479991.0,241924.0,238067.0,110576.0,49789.0,60787.0,215317.0,164124.0,51193.0,163634.0,130591.0,33043.0,3097.0,2726.0,371.0,13400.0,12091.0,1309.0,6354.0,2755.0,3599.0,140783.0,113019.0,27764.0,51683.0,33533.0,18150.0,1252.0,931.0,321.0,7920.0,6713.0,1207.0,5798.0,1830.0,3968.0,36713.0,24059.0,12654.0,42071.0,26910.0,15161.0,1094.0,801.0,293.0,6007.0,5221.0,786.0,4634.0,1385.0,3249.0,30336.0,19503.0,10833.0,9612.0,6623.0,2989.0,158.0,130.0,28.0,1913.0,1492.0,421.0,1164.0,445.0,719.0,6377.0,4556.0,1821.0,375250.0,127589.0,247661.0,,
33.0,629.0,5881.0,0.0,0.0,0.0,SUB-DISTRICT,Vilavancode,Rural,14323.0,60983.0,30509.0,30474.0,6907.0,3531.0,3376.0,689.0,333.0,356.0,1336.0,630.0,706.0,47931.0,24070.0,23861.0,13052.0,6439.0,6613.0,21750.0,17430.0,4320.0,16915.0,14387.0,2528.0,551.0,415.0,136.0,934.0,806.0,128.0,467.0,224.0,243.0,14963.0,12942.0,2021.0,4835.0,3043.0,1792.0,278.0,129.0,149.0,778.0,676.0,102.0,342.0,124.0,218.0,3437.0,2114.0,1323.0,4020.0,2470.0,1550.0,245.0,112.0,133.0,589.0,516.0,73.0,297.0,108.0,189.0,2889.0,1734.0,1155.0,815.0,573.0,242.0,33.0,17.0,16.0,189.0,160.0,29.0,45.0,16.0,29.0,548.0,380.0,168.0,39233.0,13079.0,26154.0,,
33.0,629.0,5881.0,0.0,0.0,0.0,SUB-DISTRICT,Vilavancode,Urban,134423.0,529584.0,261204.0,268380.0,52235.0,26658.0,25577.0,11269.0,5534.0,5735.0,1634.0,824.0,810.0,432060.0,217854.0,214206.0,97524.0,43350.0,54174.0,193567.0,146694.0,46873.0,146719.0,116204.0,30515.0,2546.0,2311.0,235.0,12466.0,11285.0,1181.0,5887.0,2531.0,3356.0,125820.0,100077.0,25743.0,46848.0,30490.0,16358.0,974.0,802.0,172.0,7142.0,6037.0,1105.0,5456.0,1706.0,3750.0,33276.0,21945.0,11331.0,38051.0,24440.0,13611.0,849.0,689.0,160.0,5418.0,4705.0,713.0,4337.0,1277.0,3060.0,27447.0,17769.0,9678.0,8797.0,6050.0,2747.0,125.0,113.0,12.0,1724.0,1332.0,392.0,1119.0,429.0,690.0,5829.0,4176.0,1653.0,336017.0,114510.0,221507.0,,
33.0,629.0,5881.0,643093.0,0.0,0.0,VILLAGE,Mancode (Part),Rural,1623.0,6481.0,3143.0,3338.0,667.0,315.0,352.0,117.0,50.0,67.0,1012.0,474.0,538.0,5166.0,2584.0,2582.0,1315.0,559.0,756.0,2569.0,1846.0,723.0,1738.0,1366.0,372.0,89.0,61.0,28.0,166.0,128.0,38.0,42.0,19.0,23.0,1441.0,1158.0,283.0,831.0,480.0,351.0,40.0,13.0,27.0,80.0,62.0,18.0,54.0,12.0,42.0,657.0,393.0,264.0,743.0,427.0,316.0,31.0,9.0,22.0,53.0,41.0,12.0,47.0,11.0,36.0,612.0,366.0,246.0,88.0,53.0,35.0,9.0,4.0,5.0,27.0,21.0,6.0,7.0,1.0,6.0,45.0,27.0,18.0,3912.0,1297.0,2615.0,,
33.0,629.0,5881.0,643094.0,0.0,0.0,VILLAGE,Edaicode  ,Rural,2143.0,8459.0,4191.0,4268.0,824.0,444.0,380.0,235.0,124.0,111.0,48.0,21.0,27.0,7069.0,3537.0,3532.0,1390.0,654.0,736.0,3304.0,2410.0,894.0,1621.0,1255.0,366.0,91.0,63.0,28.0,259.0,229.0,30.0,61.0,39.0,22.0,1210.0,924.0,286.0,1683.0,1155.0,528.0,102.0,58.0,44.0,519.0,452.0,67.0,200.0,81.0,119.0,862.0,564.0,298.0,1366.0,907.0,459.0,90.0,49.0,41.0,365.0,321.0,44.0,187.0,74.0,113.0,724.0,463.0,261.0,317.0,248.0,69.0,12.0,9.0,3.0,154.0,131.0,23.0,13.0,7.0,6.0,138.0,101.0,37.0,5155.0,1781.0,3374.0,,
33.0,629.0,5881.0,643095.0,0.0,0.0,VILLAGE,Nattalam  (Part),Rural,1340.0,5101.0,2560.0,2541.0,440.0,235.0,205.0,10.0,7.0,3.0,0.0,0.0,0.0,4211.0,2152.0,2059.0,890.0,408.0,482.0,2013.0,1501.0,512.0,1498.0,1194.0,304.0,87.0,66.0,21.0,229.0,220.0,9.0,12.0,6.0,6.0,1170.0,902.0,268.0,515.0,307.0,208.0,43.0,27.0,16.0,146.0,134.0,12.0,24.0,2.0,22.0,302.0,144.0,158.0,449.0,274.0,175.0,43.0,27.0,16.0,140.0,128.0,12.0,16.0,0.0,16.0,250.0,119.0,131.0,66.0,33.0,33.0,0.0,0.0,0.0,6.0,6.0,0.0,8.0,2.0,6.0,52.0,25.0,27.0,3088.0,1059.0,2029.0,,
33.0,629.0,5881.0,643096.0,0.0,0.0,VILLAGE,Ezhudesam  ,Rural,3385.0,16478.0,8371.0,8107.0,2032.0,1040.0,992.0,48.0,19.0,29.0,0.0,0.0,0.0,11917.0,6016.0,5901.0,4561.0,2355.0,2206.0,5515.0,4749.0,766.0,4681.0,4205.0,476.0,51.0,35.0,16.0,34.0,15.0,19.0,186.0,91.0,95.0,4410.0,4064.0,346.0,834.0,544.0,290.0,41.0,9.0,32.0,2.0,1.0,1.0,19.0,10.0,9.0,772.0,524.0,248.0,602.0,375.0,227.0,35.0,7.0,28.0,2.0,1.0,1.0,15.0,7.0,8.0,550.0,360.0,190.0,232.0,169.0,63.0,6.0,2.0,4.0,0.0,0.0,0.0,4.0,3.0,1.0,222.0,164.0,58.0,10963.0,3622.0,7341.0,,
