State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,620.0,0.0,0.0,0.0,0.0,DISTRICT,Thanjavur,Total,605363.0,2405890.0,1182416.0,1223474.0,238598.0,121949.0,116649.0,455062.0,225859.0,229203.0,3561.0,1739.0,1822.0,1790998.0,944264.0,846734.0,614892.0,238152.0,376740.0,974079.0,680483.0,293596.0,834484.0,604754.0,229730.0,117321.0,94502.0,22819.0,327673.0,197630.0,130043.0,26430.0,16413.0,10017.0,363060.0,296209.0,66851.0,139595.0,75729.0,63866.0,12592.0,7884.0,4708.0,87688.0,42779.0,44909.0,4770.0,1759.0,3011.0,34545.0,23307.0,11238.0,120763.0,66190.0,54573.0,11574.0,7269.0,4305.0,75677.0,37425.0,38252.0,3948.0,1492.0,2456.0,29564.0,20004.0,9560.0,18832.0,9539.0,9293.0,1018.0,615.0,403.0,12011.0,5354.0,6657.0,822.0,267.0,555.0,4981.0,3303.0,1678.0,1431811.0,501933.0,929878.0,,
33.0,620.0,0.0,0.0,0.0,0.0,DISTRICT,Thanjavur,Rural,391202.0,1554531.0,765177.0,789354.0,156457.0,80010.0,76447.0,371394.0,184536.0,186858.0,1340.0,665.0,675.0,1104986.0,593178.0,511808.0,449545.0,171999.0,277546.0,677119.0,447790.0,229329.0,564294.0,388943.0,175351.0,106817.0,85422.0,21395.0,298107.0,177004.0,121103.0,10865.0,6610.0,4255.0,148505.0,119907.0,28598.0,112825.0,58847.0,53978.0,11704.0,7241.0,4463.0,80859.0,38851.0,42008.0,2984.0,1166.0,1818.0,17278.0,11589.0,5689.0,97996.0,51835.0,46161.0,10753.0,6683.0,4070.0,70001.0,34109.0,35892.0,2501.0,1010.0,1491.0,14741.0,10033.0,4708.0,14829.0,7012.0,7817.0,951.0,558.0,393.0,10858.0,4742.0,6116.0,483.0,156.0,327.0,2537.0,1556.0,981.0,877412.0,317387.0,560025.0,,
33.0,620.0,0.0,0.0,0.0,0.0,DISTRICT,Thanjavur,Urban,214161.0,851359.0,417239.0,434120.0,82141.0,41939.0,40202.0,83668.0,41323.0,42345.0,2221.0,1074.0,1147.0,686012.0,351086.0,334926.0,165347.0,66153.0,99194.0,296960.0,232693.0,64267.0,270190.0,215811.0,54379.0,10504.0,9080.0,1424.0,29566.0,20626.0,8940.0,15565.0,9803.0,5762.0,214555.0,176302.0,38253.0,26770.0,16882.0,9888.0,888.0,643.0,245.0,6829.0,3928.0,2901.0,1786.0,593.0,1193.0,17267.0,11718.0,5549.0,22767.0,14355.0,8412.0,821.0,586.0,235.0,5676.0,3316.0,2360.0,1447.0,482.0,965.0,14823.0,9971.0,4852.0,4003.0,2527.0,1476.0,67.0,57.0,10.0,1153.0,612.0,541.0,339.0,111.0,228.0,2444.0,1747.0,697.0,554399.0,184546.0,369853.0,,
33.0,620.0,5810.0,0.0,0.0,0.0,SUB-DISTRICT,Thiruvidaimarudur,Total,56999.0,231151.0,115300.0,115851.0,23907.0,12127.0,11780.0,69455.0,34865.0,34590.0,655.0,315.0,340.0,171584.0,91918.0,79666.0,59567.0,23382.0,36185.0,91172.0,67580.0,23592.0,74236.0,58031.0,16205.0,9071.0,8270.0,801.0,34587.0,24463.0,10124.0,4460.0,2896.0,1564.0,26118.0,22402.0,3716.0,16936.0,9549.0,7387.0,692.0,457.0,235.0,12331.0,6625.0,5706.0,740.0,262.0,478.0,3173.0,2205.0,968.0,14750.0,8565.0,6185.0,589.0,397.0,192.0,10823.0,6068.0,4755.0,619.0,215.0,404.0,2719.0,1885.0,834.0,2186.0,984.0,1202.0,103.0,60.0,43.0,1508.0,557.0,951.0,121.0,47.0,74.0,454.0,320.0,134.0,139979.0,47720.0,92259.0,,
33.0,620.0,5810.0,0.0,0.0,0.0,SUB-DISTRICT,Thiruvidaimarudur,Rural,42174.0,170553.0,85196.0,85357.0,17851.0,9044.0,8807.0,57440.0,28859.0,28581.0,372.0,181.0,191.0,125358.0,67481.0,57877.0,45195.0,17715.0,27480.0,67826.0,49919.0,17907.0,54241.0,42291.0,11950.0,7734.0,7044.0,690.0,28370.0,20021.0,8349.0,1546.0,1016.0,530.0,16591.0,14210.0,2381.0,13585.0,7628.0,5957.0,611.0,409.0,202.0,10620.0,5676.0,4944.0,339.0,134.0,205.0,2015.0,1409.0,606.0,11723.0,6803.0,4920.0,518.0,354.0,164.0,9245.0,5166.0,4079.0,273.0,105.0,168.0,1687.0,1178.0,509.0,1862.0,825.0,1037.0,93.0,55.0,38.0,1375.0,510.0,865.0,66.0,29.0,37.0,328.0,231.0,97.0,102727.0,35277.0,67450.0,,
33.0,620.0,5810.0,0.0,0.0,0.0,SUB-DISTRICT,Thiruvidaimarudur,Urban,14825.0,60598.0,30104.0,30494.0,6056.0,3083.0,2973.0,12015.0,6006.0,6009.0,283.0,134.0,149.0,46226.0,24437.0,21789.0,14372.0,5667.0,8705.0,23346.0,17661.0,5685.0,19995.0,15740.0,4255.0,1337.0,1226.0,111.0,6217.0,4442.0,1775.0,2914.0,1880.0,1034.0,9527.0,8192.0,1335.0,3351.0,1921.0,1430.0,81.0,48.0,33.0,1711.0,949.0,762.0,401.0,128.0,273.0,1158.0,796.0,362.0,3027.0,1762.0,1265.0,71.0,43.0,28.0,1578.0,902.0,676.0,346.0,110.0,236.0,1032.0,707.0,325.0,324.0,159.0,165.0,10.0,5.0,5.0,133.0,47.0,86.0,55.0,18.0,37.0,126.0,89.0,37.0,37252.0,12443.0,24809.0,,
33.0,620.0,5810.0,638395.0,0.0,0.0,VILLAGE,Kulasekaranallur,Rural,766.0,3021.0,1497.0,1524.0,338.0,180.0,158.0,872.0,443.0,429.0,0.0,0.0,0.0,2074.0,1091.0,983.0,947.0,406.0,541.0,1191.0,893.0,298.0,1112.0,850.0,262.0,177.0,142.0,35.0,702.0,502.0,200.0,15.0,13.0,2.0,218.0,193.0,25.0,79.0,43.0,36.0,15.0,7.0,8.0,36.0,19.0,17.0,4.0,2.0,2.0,24.0,15.0,9.0,76.0,42.0,34.0,15.0,7.0,8.0,35.0,19.0,16.0,3.0,2.0,1.0,23.0,14.0,9.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1830.0,604.0,1226.0,,
33.0,620.0,5810.0,638396.0,0.0,0.0,VILLAGE,Sarabojirajapuram,Rural,539.0,2178.0,1116.0,1062.0,234.0,123.0,111.0,938.0,472.0,466.0,0.0,0.0,0.0,1499.0,856.0,643.0,679.0,260.0,419.0,1209.0,634.0,575.0,1076.0,563.0,513.0,85.0,55.0,30.0,816.0,409.0,407.0,15.0,4.0,11.0,160.0,95.0,65.0,133.0,71.0,62.0,11.0,7.0,4.0,97.0,46.0,51.0,1.0,0.0,1.0,24.0,18.0,6.0,77.0,43.0,34.0,10.0,7.0,3.0,44.0,19.0,25.0,1.0,0.0,1.0,22.0,17.0,5.0,56.0,28.0,28.0,1.0,0.0,1.0,53.0,27.0,26.0,0.0,0.0,0.0,2.0,1.0,1.0,969.0,482.0,487.0,,
33.0,620.0,5810.0,638397.0,0.0,0.0,VILLAGE,Marathurai,Rural,516.0,2131.0,1082.0,1049.0,194.0,100.0,94.0,966.0,489.0,477.0,0.0,0.0,0.0,1617.0,893.0,724.0,514.0,189.0,325.0,1291.0,683.0,608.0,251.0,213.0,38.0,28.0,27.0,1.0,130.0,106.0,24.0,9.0,6.0,3.0,84.0,74.0,10.0,1040.0,470.0,570.0,42.0,14.0,28.0,938.0,431.0,507.0,24.0,3.0,21.0,36.0,22.0,14.0,990.0,467.0,523.0,40.0,14.0,26.0,903.0,429.0,474.0,15.0,2.0,13.0,32.0,22.0,10.0,50.0,3.0,47.0,2.0,0.0,2.0,35.0,2.0,33.0,9.0,1.0,8.0,4.0,0.0,4.0,840.0,399.0,441.0,,
33.0,620.0,5810.0,638398.0,0.0,0.0,VILLAGE,Vannikudi,Rural,364.0,1583.0,820.0,763.0,192.0,100.0,92.0,959.0,492.0,467.0,1.0,1.0,0.0,1102.0,613.0,489.0,481.0,207.0,274.0,682.0,458.0,224.0,600.0,420.0,180.0,35.0,35.0,0.0,483.0,312.0,171.0,7.0,5.0,2.0,75.0,68.0,7.0,82.0,38.0,44.0,1.0,0.0,1.0,71.0,33.0,38.0,0.0,0.0,0.0,10.0,5.0,5.0,80.0,37.0,43.0,1.0,0.0,1.0,71.0,33.0,38.0,0.0,0.0,0.0,8.0,4.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,901.0,362.0,539.0,,
