State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,611.0,0.0,0.0,0.0,0.0,DISTRICT,The Nilgiris,Total,197653.0,735394.0,360143.0,375251.0,66799.0,33648.0,33151.0,235878.0,115917.0,119961.0,32813.0,16091.0,16722.0,569647.0,299447.0,270200.0,165747.0,60696.0,105051.0,349974.0,212172.0,137802.0,318924.0,195322.0,123602.0,14592.0,9376.0,5216.0,71738.0,37400.0,34338.0,3019.0,1427.0,1592.0,229575.0,147119.0,82456.0,31050.0,16850.0,14200.0,1053.0,547.0,506.0,7362.0,3712.0,3650.0,876.0,271.0,605.0,21759.0,12320.0,9439.0,26801.0,14572.0,12229.0,944.0,486.0,458.0,6467.0,3244.0,3223.0,697.0,201.0,496.0,18693.0,10641.0,8052.0,4249.0,2278.0,1971.0,109.0,61.0,48.0,895.0,468.0,427.0,179.0,70.0,109.0,3066.0,1679.0,1387.0,385420.0,147971.0,237449.0,,
33.0,611.0,0.0,0.0,0.0,0.0,DISTRICT,The Nilgiris,Rural,83021.0,299739.0,145909.0,153830.0,26292.0,13212.0,13080.0,86753.0,42691.0,44062.0,22752.0,11167.0,11585.0,221955.0,118463.0,103492.0,77784.0,27446.0,50338.0,160151.0,88967.0,71184.0,146993.0,82259.0,64734.0,10981.0,6726.0,4255.0,45982.0,23331.0,22651.0,1636.0,760.0,876.0,88394.0,51442.0,36952.0,13158.0,6708.0,6450.0,727.0,333.0,394.0,3756.0,1799.0,1957.0,425.0,132.0,293.0,8250.0,4444.0,3806.0,11071.0,5628.0,5443.0,638.0,288.0,350.0,3291.0,1553.0,1738.0,330.0,90.0,240.0,6812.0,3697.0,3115.0,2087.0,1080.0,1007.0,89.0,45.0,44.0,465.0,246.0,219.0,95.0,42.0,53.0,1438.0,747.0,691.0,139588.0,56942.0,82646.0,,
33.0,611.0,0.0,0.0,0.0,0.0,DISTRICT,The Nilgiris,Urban,114632.0,435655.0,214234.0,221421.0,40507.0,20436.0,20071.0,149125.0,73226.0,75899.0,10061.0,4924.0,5137.0,347692.0,180984.0,166708.0,87963.0,33250.0,54713.0,189823.0,123205.0,66618.0,171931.0,113063.0,58868.0,3611.0,2650.0,961.0,25756.0,14069.0,11687.0,1383.0,667.0,716.0,141181.0,95677.0,45504.0,17892.0,10142.0,7750.0,326.0,214.0,112.0,3606.0,1913.0,1693.0,451.0,139.0,312.0,13509.0,7876.0,5633.0,15730.0,8944.0,6786.0,306.0,198.0,108.0,3176.0,1691.0,1485.0,367.0,111.0,256.0,11881.0,6944.0,4937.0,2162.0,1198.0,964.0,20.0,16.0,4.0,430.0,222.0,208.0,84.0,28.0,56.0,1628.0,932.0,696.0,245832.0,91029.0,154803.0,,
33.0,611.0,5754.0,0.0,0.0,0.0,SUB-DISTRICT,Panthalur,Total,30615.0,125931.0,61637.0,64294.0,13036.0,6564.0,6472.0,49295.0,24319.0,24976.0,10897.0,5278.0,5619.0,97918.0,50721.0,47197.0,28013.0,10916.0,17097.0,55597.0,33814.0,21783.0,47452.0,29425.0,18027.0,1788.0,1443.0,345.0,5804.0,3296.0,2508.0,454.0,261.0,193.0,39406.0,24425.0,14981.0,8145.0,4389.0,3756.0,204.0,113.0,91.0,1702.0,852.0,850.0,227.0,101.0,126.0,6012.0,3323.0,2689.0,6232.0,3365.0,2867.0,168.0,92.0,76.0,1342.0,646.0,696.0,162.0,67.0,95.0,4560.0,2560.0,2000.0,1913.0,1024.0,889.0,36.0,21.0,15.0,360.0,206.0,154.0,65.0,34.0,31.0,1452.0,763.0,689.0,70334.0,27823.0,42511.0,,
33.0,611.0,5754.0,0.0,0.0,0.0,SUB-DISTRICT,Panthalur,Rural,19886.0,81341.0,39726.0,41615.0,8319.0,4193.0,4126.0,23216.0,11472.0,11744.0,9112.0,4442.0,4670.0,63144.0,32552.0,30592.0,18197.0,7174.0,11023.0,36277.0,22221.0,14056.0,30753.0,19284.0,11469.0,1687.0,1366.0,321.0,4239.0,2439.0,1800.0,393.0,222.0,171.0,24434.0,15257.0,9177.0,5524.0,2937.0,2587.0,197.0,109.0,88.0,1335.0,663.0,672.0,205.0,90.0,115.0,3787.0,2075.0,1712.0,4009.0,2126.0,1883.0,161.0,88.0,73.0,1011.0,473.0,538.0,146.0,59.0,87.0,2691.0,1506.0,1185.0,1515.0,811.0,704.0,36.0,21.0,15.0,324.0,190.0,134.0,59.0,31.0,28.0,1096.0,569.0,527.0,45064.0,17505.0,27559.0,,
33.0,611.0,5754.0,0.0,0.0,0.0,SUB-DISTRICT,Panthalur,Urban,10729.0,44590.0,21911.0,22679.0,4717.0,2371.0,2346.0,26079.0,12847.0,13232.0,1785.0,836.0,949.0,34774.0,18169.0,16605.0,9816.0,3742.0,6074.0,19320.0,11593.0,7727.0,16699.0,10141.0,6558.0,101.0,77.0,24.0,1565.0,857.0,708.0,61.0,39.0,22.0,14972.0,9168.0,5804.0,2621.0,1452.0,1169.0,7.0,4.0,3.0,367.0,189.0,178.0,22.0,11.0,11.0,2225.0,1248.0,977.0,2223.0,1239.0,984.0,7.0,4.0,3.0,331.0,173.0,158.0,16.0,8.0,8.0,1869.0,1054.0,815.0,398.0,213.0,185.0,0.0,0.0,0.0,36.0,16.0,20.0,6.0,3.0,3.0,356.0,194.0,162.0,25270.0,10318.0,14952.0,,
33.0,611.0,5754.0,635080.0,0.0,0.0,VILLAGE,Erumad,Rural,3855.0,15695.0,7668.0,8027.0,1633.0,844.0,789.0,1527.0,756.0,771.0,2825.0,1379.0,1446.0,12294.0,6258.0,6036.0,3401.0,1410.0,1991.0,6380.0,4302.0,2078.0,5323.0,3754.0,1569.0,238.0,215.0,23.0,376.0,294.0,82.0,36.0,22.0,14.0,4673.0,3223.0,1450.0,1057.0,548.0,509.0,21.0,10.0,11.0,72.0,47.0,25.0,34.0,15.0,19.0,930.0,476.0,454.0,815.0,449.0,366.0,19.0,9.0,10.0,63.0,42.0,21.0,26.0,13.0,13.0,707.0,385.0,322.0,242.0,99.0,143.0,2.0,1.0,1.0,9.0,5.0,4.0,8.0,2.0,6.0,223.0,91.0,132.0,9315.0,3366.0,5949.0,,
33.0,611.0,5754.0,635081.0,0.0,0.0,VILLAGE,Munnanad,Rural,2514.0,10304.0,5019.0,5285.0,1016.0,509.0,507.0,752.0,368.0,384.0,2396.0,1167.0,1229.0,7780.0,3919.0,3861.0,2524.0,1100.0,1424.0,5021.0,3126.0,1895.0,4635.0,2887.0,1748.0,429.0,392.0,37.0,1099.0,642.0,457.0,77.0,30.0,47.0,3030.0,1823.0,1207.0,386.0,239.0,147.0,36.0,27.0,9.0,194.0,107.0,87.0,7.0,1.0,6.0,149.0,104.0,45.0,230.0,123.0,107.0,30.0,22.0,8.0,93.0,35.0,58.0,6.0,1.0,5.0,101.0,65.0,36.0,156.0,116.0,40.0,6.0,5.0,1.0,101.0,72.0,29.0,1.0,0.0,1.0,48.0,39.0,9.0,5283.0,1893.0,3390.0,,
33.0,611.0,5754.0,635082.0,0.0,0.0,VILLAGE,Nelliyalam ,Rural,4965.0,21836.0,10564.0,11272.0,2514.0,1262.0,1252.0,5822.0,2837.0,2985.0,1691.0,820.0,871.0,16719.0,8535.0,8184.0,5117.0,2029.0,3088.0,9562.0,5767.0,3795.0,8355.0,5182.0,3173.0,259.0,174.0,85.0,674.0,371.0,303.0,52.0,37.0,15.0,7370.0,4600.0,2770.0,1207.0,585.0,622.0,56.0,30.0,26.0,411.0,176.0,235.0,77.0,43.0,34.0,663.0,336.0,327.0,834.0,378.0,456.0,49.0,26.0,23.0,283.0,103.0,180.0,49.0,25.0,24.0,453.0,224.0,229.0,373.0,207.0,166.0,7.0,4.0,3.0,128.0,73.0,55.0,28.0,18.0,10.0,210.0,112.0,98.0,12274.0,4797.0,7477.0,,
33.0,611.0,5754.0,635083.0,0.0,0.0,VILLAGE,Cherangode,Rural,8552.0,33506.0,16475.0,17031.0,3156.0,1578.0,1578.0,15115.0,7511.0,7604.0,2200.0,1076.0,1124.0,26351.0,13840.0,12511.0,7155.0,2635.0,4520.0,15314.0,9026.0,6288.0,12440.0,7461.0,4979.0,761.0,585.0,176.0,2090.0,1132.0,958.0,228.0,133.0,95.0,9361.0,5611.0,3750.0,2874.0,1565.0,1309.0,84.0,42.0,42.0,658.0,333.0,325.0,87.0,31.0,56.0,2045.0,1159.0,886.0,2130.0,1176.0,954.0,63.0,31.0,32.0,572.0,293.0,279.0,65.0,20.0,45.0,1430.0,832.0,598.0,744.0,389.0,355.0,21.0,11.0,10.0,86.0,40.0,46.0,22.0,11.0,11.0,615.0,327.0,288.0,18192.0,7449.0,10743.0,,
