State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33,602,0,0,0,0,DISTRICT,Thiruvallur,Total,946949,3728104,1876062,1852042,405669,208449,197220,821646,410526,411120,47243,23692,23551,2791721,1495711,1296010,936383,380351,556032,1538054,1103563,434491,1247918,945278,302640,60436,43918,16518,173150,97402,75748,41742,24189,17553,972590,779769,192821,290136,158285,131851,13008,7490,5518,97436,46272,51164,16498,6431,10067,163194,98092,65102,244873,135073,109800,10903,6345,4558,82505,40156,42349,12467,5009,7458,138998,83563,55435,45263,23212,22051,2105,1145,960,14931,6116,8815,4031,1422,2609,24196,14529,9667,2190050,772499,1417551,,
33,602,0,0,0,0,DISTRICT,Thiruvallur,Rural,331697,1299709,650462,649247,141907,72902,69005,451999,225349,226650,35044,17521,17523,859700,476199,383501,440009,174263,265746,607233,389017,218216,439810,304671,135139,52553,38116,14437,160079,89129,70950,15873,9218,6655,211305,168208,43097,167423,84346,83077,10755,6096,4659,90971,42743,48228,7929,2918,5011,57768,32589,25179,139102,71680,67422,8746,5013,3733,77244,37256,39988,5769,2282,3487,47343,27129,20214,28321,12666,15655,2009,1083,926,13727,5487,8240,2160,636,1524,10425,5460,4965,692476,261445,431031,,
33,602,0,0,0,0,DISTRICT,Thiruvallur,Urban,615252,2428395,1225600,1202795,263762,135547,128215,369647,185177,184470,12199,6171,6028,1932021,1019512,912509,496374,206088,290286,930821,714546,216275,808108,640607,167501,7883,5802,2081,13071,8273,4798,25869,14971,10898,761285,611561,149724,122713,73939,48774,2253,1394,859,6465,3529,2936,8569,3513,5056,105426,65503,39923,105771,63393,42378,2157,1332,825,5261,2900,2361,6698,2727,3971,91655,56434,35221,16942,10546,6396,96,62,34,1204,629,575,1871,786,1085,13771,9069,4702,1497574,511054,986520,,
33,602,5693,0,0,0,SUB-DISTRICT,Gummidipoondi,Total,50144,190541,95799,94742,21584,10952,10632,49849,24815,25034,5100,2518,2582,121410,67899,53511,69131,27900,41231,85410,57666,27744,65422,47297,18125,7396,5463,1933,22967,13444,9523,1380,889,491,33679,27501,6178,19988,10369,9619,1391,804,587,11901,5781,6120,496,169,327,6200,3615,2585,16530,8726,7804,1151,684,467,10189,5040,5149,314,129,185,4876,2873,2003,3458,1643,1815,240,120,120,1712,741,971,182,40,142,1324,742,582,105131,38133,66998,,
33,602,5693,0,0,0,SUB-DISTRICT,Gummidipoondi,Rural,42148,159356,80046,79310,17868,9091,8777,46740,23256,23484,4659,2306,2353,98479,55469,43010,60877,24577,36300,74061,48582,25479,55535,39233,16302,7058,5220,1838,22045,12786,9259,1124,724,400,25308,20503,4805,18526,9349,9177,1326,750,576,11478,5481,5997,440,140,300,5282,2978,2304,15369,7910,7459,1092,635,457,9878,4816,5062,270,103,167,4129,2356,1773,3157,1439,1718,234,115,119,1600,665,935,170,37,133,1153,622,531,85295,31464,53831,,
33,602,5693,0,0,0,SUB-DISTRICT,Gummidipoondi,Urban,7996,31185,15753,15432,3716,1861,1855,3109,1559,1550,441,212,229,22931,12430,10501,8254,3323,4931,11349,9084,2265,9887,8064,1823,338,243,95,922,658,264,256,165,91,8371,6998,1373,1462,1020,442,65,54,11,423,300,123,56,29,27,918,637,281,1161,816,345,59,49,10,311,224,87,44,26,18,747,517,230,301,204,97,6,5,1,112,76,36,12,3,9,171,120,51,19836,6669,13167,,
33,602,5694,0,0,0,SUB-DISTRICT,Ponneri,Total,100866,389862,195181,194681,42836,21900,20936,124094,61814,62280,7942,3946,3996,275736,149141,126595,114126,46040,68086,164036,117943,46093,126951,98237,28714,7638,6129,1509,25875,16306,9569,3104,1926,1178,90334,73876,16458,37085,19706,17379,1238,728,510,12690,6073,6617,2765,1097,1668,20392,11808,8584,32095,17674,14421,1120,682,438,11096,5531,5565,2203,957,1246,17676,10504,7172,4990,2032,2958,118,46,72,1594,542,1052,562,140,422,2716,1304,1412,225826,77238,148588,,
33,602,5694,0,0,0,SUB-DISTRICT,Ponneri,Rural,64051,243676,121799,121877,27045,13768,13277,92336,46017,46319,6436,3196,3240,163191,89170,74021,80485,32629,47856,107520,74504,33016,80721,61022,19699,7088,5675,1413,24448,15410,9038,1832,1168,664,47353,38769,8584,26799,13482,13317,1114,647,467,11956,5671,6285,922,330,592,12807,6834,5973,22990,12022,10968,1005,605,400,10484,5174,5310,656,267,389,10845,5976,4869,3809,1460,2349,109,42,67,1472,497,975,266,63,203,1962,858,1104,136156,47295,88861,,
33,602,5694,0,0,0,SUB-DISTRICT,Ponneri,Urban,36815,146186,73382,72804,15791,8132,7659,31758,15797,15961,1506,750,756,112545,59971,52574,33641,13411,20230,56516,43439,13077,46230,37215,9015,550,454,96,1427,896,531,1272,758,514,42981,35107,7874,10286,6224,4062,124,81,43,734,402,332,1843,767,1076,7585,4974,2611,9105,5652,3453,115,77,38,612,357,255,1547,690,857,6831,4528,2303,1181,572,609,9,4,5,122,45,77,296,77,219,754,446,308,89670,29943,59727,,
33,602,5695,0,0,0,SUB-DISTRICT,Uthukkottai,Total,40313,152631,75475,77156,16801,8585,8216,52738,26247,26491,6609,3268,3341,94212,52339,41873,58419,23136,35283,75543,45874,29669,58332,37293,21039,6621,4692,1929,30745,16687,14058,1799,1044,755,19167,14870,4297,17211,8581,8630,1018,570,448,10944,5107,5837,430,173,257,4819,2731,2088,14813,7509,7304,926,514,412,9182,4368,4814,305,135,170,4400,2492,1908,2398,1072,1326,92,56,36,1762,739,1023,125,38,87,419,239,180,77088,29601,47487,,
33,602,5695,0,0,0,SUB-DISTRICT,Uthukkottai,Rural,37069,139891,69215,70676,15517,7916,7601,50974,25374,25600,6335,3131,3204,85164,47500,37664,54727,21715,33012,70727,42299,28428,54355,34192,20163,6417,4527,1890,29955,16203,13752,1601,911,690,16382,12551,3831,16372,8107,8265,1007,564,443,10553,4931,5622,377,157,220,4435,2455,1980,14267,7163,7104,917,509,408,9015,4292,4723,279,124,155,4056,2238,1818,2105,944,1161,90,55,35,1538,639,899,98,33,65,379,217,162,69164,26916,42248,,
33,602,5695,0,0,0,SUB-DISTRICT,Uthukkottai,Urban,3244,12740,6260,6480,1284,669,615,1764,873,891,274,137,137,9048,4839,4209,3692,1421,2271,4816,3575,1241,3977,3101,876,204,165,39,790,484,306,198,133,65,2785,2319,466,839,474,365,11,6,5,391,176,215,53,16,37,384,276,108,546,346,200,9,5,4,167,76,91,26,11,15,344,254,90,293,128,165,2,1,1,224,100,124,27,5,22,40,22,18,7924,2685,5239,,
33,602,5696,0,0,0,SUB-DISTRICT,Tiruttani,Total,52490,211291,105568,105723,23184,12076,11108,57297,28609,28688,6288,3160,3128,138720,77356,61364,72571,28212,44359,102381,62696,39685,70957,48035,22922,9859,6924,2935,24952,12831,12121,3881,2014,1867,32265,26266,5999,31424,14661,16763,2084,1087,997,18913,8308,10605,1981,678,1303,8446,4588,3858,25702,12328,13374,1604,851,753,15789,7101,8688,1471,531,940,6838,3845,2993,5722,2333,3389,480,236,244,3124,1207,1917,510,147,363,1608,743,865,108910,42872,66038,,
