State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,616.0,5787.0,0.0,0.0,0.0,SUB-DISTRICT,Ariyalur,Total,67703.0,255809.0,127016.0,128793.0,28084.0,14541.0,13543.0,55443.0,27659.0,27784.0,1217.0,599.0,618.0,162744.0,91304.0,71440.0,93065.0,35712.0,57353.0,122303.0,73543.0,48760.0,98833.0,62533.0,36300.0,35419.0,23235.0,12184.0,37656.0,19469.0,18187.0,1933.0,1102.0,831.0,23825.0,18727.0,5098.0,23470.0,11010.0,12460.0,3117.0,1769.0,1348.0,15414.0,6066.0,9348.0,604.0,240.0,364.0,4335.0,2935.0,1400.0,19402.0,9417.0,9985.0,2664.0,1601.0,1063.0,12793.0,5199.0,7594.0,397.0,178.0,219.0,3548.0,2439.0,1109.0,4068.0,1593.0,2475.0,453.0,168.0,285.0,2621.0,867.0,1754.0,207.0,62.0,145.0,787.0,496.0,291.0,133506.0,53473.0,80033.0,,
33.0,616.0,5787.0,0.0,0.0,0.0,SUB-DISTRICT,Ariyalur,Rural,60384.0,226907.0,112667.0,114240.0,25107.0,13003.0,12104.0,52189.0,26039.0,26150.0,1209.0,594.0,615.0,140767.0,79740.0,61027.0,86140.0,32927.0,53213.0,112020.0,65728.0,46292.0,90385.0,56003.0,34382.0,35104.0,22987.0,12117.0,36986.0,19025.0,17961.0,1635.0,929.0,706.0,16660.0,13062.0,3598.0,21635.0,9725.0,11910.0,2958.0,1651.0,1307.0,15239.0,5944.0,9295.0,454.0,173.0,281.0,2984.0,1957.0,1027.0,18041.0,8454.0,9587.0,2523.0,1496.0,1027.0,12701.0,5134.0,7567.0,315.0,141.0,174.0,2502.0,1683.0,819.0,3594.0,1271.0,2323.0,435.0,155.0,280.0,2538.0,810.0,1728.0,139.0,32.0,107.0,482.0,274.0,208.0,114887.0,46939.0,67948.0,,
33.0,616.0,5787.0,0.0,0.0,0.0,SUB-DISTRICT,Ariyalur,Urban,7319.0,28902.0,14349.0,14553.0,2977.0,1538.0,1439.0,3254.0,1620.0,1634.0,8.0,5.0,3.0,21977.0,11564.0,10413.0,6925.0,2785.0,4140.0,10283.0,7815.0,2468.0,8448.0,6530.0,1918.0,315.0,248.0,67.0,670.0,444.0,226.0,298.0,173.0,125.0,7165.0,5665.0,1500.0,1835.0,1285.0,550.0,159.0,118.0,41.0,175.0,122.0,53.0,150.0,67.0,83.0,1351.0,978.0,373.0,1361.0,963.0,398.0,141.0,105.0,36.0,92.0,65.0,27.0,82.0,37.0,45.0,1046.0,756.0,290.0,474.0,322.0,152.0,18.0,13.0,5.0,83.0,57.0,26.0,68.0,30.0,38.0,305.0,222.0,83.0,18619.0,6534.0,12085.0,,
33.0,616.0,5787.0,636451.0,0.0,0.0,VILLAGE,Pottaveli,Rural,1048.0,4261.0,2171.0,2090.0,517.0,270.0,247.0,2142.0,1126.0,1016.0,0.0,0.0,0.0,2550.0,1524.0,1026.0,1711.0,647.0,1064.0,2107.0,1265.0,842.0,1718.0,1033.0,685.0,645.0,351.0,294.0,768.0,419.0,349.0,32.0,28.0,4.0,273.0,235.0,38.0,389.0,232.0,157.0,198.0,116.0,82.0,149.0,84.0,65.0,0.0,0.0,0.0,42.0,32.0,10.0,353.0,218.0,135.0,190.0,115.0,75.0,128.0,77.0,51.0,0.0,0.0,0.0,35.0,26.0,9.0,36.0,14.0,22.0,8.0,1.0,7.0,21.0,7.0,14.0,0.0,0.0,0.0,7.0,6.0,1.0,2154.0,906.0,1248.0,,
33.0,616.0,5787.0,636452.0,0.0,0.0,VILLAGE,Rayampuram,Rural,947.0,3718.0,1846.0,1872.0,379.0,191.0,188.0,1456.0,726.0,730.0,0.0,0.0,0.0,2095.0,1229.0,866.0,1623.0,617.0,1006.0,1969.0,1073.0,896.0,1184.0,752.0,432.0,678.0,412.0,266.0,260.0,138.0,122.0,36.0,32.0,4.0,210.0,170.0,40.0,785.0,321.0,464.0,50.0,26.0,24.0,502.0,117.0,385.0,14.0,8.0,6.0,219.0,170.0,49.0,509.0,248.0,261.0,41.0,24.0,17.0,310.0,90.0,220.0,8.0,6.0,2.0,150.0,128.0,22.0,276.0,73.0,203.0,9.0,2.0,7.0,192.0,27.0,165.0,6.0,2.0,4.0,69.0,42.0,27.0,1749.0,773.0,976.0,,
33.0,616.0,5787.0,636453.0,0.0,0.0,VILLAGE,Sennivanam,Rural,474.0,1870.0,932.0,938.0,195.0,109.0,86.0,1179.0,586.0,593.0,0.0,0.0,0.0,1257.0,711.0,546.0,613.0,221.0,392.0,1144.0,590.0,554.0,705.0,389.0,316.0,225.0,177.0,48.0,336.0,93.0,243.0,9.0,6.0,3.0,135.0,113.0,22.0,439.0,201.0,238.0,22.0,12.0,10.0,388.0,170.0,218.0,9.0,7.0,2.0,20.0,12.0,8.0,405.0,190.0,215.0,10.0,5.0,5.0,370.0,168.0,202.0,6.0,5.0,1.0,19.0,12.0,7.0,34.0,11.0,23.0,12.0,7.0,5.0,18.0,2.0,16.0,3.0,2.0,1.0,1.0,0.0,1.0,726.0,342.0,384.0,,
33.0,616.0,5787.0,636454.0,0.0,0.0,VILLAGE,Illuppaiyur ,Rural,983.0,4142.0,2158.0,1984.0,481.0,283.0,198.0,1985.0,1043.0,942.0,0.0,0.0,0.0,2433.0,1505.0,928.0,1709.0,653.0,1056.0,2148.0,1272.0,876.0,1589.0,1101.0,488.0,833.0,566.0,267.0,531.0,355.0,176.0,31.0,12.0,19.0,194.0,168.0,26.0,559.0,171.0,388.0,38.0,16.0,22.0,475.0,130.0,345.0,6.0,0.0,6.0,40.0,25.0,15.0,466.0,153.0,313.0,29.0,16.0,13.0,396.0,115.0,281.0,6.0,0.0,6.0,35.0,22.0,13.0,93.0,18.0,75.0,9.0,0.0,9.0,79.0,15.0,64.0,0.0,0.0,0.0,5.0,3.0,2.0,1994.0,886.0,1108.0,,
33.0,616.0,5787.0,636455.0,0.0,0.0,VILLAGE,Ottakoil,Rural,1210.0,4703.0,2344.0,2359.0,535.0,275.0,260.0,1769.0,899.0,870.0,0.0,0.0,0.0,2748.0,1640.0,1108.0,1955.0,704.0,1251.0,2543.0,1396.0,1147.0,1710.0,1120.0,590.0,704.0,393.0,311.0,541.0,355.0,186.0,40.0,18.0,22.0,425.0,354.0,71.0,833.0,276.0,557.0,215.0,108.0,107.0,553.0,144.0,409.0,18.0,3.0,15.0,47.0,21.0,26.0,616.0,188.0,428.0,71.0,38.0,33.0,504.0,135.0,369.0,9.0,1.0,8.0,32.0,14.0,18.0,217.0,88.0,129.0,144.0,70.0,74.0,49.0,9.0,40.0,9.0,2.0,7.0,15.0,7.0,8.0,2160.0,948.0,1212.0,,
33.0,616.0,5787.0,636456.0,0.0,0.0,VILLAGE,Govindapuram  ,Rural,1242.0,4996.0,2502.0,2494.0,591.0,314.0,277.0,1347.0,674.0,673.0,0.0,0.0,0.0,3260.0,1871.0,1389.0,1736.0,631.0,1105.0,2399.0,1486.0,913.0,2183.0,1401.0,782.0,600.0,380.0,220.0,843.0,452.0,391.0,28.0,12.0,16.0,712.0,557.0,155.0,216.0,85.0,131.0,26.0,13.0,13.0,79.0,18.0,61.0,10.0,2.0,8.0,101.0,52.0,49.0,169.0,63.0,106.0,18.0,8.0,10.0,59.0,12.0,47.0,8.0,1.0,7.0,84.0,42.0,42.0,47.0,22.0,25.0,8.0,5.0,3.0,20.0,6.0,14.0,2.0,1.0,1.0,17.0,10.0,7.0,2597.0,1016.0,1581.0,,
33.0,616.0,5787.0,636457.0,0.0,0.0,VILLAGE,Kallankurichi  ,Rural,1380.0,5385.0,2663.0,2722.0,607.0,304.0,303.0,1383.0,699.0,684.0,1.0,1.0,0.0,3392.0,1957.0,1435.0,1993.0,706.0,1287.0,2335.0,1480.0,855.0,1933.0,1228.0,705.0,649.0,396.0,253.0,500.0,264.0,236.0,71.0,17.0,54.0,713.0,551.0,162.0,402.0,252.0,150.0,25.0,16.0,9.0,274.0,173.0,101.0,9.0,3.0,6.0,94.0,60.0,34.0,362.0,235.0,127.0,18.0,12.0,6.0,271.0,171.0,100.0,4.0,2.0,2.0,69.0,50.0,19.0,40.0,17.0,23.0,7.0,4.0,3.0,3.0,2.0,1.0,5.0,1.0,4.0,25.0,10.0,15.0,3050.0,1183.0,1867.0,,
