State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,616.0,5785.0,0.0,0.0,0.0,SUB-DISTRICT,Sendurai,Total,29258.0,111891.0,55373.0,56518.0,12124.0,6483.0,5641.0,32887.0,16581.0,16306.0,1344.0,645.0,699.0,67977.0,38900.0,29077.0,43914.0,16473.0,27441.0,54597.0,30580.0,24017.0,42333.0,25539.0,16794.0,18005.0,11384.0,6621.0,16704.0,8495.0,8209.0,1801.0,1147.0,654.0,5823.0,4513.0,1310.0,12264.0,5041.0,7223.0,3019.0,1360.0,1659.0,7709.0,2796.0,4913.0,291.0,130.0,161.0,1245.0,755.0,490.0,9759.0,4089.0,5670.0,2442.0,1051.0,1391.0,6024.0,2257.0,3767.0,238.0,104.0,134.0,1055.0,677.0,378.0,2505.0,952.0,1553.0,577.0,309.0,268.0,1685.0,539.0,1146.0,53.0,26.0,27.0,190.0,78.0,112.0,57294.0,24793.0,32501.0,,
33.0,616.0,5785.0,0.0,0.0,0.0,SUB-DISTRICT,Sendurai,Rural,29258.0,111891.0,55373.0,56518.0,12124.0,6483.0,5641.0,32887.0,16581.0,16306.0,1344.0,645.0,699.0,67977.0,38900.0,29077.0,43914.0,16473.0,27441.0,54597.0,30580.0,24017.0,42333.0,25539.0,16794.0,18005.0,11384.0,6621.0,16704.0,8495.0,8209.0,1801.0,1147.0,654.0,5823.0,4513.0,1310.0,12264.0,5041.0,7223.0,3019.0,1360.0,1659.0,7709.0,2796.0,4913.0,291.0,130.0,161.0,1245.0,755.0,490.0,9759.0,4089.0,5670.0,2442.0,1051.0,1391.0,6024.0,2257.0,3767.0,238.0,104.0,134.0,1055.0,677.0,378.0,2505.0,952.0,1553.0,577.0,309.0,268.0,1685.0,539.0,1146.0,53.0,26.0,27.0,190.0,78.0,112.0,57294.0,24793.0,32501.0,,
33.0,616.0,5785.0,0.0,0.0,0.0,SUB-DISTRICT,Sendurai,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,616.0,5785.0,636305.0,0.0,0.0,VILLAGE,Sannasinallur ,Rural,1152.0,4074.0,1982.0,2092.0,442.0,219.0,223.0,1894.0,951.0,943.0,28.0,12.0,16.0,2203.0,1259.0,944.0,1871.0,723.0,1148.0,2262.0,1130.0,1132.0,1493.0,849.0,644.0,775.0,462.0,313.0,576.0,282.0,294.0,12.0,8.0,4.0,130.0,97.0,33.0,769.0,281.0,488.0,413.0,210.0,203.0,301.0,49.0,252.0,26.0,6.0,20.0,29.0,16.0,13.0,653.0,260.0,393.0,383.0,201.0,182.0,226.0,43.0,183.0,22.0,4.0,18.0,22.0,12.0,10.0,116.0,21.0,95.0,30.0,9.0,21.0,75.0,6.0,69.0,4.0,2.0,2.0,7.0,4.0,3.0,1812.0,852.0,960.0,,
33.0,616.0,5785.0,636306.0,0.0,0.0,VILLAGE,Thalavoi (North),Rural,685.0,2691.0,1309.0,1382.0,272.0,149.0,123.0,683.0,344.0,339.0,11.0,7.0,4.0,1362.0,789.0,573.0,1329.0,520.0,809.0,1403.0,785.0,618.0,991.0,581.0,410.0,297.0,261.0,36.0,604.0,256.0,348.0,23.0,14.0,9.0,67.0,50.0,17.0,412.0,204.0,208.0,137.0,134.0,3.0,244.0,49.0,195.0,15.0,7.0,8.0,16.0,14.0,2.0,137.0,76.0,61.0,26.0,25.0,1.0,87.0,36.0,51.0,14.0,7.0,7.0,10.0,8.0,2.0,275.0,128.0,147.0,111.0,109.0,2.0,157.0,13.0,144.0,1.0,0.0,1.0,6.0,6.0,0.0,1288.0,524.0,764.0,,
33.0,616.0,5785.0,636307.0,0.0,0.0,VILLAGE,Thalavoi (South) ,Rural,1152.0,4478.0,2231.0,2247.0,503.0,273.0,230.0,1502.0,742.0,760.0,23.0,12.0,11.0,2942.0,1616.0,1326.0,1536.0,615.0,921.0,1642.0,1183.0,459.0,1533.0,1137.0,396.0,433.0,391.0,42.0,567.0,286.0,281.0,6.0,6.0,0.0,527.0,454.0,73.0,109.0,46.0,63.0,19.0,13.0,6.0,45.0,8.0,37.0,3.0,2.0,1.0,42.0,23.0,19.0,107.0,44.0,63.0,19.0,13.0,6.0,44.0,7.0,37.0,3.0,2.0,1.0,41.0,22.0,19.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2836.0,1048.0,1788.0,,
33.0,616.0,5785.0,636308.0,0.0,0.0,VILLAGE,Alathiyur,Rural,922.0,3606.0,1819.0,1787.0,406.0,230.0,176.0,695.0,339.0,356.0,110.0,59.0,51.0,2243.0,1265.0,978.0,1363.0,554.0,809.0,1802.0,1023.0,779.0,1364.0,782.0,582.0,181.0,93.0,88.0,891.0,454.0,437.0,16.0,10.0,6.0,276.0,225.0,51.0,438.0,241.0,197.0,160.0,83.0,77.0,200.0,108.0,92.0,10.0,4.0,6.0,68.0,46.0,22.0,390.0,223.0,167.0,145.0,76.0,69.0,172.0,100.0,72.0,7.0,2.0,5.0,66.0,45.0,21.0,48.0,18.0,30.0,15.0,7.0,8.0,28.0,8.0,20.0,3.0,2.0,1.0,2.0,1.0,1.0,1804.0,796.0,1008.0,,
33.0,616.0,5785.0,636309.0,0.0,0.0,VILLAGE,Adhanakurichi ,Rural,951.0,3772.0,1881.0,1891.0,446.0,248.0,198.0,1499.0,759.0,740.0,377.0,173.0,204.0,1973.0,1141.0,832.0,1799.0,740.0,1059.0,1744.0,1021.0,723.0,798.0,585.0,213.0,136.0,121.0,15.0,506.0,339.0,167.0,13.0,7.0,6.0,143.0,118.0,25.0,946.0,436.0,510.0,14.0,12.0,2.0,904.0,408.0,496.0,5.0,3.0,2.0,23.0,13.0,10.0,919.0,427.0,492.0,14.0,12.0,2.0,879.0,400.0,479.0,3.0,2.0,1.0,23.0,13.0,10.0,27.0,9.0,18.0,0.0,0.0,0.0,25.0,8.0,17.0,2.0,1.0,1.0,0.0,0.0,0.0,2028.0,860.0,1168.0,,
33.0,616.0,5785.0,636310.0,0.0,0.0,VILLAGE,Manakkudaiyan,Rural,918.0,3385.0,1710.0,1675.0,361.0,178.0,183.0,1283.0,656.0,627.0,13.0,5.0,8.0,1981.0,1142.0,839.0,1404.0,568.0,836.0,1539.0,982.0,557.0,1375.0,898.0,477.0,308.0,264.0,44.0,887.0,500.0,387.0,13.0,6.0,7.0,167.0,128.0,39.0,164.0,84.0,80.0,26.0,11.0,15.0,69.0,26.0,43.0,7.0,3.0,4.0,62.0,44.0,18.0,160.0,83.0,77.0,25.0,11.0,14.0,69.0,26.0,43.0,7.0,3.0,4.0,59.0,43.0,16.0,4.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1846.0,728.0,1118.0,,
33.0,616.0,5785.0,636311.0,0.0,0.0,VILLAGE,Ayanathathanur ,Rural,1004.0,3823.0,1911.0,1912.0,431.0,233.0,198.0,2023.0,1039.0,984.0,2.0,1.0,1.0,2117.0,1226.0,891.0,1706.0,685.0,1021.0,2101.0,1112.0,989.0,1759.0,948.0,811.0,591.0,298.0,293.0,1070.0,571.0,499.0,11.0,7.0,4.0,87.0,72.0,15.0,342.0,164.0,178.0,128.0,68.0,60.0,196.0,79.0,117.0,1.0,1.0,0.0,17.0,16.0,1.0,338.0,163.0,175.0,128.0,68.0,60.0,192.0,78.0,114.0,1.0,1.0,0.0,17.0,16.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1722.0,799.0,923.0,,
