State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,603.0,99999.0,0.0,0.0,0.0,SUB-DISTRICT,Area not under any Sub-district,Total,1154982.0,4646732.0,2335844.0,2310888.0,459324.0,235519.0,223805.0,779667.0,389001.0,390666.0,10061.0,5207.0,4854.0,3776276.0,1968079.0,1808197.0,870456.0,367765.0,502691.0,1817297.0,1369302.0,447995.0,1619554.0,1256644.0,362910.0,10210.0,6732.0,3478.0,10251.0,6015.0,4236.0,29143.0,15860.0,13283.0,1569950.0,1228037.0,341913.0,197743.0,112658.0,85085.0,4244.0,2188.0,2056.0,3423.0,1830.0,1593.0,8202.0,2689.0,5513.0,181874.0,105951.0,75923.0,175715.0,99348.0,76367.0,4125.0,2153.0,1972.0,3107.0,1686.0,1421.0,6356.0,1933.0,4423.0,162127.0,93576.0,68551.0,22028.0,13310.0,8718.0,119.0,35.0,84.0,316.0,144.0,172.0,1846.0,756.0,1090.0,19747.0,12375.0,7372.0,2829435.0,966542.0,1862893.0,,
33.0,603.0,99999.0,0.0,0.0,0.0,SUB-DISTRICT,Area not under any Sub-district,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,603.0,99999.0,0.0,0.0,0.0,SUB-DISTRICT,Area not under any Sub-district,Urban,1154982.0,4646732.0,2335844.0,2310888.0,459324.0,235519.0,223805.0,779667.0,389001.0,390666.0,10061.0,5207.0,4854.0,3776276.0,1968079.0,1808197.0,870456.0,367765.0,502691.0,1817297.0,1369302.0,447995.0,1619554.0,1256644.0,362910.0,10210.0,6732.0,3478.0,10251.0,6015.0,4236.0,29143.0,15860.0,13283.0,1569950.0,1228037.0,341913.0,197743.0,112658.0,85085.0,4244.0,2188.0,2056.0,3423.0,1830.0,1593.0,8202.0,2689.0,5513.0,181874.0,105951.0,75923.0,175715.0,99348.0,76367.0,4125.0,2153.0,1972.0,3107.0,1686.0,1421.0,6356.0,1933.0,4423.0,162127.0,93576.0,68551.0,22028.0,13310.0,8718.0,119.0,35.0,84.0,316.0,144.0,172.0,1846.0,756.0,1090.0,19747.0,12375.0,7372.0,2829435.0,966542.0,1862893.0,,
33.0,603.0,99999.0,803339.0,0.0,0.0,TOWN,Chennai (M Corp.),Urban,1154982.0,4646732.0,2335844.0,2310888.0,459324.0,235519.0,223805.0,779667.0,389001.0,390666.0,10061.0,5207.0,4854.0,3776276.0,1968079.0,1808197.0,870456.0,367765.0,502691.0,1817297.0,1369302.0,447995.0,1619554.0,1256644.0,362910.0,10210.0,6732.0,3478.0,10251.0,6015.0,4236.0,29143.0,15860.0,13283.0,1569950.0,1228037.0,341913.0,197743.0,112658.0,85085.0,4244.0,2188.0,2056.0,3423.0,1830.0,1593.0,8202.0,2689.0,5513.0,181874.0,105951.0,75923.0,175715.0,99348.0,76367.0,4125.0,2153.0,1972.0,3107.0,1686.0,1421.0,6356.0,1933.0,4423.0,162127.0,93576.0,68551.0,22028.0,13310.0,8718.0,119.0,35.0,84.0,316.0,144.0,172.0,1846.0,756.0,1090.0,19747.0,12375.0,7372.0,2829435.0,966542.0,1862893.0,,
33.0,603.0,99999.0,803339.0,1.0,0.0,WARD,Chennai (M Corp.) WARD NO.-0001,Urban,18900.0,76760.0,38805.0,37955.0,8209.0,4292.0,3917.0,7010.0,3536.0,3474.0,108.0,58.0,50.0,63354.0,33027.0,30327.0,13406.0,5778.0,7628.0,29282.0,22882.0,6400.0,25031.0,20373.0,4658.0,94.0,70.0,24.0,167.0,106.0,61.0,402.0,255.0,147.0,24368.0,19942.0,4426.0,4251.0,2509.0,1742.0,53.0,32.0,21.0,63.0,20.0,43.0,280.0,61.0,219.0,3855.0,2396.0,1459.0,3950.0,2331.0,1619.0,51.0,32.0,19.0,59.0,17.0,42.0,247.0,53.0,194.0,3593.0,2229.0,1364.0,301.0,178.0,123.0,2.0,0.0,2.0,4.0,3.0,1.0,33.0,8.0,25.0,262.0,167.0,95.0,47478.0,15923.0,31555.0,,
33.0,603.0,99999.0,803339.0,2.0,0.0,WARD,Chennai (M Corp.) WARD NO.-0002,Urban,16713.0,66897.0,33781.0,33116.0,7196.0,3722.0,3474.0,11315.0,5660.0,5655.0,160.0,72.0,88.0,54439.0,28397.0,26042.0,12458.0,5384.0,7074.0,25368.0,19978.0,5390.0,22226.0,18147.0,4079.0,102.0,66.0,36.0,115.0,79.0,36.0,412.0,213.0,199.0,21597.0,17789.0,3808.0,3142.0,1831.0,1311.0,33.0,16.0,17.0,25.0,9.0,16.0,163.0,77.0,86.0,2921.0,1729.0,1192.0,2813.0,1613.0,1200.0,32.0,16.0,16.0,21.0,7.0,14.0,89.0,30.0,59.0,2671.0,1560.0,1111.0,329.0,218.0,111.0,1.0,0.0,1.0,4.0,2.0,2.0,74.0,47.0,27.0,250.0,169.0,81.0,41529.0,13803.0,27726.0,,
33.0,603.0,99999.0,803339.0,3.0,0.0,WARD,Chennai (M Corp.) WARD NO.-0003,Urban,13248.0,52995.0,26804.0,26191.0,6326.0,3279.0,3047.0,2568.0,1292.0,1276.0,21.0,11.0,10.0,40119.0,21270.0,18849.0,12876.0,5534.0,7342.0,19429.0,16204.0,3225.0,18213.0,15497.0,2716.0,117.0,94.0,23.0,60.0,37.0,23.0,309.0,173.0,136.0,17727.0,15193.0,2534.0,1216.0,707.0,509.0,34.0,14.0,20.0,15.0,5.0,10.0,39.0,15.0,24.0,1128.0,673.0,455.0,1049.0,617.0,432.0,33.0,14.0,19.0,14.0,4.0,10.0,26.0,7.0,19.0,976.0,592.0,384.0,167.0,90.0,77.0,1.0,0.0,1.0,1.0,1.0,0.0,13.0,8.0,5.0,152.0,81.0,71.0,33566.0,10600.0,22966.0,,
33.0,603.0,99999.0,803339.0,4.0,0.0,WARD,Chennai (M Corp.) WARD NO.-0004,Urban,3634.0,15186.0,7506.0,7680.0,1564.0,796.0,768.0,4499.0,2206.0,2293.0,11.0,5.0,6.0,11579.0,6047.0,5532.0,3607.0,1459.0,2148.0,5176.0,4381.0,795.0,4851.0,4179.0,672.0,7.0,5.0,2.0,11.0,7.0,4.0,69.0,22.0,47.0,4764.0,4145.0,619.0,325.0,202.0,123.0,11.0,5.0,6.0,3.0,1.0,2.0,13.0,4.0,9.0,298.0,192.0,106.0,302.0,185.0,117.0,11.0,5.0,6.0,3.0,1.0,2.0,11.0,3.0,8.0,277.0,176.0,101.0,23.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,21.0,16.0,5.0,10010.0,3125.0,6885.0,,
33.0,603.0,99999.0,803339.0,5.0,0.0,WARD,Chennai (M Corp.) WARD NO.-0005,Urban,11147.0,45204.0,22583.0,22621.0,4707.0,2384.0,2323.0,5644.0,2814.0,2830.0,92.0,50.0,42.0,34811.0,18268.0,16543.0,10393.0,4315.0,6078.0,17155.0,13398.0,3757.0,14679.0,12031.0,2648.0,45.0,25.0,20.0,76.0,51.0,25.0,382.0,252.0,130.0,14176.0,11703.0,2473.0,2476.0,1367.0,1109.0,23.0,8.0,15.0,17.0,8.0,9.0,29.0,9.0,20.0,2407.0,1342.0,1065.0,2340.0,1279.0,1061.0,22.0,7.0,15.0,17.0,8.0,9.0,21.0,7.0,14.0,2280.0,1257.0,1023.0,136.0,88.0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,127.0,85.0,42.0,28049.0,9185.0,18864.0,,
33.0,603.0,99999.0,803339.0,6.0,0.0,WARD,Chennai (M Corp.) WARD NO.-0006,Urban,4775.0,19523.0,9739.0,9784.0,1983.0,1005.0,978.0,2681.0,1332.0,1349.0,5.0,3.0,2.0,15256.0,8003.0,7253.0,4267.0,1736.0,2531.0,7801.0,6082.0,1719.0,7053.0,5710.0,1343.0,29.0,22.0,7.0,48.0,38.0,10.0,52.0,26.0,26.0,6924.0,5624.0,1300.0,748.0,372.0,376.0,6.0,1.0,5.0,8.0,5.0,3.0,28.0,8.0,20.0,706.0,358.0,348.0,692.0,336.0,356.0,6.0,1.0,5.0,7.0,4.0,3.0,21.0,5.0,16.0,658.0,326.0,332.0,56.0,36.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,3.0,4.0,48.0,32.0,16.0,11722.0,3657.0,8065.0,,
