State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,632.0,5897.0,0.0,0.0,0.0,SUB-DISTRICT,Coimbatore North,Total,176703.0,637389.0,320620.0,316769.0,60140.0,30778.0,29362.0,91506.0,45902.0,45604.0,4419.0,2240.0,2179.0,483470.0,257545.0,225925.0,153919.0,63075.0,90844.0,292239.0,201395.0,90844.0,265831.0,188166.0,77665.0,14669.0,9495.0,5174.0,27264.0,14678.0,12586.0,6857.0,3788.0,3069.0,217041.0,160205.0,56836.0,26408.0,13229.0,13179.0,1017.0,505.0,512.0,5011.0,2267.0,2744.0,1094.0,365.0,729.0,19286.0,10092.0,9194.0,22531.0,11275.0,11256.0,939.0,468.0,471.0,4234.0,1960.0,2274.0,792.0,252.0,540.0,16566.0,8595.0,7971.0,3877.0,1954.0,1923.0,78.0,37.0,41.0,777.0,307.0,470.0,302.0,113.0,189.0,2720.0,1497.0,1223.0,345150.0,119225.0,225925.0,,
33.0,632.0,5897.0,0.0,0.0,0.0,SUB-DISTRICT,Coimbatore North,Rural,47879.0,169265.0,84785.0,84480.0,14930.0,7592.0,7338.0,40279.0,20224.0,20055.0,3805.0,1918.0,1887.0,110745.0,61212.0,49533.0,58520.0,23573.0,34947.0,89563.0,56061.0,33502.0,80134.0,51679.0,28455.0,12018.0,7538.0,4480.0,20774.0,11091.0,9683.0,2823.0,1540.0,1283.0,44519.0,31510.0,13009.0,9429.0,4382.0,5047.0,609.0,269.0,340.0,3535.0,1537.0,1998.0,455.0,162.0,293.0,4830.0,2414.0,2416.0,7993.0,3733.0,4260.0,550.0,244.0,306.0,3113.0,1382.0,1731.0,345.0,121.0,224.0,3985.0,1986.0,1999.0,1436.0,649.0,787.0,59.0,25.0,34.0,422.0,155.0,267.0,110.0,41.0,69.0,845.0,428.0,417.0,79702.0,28724.0,50978.0,,
33.0,632.0,5897.0,0.0,0.0,0.0,SUB-DISTRICT,Coimbatore North,Urban,128824.0,468124.0,235835.0,232289.0,45210.0,23186.0,22024.0,51227.0,25678.0,25549.0,614.0,322.0,292.0,372725.0,196333.0,176392.0,95399.0,39502.0,55897.0,202676.0,145334.0,57342.0,185697.0,136487.0,49210.0,2651.0,1957.0,694.0,6490.0,3587.0,2903.0,4034.0,2248.0,1786.0,172522.0,128695.0,43827.0,16979.0,8847.0,8132.0,408.0,236.0,172.0,1476.0,730.0,746.0,639.0,203.0,436.0,14456.0,7678.0,6778.0,14538.0,7542.0,6996.0,389.0,224.0,165.0,1121.0,578.0,543.0,447.0,131.0,316.0,12581.0,6609.0,5972.0,2441.0,1305.0,1136.0,19.0,12.0,7.0,355.0,152.0,203.0,192.0,72.0,120.0,1875.0,1069.0,806.0,265448.0,90501.0,174947.0,,
33.0,632.0,5897.0,644407.0,0.0,0.0,VILLAGE,Akkaraisengapalli,Rural,1058.0,3787.0,1875.0,1912.0,299.0,151.0,148.0,1406.0,707.0,699.0,0.0,0.0,0.0,2294.0,1263.0,1031.0,1493.0,612.0,881.0,2168.0,1317.0,851.0,1953.0,1233.0,720.0,634.0,435.0,199.0,769.0,416.0,353.0,36.0,24.0,12.0,514.0,358.0,156.0,215.0,84.0,131.0,16.0,4.0,12.0,171.0,62.0,109.0,4.0,3.0,1.0,24.0,15.0,9.0,213.0,83.0,130.0,15.0,4.0,11.0,171.0,62.0,109.0,4.0,3.0,1.0,23.0,14.0,9.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1619.0,558.0,1061.0,,
33.0,632.0,5897.0,644408.0,0.0,0.0,VILLAGE,Kanuvakkarai,Rural,736.0,2646.0,1331.0,1315.0,203.0,99.0,104.0,1339.0,663.0,676.0,0.0,0.0,0.0,1460.0,847.0,613.0,1186.0,484.0,702.0,1559.0,915.0,644.0,1521.0,905.0,616.0,272.0,183.0,89.0,985.0,528.0,457.0,2.0,1.0,1.0,262.0,193.0,69.0,38.0,10.0,28.0,9.0,0.0,9.0,23.0,5.0,18.0,0.0,0.0,0.0,6.0,5.0,1.0,34.0,8.0,26.0,9.0,0.0,9.0,21.0,5.0,16.0,0.0,0.0,0.0,4.0,3.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1087.0,416.0,671.0,,
33.0,632.0,5897.0,644409.0,0.0,0.0,VILLAGE,Ambodi,Rural,979.0,3531.0,1784.0,1747.0,324.0,165.0,159.0,1486.0,747.0,739.0,0.0,0.0,0.0,2073.0,1172.0,901.0,1458.0,612.0,846.0,1977.0,1198.0,779.0,1919.0,1166.0,753.0,478.0,283.0,195.0,553.0,317.0,236.0,84.0,41.0,43.0,804.0,525.0,279.0,58.0,32.0,26.0,15.0,7.0,8.0,14.0,8.0,6.0,0.0,0.0,0.0,29.0,17.0,12.0,46.0,27.0,19.0,7.0,4.0,3.0,13.0,7.0,6.0,0.0,0.0,0.0,26.0,16.0,10.0,12.0,5.0,7.0,8.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1554.0,586.0,968.0,,
33.0,632.0,5897.0,644410.0,0.0,0.0,VILLAGE,Allapalayam,Rural,615.0,2189.0,1111.0,1078.0,175.0,83.0,92.0,729.0,370.0,359.0,1.0,0.0,1.0,1416.0,805.0,611.0,773.0,306.0,467.0,1448.0,794.0,654.0,1422.0,789.0,633.0,341.0,190.0,151.0,682.0,344.0,338.0,11.0,4.0,7.0,388.0,251.0,137.0,26.0,5.0,21.0,1.0,0.0,1.0,17.0,2.0,15.0,0.0,0.0,0.0,8.0,3.0,5.0,24.0,5.0,19.0,1.0,0.0,1.0,15.0,2.0,13.0,0.0,0.0,0.0,8.0,3.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,741.0,317.0,424.0,,
33.0,632.0,5897.0,644411.0,0.0,0.0,VILLAGE,Pasur,Rural,888.0,3219.0,1575.0,1644.0,272.0,132.0,140.0,851.0,418.0,433.0,23.0,9.0,14.0,2000.0,1117.0,883.0,1219.0,458.0,761.0,1669.0,1064.0,605.0,1603.0,1034.0,569.0,299.0,187.0,112.0,381.0,183.0,198.0,14.0,8.0,6.0,909.0,656.0,253.0,66.0,30.0,36.0,10.0,3.0,7.0,17.0,5.0,12.0,5.0,1.0,4.0,34.0,21.0,13.0,49.0,22.0,27.0,10.0,3.0,7.0,15.0,5.0,10.0,3.0,1.0,2.0,21.0,13.0,8.0,17.0,8.0,9.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,13.0,8.0,5.0,1550.0,511.0,1039.0,,
33.0,632.0,5897.0,644412.0,0.0,0.0,VILLAGE,Annur Mettupalayam,Rural,1034.0,3902.0,1987.0,1915.0,339.0,201.0,138.0,1848.0,945.0,903.0,0.0,0.0,0.0,2379.0,1352.0,1027.0,1523.0,635.0,888.0,2212.0,1274.0,938.0,1976.0,1155.0,821.0,321.0,182.0,139.0,728.0,346.0,382.0,53.0,16.0,37.0,874.0,611.0,263.0,236.0,119.0,117.0,6.0,2.0,4.0,142.0,65.0,77.0,4.0,1.0,3.0,84.0,51.0,33.0,160.0,86.0,74.0,5.0,1.0,4.0,89.0,46.0,43.0,3.0,1.0,2.0,63.0,38.0,25.0,76.0,33.0,43.0,1.0,1.0,0.0,53.0,19.0,34.0,1.0,0.0,1.0,21.0,13.0,8.0,1690.0,713.0,977.0,,
33.0,632.0,5897.0,644413.0,0.0,0.0,VILLAGE,Vadakkalur,Rural,1567.0,5640.0,2784.0,2856.0,455.0,215.0,240.0,1645.0,808.0,837.0,1.0,1.0,0.0,3703.0,2092.0,1611.0,1937.0,692.0,1245.0,3234.0,1932.0,1302.0,3047.0,1840.0,1207.0,524.0,292.0,232.0,655.0,354.0,301.0,572.0,322.0,250.0,1296.0,872.0,424.0,187.0,92.0,95.0,28.0,5.0,23.0,42.0,17.0,25.0,3.0,2.0,1.0,114.0,68.0,46.0,141.0,63.0,78.0,27.0,4.0,23.0,24.0,9.0,15.0,3.0,2.0,1.0,87.0,48.0,39.0,46.0,29.0,17.0,1.0,1.0,0.0,18.0,8.0,10.0,0.0,0.0,0.0,27.0,20.0,7.0,2406.0,852.0,1554.0,,
