State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,617.0,5794.0,0.0,0.0,0.0,SUB-DISTRICT,Tittakudi,Total,65216.0,262606.0,132409.0,130197.0,28401.0,15106.0,13295.0,105638.0,53540.0,52098.0,1039.0,524.0,515.0,163295.0,93446.0,69849.0,99311.0,38963.0,60348.0,143625.0,79416.0,64209.0,108135.0,63712.0,44423.0,35884.0,21905.0,13979.0,51732.0,26610.0,25122.0,1828.0,881.0,947.0,18691.0,14316.0,4375.0,35490.0,15704.0,19786.0,4861.0,2401.0,2460.0,26390.0,11209.0,15181.0,823.0,323.0,500.0,3416.0,1771.0,1645.0,31833.0,14469.0,17364.0,4255.0,2303.0,1952.0,23723.0,10255.0,13468.0,673.0,270.0,403.0,3182.0,1641.0,1541.0,3657.0,1235.0,2422.0,606.0,98.0,508.0,2667.0,954.0,1713.0,150.0,53.0,97.0,234.0,130.0,104.0,118981.0,52993.0,65988.0,,
33.0,617.0,5794.0,0.0,0.0,0.0,SUB-DISTRICT,Tittakudi,Rural,54956.0,220218.0,111135.0,109083.0,24039.0,12837.0,11202.0,93888.0,47641.0,46247.0,715.0,357.0,358.0,133537.0,76958.0,56579.0,86681.0,34177.0,52504.0,125223.0,67172.0,58051.0,94923.0,53849.0,41074.0,34405.0,20729.0,13676.0,47324.0,23803.0,23521.0,1487.0,647.0,840.0,11707.0,8670.0,3037.0,30300.0,13323.0,16977.0,4488.0,2228.0,2260.0,22567.0,9501.0,13066.0,699.0,261.0,438.0,2546.0,1333.0,1213.0,26973.0,12183.0,14790.0,3882.0,2130.0,1752.0,20149.0,8596.0,11553.0,579.0,222.0,357.0,2363.0,1235.0,1128.0,3327.0,1140.0,2187.0,606.0,98.0,508.0,2418.0,905.0,1513.0,120.0,39.0,81.0,183.0,98.0,85.0,94995.0,43963.0,51032.0,,
33.0,617.0,5794.0,0.0,0.0,0.0,SUB-DISTRICT,Tittakudi,Urban,10260.0,42388.0,21274.0,21114.0,4362.0,2269.0,2093.0,11750.0,5899.0,5851.0,324.0,167.0,157.0,29758.0,16488.0,13270.0,12630.0,4786.0,7844.0,18402.0,12244.0,6158.0,13212.0,9863.0,3349.0,1479.0,1176.0,303.0,4408.0,2807.0,1601.0,341.0,234.0,107.0,6984.0,5646.0,1338.0,5190.0,2381.0,2809.0,373.0,173.0,200.0,3823.0,1708.0,2115.0,124.0,62.0,62.0,870.0,438.0,432.0,4860.0,2286.0,2574.0,373.0,173.0,200.0,3574.0,1659.0,1915.0,94.0,48.0,46.0,819.0,406.0,413.0,330.0,95.0,235.0,0.0,0.0,0.0,249.0,49.0,200.0,30.0,14.0,16.0,51.0,32.0,19.0,23986.0,9030.0,14956.0,,
33.0,617.0,5794.0,637227.0,0.0,0.0,VILLAGE,Naraiyur S.,Rural,448.0,1824.0,941.0,883.0,192.0,101.0,91.0,989.0,521.0,468.0,0.0,0.0,0.0,1136.0,675.0,461.0,688.0,266.0,422.0,1044.0,582.0,462.0,314.0,281.0,33.0,112.0,111.0,1.0,124.0,114.0,10.0,2.0,1.0,1.0,76.0,55.0,21.0,730.0,301.0,429.0,81.0,29.0,52.0,578.0,228.0,350.0,11.0,6.0,5.0,60.0,38.0,22.0,692.0,292.0,400.0,74.0,27.0,47.0,552.0,222.0,330.0,10.0,6.0,4.0,56.0,37.0,19.0,38.0,9.0,29.0,7.0,2.0,5.0,26.0,6.0,20.0,1.0,0.0,1.0,4.0,1.0,3.0,780.0,359.0,421.0,,
33.0,617.0,5794.0,637228.0,0.0,0.0,VILLAGE,Arasankudi  ,Rural,731.0,3125.0,1619.0,1506.0,308.0,159.0,149.0,1596.0,806.0,790.0,0.0,0.0,0.0,1961.0,1186.0,775.0,1164.0,433.0,731.0,1842.0,1005.0,837.0,1824.0,992.0,832.0,444.0,271.0,173.0,1259.0,625.0,634.0,33.0,32.0,1.0,88.0,64.0,24.0,18.0,13.0,5.0,2.0,1.0,1.0,5.0,3.0,2.0,0.0,0.0,0.0,11.0,9.0,2.0,18.0,13.0,5.0,2.0,1.0,1.0,5.0,3.0,2.0,0.0,0.0,0.0,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1283.0,614.0,669.0,,
33.0,617.0,5794.0,637229.0,0.0,0.0,VILLAGE,Sirupakkam,Rural,1364.0,5477.0,2770.0,2707.0,570.0,307.0,263.0,2991.0,1526.0,1465.0,0.0,0.0,0.0,3230.0,1900.0,1330.0,2247.0,870.0,1377.0,2914.0,1650.0,1264.0,2017.0,1253.0,764.0,119.0,84.0,35.0,1454.0,810.0,644.0,11.0,8.0,3.0,433.0,351.0,82.0,897.0,397.0,500.0,561.0,268.0,293.0,154.0,44.0,110.0,44.0,22.0,22.0,138.0,63.0,75.0,876.0,387.0,489.0,561.0,268.0,293.0,139.0,39.0,100.0,44.0,22.0,22.0,132.0,58.0,74.0,21.0,10.0,11.0,0.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,6.0,5.0,1.0,2563.0,1120.0,1443.0,,
33.0,617.0,5794.0,637230.0,0.0,0.0,VILLAGE,Rettakurichi,Rural,550.0,2250.0,1118.0,1132.0,244.0,119.0,125.0,1494.0,740.0,754.0,0.0,0.0,0.0,1165.0,698.0,467.0,1085.0,420.0,665.0,1380.0,707.0,673.0,875.0,486.0,389.0,518.0,300.0,218.0,297.0,145.0,152.0,6.0,4.0,2.0,54.0,37.0,17.0,505.0,221.0,284.0,6.0,4.0,2.0,488.0,209.0,279.0,6.0,6.0,0.0,5.0,2.0,3.0,503.0,220.0,283.0,4.0,3.0,1.0,488.0,209.0,279.0,6.0,6.0,0.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,411.0,459.0,,
33.0,617.0,5794.0,637231.0,0.0,0.0,VILLAGE,Kolavai,Rural,262.0,1104.0,576.0,528.0,122.0,59.0,63.0,619.0,318.0,301.0,0.0,0.0,0.0,604.0,363.0,241.0,500.0,213.0,287.0,690.0,366.0,324.0,369.0,279.0,90.0,120.0,82.0,38.0,236.0,187.0,49.0,2.0,2.0,0.0,11.0,8.0,3.0,321.0,87.0,234.0,0.0,0.0,0.0,316.0,86.0,230.0,4.0,0.0,4.0,1.0,1.0,0.0,224.0,79.0,145.0,0.0,0.0,0.0,220.0,78.0,142.0,3.0,0.0,3.0,1.0,1.0,0.0,97.0,8.0,89.0,0.0,0.0,0.0,96.0,8.0,88.0,1.0,0.0,1.0,0.0,0.0,0.0,414.0,210.0,204.0,,
33.0,617.0,5794.0,637232.0,0.0,0.0,VILLAGE,Kil orathur,Rural,372.0,1448.0,757.0,691.0,136.0,63.0,73.0,691.0,355.0,336.0,0.0,0.0,0.0,759.0,472.0,287.0,689.0,285.0,404.0,968.0,521.0,447.0,668.0,438.0,230.0,15.0,10.0,5.0,573.0,373.0,200.0,12.0,7.0,5.0,68.0,48.0,20.0,300.0,83.0,217.0,5.0,2.0,3.0,207.0,27.0,180.0,8.0,1.0,7.0,80.0,53.0,27.0,285.0,79.0,206.0,3.0,1.0,2.0,200.0,25.0,175.0,5.0,0.0,5.0,77.0,53.0,24.0,15.0,4.0,11.0,2.0,1.0,1.0,7.0,2.0,5.0,3.0,1.0,2.0,3.0,0.0,3.0,480.0,236.0,244.0,,
33.0,617.0,5794.0,637233.0,0.0,0.0,VILLAGE,Endal .Ja,Rural,383.0,1673.0,858.0,815.0,171.0,95.0,76.0,734.0,367.0,367.0,14.0,7.0,7.0,1030.0,579.0,451.0,643.0,279.0,364.0,1154.0,600.0,554.0,682.0,417.0,265.0,451.0,323.0,128.0,183.0,73.0,110.0,13.0,5.0,8.0,35.0,16.0,19.0,472.0,183.0,289.0,10.0,7.0,3.0,355.0,115.0,240.0,7.0,2.0,5.0,100.0,59.0,41.0,463.0,181.0,282.0,10.0,7.0,3.0,349.0,114.0,235.0,5.0,2.0,3.0,99.0,58.0,41.0,9.0,2.0,7.0,0.0,0.0,0.0,6.0,1.0,5.0,2.0,0.0,2.0,1.0,1.0,0.0,519.0,258.0,261.0,,
