State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,617.0,5793.0,0.0,0.0,0.0,SUB-DISTRICT,Virudhachalam,Total,105142.0,426592.0,216699.0,209893.0,47856.0,25637.0,22219.0,132645.0,67177.0,65468.0,2813.0,1411.0,1402.0,285988.0,162517.0,123471.0,140604.0,54182.0,86422.0,199755.0,123666.0,76089.0,140925.0,96933.0,43992.0,28467.0,21067.0,7400.0,59841.0,33089.0,26752.0,2834.0,1561.0,1273.0,49783.0,41216.0,8567.0,58830.0,26733.0,32097.0,8036.0,4638.0,3398.0,38111.0,15072.0,23039.0,1807.0,600.0,1207.0,10876.0,6423.0,4453.0,49306.0,22839.0,26467.0,7158.0,4129.0,3029.0,31666.0,12758.0,18908.0,1447.0,503.0,944.0,9035.0,5449.0,3586.0,9524.0,3894.0,5630.0,878.0,509.0,369.0,6445.0,2314.0,4131.0,360.0,97.0,263.0,1841.0,974.0,867.0,226837.0,93033.0,133804.0,,
33.0,617.0,5793.0,0.0,0.0,0.0,SUB-DISTRICT,Virudhachalam,Rural,81336.0,329696.0,167856.0,161840.0,37490.0,20243.0,17247.0,116510.0,59105.0,57405.0,2436.0,1214.0,1222.0,211188.0,122339.0,88849.0,118508.0,45517.0,72991.0,165877.0,96669.0,69208.0,111770.0,73078.0,38692.0,27544.0,20235.0,7309.0,56597.0,31014.0,25583.0,2039.0,1055.0,984.0,25590.0,20774.0,4816.0,54107.0,23591.0,30516.0,7937.0,4576.0,3361.0,37443.0,14684.0,22759.0,1512.0,499.0,1013.0,7215.0,3832.0,3383.0,45404.0,20274.0,25130.0,7075.0,4082.0,2993.0,31113.0,12453.0,18660.0,1212.0,417.0,795.0,6004.0,3322.0,2682.0,8703.0,3317.0,5386.0,862.0,494.0,368.0,6330.0,2231.0,4099.0,300.0,82.0,218.0,1211.0,510.0,701.0,163819.0,71187.0,92632.0,,
33.0,617.0,5793.0,0.0,0.0,0.0,SUB-DISTRICT,Virudhachalam,Urban,23806.0,96896.0,48843.0,48053.0,10366.0,5394.0,4972.0,16135.0,8072.0,8063.0,377.0,197.0,180.0,74800.0,40178.0,34622.0,22096.0,8665.0,13431.0,33878.0,26997.0,6881.0,29155.0,23855.0,5300.0,923.0,832.0,91.0,3244.0,2075.0,1169.0,795.0,506.0,289.0,24193.0,20442.0,3751.0,4723.0,3142.0,1581.0,99.0,62.0,37.0,668.0,388.0,280.0,295.0,101.0,194.0,3661.0,2591.0,1070.0,3902.0,2565.0,1337.0,83.0,47.0,36.0,553.0,305.0,248.0,235.0,86.0,149.0,3031.0,2127.0,904.0,821.0,577.0,244.0,16.0,15.0,1.0,115.0,83.0,32.0,60.0,15.0,45.0,630.0,464.0,166.0,63018.0,21846.0,41172.0,,
33.0,617.0,5793.0,637064.0,0.0,0.0,VILLAGE,Setuvarayankuppam,Rural,390.0,1456.0,750.0,706.0,198.0,99.0,99.0,778.0,408.0,370.0,19.0,6.0,13.0,981.0,571.0,410.0,475.0,179.0,296.0,716.0,427.0,289.0,263.0,209.0,54.0,203.0,169.0,34.0,23.0,12.0,11.0,13.0,12.0,1.0,24.0,16.0,8.0,453.0,218.0,235.0,1.0,1.0,0.0,451.0,216.0,235.0,0.0,0.0,0.0,1.0,1.0,0.0,448.0,217.0,231.0,1.0,1.0,0.0,446.0,215.0,231.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,323.0,417.0,,
33.0,617.0,5793.0,637065.0,0.0,0.0,VILLAGE,A. Marur,Rural,308.0,1287.0,656.0,631.0,154.0,82.0,72.0,756.0,379.0,377.0,0.0,0.0,0.0,727.0,434.0,293.0,560.0,222.0,338.0,782.0,395.0,387.0,419.0,212.0,207.0,24.0,14.0,10.0,381.0,187.0,194.0,2.0,1.0,1.0,12.0,10.0,2.0,363.0,183.0,180.0,3.0,3.0,0.0,330.0,157.0,173.0,20.0,19.0,1.0,10.0,4.0,6.0,363.0,183.0,180.0,3.0,3.0,0.0,330.0,157.0,173.0,20.0,19.0,1.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,261.0,244.0,,
33.0,617.0,5793.0,637066.0,0.0,0.0,VILLAGE,Maligaimedu,Rural,399.0,1555.0,803.0,752.0,143.0,76.0,67.0,772.0,400.0,372.0,0.0,0.0,0.0,813.0,538.0,275.0,742.0,265.0,477.0,806.0,525.0,281.0,482.0,394.0,88.0,84.0,74.0,10.0,308.0,239.0,69.0,0.0,0.0,0.0,90.0,81.0,9.0,324.0,131.0,193.0,98.0,93.0,5.0,209.0,29.0,180.0,7.0,1.0,6.0,10.0,8.0,2.0,276.0,121.0,155.0,96.0,91.0,5.0,170.0,23.0,147.0,1.0,0.0,1.0,9.0,7.0,2.0,48.0,10.0,38.0,2.0,2.0,0.0,39.0,6.0,33.0,6.0,1.0,5.0,1.0,1.0,0.0,749.0,278.0,471.0,,
33.0,617.0,5793.0,637067.0,0.0,0.0,VILLAGE,Kothanur (Pandavanpattu),Rural,316.0,1263.0,652.0,611.0,157.0,90.0,67.0,665.0,336.0,329.0,0.0,0.0,0.0,670.0,390.0,280.0,593.0,262.0,331.0,732.0,420.0,312.0,646.0,383.0,263.0,288.0,191.0,97.0,314.0,154.0,160.0,21.0,19.0,2.0,23.0,19.0,4.0,86.0,37.0,49.0,15.0,13.0,2.0,54.0,13.0,41.0,3.0,2.0,1.0,14.0,9.0,5.0,83.0,35.0,48.0,15.0,13.0,2.0,51.0,11.0,40.0,3.0,2.0,1.0,14.0,9.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,232.0,299.0,,
33.0,617.0,5793.0,637068.0,0.0,0.0,VILLAGE,Adiyur,Rural,297.0,1238.0,657.0,581.0,131.0,77.0,54.0,702.0,382.0,320.0,0.0,0.0,0.0,671.0,421.0,250.0,567.0,236.0,331.0,585.0,382.0,203.0,231.0,196.0,35.0,24.0,24.0,0.0,162.0,131.0,31.0,0.0,0.0,0.0,45.0,41.0,4.0,354.0,186.0,168.0,191.0,107.0,84.0,98.0,42.0,56.0,1.0,0.0,1.0,64.0,37.0,27.0,203.0,117.0,86.0,133.0,77.0,56.0,27.0,12.0,15.0,1.0,0.0,1.0,42.0,28.0,14.0,151.0,69.0,82.0,58.0,30.0,28.0,71.0,30.0,41.0,0.0,0.0,0.0,22.0,9.0,13.0,653.0,275.0,378.0,,
33.0,617.0,5793.0,637069.0,0.0,0.0,VILLAGE,Kulapakkam  (Eranji),Rural,149.0,707.0,394.0,313.0,82.0,45.0,37.0,345.0,189.0,156.0,0.0,0.0,0.0,507.0,315.0,192.0,200.0,79.0,121.0,502.0,270.0,232.0,18.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,16.0,2.0,484.0,254.0,230.0,326.0,171.0,155.0,157.0,83.0,74.0,1.0,0.0,1.0,0.0,0.0,0.0,480.0,254.0,226.0,325.0,171.0,154.0,154.0,83.0,71.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,124.0,81.0,,
33.0,617.0,5793.0,637070.0,0.0,0.0,VILLAGE,Aivadugudi,Rural,435.0,1938.0,999.0,939.0,231.0,110.0,121.0,1218.0,625.0,593.0,0.0,0.0,0.0,1300.0,740.0,560.0,638.0,259.0,379.0,1197.0,617.0,580.0,255.0,144.0,111.0,135.0,68.0,67.0,39.0,14.0,25.0,7.0,3.0,4.0,74.0,59.0,15.0,942.0,473.0,469.0,865.0,436.0,429.0,18.0,7.0,11.0,7.0,0.0,7.0,52.0,30.0,22.0,915.0,465.0,450.0,845.0,429.0,416.0,12.0,6.0,6.0,6.0,0.0,6.0,52.0,30.0,22.0,27.0,8.0,19.0,20.0,7.0,13.0,6.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,741.0,382.0,359.0,,
