State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,630.0,5886.0,0.0,0.0,0.0,SUB-DISTRICT,Harur,Total,61776.0,240908.0,122571.0,118337.0,26661.0,13766.0,12895.0,71693.0,36362.0,35331.0,16066.0,8122.0,7944.0,147070.0,83590.0,63480.0,93838.0,38981.0,54857.0,125664.0,71404.0,54260.0,111678.0,64831.0,46847.0,37131.0,20620.0,16511.0,43391.0,20512.0,22879.0,1894.0,921.0,973.0,29262.0,22778.0,6484.0,13986.0,6573.0,7413.0,1481.0,686.0,795.0,7144.0,2836.0,4308.0,766.0,204.0,562.0,4595.0,2847.0,1748.0,11616.0,5538.0,6078.0,1305.0,618.0,687.0,6133.0,2493.0,3640.0,470.0,134.0,336.0,3708.0,2293.0,1415.0,2370.0,1035.0,1335.0,176.0,68.0,108.0,1011.0,343.0,668.0,296.0,70.0,226.0,887.0,554.0,333.0,115244.0,51167.0,64077.0,,
33.0,630.0,5886.0,0.0,0.0,0.0,SUB-DISTRICT,Harur,Rural,52145.0,203245.0,103774.0,99471.0,22748.0,11766.0,10982.0,62982.0,32050.0,30932.0,15878.0,8025.0,7853.0,120494.0,69323.0,51171.0,82751.0,34451.0,48300.0,110342.0,61137.0,49205.0,97834.0,55477.0,42357.0,34682.0,19187.0,15495.0,40610.0,19214.0,21396.0,1703.0,817.0,886.0,20839.0,16259.0,4580.0,12508.0,5660.0,6848.0,1407.0,638.0,769.0,6706.0,2626.0,4080.0,688.0,167.0,521.0,3707.0,2229.0,1478.0,10583.0,4906.0,5677.0,1237.0,572.0,665.0,5844.0,2354.0,3490.0,432.0,119.0,313.0,3070.0,1861.0,1209.0,1925.0,754.0,1171.0,170.0,66.0,104.0,862.0,272.0,590.0,256.0,48.0,208.0,637.0,368.0,269.0,92903.0,42637.0,50266.0,,
33.0,630.0,5886.0,0.0,0.0,0.0,SUB-DISTRICT,Harur,Urban,9631.0,37663.0,18797.0,18866.0,3913.0,2000.0,1913.0,8711.0,4312.0,4399.0,188.0,97.0,91.0,26576.0,14267.0,12309.0,11087.0,4530.0,6557.0,15322.0,10267.0,5055.0,13844.0,9354.0,4490.0,2449.0,1433.0,1016.0,2781.0,1298.0,1483.0,191.0,104.0,87.0,8423.0,6519.0,1904.0,1478.0,913.0,565.0,74.0,48.0,26.0,438.0,210.0,228.0,78.0,37.0,41.0,888.0,618.0,270.0,1033.0,632.0,401.0,68.0,46.0,22.0,289.0,139.0,150.0,38.0,15.0,23.0,638.0,432.0,206.0,445.0,281.0,164.0,6.0,2.0,4.0,149.0,71.0,78.0,40.0,22.0,18.0,250.0,186.0,64.0,22341.0,8530.0,13811.0,,
33.0,630.0,5886.0,643286.0,0.0,0.0,VILLAGE,Bannikulam,Rural,559.0,2127.0,1122.0,1005.0,204.0,114.0,90.0,65.0,31.0,34.0,0.0,0.0,0.0,1246.0,751.0,495.0,881.0,371.0,510.0,1168.0,674.0,494.0,1019.0,628.0,391.0,481.0,274.0,207.0,232.0,100.0,132.0,9.0,7.0,2.0,297.0,247.0,50.0,149.0,46.0,103.0,11.0,2.0,9.0,90.0,8.0,82.0,1.0,0.0,1.0,47.0,36.0,11.0,133.0,43.0,90.0,9.0,2.0,7.0,78.0,7.0,71.0,1.0,0.0,1.0,45.0,34.0,11.0,16.0,3.0,13.0,2.0,0.0,2.0,12.0,1.0,11.0,0.0,0.0,0.0,2.0,2.0,0.0,959.0,448.0,511.0,,
33.0,630.0,5886.0,643287.0,0.0,0.0,VILLAGE,Irumathur,Rural,1428.0,5493.0,2822.0,2671.0,612.0,346.0,266.0,640.0,317.0,323.0,0.0,0.0,0.0,3344.0,1908.0,1436.0,2149.0,914.0,1235.0,2652.0,1597.0,1055.0,2269.0,1372.0,897.0,812.0,517.0,295.0,832.0,330.0,502.0,57.0,32.0,25.0,568.0,493.0,75.0,383.0,225.0,158.0,64.0,54.0,10.0,149.0,100.0,49.0,4.0,3.0,1.0,166.0,68.0,98.0,308.0,200.0,108.0,57.0,51.0,6.0,127.0,93.0,34.0,4.0,3.0,1.0,120.0,53.0,67.0,75.0,25.0,50.0,7.0,3.0,4.0,22.0,7.0,15.0,0.0,0.0,0.0,46.0,15.0,31.0,2841.0,1225.0,1616.0,,
33.0,630.0,5886.0,643288.0,0.0,0.0,VILLAGE,Kongarapatty,Rural,1187.0,4449.0,2288.0,2161.0,561.0,280.0,281.0,42.0,19.0,23.0,92.0,46.0,46.0,2461.0,1445.0,1016.0,1988.0,843.0,1145.0,2584.0,1420.0,1164.0,2333.0,1328.0,1005.0,1060.0,583.0,477.0,788.0,359.0,429.0,25.0,9.0,16.0,460.0,377.0,83.0,251.0,92.0,159.0,15.0,4.0,11.0,147.0,31.0,116.0,3.0,1.0,2.0,86.0,56.0,30.0,239.0,88.0,151.0,14.0,4.0,10.0,140.0,29.0,111.0,3.0,1.0,2.0,82.0,54.0,28.0,12.0,4.0,8.0,1.0,0.0,1.0,7.0,2.0,5.0,0.0,0.0,0.0,4.0,2.0,2.0,1865.0,868.0,997.0,,
33.0,630.0,5886.0,643289.0,0.0,0.0,VILLAGE,Kelavalli,Rural,867.0,3154.0,1618.0,1536.0,281.0,137.0,144.0,249.0,122.0,127.0,0.0,0.0,0.0,1957.0,1135.0,822.0,1197.0,483.0,714.0,1603.0,990.0,613.0,1518.0,967.0,551.0,608.0,421.0,187.0,495.0,202.0,293.0,28.0,7.0,21.0,387.0,337.0,50.0,85.0,23.0,62.0,2.0,2.0,0.0,14.0,4.0,10.0,34.0,0.0,34.0,35.0,17.0,18.0,84.0,23.0,61.0,2.0,2.0,0.0,13.0,4.0,9.0,34.0,0.0,34.0,35.0,17.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1551.0,628.0,923.0,,
33.0,630.0,5886.0,643290.0,0.0,0.0,VILLAGE,Ichambadi,Rural,1214.0,4570.0,2377.0,2193.0,496.0,247.0,249.0,1778.0,909.0,869.0,1.0,1.0,0.0,2799.0,1672.0,1127.0,1771.0,705.0,1066.0,2459.0,1393.0,1066.0,2204.0,1279.0,925.0,445.0,253.0,192.0,1131.0,502.0,629.0,35.0,19.0,16.0,593.0,505.0,88.0,255.0,114.0,141.0,34.0,12.0,22.0,88.0,19.0,69.0,21.0,4.0,17.0,112.0,79.0,33.0,184.0,94.0,90.0,30.0,9.0,21.0,53.0,18.0,35.0,15.0,1.0,14.0,86.0,66.0,20.0,71.0,20.0,51.0,4.0,3.0,1.0,35.0,1.0,34.0,6.0,3.0,3.0,26.0,13.0,13.0,2111.0,984.0,1127.0,,
33.0,630.0,5886.0,643291.0,0.0,0.0,VILLAGE,Agraharam,Rural,863.0,3484.0,1794.0,1690.0,356.0,187.0,169.0,1037.0,530.0,507.0,255.0,130.0,125.0,2128.0,1211.0,917.0,1356.0,583.0,773.0,1887.0,1081.0,806.0,1832.0,1058.0,774.0,646.0,479.0,167.0,951.0,392.0,559.0,49.0,38.0,11.0,186.0,149.0,37.0,55.0,23.0,32.0,11.0,6.0,5.0,34.0,11.0,23.0,0.0,0.0,0.0,10.0,6.0,4.0,54.0,23.0,31.0,11.0,6.0,5.0,33.0,11.0,22.0,0.0,0.0,0.0,10.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1597.0,713.0,884.0,,
33.0,630.0,5886.0,643292.0,0.0,0.0,VILLAGE,Ettipatty,Rural,116.0,421.0,221.0,200.0,44.0,27.0,17.0,102.0,57.0,45.0,0.0,0.0,0.0,297.0,160.0,137.0,124.0,61.0,63.0,249.0,134.0,115.0,249.0,134.0,115.0,141.0,65.0,76.0,53.0,24.0,29.0,3.0,0.0,3.0,52.0,45.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,87.0,85.0,,
