State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,630.0,5887.0,0.0,0.0,0.0,SUB-DISTRICT,Pappireddipatti,Total,62806.0,243445.0,123771.0,119674.0,24479.0,12618.0,11861.0,64353.0,32448.0,31905.0,29479.0,14932.0,14547.0,155177.0,88467.0,66710.0,88268.0,35304.0,52964.0,125150.0,71313.0,53837.0,111242.0,64947.0,46295.0,32314.0,18455.0,13859.0,47773.0,22593.0,25180.0,1558.0,868.0,690.0,29597.0,23031.0,6566.0,13908.0,6366.0,7542.0,1469.0,767.0,702.0,8323.0,3063.0,5260.0,569.0,215.0,354.0,3547.0,2321.0,1226.0,11745.0,5468.0,6277.0,1297.0,672.0,625.0,7195.0,2748.0,4447.0,390.0,166.0,224.0,2863.0,1882.0,981.0,2163.0,898.0,1265.0,172.0,95.0,77.0,1128.0,315.0,813.0,179.0,49.0,130.0,684.0,439.0,245.0,118295.0,52458.0,65837.0,,
33.0,630.0,5887.0,0.0,0.0,0.0,SUB-DISTRICT,Pappireddipatti,Rural,54324.0,209989.0,106867.0,103122.0,21155.0,10890.0,10265.0,52055.0,26234.0,25821.0,28005.0,14185.0,13820.0,131544.0,75397.0,56147.0,78445.0,31470.0,46975.0,111505.0,62109.0,49396.0,98646.0,56331.0,42315.0,30843.0,17468.0,13375.0,43532.0,20366.0,23166.0,1330.0,752.0,578.0,22941.0,17745.0,5196.0,12859.0,5778.0,7081.0,1415.0,740.0,675.0,7991.0,2934.0,5057.0,518.0,202.0,316.0,2935.0,1902.0,1033.0,10859.0,4971.0,5888.0,1246.0,647.0,599.0,6904.0,2628.0,4276.0,355.0,157.0,198.0,2354.0,1539.0,815.0,2000.0,807.0,1193.0,169.0,93.0,76.0,1087.0,306.0,781.0,163.0,45.0,118.0,581.0,363.0,218.0,98484.0,44758.0,53726.0,,
33.0,630.0,5887.0,0.0,0.0,0.0,SUB-DISTRICT,Pappireddipatti,Urban,8482.0,33456.0,16904.0,16552.0,3324.0,1728.0,1596.0,12298.0,6214.0,6084.0,1474.0,747.0,727.0,23633.0,13070.0,10563.0,9823.0,3834.0,5989.0,13645.0,9204.0,4441.0,12596.0,8616.0,3980.0,1471.0,987.0,484.0,4241.0,2227.0,2014.0,228.0,116.0,112.0,6656.0,5286.0,1370.0,1049.0,588.0,461.0,54.0,27.0,27.0,332.0,129.0,203.0,51.0,13.0,38.0,612.0,419.0,193.0,886.0,497.0,389.0,51.0,25.0,26.0,291.0,120.0,171.0,35.0,9.0,26.0,509.0,343.0,166.0,163.0,91.0,72.0,3.0,2.0,1.0,41.0,9.0,32.0,16.0,4.0,12.0,103.0,76.0,27.0,19811.0,7700.0,12111.0,,
33.0,630.0,5887.0,643463.0,0.0,0.0,VILLAGE,Maniyabadi,Rural,1698.0,6288.0,3142.0,3146.0,626.0,324.0,302.0,1279.0,663.0,616.0,0.0,0.0,0.0,4054.0,2293.0,1761.0,2234.0,849.0,1385.0,3175.0,1819.0,1356.0,2010.0,1250.0,760.0,517.0,341.0,176.0,656.0,232.0,424.0,23.0,15.0,8.0,814.0,662.0,152.0,1165.0,569.0,596.0,220.0,116.0,104.0,646.0,243.0,403.0,46.0,13.0,33.0,253.0,197.0,56.0,717.0,357.0,360.0,159.0,84.0,75.0,391.0,151.0,240.0,15.0,7.0,8.0,152.0,115.0,37.0,448.0,212.0,236.0,61.0,32.0,29.0,255.0,92.0,163.0,31.0,6.0,25.0,101.0,82.0,19.0,3113.0,1323.0,1790.0,,
33.0,630.0,5887.0,643464.0,0.0,0.0,VILLAGE,Singirihalli,Rural,410.0,1500.0,751.0,749.0,174.0,89.0,85.0,166.0,85.0,81.0,39.0,23.0,16.0,971.0,546.0,425.0,529.0,205.0,324.0,867.0,453.0,414.0,685.0,424.0,261.0,290.0,170.0,120.0,183.0,79.0,104.0,8.0,7.0,1.0,204.0,168.0,36.0,182.0,29.0,153.0,12.0,4.0,8.0,133.0,5.0,128.0,4.0,2.0,2.0,33.0,18.0,15.0,71.0,20.0,51.0,11.0,3.0,8.0,28.0,0.0,28.0,4.0,2.0,2.0,28.0,15.0,13.0,111.0,9.0,102.0,1.0,1.0,0.0,105.0,5.0,100.0,0.0,0.0,0.0,5.0,3.0,2.0,633.0,298.0,335.0,,
33.0,630.0,5887.0,643465.0,0.0,0.0,VILLAGE,Kerekodahalli,Rural,433.0,1694.0,885.0,809.0,174.0,101.0,73.0,792.0,405.0,387.0,1.0,0.0,1.0,1070.0,642.0,428.0,624.0,243.0,381.0,991.0,522.0,469.0,965.0,512.0,453.0,433.0,227.0,206.0,312.0,117.0,195.0,5.0,2.0,3.0,215.0,166.0,49.0,26.0,10.0,16.0,5.0,1.0,4.0,12.0,3.0,9.0,2.0,0.0,2.0,7.0,6.0,1.0,17.0,6.0,11.0,5.0,1.0,4.0,9.0,2.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,9.0,4.0,5.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,2.0,4.0,3.0,1.0,703.0,363.0,340.0,,
33.0,630.0,5887.0,643466.0,0.0,0.0,VILLAGE,Chintalpadi ,Rural,1429.0,5448.0,2713.0,2735.0,536.0,284.0,252.0,2606.0,1295.0,1311.0,167.0,86.0,81.0,3598.0,2002.0,1596.0,1850.0,711.0,1139.0,2955.0,1597.0,1358.0,2796.0,1537.0,1259.0,1143.0,573.0,570.0,827.0,334.0,493.0,35.0,21.0,14.0,791.0,609.0,182.0,159.0,60.0,99.0,9.0,6.0,3.0,98.0,21.0,77.0,8.0,2.0,6.0,44.0,31.0,13.0,125.0,48.0,77.0,9.0,6.0,3.0,81.0,19.0,62.0,2.0,1.0,1.0,33.0,22.0,11.0,34.0,12.0,22.0,0.0,0.0,0.0,17.0,2.0,15.0,6.0,1.0,5.0,11.0,9.0,2.0,2493.0,1116.0,1377.0,,
33.0,630.0,5887.0,643467.0,0.0,0.0,VILLAGE,Linginaickenhalli,Rural,523.0,2026.0,1038.0,988.0,223.0,116.0,107.0,386.0,197.0,189.0,26.0,15.0,11.0,1207.0,707.0,500.0,819.0,331.0,488.0,1162.0,628.0,534.0,1088.0,608.0,480.0,330.0,175.0,155.0,487.0,240.0,247.0,15.0,7.0,8.0,256.0,186.0,70.0,74.0,20.0,54.0,1.0,1.0,0.0,48.0,9.0,39.0,0.0,0.0,0.0,25.0,10.0,15.0,72.0,20.0,52.0,1.0,1.0,0.0,46.0,9.0,37.0,0.0,0.0,0.0,25.0,10.0,15.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,864.0,410.0,454.0,,
33.0,630.0,5887.0,643468.0,0.0,0.0,VILLAGE,Bosinaickenhalli,Rural,770.0,3202.0,1598.0,1604.0,346.0,171.0,175.0,888.0,430.0,458.0,26.0,16.0,10.0,1933.0,1117.0,816.0,1269.0,481.0,788.0,1691.0,914.0,777.0,1291.0,760.0,531.0,238.0,138.0,100.0,566.0,267.0,299.0,24.0,13.0,11.0,463.0,342.0,121.0,400.0,154.0,246.0,17.0,11.0,6.0,326.0,117.0,209.0,18.0,1.0,17.0,39.0,25.0,14.0,370.0,144.0,226.0,14.0,9.0,5.0,308.0,109.0,199.0,9.0,1.0,8.0,39.0,25.0,14.0,30.0,10.0,20.0,3.0,2.0,1.0,18.0,8.0,10.0,9.0,0.0,9.0,0.0,0.0,0.0,1511.0,684.0,827.0,,
33.0,630.0,5887.0,643469.0,0.0,0.0,VILLAGE,Nallagudlahalli,Rural,1577.0,6652.0,3468.0,3184.0,756.0,403.0,353.0,234.0,112.0,122.0,0.0,0.0,0.0,3899.0,2295.0,1604.0,2753.0,1173.0,1580.0,3374.0,2018.0,1356.0,2906.0,1785.0,1121.0,717.0,446.0,271.0,1221.0,577.0,644.0,45.0,31.0,14.0,923.0,731.0,192.0,468.0,233.0,235.0,19.0,9.0,10.0,191.0,76.0,115.0,20.0,4.0,16.0,238.0,144.0,94.0,265.0,122.0,143.0,11.0,4.0,7.0,139.0,51.0,88.0,9.0,2.0,7.0,106.0,65.0,41.0,203.0,111.0,92.0,8.0,5.0,3.0,52.0,25.0,27.0,11.0,2.0,9.0,132.0,79.0,53.0,3278.0,1450.0,1828.0,,
