State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,612.0,5765.0,0.0,0.0,0.0,SUB-DISTRICT,Attur,Total,41975.0,159846.0,79334.0,80512.0,15051.0,7848.0,7203.0,34919.0,17389.0,17530.0,110.0,49.0,61.0,114191.0,61726.0,52465.0,45655.0,17608.0,28047.0,79550.0,47631.0,31919.0,67629.0,42451.0,25178.0,5450.0,3618.0,1832.0,30448.0,16418.0,14030.0,2858.0,1411.0,1447.0,28873.0,21004.0,7869.0,11921.0,5180.0,6741.0,479.0,196.0,283.0,5177.0,2063.0,3114.0,453.0,132.0,321.0,5812.0,2789.0,3023.0,10095.0,4473.0,5622.0,345.0,154.0,191.0,4583.0,1881.0,2702.0,351.0,106.0,245.0,4816.0,2332.0,2484.0,1826.0,707.0,1119.0,134.0,42.0,92.0,594.0,182.0,412.0,102.0,26.0,76.0,996.0,457.0,539.0,80296.0,31703.0,48593.0,,
33.0,612.0,5765.0,0.0,0.0,0.0,SUB-DISTRICT,Attur,Rural,28092.0,107752.0,53507.0,54245.0,10353.0,5393.0,4960.0,26602.0,13205.0,13397.0,105.0,48.0,57.0,75369.0,41048.0,34321.0,32383.0,12459.0,19924.0,57003.0,32267.0,24736.0,48325.0,28767.0,19558.0,4864.0,3131.0,1733.0,26567.0,13890.0,12677.0,1359.0,649.0,710.0,15535.0,11097.0,4438.0,8678.0,3500.0,5178.0,420.0,155.0,265.0,4230.0,1553.0,2677.0,305.0,87.0,218.0,3723.0,1705.0,2018.0,7255.0,2989.0,4266.0,291.0,118.0,173.0,3718.0,1416.0,2302.0,241.0,72.0,169.0,3005.0,1383.0,1622.0,1423.0,511.0,912.0,129.0,37.0,92.0,512.0,137.0,375.0,64.0,15.0,49.0,718.0,322.0,396.0,50749.0,21240.0,29509.0,,
33.0,612.0,5765.0,0.0,0.0,0.0,SUB-DISTRICT,Attur,Urban,13883.0,52094.0,25827.0,26267.0,4698.0,2455.0,2243.0,8317.0,4184.0,4133.0,5.0,1.0,4.0,38822.0,20678.0,18144.0,13272.0,5149.0,8123.0,22547.0,15364.0,7183.0,19304.0,13684.0,5620.0,586.0,487.0,99.0,3881.0,2528.0,1353.0,1499.0,762.0,737.0,13338.0,9907.0,3431.0,3243.0,1680.0,1563.0,59.0,41.0,18.0,947.0,510.0,437.0,148.0,45.0,103.0,2089.0,1084.0,1005.0,2840.0,1484.0,1356.0,54.0,36.0,18.0,865.0,465.0,400.0,110.0,34.0,76.0,1811.0,949.0,862.0,403.0,196.0,207.0,5.0,5.0,0.0,82.0,45.0,37.0,38.0,11.0,27.0,278.0,135.0,143.0,29547.0,10463.0,19084.0,,
33.0,612.0,5765.0,635414.0,0.0,0.0,VILLAGE,Virakkal,Rural,1509.0,6038.0,3001.0,3037.0,639.0,337.0,302.0,856.0,426.0,430.0,0.0,0.0,0.0,3892.0,2167.0,1725.0,2146.0,834.0,1312.0,3145.0,1775.0,1370.0,3054.0,1750.0,1304.0,568.0,395.0,173.0,1983.0,1041.0,942.0,140.0,44.0,96.0,363.0,270.0,93.0,91.0,25.0,66.0,19.0,4.0,15.0,30.0,6.0,24.0,11.0,0.0,11.0,31.0,15.0,16.0,85.0,25.0,60.0,18.0,4.0,14.0,27.0,6.0,21.0,9.0,0.0,9.0,31.0,15.0,16.0,6.0,0.0,6.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,2893.0,1226.0,1667.0,,
33.0,612.0,5765.0,635415.0,0.0,0.0,VILLAGE,Kummampatti,Rural,424.0,1757.0,874.0,883.0,164.0,89.0,75.0,103.0,51.0,52.0,0.0,0.0,0.0,1159.0,646.0,513.0,598.0,228.0,370.0,981.0,507.0,474.0,949.0,502.0,447.0,162.0,91.0,71.0,630.0,297.0,333.0,10.0,3.0,7.0,147.0,111.0,36.0,32.0,5.0,27.0,10.0,1.0,9.0,22.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,5.0,27.0,10.0,1.0,9.0,22.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.0,367.0,409.0,,
33.0,612.0,5765.0,635416.0,0.0,0.0,VILLAGE,Pithalaipatti,Rural,661.0,2558.0,1279.0,1279.0,259.0,132.0,127.0,644.0,330.0,314.0,0.0,0.0,0.0,1945.0,1061.0,884.0,613.0,218.0,395.0,1266.0,768.0,498.0,802.0,590.0,212.0,88.0,66.0,22.0,141.0,81.0,60.0,34.0,18.0,16.0,539.0,425.0,114.0,464.0,178.0,286.0,3.0,1.0,2.0,96.0,18.0,78.0,1.0,1.0,0.0,364.0,158.0,206.0,307.0,141.0,166.0,3.0,1.0,2.0,31.0,13.0,18.0,0.0,0.0,0.0,273.0,127.0,146.0,157.0,37.0,120.0,0.0,0.0,0.0,65.0,5.0,60.0,1.0,1.0,0.0,91.0,31.0,60.0,1292.0,511.0,781.0,,
33.0,612.0,5765.0,635417.0,0.0,0.0,VILLAGE,Pillayarnattam,Rural,666.0,2521.0,1257.0,1264.0,232.0,129.0,103.0,442.0,230.0,212.0,0.0,0.0,0.0,1936.0,1015.0,921.0,585.0,242.0,343.0,1300.0,759.0,541.0,1055.0,670.0,385.0,58.0,37.0,21.0,75.0,40.0,35.0,60.0,36.0,24.0,862.0,557.0,305.0,245.0,89.0,156.0,25.0,9.0,16.0,29.0,15.0,14.0,14.0,4.0,10.0,177.0,61.0,116.0,218.0,81.0,137.0,24.0,9.0,15.0,19.0,12.0,7.0,9.0,3.0,6.0,166.0,57.0,109.0,27.0,8.0,19.0,1.0,0.0,1.0,10.0,3.0,7.0,5.0,1.0,4.0,11.0,4.0,7.0,1221.0,498.0,723.0,,
33.0,612.0,5765.0,635418.0,0.0,0.0,VILLAGE,Alamarathupatti,Rural,973.0,3717.0,1861.0,1856.0,323.0,156.0,167.0,810.0,392.0,418.0,1.0,1.0,0.0,2995.0,1601.0,1394.0,722.0,260.0,462.0,1682.0,1058.0,624.0,1182.0,858.0,324.0,52.0,44.0,8.0,176.0,72.0,104.0,22.0,12.0,10.0,932.0,730.0,202.0,500.0,200.0,300.0,7.0,3.0,4.0,37.0,5.0,32.0,4.0,0.0,4.0,452.0,192.0,260.0,187.0,53.0,134.0,3.0,1.0,2.0,32.0,5.0,27.0,3.0,0.0,3.0,149.0,47.0,102.0,313.0,147.0,166.0,4.0,2.0,2.0,5.0,0.0,5.0,1.0,0.0,1.0,303.0,145.0,158.0,2035.0,803.0,1232.0,,
33.0,612.0,5765.0,635419.0,0.0,0.0,VILLAGE,Vakkampatti,Rural,792.0,2807.0,1415.0,1392.0,246.0,139.0,107.0,320.0,170.0,150.0,0.0,0.0,0.0,2025.0,1117.0,908.0,782.0,298.0,484.0,1605.0,880.0,725.0,1193.0,657.0,536.0,185.0,90.0,95.0,679.0,350.0,329.0,7.0,4.0,3.0,322.0,213.0,109.0,412.0,223.0,189.0,8.0,5.0,3.0,250.0,133.0,117.0,9.0,2.0,7.0,145.0,83.0,62.0,298.0,179.0,119.0,7.0,4.0,3.0,174.0,105.0,69.0,4.0,1.0,3.0,113.0,69.0,44.0,114.0,44.0,70.0,1.0,1.0,0.0,76.0,28.0,48.0,5.0,1.0,4.0,32.0,14.0,18.0,1202.0,535.0,667.0,,
33.0,612.0,5765.0,635420.0,0.0,0.0,VILLAGE,Munnilakottai  ,Rural,911.0,3425.0,1688.0,1737.0,332.0,179.0,153.0,279.0,142.0,137.0,0.0,0.0,0.0,2349.0,1278.0,1071.0,1076.0,410.0,666.0,1707.0,969.0,738.0,1178.0,748.0,430.0,180.0,102.0,78.0,534.0,323.0,211.0,35.0,25.0,10.0,429.0,298.0,131.0,529.0,221.0,308.0,3.0,2.0,1.0,143.0,48.0,95.0,8.0,4.0,4.0,375.0,167.0,208.0,447.0,209.0,238.0,2.0,1.0,1.0,134.0,46.0,88.0,5.0,3.0,2.0,306.0,159.0,147.0,82.0,12.0,70.0,1.0,1.0,0.0,9.0,2.0,7.0,3.0,1.0,2.0,69.0,8.0,61.0,1718.0,719.0,999.0,,
