State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,610.0,5753.0,0.0,0.0,0.0,SUB-DISTRICT,Erode,Total,237593.0,822329.0,411124.0,411205.0,73654.0,37666.0,35988.0,122375.0,60995.0,61380.0,812.0,425.0,387.0,600571.0,324942.0,275629.0,221758.0,86182.0,135576.0,403940.0,263855.0,140085.0,386639.0,255891.0,130748.0,40751.0,23565.0,17186.0,72049.0,34334.0,37715.0,9894.0,4349.0,5545.0,263945.0,193643.0,70302.0,17301.0,7964.0,9337.0,793.0,363.0,430.0,4960.0,2011.0,2949.0,1052.0,260.0,792.0,10496.0,5330.0,5166.0,14731.0,6852.0,7879.0,693.0,314.0,379.0,4396.0,1792.0,2604.0,793.0,195.0,598.0,8849.0,4551.0,4298.0,2570.0,1112.0,1458.0,100.0,49.0,51.0,564.0,219.0,345.0,259.0,65.0,194.0,1647.0,779.0,868.0,418389.0,147269.0,271120.0,,
33.0,610.0,5753.0,0.0,0.0,0.0,SUB-DISTRICT,Erode,Rural,55878.0,185167.0,92483.0,92684.0,14859.0,7693.0,7166.0,38006.0,18941.0,19065.0,96.0,47.0,49.0,122949.0,68802.0,54147.0,62218.0,23681.0,38537.0,106685.0,61920.0,44765.0,101037.0,59417.0,41620.0,23713.0,13490.0,10223.0,38181.0,18006.0,20175.0,1913.0,885.0,1028.0,37230.0,27036.0,10194.0,5648.0,2503.0,3145.0,378.0,169.0,209.0,2789.0,1097.0,1692.0,271.0,81.0,190.0,2210.0,1156.0,1054.0,4750.0,2080.0,2670.0,338.0,150.0,188.0,2367.0,915.0,1452.0,216.0,65.0,151.0,1829.0,950.0,879.0,898.0,423.0,475.0,40.0,19.0,21.0,422.0,182.0,240.0,55.0,16.0,39.0,381.0,206.0,175.0,78482.0,30563.0,47919.0,,
33.0,610.0,5753.0,0.0,0.0,0.0,SUB-DISTRICT,Erode,Urban,181715.0,637162.0,318641.0,318521.0,58795.0,29973.0,28822.0,84369.0,42054.0,42315.0,716.0,378.0,338.0,477622.0,256140.0,221482.0,159540.0,62501.0,97039.0,297255.0,201935.0,95320.0,285602.0,196474.0,89128.0,17038.0,10075.0,6963.0,33868.0,16328.0,17540.0,7981.0,3464.0,4517.0,226715.0,166607.0,60108.0,11653.0,5461.0,6192.0,415.0,194.0,221.0,2171.0,914.0,1257.0,781.0,179.0,602.0,8286.0,4174.0,4112.0,9981.0,4772.0,5209.0,355.0,164.0,191.0,2029.0,877.0,1152.0,577.0,130.0,447.0,7020.0,3601.0,3419.0,1672.0,689.0,983.0,60.0,30.0,30.0,142.0,37.0,105.0,204.0,49.0,155.0,1266.0,573.0,693.0,339907.0,116706.0,223201.0,,
33.0,610.0,5753.0,635022.0,0.0,0.0,VILLAGE,Karai Ellapalayam,Rural,183.0,639.0,317.0,322.0,47.0,22.0,25.0,356.0,178.0,178.0,0.0,0.0,0.0,391.0,215.0,176.0,248.0,102.0,146.0,435.0,226.0,209.0,432.0,224.0,208.0,80.0,43.0,37.0,322.0,158.0,164.0,1.0,1.0,0.0,29.0,22.0,7.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,91.0,113.0,,
33.0,610.0,5753.0,635023.0,0.0,0.0,VILLAGE,Elavamalai,Rural,2293.0,7749.0,3963.0,3786.0,673.0,363.0,310.0,2088.0,1057.0,1031.0,0.0,0.0,0.0,4971.0,2808.0,2163.0,2778.0,1155.0,1623.0,4357.0,2604.0,1753.0,4035.0,2451.0,1584.0,623.0,390.0,233.0,1165.0,568.0,597.0,124.0,40.0,84.0,2123.0,1453.0,670.0,322.0,153.0,169.0,21.0,10.0,11.0,64.0,29.0,35.0,21.0,5.0,16.0,216.0,109.0,107.0,282.0,136.0,146.0,18.0,8.0,10.0,57.0,24.0,33.0,14.0,4.0,10.0,193.0,100.0,93.0,40.0,17.0,23.0,3.0,2.0,1.0,7.0,5.0,2.0,7.0,1.0,6.0,23.0,9.0,14.0,3392.0,1359.0,2033.0,,
33.0,610.0,5753.0,635024.0,0.0,0.0,VILLAGE,Perodu,Rural,1017.0,3373.0,1688.0,1685.0,292.0,147.0,145.0,1167.0,572.0,595.0,0.0,0.0,0.0,1991.0,1129.0,862.0,1382.0,559.0,823.0,2057.0,1152.0,905.0,1377.0,813.0,564.0,243.0,147.0,96.0,341.0,156.0,185.0,19.0,7.0,12.0,774.0,503.0,271.0,680.0,339.0,341.0,6.0,3.0,3.0,512.0,237.0,275.0,51.0,24.0,27.0,111.0,75.0,36.0,498.0,254.0,244.0,5.0,2.0,3.0,345.0,160.0,185.0,51.0,24.0,27.0,97.0,68.0,29.0,182.0,85.0,97.0,1.0,1.0,0.0,167.0,77.0,90.0,0.0,0.0,0.0,14.0,7.0,7.0,1316.0,536.0,780.0,,
33.0,610.0,5753.0,635025.0,0.0,0.0,VILLAGE,Nochipalayam,Rural,64.0,204.0,96.0,108.0,11.0,6.0,5.0,5.0,2.0,3.0,0.0,0.0,0.0,135.0,68.0,67.0,69.0,28.0,41.0,137.0,75.0,62.0,137.0,75.0,62.0,63.0,36.0,27.0,43.0,18.0,25.0,5.0,2.0,3.0,26.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,21.0,46.0,,
33.0,610.0,5753.0,635026.0,0.0,0.0,VILLAGE,Gangapuram,Rural,1680.0,5844.0,2928.0,2916.0,510.0,268.0,242.0,1312.0,664.0,648.0,0.0,0.0,0.0,3863.0,2118.0,1745.0,1981.0,810.0,1171.0,2998.0,1892.0,1106.0,2828.0,1800.0,1028.0,511.0,298.0,213.0,720.0,340.0,380.0,58.0,23.0,35.0,1539.0,1139.0,400.0,170.0,92.0,78.0,5.0,3.0,2.0,87.0,49.0,38.0,9.0,5.0,4.0,69.0,35.0,34.0,142.0,79.0,63.0,5.0,3.0,2.0,81.0,47.0,34.0,5.0,2.0,3.0,51.0,27.0,24.0,28.0,13.0,15.0,0.0,0.0,0.0,6.0,2.0,4.0,4.0,3.0,1.0,18.0,8.0,10.0,2846.0,1036.0,1810.0,,
33.0,610.0,5753.0,635027.0,0.0,0.0,VILLAGE,Ellapalayam,Rural,729.0,2512.0,1263.0,1249.0,226.0,105.0,121.0,670.0,333.0,337.0,0.0,0.0,0.0,1528.0,872.0,656.0,984.0,391.0,593.0,1269.0,839.0,430.0,1257.0,836.0,421.0,95.0,89.0,6.0,539.0,274.0,265.0,8.0,8.0,0.0,615.0,465.0,150.0,12.0,3.0,9.0,4.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,4.0,11.0,3.0,8.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1243.0,424.0,819.0,,
33.0,610.0,5753.0,635028.0,0.0,0.0,VILLAGE,Villarasampatti,Rural,2082.0,7438.0,3721.0,3717.0,715.0,373.0,342.0,870.0,442.0,428.0,0.0,0.0,0.0,5327.0,2895.0,2432.0,2111.0,826.0,1285.0,3676.0,2372.0,1304.0,3607.0,2341.0,1266.0,332.0,211.0,121.0,830.0,396.0,434.0,38.0,18.0,20.0,2407.0,1716.0,691.0,69.0,31.0,38.0,8.0,4.0,4.0,24.0,11.0,13.0,8.0,1.0,7.0,29.0,15.0,14.0,47.0,24.0,23.0,8.0,4.0,4.0,13.0,8.0,5.0,3.0,0.0,3.0,23.0,12.0,11.0,22.0,7.0,15.0,0.0,0.0,0.0,11.0,3.0,8.0,5.0,1.0,4.0,6.0,3.0,3.0,3762.0,1349.0,2413.0,,
