State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,610.0,5751.0,0.0,0.0,0.0,SUB-DISTRICT,Gobichettipalayam,Total,115410.0,376351.0,186691.0,189660.0,29784.0,15145.0,14639.0,67213.0,33373.0,33840.0,1531.0,753.0,778.0,240263.0,133401.0,106862.0,136088.0,53290.0,82798.0,211816.0,124992.0,86824.0,195675.0,117889.0,77786.0,33644.0,20172.0,13472.0,74890.0,36926.0,37964.0,8520.0,4410.0,4110.0,78621.0,56381.0,22240.0,16141.0,7103.0,9038.0,1194.0,608.0,586.0,7748.0,3042.0,4706.0,812.0,255.0,557.0,6387.0,3198.0,3189.0,14343.0,6436.0,7907.0,1122.0,573.0,549.0,6902.0,2768.0,4134.0,622.0,200.0,422.0,5697.0,2895.0,2802.0,1798.0,667.0,1131.0,72.0,35.0,37.0,846.0,274.0,572.0,190.0,55.0,135.0,690.0,303.0,387.0,164535.0,61699.0,102836.0,,
33.0,610.0,5751.0,0.0,0.0,0.0,SUB-DISTRICT,Gobichettipalayam,Rural,67915.0,216970.0,108286.0,108684.0,16956.0,8657.0,8299.0,43944.0,21820.0,22124.0,1448.0,709.0,739.0,130367.0,74118.0,56249.0,86603.0,34168.0,52435.0,132354.0,74598.0,57756.0,120931.0,69515.0,51416.0,27350.0,16069.0,11281.0,53079.0,25770.0,27309.0,4633.0,2263.0,2370.0,35869.0,25413.0,10456.0,11423.0,5083.0,6340.0,1083.0,547.0,536.0,5582.0,2253.0,3329.0,566.0,184.0,382.0,4192.0,2099.0,2093.0,10448.0,4732.0,5716.0,1026.0,518.0,508.0,5200.0,2128.0,3072.0,441.0,147.0,294.0,3781.0,1939.0,1842.0,975.0,351.0,624.0,57.0,29.0,28.0,382.0,125.0,257.0,125.0,37.0,88.0,411.0,160.0,251.0,84616.0,33688.0,50928.0,,
33.0,610.0,5751.0,0.0,0.0,0.0,SUB-DISTRICT,Gobichettipalayam,Urban,47495.0,159381.0,78405.0,80976.0,12828.0,6488.0,6340.0,23269.0,11553.0,11716.0,83.0,44.0,39.0,109896.0,59283.0,50613.0,49485.0,19122.0,30363.0,79462.0,50394.0,29068.0,74744.0,48374.0,26370.0,6294.0,4103.0,2191.0,21811.0,11156.0,10655.0,3887.0,2147.0,1740.0,42752.0,30968.0,11784.0,4718.0,2020.0,2698.0,111.0,61.0,50.0,2166.0,789.0,1377.0,246.0,71.0,175.0,2195.0,1099.0,1096.0,3895.0,1704.0,2191.0,96.0,55.0,41.0,1702.0,640.0,1062.0,181.0,53.0,128.0,1916.0,956.0,960.0,823.0,316.0,507.0,15.0,6.0,9.0,464.0,149.0,315.0,65.0,18.0,47.0,279.0,143.0,136.0,79919.0,28011.0,51908.0,,
33.0,610.0,5751.0,634897.0,0.0,0.0,VILLAGE,Pullappanaickenpalayam,Rural,925.0,3029.0,1484.0,1545.0,264.0,137.0,127.0,412.0,207.0,205.0,109.0,56.0,53.0,1700.0,932.0,768.0,1329.0,552.0,777.0,1756.0,1020.0,736.0,1661.0,981.0,680.0,170.0,140.0,30.0,1082.0,549.0,533.0,18.0,9.0,9.0,391.0,283.0,108.0,95.0,39.0,56.0,2.0,0.0,2.0,75.0,30.0,45.0,2.0,0.0,2.0,16.0,9.0,7.0,91.0,38.0,53.0,2.0,0.0,2.0,74.0,30.0,44.0,2.0,0.0,2.0,13.0,8.0,5.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,1273.0,464.0,809.0,,
33.0,610.0,5751.0,634898.0,0.0,0.0,VILLAGE,Arrakkankottaigramam,Rural,1084.0,3690.0,1875.0,1815.0,320.0,171.0,149.0,480.0,242.0,238.0,147.0,69.0,78.0,2058.0,1206.0,852.0,1632.0,669.0,963.0,2355.0,1273.0,1082.0,1836.0,1058.0,778.0,430.0,266.0,164.0,764.0,299.0,465.0,18.0,10.0,8.0,624.0,483.0,141.0,519.0,215.0,304.0,10.0,3.0,7.0,383.0,159.0,224.0,57.0,19.0,38.0,69.0,34.0,35.0,368.0,161.0,207.0,10.0,3.0,7.0,274.0,119.0,155.0,25.0,10.0,15.0,59.0,29.0,30.0,151.0,54.0,97.0,0.0,0.0,0.0,109.0,40.0,69.0,32.0,9.0,23.0,10.0,5.0,5.0,1335.0,602.0,733.0,,
33.0,610.0,5751.0,634899.0,0.0,0.0,VILLAGE,Kongarpalayam,Rural,1692.0,5346.0,2590.0,2756.0,407.0,193.0,214.0,1388.0,668.0,720.0,375.0,181.0,194.0,2991.0,1672.0,1319.0,2355.0,918.0,1437.0,3411.0,1767.0,1644.0,3367.0,1750.0,1617.0,679.0,366.0,313.0,2096.0,973.0,1123.0,62.0,37.0,25.0,530.0,374.0,156.0,44.0,17.0,27.0,3.0,3.0,0.0,20.0,5.0,15.0,3.0,1.0,2.0,18.0,8.0,10.0,41.0,15.0,26.0,3.0,3.0,0.0,19.0,5.0,14.0,3.0,1.0,2.0,16.0,6.0,10.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1935.0,823.0,1112.0,,
33.0,610.0,5751.0,634900.0,0.0,0.0,VILLAGE,Kavandampalayam,Rural,921.0,3103.0,1548.0,1555.0,253.0,131.0,122.0,815.0,392.0,423.0,10.0,6.0,4.0,1604.0,896.0,708.0,1499.0,652.0,847.0,2079.0,1070.0,1009.0,1890.0,971.0,919.0,492.0,251.0,241.0,1085.0,516.0,569.0,13.0,8.0,5.0,300.0,196.0,104.0,189.0,99.0,90.0,11.0,4.0,7.0,134.0,69.0,65.0,2.0,0.0,2.0,42.0,26.0,16.0,184.0,98.0,86.0,9.0,3.0,6.0,132.0,69.0,63.0,2.0,0.0,2.0,41.0,26.0,15.0,5.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1024.0,478.0,546.0,,
33.0,610.0,5751.0,634901.0,0.0,0.0,VILLAGE,Punjaithuraipalayam,Rural,2372.0,7568.0,3779.0,3789.0,583.0,307.0,276.0,731.0,355.0,376.0,191.0,97.0,94.0,4534.0,2520.0,2014.0,3034.0,1259.0,1775.0,4429.0,2495.0,1934.0,4092.0,2295.0,1797.0,643.0,379.0,264.0,2305.0,1079.0,1226.0,96.0,41.0,55.0,1048.0,796.0,252.0,337.0,200.0,137.0,6.0,3.0,3.0,254.0,154.0,100.0,10.0,5.0,5.0,67.0,38.0,29.0,321.0,196.0,125.0,6.0,3.0,3.0,244.0,152.0,92.0,10.0,5.0,5.0,61.0,36.0,25.0,16.0,4.0,12.0,0.0,0.0,0.0,10.0,2.0,8.0,0.0,0.0,0.0,6.0,2.0,4.0,3139.0,1284.0,1855.0,,
33.0,610.0,5751.0,634902.0,0.0,0.0,VILLAGE,Kondayampalayam,Rural,2378.0,7265.0,3552.0,3713.0,532.0,261.0,271.0,1238.0,600.0,638.0,4.0,1.0,3.0,4372.0,2410.0,1962.0,2893.0,1142.0,1751.0,4232.0,2416.0,1816.0,4164.0,2400.0,1764.0,467.0,294.0,173.0,2585.0,1292.0,1293.0,96.0,40.0,56.0,1016.0,774.0,242.0,68.0,16.0,52.0,4.0,1.0,3.0,46.0,7.0,39.0,1.0,0.0,1.0,17.0,8.0,9.0,66.0,15.0,51.0,4.0,1.0,3.0,46.0,7.0,39.0,1.0,0.0,1.0,15.0,7.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3033.0,1136.0,1897.0,,
33.0,610.0,5751.0,634903.0,0.0,0.0,VILLAGE,Kanakampalayam,Rural,1943.0,6209.0,3076.0,3133.0,448.0,231.0,217.0,1428.0,725.0,703.0,278.0,129.0,149.0,3860.0,2130.0,1730.0,2349.0,946.0,1403.0,3737.0,2088.0,1649.0,3492.0,2002.0,1490.0,733.0,402.0,331.0,1602.0,809.0,793.0,172.0,83.0,89.0,985.0,708.0,277.0,245.0,86.0,159.0,11.0,6.0,5.0,71.0,15.0,56.0,23.0,7.0,16.0,140.0,58.0,82.0,175.0,64.0,111.0,11.0,6.0,5.0,61.0,11.0,50.0,16.0,6.0,10.0,87.0,41.0,46.0,70.0,22.0,48.0,0.0,0.0,0.0,10.0,4.0,6.0,7.0,1.0,6.0,53.0,17.0,36.0,2472.0,988.0,1484.0,,
33.0,610.0,5751.0,634904.0,0.0,0.0,VILLAGE,Perumugai,Rural,2651.0,8314.0,4147.0,4167.0,601.0,301.0,300.0,1991.0,1013.0,978.0,312.0,159.0,153.0,4606.0,2593.0,2013.0,3708.0,1554.0,2154.0,5086.0,2826.0,2260.0,5015.0,2794.0,2221.0,973.0,587.0,386.0,3068.0,1539.0,1529.0,59.0,25.0,34.0,915.0,643.0,272.0,71.0,32.0,39.0,10.0,5.0,5.0,20.0,6.0,14.0,3.0,2.0,1.0,38.0,19.0,19.0,56.0,21.0,35.0,9.0,4.0,5.0,16.0,4.0,12.0,3.0,2.0,1.0,28.0,11.0,17.0,15.0,11.0,4.0,1.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,10.0,8.0,2.0,3228.0,1321.0,1907.0,,
33.0,610.0,5751.0,634905.0,0.0,0.0,VILLAGE,Savandapur,Rural,1125.0,3743.0,1875.0,1868.0,331.0,167.0,164.0,2479.0,1241.0,1238.0,1.0,0.0,1.0,2251.0,1300.0,951.0,1492.0,575.0,917.0,2208.0,1238.0,970.0,1980.0,1123.0,857.0,106.0,74.0,32.0,1438.0,727.0,711.0,29.0,18.0,11.0,407.0,304.0,103.0,228.0,115.0,113.0,15.0,9.0,6.0,153.0,69.0,84.0,3.0,1.0,2.0,57.0,36.0,21.0,184.0,93.0,91.0,15.0,9.0,6.0,117.0,53.0,64.0,3.0,1.0,2.0,49.0,30.0,19.0,44.0,22.0,22.0,0.0,0.0,0.0,36.0,16.0,20.0,0.0,0.0,0.0,8.0,6.0,2.0,1535.0,637.0,898.0,,
33.0,610.0,5751.0,634906.0,0.0,0.0,VILLAGE,Ammapalayam,Rural,344.0,1102.0,544.0,558.0,110.0,63.0,47.0,131.0,74.0,57.0,0.0,0.0,0.0,672.0,362.0,310.0,430.0,182.0,248.0,827.0,403.0,424.0,393.0,203.0,190.0,25.0,18.0,7.0,280.0,134.0,146.0,10.0,6.0,4.0,78.0,45.0,33.0,434.0,200.0,234.0,281.0,124.0,157.0,14.0,7.0,7.0,1.0,1.0,0.0,138.0,68.0,70.0,431.0,198.0,233.0,281.0,124.0,157.0,14.0,7.0,7.0,1.0,1.0,0.0,135.0,66.0,69.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,275.0,141.0,134.0,,
