State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,610.0,5752.0,0.0,0.0,0.0,SUB-DISTRICT,Perundurai,Total,78922.0,266106.0,134270.0,131836.0,21403.0,10953.0,10450.0,42924.0,21445.0,21479.0,148.0,76.0,72.0,179099.0,101086.0,78013.0,87007.0,33184.0,53823.0,144127.0,86720.0,57407.0,137769.0,84053.0,53716.0,22946.0,13316.0,9630.0,33014.0,15300.0,17714.0,6495.0,3528.0,2967.0,75314.0,51909.0,23405.0,6358.0,2667.0,3691.0,358.0,161.0,197.0,2032.0,767.0,1265.0,391.0,111.0,280.0,3577.0,1628.0,1949.0,5377.0,2289.0,3088.0,314.0,145.0,169.0,1780.0,699.0,1081.0,278.0,76.0,202.0,3005.0,1369.0,1636.0,981.0,378.0,603.0,44.0,16.0,28.0,252.0,68.0,184.0,113.0,35.0,78.0,572.0,259.0,313.0,121979.0,47550.0,74429.0,,
33.0,610.0,5752.0,0.0,0.0,0.0,SUB-DISTRICT,Perundurai,Rural,42355.0,141367.0,72507.0,68860.0,10917.0,5590.0,5327.0,27371.0,13759.0,13612.0,90.0,49.0,41.0,90420.0,53026.0,37394.0,50947.0,19481.0,31466.0,80127.0,46522.0,33605.0,76296.0,44898.0,31398.0,17070.0,9842.0,7228.0,22825.0,10571.0,12254.0,3596.0,1990.0,1606.0,32805.0,22495.0,10310.0,3831.0,1624.0,2207.0,267.0,106.0,161.0,1445.0,549.0,896.0,177.0,61.0,116.0,1942.0,908.0,1034.0,3356.0,1439.0,1917.0,231.0,93.0,138.0,1311.0,512.0,799.0,136.0,49.0,87.0,1678.0,785.0,893.0,475.0,185.0,290.0,36.0,13.0,23.0,134.0,37.0,97.0,41.0,12.0,29.0,264.0,123.0,141.0,61240.0,25985.0,35255.0,,
33.0,610.0,5752.0,0.0,0.0,0.0,SUB-DISTRICT,Perundurai,Urban,36567.0,124739.0,61763.0,62976.0,10486.0,5363.0,5123.0,15553.0,7686.0,7867.0,58.0,27.0,31.0,88679.0,48060.0,40619.0,36060.0,13703.0,22357.0,64000.0,40198.0,23802.0,61473.0,39155.0,22318.0,5876.0,3474.0,2402.0,10189.0,4729.0,5460.0,2899.0,1538.0,1361.0,42509.0,29414.0,13095.0,2527.0,1043.0,1484.0,91.0,55.0,36.0,587.0,218.0,369.0,214.0,50.0,164.0,1635.0,720.0,915.0,2021.0,850.0,1171.0,83.0,52.0,31.0,469.0,187.0,282.0,142.0,27.0,115.0,1327.0,584.0,743.0,506.0,193.0,313.0,8.0,3.0,5.0,118.0,31.0,87.0,72.0,23.0,49.0,308.0,136.0,172.0,60739.0,21565.0,39174.0,,
33.0,610.0,5752.0,634957.0,0.0,0.0,VILLAGE,Thoranavavi,Rural,724.0,2153.0,1067.0,1086.0,145.0,81.0,64.0,460.0,218.0,242.0,0.0,0.0,0.0,1301.0,718.0,583.0,852.0,349.0,503.0,1477.0,774.0,703.0,1231.0,661.0,570.0,361.0,198.0,163.0,622.0,294.0,328.0,16.0,11.0,5.0,232.0,158.0,74.0,246.0,113.0,133.0,5.0,3.0,2.0,157.0,69.0,88.0,3.0,1.0,2.0,81.0,40.0,41.0,200.0,98.0,102.0,5.0,3.0,2.0,130.0,62.0,68.0,2.0,0.0,2.0,63.0,33.0,30.0,46.0,15.0,31.0,0.0,0.0,0.0,27.0,7.0,20.0,1.0,1.0,0.0,18.0,7.0,11.0,676.0,293.0,383.0,,
33.0,610.0,5752.0,634958.0,0.0,0.0,VILLAGE,Madathupalayam,Rural,260.0,800.0,384.0,416.0,69.0,30.0,39.0,262.0,134.0,128.0,0.0,0.0,0.0,461.0,247.0,214.0,339.0,137.0,202.0,504.0,269.0,235.0,401.0,223.0,178.0,26.0,15.0,11.0,198.0,87.0,111.0,4.0,2.0,2.0,173.0,119.0,54.0,103.0,46.0,57.0,3.0,0.0,3.0,38.0,15.0,23.0,1.0,0.0,1.0,61.0,31.0,30.0,89.0,39.0,50.0,3.0,0.0,3.0,29.0,10.0,19.0,1.0,0.0,1.0,56.0,29.0,27.0,14.0,7.0,7.0,0.0,0.0,0.0,9.0,5.0,4.0,0.0,0.0,0.0,5.0,2.0,3.0,296.0,115.0,181.0,,
33.0,610.0,5752.0,634959.0,0.0,0.0,VILLAGE,Vettaiankinar,Rural,319.0,1058.0,509.0,549.0,75.0,41.0,34.0,163.0,76.0,87.0,0.0,0.0,0.0,586.0,334.0,252.0,472.0,175.0,297.0,756.0,356.0,400.0,727.0,347.0,380.0,315.0,148.0,167.0,287.0,123.0,164.0,32.0,16.0,16.0,93.0,60.0,33.0,29.0,9.0,20.0,0.0,0.0,0.0,27.0,7.0,20.0,0.0,0.0,0.0,2.0,2.0,0.0,29.0,9.0,20.0,0.0,0.0,0.0,27.0,7.0,20.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,153.0,149.0,,
33.0,610.0,5752.0,634960.0,0.0,0.0,VILLAGE,Sungakarampalayam,Rural,254.0,834.0,411.0,423.0,87.0,37.0,50.0,70.0,32.0,38.0,0.0,0.0,0.0,543.0,318.0,225.0,291.0,93.0,198.0,499.0,278.0,221.0,360.0,220.0,140.0,146.0,85.0,61.0,34.0,19.0,15.0,20.0,12.0,8.0,160.0,104.0,56.0,139.0,58.0,81.0,38.0,10.0,28.0,39.0,12.0,27.0,1.0,1.0,0.0,61.0,35.0,26.0,129.0,52.0,77.0,34.0,8.0,26.0,36.0,10.0,26.0,1.0,1.0,0.0,58.0,33.0,25.0,10.0,6.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,335.0,133.0,202.0,,
33.0,610.0,5752.0,634961.0,0.0,0.0,VILLAGE,Thingalur,Rural,1357.0,4541.0,2284.0,2257.0,356.0,176.0,180.0,831.0,418.0,413.0,0.0,0.0,0.0,3013.0,1694.0,1319.0,1528.0,590.0,938.0,2199.0,1430.0,769.0,2148.0,1400.0,748.0,352.0,223.0,129.0,743.0,412.0,331.0,92.0,58.0,34.0,961.0,707.0,254.0,51.0,30.0,21.0,4.0,2.0,2.0,9.0,3.0,6.0,8.0,6.0,2.0,30.0,19.0,11.0,48.0,29.0,19.0,4.0,2.0,2.0,9.0,3.0,6.0,8.0,6.0,2.0,27.0,18.0,9.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2342.0,854.0,1488.0,,
33.0,610.0,5752.0,634962.0,0.0,0.0,VILLAGE,Karukkapalayam,Rural,527.0,1634.0,832.0,802.0,138.0,74.0,64.0,375.0,187.0,188.0,0.0,0.0,0.0,951.0,576.0,375.0,683.0,256.0,427.0,1080.0,584.0,496.0,1069.0,581.0,488.0,285.0,163.0,122.0,505.0,231.0,274.0,30.0,21.0,9.0,249.0,166.0,83.0,11.0,3.0,8.0,3.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,1.0,4.0,2.0,2.0,5.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,554.0,248.0,306.0,,
33.0,610.0,5752.0,634963.0,0.0,0.0,VILLAGE,Nichampalayam,Rural,1449.0,4698.0,2365.0,2333.0,391.0,217.0,174.0,951.0,463.0,488.0,0.0,0.0,0.0,2840.0,1628.0,1212.0,1858.0,737.0,1121.0,2819.0,1585.0,1234.0,2588.0,1473.0,1115.0,942.0,530.0,412.0,1064.0,502.0,562.0,28.0,14.0,14.0,554.0,427.0,127.0,231.0,112.0,119.0,12.0,5.0,7.0,193.0,95.0,98.0,6.0,4.0,2.0,20.0,8.0,12.0,229.0,111.0,118.0,12.0,5.0,7.0,193.0,95.0,98.0,5.0,3.0,2.0,19.0,8.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1879.0,780.0,1099.0,,
