State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,604.0,5707.0,0.0,0.0,0.0,SUB-DISTRICT,Kancheepuram,Total,124877.0,497711.0,248707.0,249004.0,52211.0,26502.0,25709.0,104853.0,52054.0,52799.0,5083.0,2520.0,2563.0,357583.0,193579.0,164004.0,140128.0,55128.0,85000.0,214736.0,146155.0,68581.0,179931.0,129514.0,50417.0,13520.0,9654.0,3866.0,31545.0,15899.0,15646.0,17138.0,11443.0,5695.0,117728.0,92518.0,25210.0,34805.0,16641.0,18164.0,1674.0,962.0,712.0,13230.0,5248.0,7982.0,3067.0,1051.0,2016.0,16834.0,9380.0,7454.0,29157.0,14119.0,15038.0,1510.0,888.0,622.0,11192.0,4558.0,6634.0,2586.0,876.0,1710.0,13869.0,7797.0,6072.0,5648.0,2522.0,3126.0,164.0,74.0,90.0,2038.0,690.0,1348.0,481.0,175.0,306.0,2965.0,1583.0,1382.0,282975.0,102552.0,180423.0,,
33.0,604.0,5707.0,0.0,0.0,0.0,SUB-DISTRICT,Kancheepuram,Rural,55563.0,222626.0,111553.0,111073.0,24464.0,12417.0,12047.0,78291.0,38945.0,39346.0,3829.0,1906.0,1923.0,144907.0,81208.0,63699.0,77719.0,30345.0,47374.0,107709.0,65732.0,41977.0,85202.0,55673.0,29529.0,12682.0,8964.0,3718.0,29723.0,14847.0,14876.0,4302.0,2546.0,1756.0,38495.0,29316.0,9179.0,22507.0,10059.0,12448.0,1491.0,844.0,647.0,12136.0,4797.0,7339.0,1266.0,403.0,863.0,7614.0,4015.0,3599.0,18650.0,8518.0,10132.0,1336.0,776.0,560.0,10304.0,4194.0,6110.0,1083.0,340.0,743.0,5927.0,3208.0,2719.0,3857.0,1541.0,2316.0,155.0,68.0,87.0,1832.0,603.0,1229.0,183.0,63.0,120.0,1687.0,807.0,880.0,114917.0,45821.0,69096.0,,
33.0,604.0,5707.0,0.0,0.0,0.0,SUB-DISTRICT,Kancheepuram,Urban,69314.0,275085.0,137154.0,137931.0,27747.0,14085.0,13662.0,26562.0,13109.0,13453.0,1254.0,614.0,640.0,212676.0,112371.0,100305.0,62409.0,24783.0,37626.0,107027.0,80423.0,26604.0,94729.0,73841.0,20888.0,838.0,690.0,148.0,1822.0,1052.0,770.0,12836.0,8897.0,3939.0,79233.0,63202.0,16031.0,12298.0,6582.0,5716.0,183.0,118.0,65.0,1094.0,451.0,643.0,1801.0,648.0,1153.0,9220.0,5365.0,3855.0,10507.0,5601.0,4906.0,174.0,112.0,62.0,888.0,364.0,524.0,1503.0,536.0,967.0,7942.0,4589.0,3353.0,1791.0,981.0,810.0,9.0,6.0,3.0,206.0,87.0,119.0,298.0,112.0,186.0,1278.0,776.0,502.0,168058.0,56731.0,111327.0,,
33.0,604.0,5707.0,629574.0,0.0,0.0,VILLAGE,Pullalur,Rural,708.0,2843.0,1412.0,1431.0,360.0,179.0,181.0,1291.0,656.0,635.0,20.0,7.0,13.0,1809.0,1005.0,804.0,1034.0,407.0,627.0,1491.0,874.0,617.0,1299.0,791.0,508.0,170.0,118.0,52.0,705.0,328.0,377.0,36.0,24.0,12.0,388.0,321.0,67.0,192.0,83.0,109.0,1.0,1.0,0.0,145.0,52.0,93.0,3.0,1.0,2.0,43.0,29.0,14.0,179.0,78.0,101.0,1.0,1.0,0.0,137.0,49.0,88.0,3.0,1.0,2.0,38.0,27.0,11.0,13.0,5.0,8.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,0.0,0.0,5.0,2.0,3.0,1352.0,538.0,814.0,,
33.0,604.0,5707.0,629575.0,0.0,0.0,VILLAGE,Kanakambakkam,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,604.0,5707.0,629576.0,0.0,0.0,VILLAGE,Thandalam,Rural,202.0,724.0,384.0,340.0,74.0,48.0,26.0,412.0,226.0,186.0,0.0,0.0,0.0,502.0,289.0,213.0,222.0,95.0,127.0,437.0,248.0,189.0,436.0,248.0,188.0,17.0,16.0,1.0,316.0,152.0,164.0,4.0,3.0,1.0,99.0,77.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,136.0,151.0,,
33.0,604.0,5707.0,629577.0,0.0,0.0,VILLAGE,Purisai,Rural,580.0,2323.0,1154.0,1169.0,268.0,136.0,132.0,419.0,208.0,211.0,22.0,10.0,12.0,1435.0,832.0,603.0,888.0,322.0,566.0,1291.0,724.0,567.0,1213.0,697.0,516.0,118.0,76.0,42.0,756.0,363.0,393.0,32.0,17.0,15.0,307.0,241.0,66.0,78.0,27.0,51.0,6.0,3.0,3.0,32.0,11.0,21.0,22.0,2.0,20.0,18.0,11.0,7.0,64.0,25.0,39.0,6.0,3.0,3.0,31.0,11.0,20.0,12.0,1.0,11.0,15.0,10.0,5.0,14.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,1.0,9.0,3.0,1.0,2.0,1032.0,430.0,602.0,,
33.0,604.0,5707.0,629578.0,0.0,0.0,VILLAGE,Valathur,Rural,328.0,1218.0,619.0,599.0,153.0,82.0,71.0,637.0,318.0,319.0,0.0,0.0,0.0,750.0,450.0,300.0,468.0,169.0,299.0,608.0,373.0,235.0,589.0,362.0,227.0,130.0,112.0,18.0,187.0,44.0,143.0,57.0,38.0,19.0,215.0,168.0,47.0,19.0,11.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,15.0,10.0,5.0,16.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,12.0,7.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,610.0,246.0,364.0,,
33.0,604.0,5707.0,629579.0,0.0,0.0,VILLAGE,Pullambakkam,Rural,166.0,732.0,372.0,360.0,97.0,56.0,41.0,228.0,109.0,119.0,0.0,0.0,0.0,417.0,247.0,170.0,315.0,125.0,190.0,377.0,225.0,152.0,273.0,205.0,68.0,47.0,38.0,9.0,155.0,100.0,55.0,5.0,4.0,1.0,66.0,63.0,3.0,104.0,20.0,84.0,13.0,6.0,7.0,83.0,8.0,75.0,1.0,0.0,1.0,7.0,6.0,1.0,90.0,20.0,70.0,10.0,6.0,4.0,72.0,8.0,64.0,1.0,0.0,1.0,7.0,6.0,1.0,14.0,0.0,14.0,3.0,0.0,3.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,147.0,208.0,,
33.0,604.0,5707.0,629580.0,0.0,0.0,VILLAGE,Pondavakkam,Rural,80.0,319.0,152.0,167.0,44.0,18.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,111.0,80.0,128.0,41.0,87.0,140.0,89.0,51.0,140.0,89.0,51.0,113.0,70.0,43.0,7.0,3.0,4.0,0.0,0.0,0.0,20.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,63.0,116.0,,
