State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,604.0,5705.0,0.0,0.0,0.0,SUB-DISTRICT,Sholinganallur ,Total,143615.0,563342.0,285167.0,278175.0,64665.0,33119.0,31546.0,74531.0,37549.0,36982.0,2258.0,1118.0,1140.0,441020.0,233036.0,207984.0,122322.0,52131.0,70191.0,227387.0,166936.0,60451.0,197868.0,149485.0,48383.0,1560.0,1068.0,492.0,2393.0,1514.0,879.0,3560.0,2153.0,1407.0,190355.0,144750.0,45605.0,29519.0,17451.0,12068.0,720.0,399.0,321.0,644.0,390.0,254.0,982.0,385.0,597.0,27173.0,16277.0,10896.0,25902.0,15136.0,10766.0,644.0,361.0,283.0,572.0,349.0,223.0,693.0,253.0,440.0,23993.0,14173.0,9820.0,3617.0,2315.0,1302.0,76.0,38.0,38.0,72.0,41.0,31.0,289.0,132.0,157.0,3180.0,2104.0,1076.0,335955.0,118231.0,217724.0,,
33.0,604.0,5705.0,0.0,0.0,0.0,SUB-DISTRICT,Sholinganallur ,Rural,16480.0,70441.0,35719.0,34722.0,7833.0,4026.0,3807.0,13196.0,6674.0,6522.0,913.0,444.0,469.0,53280.0,28507.0,24773.0,17161.0,7212.0,9949.0,26966.0,19179.0,7787.0,21674.0,16038.0,5636.0,603.0,395.0,208.0,620.0,336.0,284.0,665.0,461.0,204.0,19786.0,14846.0,4940.0,5292.0,3141.0,2151.0,289.0,131.0,158.0,151.0,94.0,57.0,261.0,117.0,144.0,4591.0,2799.0,1792.0,4366.0,2558.0,1808.0,233.0,104.0,129.0,133.0,83.0,50.0,145.0,67.0,78.0,3855.0,2304.0,1551.0,926.0,583.0,343.0,56.0,27.0,29.0,18.0,11.0,7.0,116.0,50.0,66.0,736.0,495.0,241.0,43475.0,16540.0,26935.0,,
33.0,604.0,5705.0,0.0,0.0,0.0,SUB-DISTRICT,Sholinganallur ,Urban,127135.0,492901.0,249448.0,243453.0,56832.0,29093.0,27739.0,61335.0,30875.0,30460.0,1345.0,674.0,671.0,387740.0,204529.0,183211.0,105161.0,44919.0,60242.0,200421.0,147757.0,52664.0,176194.0,133447.0,42747.0,957.0,673.0,284.0,1773.0,1178.0,595.0,2895.0,1692.0,1203.0,170569.0,129904.0,40665.0,24227.0,14310.0,9917.0,431.0,268.0,163.0,493.0,296.0,197.0,721.0,268.0,453.0,22582.0,13478.0,9104.0,21536.0,12578.0,8958.0,411.0,257.0,154.0,439.0,266.0,173.0,548.0,186.0,362.0,20138.0,11869.0,8269.0,2691.0,1732.0,959.0,20.0,11.0,9.0,54.0,30.0,24.0,173.0,82.0,91.0,2444.0,1609.0,835.0,292480.0,101691.0,190789.0,,
33.0,604.0,5705.0,629375.0,0.0,0.0,VILLAGE,Perumbakkam,Rural,4739.0,18890.0,9491.0,9399.0,2357.0,1165.0,1192.0,2405.0,1222.0,1183.0,311.0,157.0,154.0,14488.0,7642.0,6846.0,4402.0,1849.0,2553.0,7844.0,5723.0,2121.0,5720.0,4443.0,1277.0,202.0,124.0,78.0,185.0,104.0,81.0,211.0,157.0,54.0,5122.0,4058.0,1064.0,2124.0,1280.0,844.0,124.0,68.0,56.0,73.0,48.0,25.0,95.0,56.0,39.0,1832.0,1108.0,724.0,1878.0,1103.0,775.0,101.0,55.0,46.0,65.0,43.0,22.0,53.0,27.0,26.0,1659.0,978.0,681.0,246.0,177.0,69.0,23.0,13.0,10.0,8.0,5.0,3.0,42.0,29.0,13.0,173.0,130.0,43.0,11046.0,3768.0,7278.0,,
33.0,604.0,5705.0,629376.0,0.0,0.0,VILLAGE,Sittalapakkam,Rural,3461.0,13542.0,6857.0,6685.0,1725.0,891.0,834.0,2105.0,1095.0,1010.0,213.0,105.0,108.0,10554.0,5551.0,5003.0,2988.0,1306.0,1682.0,5478.0,4104.0,1374.0,4444.0,3556.0,888.0,89.0,65.0,24.0,97.0,62.0,35.0,134.0,101.0,33.0,4124.0,3328.0,796.0,1034.0,548.0,486.0,44.0,13.0,31.0,22.0,12.0,10.0,99.0,26.0,73.0,869.0,497.0,372.0,849.0,442.0,407.0,31.0,8.0,23.0,18.0,8.0,10.0,50.0,18.0,32.0,750.0,408.0,342.0,185.0,106.0,79.0,13.0,5.0,8.0,4.0,4.0,0.0,49.0,8.0,41.0,119.0,89.0,30.0,8064.0,2753.0,5311.0,,
33.0,604.0,5705.0,629377.0,0.0,0.0,VILLAGE,Ottiambakkam,Rural,549.0,2129.0,1064.0,1065.0,256.0,133.0,123.0,732.0,371.0,361.0,205.0,97.0,108.0,1501.0,808.0,693.0,628.0,256.0,372.0,811.0,601.0,210.0,604.0,458.0,146.0,62.0,54.0,8.0,126.0,66.0,60.0,26.0,14.0,12.0,390.0,324.0,66.0,207.0,143.0,64.0,8.0,6.0,2.0,9.0,6.0,3.0,9.0,4.0,5.0,181.0,127.0,54.0,164.0,125.0,39.0,8.0,6.0,2.0,7.0,6.0,1.0,7.0,3.0,4.0,142.0,110.0,32.0,43.0,18.0,25.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,39.0,17.0,22.0,1318.0,463.0,855.0,,
33.0,604.0,5705.0,629378.0,0.0,0.0,VILLAGE,Arasankalani,Rural,275.0,1092.0,546.0,546.0,134.0,66.0,68.0,115.0,65.0,50.0,2.0,0.0,2.0,794.0,419.0,375.0,298.0,127.0,171.0,433.0,269.0,164.0,284.0,174.0,110.0,37.0,17.0,20.0,53.0,22.0,31.0,24.0,18.0,6.0,170.0,117.0,53.0,149.0,95.0,54.0,18.0,7.0,11.0,3.0,2.0,1.0,1.0,0.0,1.0,127.0,86.0,41.0,144.0,95.0,49.0,16.0,7.0,9.0,3.0,2.0,1.0,1.0,0.0,1.0,124.0,86.0,38.0,5.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,659.0,277.0,382.0,,
33.0,604.0,5705.0,629379.0,0.0,0.0,VILLAGE,Semmanjeri,Rural,6141.0,29751.0,15259.0,14492.0,2787.0,1468.0,1319.0,7216.0,3618.0,3598.0,88.0,40.0,48.0,22342.0,12152.0,10190.0,7409.0,3107.0,4302.0,10488.0,7080.0,3408.0,8892.0,6093.0,2799.0,166.0,105.0,61.0,107.0,55.0,52.0,233.0,153.0,80.0,8386.0,5780.0,2606.0,1596.0,987.0,609.0,56.0,26.0,30.0,32.0,18.0,14.0,50.0,27.0,23.0,1458.0,916.0,542.0,1173.0,717.0,456.0,42.0,20.0,22.0,28.0,16.0,12.0,32.0,17.0,15.0,1071.0,664.0,407.0,423.0,270.0,153.0,14.0,6.0,8.0,4.0,2.0,2.0,18.0,10.0,8.0,387.0,252.0,135.0,19263.0,8179.0,11084.0,,
33.0,604.0,5705.0,629380.0,0.0,0.0,VILLAGE,Uthandi,Rural,1315.0,5037.0,2502.0,2535.0,574.0,303.0,271.0,623.0,303.0,320.0,94.0,45.0,49.0,3601.0,1935.0,1666.0,1436.0,567.0,869.0,1912.0,1402.0,510.0,1730.0,1314.0,416.0,47.0,30.0,17.0,52.0,27.0,25.0,37.0,18.0,19.0,1594.0,1239.0,355.0,182.0,88.0,94.0,39.0,11.0,28.0,12.0,8.0,4.0,7.0,4.0,3.0,124.0,65.0,59.0,158.0,76.0,82.0,35.0,8.0,27.0,12.0,8.0,4.0,2.0,2.0,0.0,109.0,58.0,51.0,24.0,12.0,12.0,4.0,3.0,1.0,0.0,0.0,0.0,5.0,2.0,3.0,15.0,7.0,8.0,3125.0,1100.0,2025.0,,
33.0,604.0,5705.0,803356.0,0.0,0.0,TOWN,Pallavaram (M + OG) (Part),Urban,4819.0,18567.0,9480.0,9087.0,2210.0,1135.0,1075.0,2026.0,1054.0,972.0,99.0,51.0,48.0,14558.0,7768.0,6790.0,4009.0,1712.0,2297.0,7194.0,5638.0,1556.0,6823.0,5378.0,1445.0,33.0,30.0,3.0,111.0,91.0,20.0,78.0,41.0,37.0,6601.0,5216.0,1385.0,371.0,260.0,111.0,3.0,1.0,2.0,11.0,9.0,2.0,4.0,2.0,2.0,353.0,248.0,105.0,307.0,222.0,85.0,3.0,1.0,2.0,9.0,8.0,1.0,3.0,2.0,1.0,292.0,211.0,81.0,64.0,38.0,26.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,61.0,37.0,24.0,11373.0,3842.0,7531.0,,
