State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,613.0,5769.0,0.0,0.0,0.0,SUB-DISTRICT,Karur,Total,125412.0,445389.0,221278.0,224111.0,40514.0,21089.0,19425.0,81915.0,40295.0,41620.0,291.0,152.0,139.0,329019.0,178770.0,150249.0,116370.0,42508.0,73862.0,212779.0,137468.0,75311.0,201694.0,132216.0,69478.0,18817.0,11453.0,7364.0,36836.0,16739.0,20097.0,5221.0,2460.0,2761.0,140820.0,101564.0,39256.0,11085.0,5252.0,5833.0,372.0,160.0,212.0,2771.0,921.0,1850.0,606.0,165.0,441.0,7336.0,4006.0,3330.0,9143.0,4290.0,4853.0,340.0,146.0,194.0,2497.0,839.0,1658.0,442.0,126.0,316.0,5864.0,3179.0,2685.0,1942.0,962.0,980.0,32.0,14.0,18.0,274.0,82.0,192.0,164.0,39.0,125.0,1472.0,827.0,645.0,232610.0,83810.0,148800.0,,
33.0,613.0,5769.0,0.0,0.0,0.0,SUB-DISTRICT,Karur,Rural,37364.0,128648.0,63711.0,64937.0,10853.0,5643.0,5210.0,32821.0,16077.0,16744.0,42.0,24.0,18.0,83979.0,48084.0,35895.0,44669.0,15627.0,29042.0,71692.0,41049.0,30643.0,68308.0,39548.0,28760.0,13421.0,7992.0,5429.0,26860.0,11969.0,14891.0,1507.0,744.0,763.0,26520.0,18843.0,7677.0,3384.0,1501.0,1883.0,233.0,106.0,127.0,1533.0,511.0,1022.0,135.0,42.0,93.0,1483.0,842.0,641.0,3047.0,1373.0,1674.0,216.0,97.0,119.0,1414.0,486.0,928.0,96.0,27.0,69.0,1321.0,763.0,558.0,337.0,128.0,209.0,17.0,9.0,8.0,119.0,25.0,94.0,39.0,15.0,24.0,162.0,79.0,83.0,56956.0,22662.0,34294.0,,
33.0,613.0,5769.0,0.0,0.0,0.0,SUB-DISTRICT,Karur,Urban,88048.0,316741.0,157567.0,159174.0,29661.0,15446.0,14215.0,49094.0,24218.0,24876.0,249.0,128.0,121.0,245040.0,130686.0,114354.0,71701.0,26881.0,44820.0,141087.0,96419.0,44668.0,133386.0,92668.0,40718.0,5396.0,3461.0,1935.0,9976.0,4770.0,5206.0,3714.0,1716.0,1998.0,114300.0,82721.0,31579.0,7701.0,3751.0,3950.0,139.0,54.0,85.0,1238.0,410.0,828.0,471.0,123.0,348.0,5853.0,3164.0,2689.0,6096.0,2917.0,3179.0,124.0,49.0,75.0,1083.0,353.0,730.0,346.0,99.0,247.0,4543.0,2416.0,2127.0,1605.0,834.0,771.0,15.0,5.0,10.0,155.0,57.0,98.0,125.0,24.0,101.0,1310.0,748.0,562.0,175654.0,61148.0,114506.0,,
33.0,613.0,5769.0,635547.0,0.0,0.0,VILLAGE,Vettamangalam (west),Rural,1827.0,5882.0,2887.0,2995.0,420.0,213.0,207.0,816.0,398.0,418.0,7.0,4.0,3.0,3953.0,2225.0,1728.0,1929.0,662.0,1267.0,3541.0,1966.0,1575.0,3455.0,1920.0,1535.0,1268.0,701.0,567.0,1410.0,672.0,738.0,48.0,22.0,26.0,729.0,525.0,204.0,86.0,46.0,40.0,17.0,9.0,8.0,24.0,8.0,16.0,2.0,2.0,0.0,43.0,27.0,16.0,66.0,34.0,32.0,17.0,9.0,8.0,22.0,7.0,15.0,2.0,2.0,0.0,25.0,16.0,9.0,20.0,12.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,18.0,11.0,7.0,2341.0,921.0,1420.0,,
33.0,613.0,5769.0,635548.0,0.0,0.0,VILLAGE,Vettamangalam (East),Rural,807.0,2657.0,1310.0,1347.0,202.0,99.0,103.0,714.0,346.0,368.0,5.0,2.0,3.0,1521.0,900.0,621.0,1136.0,410.0,726.0,1609.0,894.0,715.0,1593.0,886.0,707.0,419.0,261.0,158.0,940.0,432.0,508.0,24.0,14.0,10.0,210.0,179.0,31.0,16.0,8.0,8.0,0.0,0.0,0.0,12.0,5.0,7.0,0.0,0.0,0.0,4.0,3.0,1.0,14.0,6.0,8.0,0.0,0.0,0.0,12.0,5.0,7.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1048.0,416.0,632.0,,
33.0,613.0,5769.0,635549.0,0.0,0.0,VILLAGE,Kombupalayam,Rural,614.0,1932.0,973.0,959.0,133.0,78.0,55.0,235.0,121.0,114.0,0.0,0.0,0.0,1371.0,766.0,605.0,561.0,207.0,354.0,945.0,598.0,347.0,902.0,566.0,336.0,138.0,99.0,39.0,369.0,178.0,191.0,29.0,17.0,12.0,366.0,272.0,94.0,43.0,32.0,11.0,2.0,2.0,0.0,8.0,8.0,0.0,2.0,2.0,0.0,31.0,20.0,11.0,20.0,15.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,15.0,10.0,5.0,23.0,17.0,6.0,2.0,2.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,16.0,10.0,6.0,987.0,375.0,612.0,,
33.0,613.0,5769.0,635550.0,0.0,0.0,VILLAGE,Thirukkattuthurai,Rural,944.0,3011.0,1458.0,1553.0,217.0,118.0,99.0,387.0,190.0,197.0,0.0,0.0,0.0,2091.0,1150.0,941.0,920.0,308.0,612.0,1694.0,961.0,733.0,1682.0,954.0,728.0,288.0,198.0,90.0,886.0,388.0,498.0,48.0,31.0,17.0,460.0,337.0,123.0,12.0,7.0,5.0,2.0,1.0,1.0,5.0,2.0,3.0,0.0,0.0,0.0,5.0,4.0,1.0,8.0,3.0,5.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1317.0,497.0,820.0,,
33.0,613.0,5769.0,635551.0,0.0,0.0,VILLAGE,Nanjaipugalur,Rural,751.0,2458.0,1186.0,1272.0,208.0,120.0,88.0,242.0,113.0,129.0,0.0,0.0,0.0,1741.0,922.0,819.0,717.0,264.0,453.0,1215.0,751.0,464.0,1179.0,738.0,441.0,40.0,33.0,7.0,532.0,252.0,280.0,35.0,16.0,19.0,572.0,437.0,135.0,36.0,13.0,23.0,0.0,0.0,0.0,23.0,6.0,17.0,2.0,0.0,2.0,11.0,7.0,4.0,34.0,13.0,21.0,0.0,0.0,0.0,22.0,6.0,16.0,1.0,0.0,1.0,11.0,7.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1243.0,435.0,808.0,,
33.0,613.0,5769.0,635552.0,0.0,0.0,VILLAGE,N.Kadambankurichi,Rural,181.0,563.0,278.0,285.0,52.0,22.0,30.0,180.0,88.0,92.0,0.0,0.0,0.0,410.0,231.0,179.0,153.0,47.0,106.0,325.0,184.0,141.0,323.0,183.0,140.0,12.0,10.0,2.0,237.0,116.0,121.0,5.0,2.0,3.0,69.0,55.0,14.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,94.0,144.0,,
33.0,613.0,5769.0,635553.0,0.0,0.0,VILLAGE,P.Kadambankurichi,Rural,978.0,3201.0,1584.0,1617.0,275.0,146.0,129.0,555.0,272.0,283.0,1.0,1.0,0.0,2072.0,1204.0,868.0,1129.0,380.0,749.0,1855.0,1042.0,813.0,1828.0,1035.0,793.0,320.0,190.0,130.0,910.0,391.0,519.0,19.0,11.0,8.0,579.0,443.0,136.0,27.0,7.0,20.0,3.0,1.0,2.0,16.0,3.0,13.0,2.0,2.0,0.0,6.0,1.0,5.0,23.0,5.0,18.0,3.0,1.0,2.0,13.0,2.0,11.0,1.0,1.0,0.0,6.0,1.0,5.0,4.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1346.0,542.0,804.0,,
