State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,613.0,5770.0,0.0,0.0,0.0,SUB-DISTRICT,Krishnarayapuram,Total,31279.0,119213.0,59415.0,59798.0,12603.0,6469.0,6134.0,30533.0,14946.0,15587.0,64.0,31.0,33.0,75548.0,42757.0,32791.0,43665.0,16658.0,27007.0,63307.0,36538.0,26769.0,60286.0,35219.0,25067.0,9944.0,6449.0,3495.0,33307.0,16167.0,17140.0,901.0,541.0,360.0,16134.0,12062.0,4072.0,3021.0,1319.0,1702.0,330.0,156.0,174.0,1834.0,704.0,1130.0,67.0,21.0,46.0,790.0,438.0,352.0,2707.0,1210.0,1497.0,322.0,153.0,169.0,1638.0,653.0,985.0,57.0,19.0,38.0,690.0,385.0,305.0,314.0,109.0,205.0,8.0,3.0,5.0,196.0,51.0,145.0,10.0,2.0,8.0,100.0,53.0,47.0,55906.0,22877.0,33029.0,,
33.0,613.0,5770.0,0.0,0.0,0.0,SUB-DISTRICT,Krishnarayapuram,Rural,26317.0,100937.0,50358.0,50579.0,10782.0,5531.0,5251.0,26739.0,13100.0,13639.0,47.0,23.0,24.0,63411.0,36016.0,27395.0,37526.0,14342.0,23184.0,54155.0,31012.0,23143.0,51367.0,29759.0,21608.0,8535.0,5477.0,3058.0,28660.0,13848.0,14812.0,645.0,399.0,246.0,13527.0,10035.0,3492.0,2788.0,1253.0,1535.0,269.0,145.0,124.0,1719.0,677.0,1042.0,60.0,21.0,39.0,740.0,410.0,330.0,2492.0,1147.0,1345.0,262.0,142.0,120.0,1534.0,627.0,907.0,51.0,19.0,32.0,645.0,359.0,286.0,296.0,106.0,190.0,7.0,3.0,4.0,185.0,50.0,135.0,9.0,2.0,7.0,95.0,51.0,44.0,46782.0,19346.0,27436.0,,
33.0,613.0,5770.0,0.0,0.0,0.0,SUB-DISTRICT,Krishnarayapuram,Urban,4962.0,18276.0,9057.0,9219.0,1821.0,938.0,883.0,3794.0,1846.0,1948.0,17.0,8.0,9.0,12137.0,6741.0,5396.0,6139.0,2316.0,3823.0,9152.0,5526.0,3626.0,8919.0,5460.0,3459.0,1409.0,972.0,437.0,4647.0,2319.0,2328.0,256.0,142.0,114.0,2607.0,2027.0,580.0,233.0,66.0,167.0,61.0,11.0,50.0,115.0,27.0,88.0,7.0,0.0,7.0,50.0,28.0,22.0,215.0,63.0,152.0,60.0,11.0,49.0,104.0,26.0,78.0,6.0,0.0,6.0,45.0,26.0,19.0,18.0,3.0,15.0,1.0,0.0,1.0,11.0,1.0,10.0,1.0,0.0,1.0,5.0,2.0,3.0,9124.0,3531.0,5593.0,,
33.0,613.0,5770.0,635585.0,0.0,0.0,VILLAGE,Balarajapuram,Rural,1637.0,5720.0,2849.0,2871.0,513.0,256.0,257.0,2030.0,999.0,1031.0,12.0,5.0,7.0,3958.0,2275.0,1683.0,1762.0,574.0,1188.0,3137.0,1828.0,1309.0,3068.0,1803.0,1265.0,436.0,291.0,145.0,1184.0,446.0,738.0,39.0,27.0,12.0,1409.0,1039.0,370.0,69.0,25.0,44.0,6.0,4.0,2.0,26.0,4.0,22.0,3.0,0.0,3.0,34.0,17.0,17.0,60.0,22.0,38.0,6.0,4.0,2.0,21.0,2.0,19.0,2.0,0.0,2.0,31.0,16.0,15.0,9.0,3.0,6.0,0.0,0.0,0.0,5.0,2.0,3.0,1.0,0.0,1.0,3.0,1.0,2.0,2583.0,1021.0,1562.0,,
33.0,613.0,5770.0,635586.0,0.0,0.0,VILLAGE,Renganathapuram (North) ,Rural,903.0,3070.0,1467.0,1603.0,283.0,141.0,142.0,2081.0,982.0,1099.0,3.0,2.0,1.0,2037.0,1105.0,932.0,1033.0,362.0,671.0,1780.0,956.0,824.0,1740.0,948.0,792.0,145.0,88.0,57.0,1103.0,525.0,578.0,33.0,17.0,16.0,459.0,318.0,141.0,40.0,8.0,32.0,1.0,1.0,0.0,26.0,3.0,23.0,3.0,0.0,3.0,10.0,4.0,6.0,40.0,8.0,32.0,1.0,1.0,0.0,26.0,3.0,23.0,3.0,0.0,3.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290.0,511.0,779.0,,
33.0,613.0,5770.0,635587.0,0.0,0.0,VILLAGE,Renganathapuram (South),Rural,684.0,2412.0,1157.0,1255.0,211.0,97.0,114.0,1444.0,690.0,754.0,0.0,0.0,0.0,1563.0,898.0,665.0,849.0,259.0,590.0,1274.0,748.0,526.0,1216.0,734.0,482.0,189.0,124.0,65.0,574.0,252.0,322.0,16.0,6.0,10.0,437.0,352.0,85.0,58.0,14.0,44.0,0.0,0.0,0.0,48.0,7.0,41.0,3.0,1.0,2.0,7.0,6.0,1.0,57.0,14.0,43.0,0.0,0.0,0.0,47.0,7.0,40.0,3.0,1.0,2.0,7.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.0,409.0,729.0,,
33.0,613.0,5770.0,635588.0,0.0,0.0,VILLAGE,Mayanur ,Rural,1240.0,4574.0,2254.0,2320.0,477.0,234.0,243.0,1773.0,874.0,899.0,13.0,7.0,6.0,3310.0,1809.0,1501.0,1264.0,445.0,819.0,2080.0,1372.0,708.0,1742.0,1216.0,526.0,41.0,29.0,12.0,447.0,237.0,210.0,61.0,47.0,14.0,1193.0,903.0,290.0,338.0,156.0,182.0,9.0,4.0,5.0,64.0,29.0,35.0,6.0,1.0,5.0,259.0,122.0,137.0,308.0,148.0,160.0,8.0,4.0,4.0,53.0,27.0,26.0,6.0,1.0,5.0,241.0,116.0,125.0,30.0,8.0,22.0,1.0,0.0,1.0,11.0,2.0,9.0,0.0,0.0,0.0,18.0,6.0,12.0,2494.0,882.0,1612.0,,
33.0,613.0,5770.0,635589.0,0.0,0.0,VILLAGE,Thirukkampuliyur,Rural,1708.0,6487.0,3246.0,3241.0,670.0,349.0,321.0,1044.0,506.0,538.0,0.0,0.0,0.0,4343.0,2443.0,1900.0,2144.0,803.0,1341.0,3668.0,2037.0,1631.0,3637.0,2023.0,1614.0,396.0,238.0,158.0,2363.0,1154.0,1209.0,10.0,6.0,4.0,868.0,625.0,243.0,31.0,14.0,17.0,1.0,1.0,0.0,18.0,4.0,14.0,1.0,0.0,1.0,11.0,9.0,2.0,29.0,14.0,15.0,1.0,1.0,0.0,16.0,4.0,12.0,1.0,0.0,1.0,11.0,9.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2819.0,1209.0,1610.0,,
33.0,613.0,5770.0,635590.0,0.0,0.0,VILLAGE,Manavasi,Rural,812.0,2963.0,1482.0,1481.0,283.0,133.0,150.0,1457.0,709.0,748.0,2.0,2.0,0.0,1880.0,1070.0,810.0,1083.0,412.0,671.0,1588.0,895.0,693.0,1569.0,888.0,681.0,148.0,90.0,58.0,919.0,410.0,509.0,17.0,10.0,7.0,485.0,378.0,107.0,19.0,7.0,12.0,3.0,0.0,3.0,10.0,4.0,6.0,1.0,0.0,1.0,5.0,3.0,2.0,12.0,3.0,9.0,3.0,0.0,3.0,5.0,2.0,3.0,1.0,0.0,1.0,3.0,1.0,2.0,7.0,4.0,3.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,1375.0,587.0,788.0,,
33.0,613.0,5770.0,635591.0,0.0,0.0,VILLAGE,Sithalavai,Rural,1004.0,3706.0,1859.0,1847.0,395.0,202.0,193.0,779.0,397.0,382.0,0.0,0.0,0.0,2212.0,1298.0,914.0,1494.0,561.0,933.0,2015.0,1180.0,835.0,2013.0,1180.0,833.0,595.0,389.0,206.0,846.0,380.0,466.0,20.0,11.0,9.0,552.0,400.0,152.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.0,679.0,1012.0,,
33.0,613.0,5770.0,635592.0,0.0,0.0,VILLAGE,Kammanallur ,Rural,576.0,2121.0,1025.0,1096.0,183.0,96.0,87.0,846.0,400.0,446.0,0.0,0.0,0.0,1539.0,815.0,724.0,582.0,210.0,372.0,1224.0,671.0,553.0,1005.0,580.0,425.0,103.0,65.0,38.0,663.0,341.0,322.0,4.0,2.0,2.0,235.0,172.0,63.0,219.0,91.0,128.0,0.0,0.0,0.0,215.0,87.0,128.0,0.0,0.0,0.0,4.0,4.0,0.0,218.0,90.0,128.0,0.0,0.0,0.0,215.0,87.0,128.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,897.0,354.0,543.0,,
33.0,613.0,5770.0,635593.0,0.0,0.0,VILLAGE,Mahadhanapuram(North) ,Rural,1409.0,5396.0,2670.0,2726.0,511.0,255.0,256.0,2087.0,1010.0,1077.0,0.0,0.0,0.0,3823.0,2085.0,1738.0,1573.0,585.0,988.0,2587.0,1595.0,992.0,2096.0,1323.0,773.0,134.0,109.0,25.0,1325.0,726.0,599.0,23.0,14.0,9.0,614.0,474.0,140.0,491.0,272.0,219.0,10.0,6.0,4.0,420.0,224.0,196.0,13.0,8.0,5.0,48.0,34.0,14.0,478.0,263.0,215.0,10.0,6.0,4.0,419.0,223.0,196.0,12.0,7.0,5.0,37.0,27.0,10.0,13.0,9.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,11.0,7.0,4.0,2809.0,1075.0,1734.0,,
33.0,613.0,5770.0,635594.0,0.0,0.0,VILLAGE,Chinthalavadi,Rural,2708.0,10325.0,5252.0,5073.0,1099.0,592.0,507.0,2032.0,1014.0,1018.0,0.0,0.0,0.0,7237.0,4058.0,3179.0,3088.0,1194.0,1894.0,5197.0,3110.0,2087.0,4776.0,2903.0,1873.0,668.0,464.0,204.0,2793.0,1436.0,1357.0,100.0,62.0,38.0,1215.0,941.0,274.0,421.0,207.0,214.0,9.0,6.0,3.0,335.0,157.0,178.0,8.0,3.0,5.0,69.0,41.0,28.0,287.0,168.0,119.0,8.0,5.0,3.0,221.0,127.0,94.0,5.0,3.0,2.0,53.0,33.0,20.0,134.0,39.0,95.0,1.0,1.0,0.0,114.0,30.0,84.0,3.0,0.0,3.0,16.0,8.0,8.0,5128.0,2142.0,2986.0,,
33.0,613.0,5770.0,635595.0,0.0,0.0,VILLAGE,Pillapalayam,Rural,1206.0,4671.0,2363.0,2308.0,473.0,245.0,228.0,2029.0,987.0,1042.0,1.0,0.0,1.0,3363.0,1849.0,1514.0,1308.0,514.0,794.0,2248.0,1401.0,847.0,2228.0,1392.0,836.0,118.0,87.0,31.0,1698.0,992.0,706.0,3.0,1.0,2.0,409.0,312.0,97.0,20.0,9.0,11.0,3.0,1.0,2.0,7.0,5.0,2.0,3.0,0.0,3.0,7.0,3.0,4.0,18.0,8.0,10.0,3.0,1.0,2.0,7.0,5.0,2.0,2.0,0.0,2.0,6.0,2.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2423.0,962.0,1461.0,,
33.0,613.0,5770.0,635596.0,0.0,0.0,VILLAGE,Kallapalli ,Rural,1576.0,6043.0,3069.0,2974.0,637.0,336.0,301.0,870.0,431.0,439.0,10.0,4.0,6.0,4394.0,2462.0,1932.0,1649.0,607.0,1042.0,2712.0,1767.0,945.0,2665.0,1748.0,917.0,334.0,293.0,41.0,1637.0,929.0,708.0,74.0,48.0,26.0,620.0,478.0,142.0,47.0,19.0,28.0,3.0,1.0,2.0,15.0,5.0,10.0,3.0,2.0,1.0,26.0,11.0,15.0,38.0,14.0,24.0,3.0,1.0,2.0,14.0,4.0,10.0,1.0,1.0,0.0,20.0,8.0,12.0,9.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,6.0,3.0,3.0,3331.0,1302.0,2029.0,,
