State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,631.0,5892.0,0.0,0.0,0.0,SUB-DISTRICT,Denkanikottai,Total,79272.0,347474.0,178989.0,168485.0,40429.0,20918.0,19511.0,50058.0,25698.0,24360.0,11591.0,5975.0,5616.0,189982.0,109780.0,80202.0,157492.0,69209.0,88283.0,177840.0,109154.0,68686.0,151531.0,96805.0,54726.0,77107.0,49641.0,27466.0,36526.0,18825.0,17701.0,3107.0,1386.0,1721.0,34791.0,26953.0,7838.0,26309.0,12349.0,13960.0,5071.0,2854.0,2217.0,12798.0,5188.0,7610.0,1369.0,470.0,899.0,7071.0,3837.0,3234.0,22276.0,10299.0,11977.0,4212.0,2349.0,1863.0,10965.0,4313.0,6652.0,959.0,314.0,645.0,6140.0,3323.0,2817.0,4033.0,2050.0,1983.0,859.0,505.0,354.0,1833.0,875.0,958.0,410.0,156.0,254.0,931.0,514.0,417.0,169634.0,69835.0,99799.0,,
33.0,631.0,5892.0,0.0,0.0,0.0,SUB-DISTRICT,Denkanikottai,Rural,70781.0,309901.0,159980.0,149921.0,35901.0,18611.0,17290.0,44399.0,22819.0,21580.0,11277.0,5802.0,5475.0,164783.0,96127.0,68656.0,145118.0,63853.0,81265.0,162795.0,98162.0,64633.0,137529.0,86378.0,51151.0,76188.0,49031.0,27157.0,34809.0,17848.0,16961.0,2411.0,1076.0,1335.0,24121.0,18423.0,5698.0,25266.0,11784.0,13482.0,4993.0,2811.0,2182.0,12686.0,5129.0,7557.0,1265.0,423.0,842.0,6322.0,3421.0,2901.0,21482.0,9886.0,11596.0,4135.0,2306.0,1829.0,10874.0,4262.0,6612.0,893.0,285.0,608.0,5580.0,3033.0,2547.0,3784.0,1898.0,1886.0,858.0,505.0,353.0,1812.0,867.0,945.0,372.0,138.0,234.0,742.0,388.0,354.0,147106.0,61818.0,85288.0,,
33.0,631.0,5892.0,0.0,0.0,0.0,SUB-DISTRICT,Denkanikottai,Urban,8491.0,37573.0,19009.0,18564.0,4528.0,2307.0,2221.0,5659.0,2879.0,2780.0,314.0,173.0,141.0,25199.0,13653.0,11546.0,12374.0,5356.0,7018.0,15045.0,10992.0,4053.0,14002.0,10427.0,3575.0,919.0,610.0,309.0,1717.0,977.0,740.0,696.0,310.0,386.0,10670.0,8530.0,2140.0,1043.0,565.0,478.0,78.0,43.0,35.0,112.0,59.0,53.0,104.0,47.0,57.0,749.0,416.0,333.0,794.0,413.0,381.0,77.0,43.0,34.0,91.0,51.0,40.0,66.0,29.0,37.0,560.0,290.0,270.0,249.0,152.0,97.0,1.0,0.0,1.0,21.0,8.0,13.0,38.0,18.0,20.0,189.0,126.0,63.0,22528.0,8017.0,14511.0,,
33.0,631.0,5892.0,643999.0,0.0,0.0,VILLAGE,Komaranapalli,Rural,511.0,2174.0,1106.0,1068.0,236.0,120.0,116.0,577.0,296.0,281.0,0.0,0.0,0.0,1277.0,719.0,558.0,897.0,387.0,510.0,1121.0,667.0,454.0,1039.0,633.0,406.0,691.0,402.0,289.0,260.0,153.0,107.0,5.0,5.0,0.0,83.0,73.0,10.0,82.0,34.0,48.0,23.0,9.0,14.0,52.0,18.0,34.0,0.0,0.0,0.0,7.0,7.0,0.0,81.0,33.0,48.0,23.0,9.0,14.0,51.0,17.0,34.0,0.0,0.0,0.0,7.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.0,439.0,614.0,,
33.0,631.0,5892.0,644000.0,0.0,0.0,VILLAGE,Belagundapalli,Rural,1018.0,4092.0,2073.0,2019.0,470.0,247.0,223.0,686.0,347.0,339.0,0.0,0.0,0.0,2824.0,1575.0,1249.0,1268.0,498.0,770.0,1839.0,1255.0,584.0,1623.0,1144.0,479.0,309.0,230.0,79.0,394.0,192.0,202.0,20.0,13.0,7.0,900.0,709.0,191.0,216.0,111.0,105.0,1.0,0.0,1.0,131.0,64.0,67.0,2.0,0.0,2.0,82.0,47.0,35.0,216.0,111.0,105.0,1.0,0.0,1.0,131.0,64.0,67.0,2.0,0.0,2.0,82.0,47.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2253.0,818.0,1435.0,,
33.0,631.0,5892.0,644001.0,0.0,0.0,VILLAGE,Kalugundapalli,Rural,925.0,3640.0,1890.0,1750.0,396.0,212.0,184.0,378.0,183.0,195.0,0.0,0.0,0.0,2294.0,1302.0,992.0,1346.0,588.0,758.0,1696.0,1166.0,530.0,1645.0,1128.0,517.0,564.0,450.0,114.0,355.0,163.0,192.0,6.0,4.0,2.0,720.0,511.0,209.0,51.0,38.0,13.0,8.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,42.0,32.0,10.0,47.0,35.0,12.0,7.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,39.0,29.0,10.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1944.0,724.0,1220.0,,
33.0,631.0,5892.0,644002.0,0.0,0.0,VILLAGE,Madagondapalli,Rural,1148.0,4979.0,2414.0,2565.0,555.0,259.0,296.0,498.0,247.0,251.0,0.0,0.0,0.0,3324.0,1696.0,1628.0,1655.0,718.0,937.0,2201.0,1475.0,726.0,1888.0,1329.0,559.0,639.0,476.0,163.0,418.0,215.0,203.0,45.0,29.0,16.0,786.0,609.0,177.0,313.0,146.0,167.0,22.0,4.0,18.0,132.0,54.0,78.0,7.0,2.0,5.0,152.0,86.0,66.0,262.0,117.0,145.0,18.0,4.0,14.0,124.0,50.0,74.0,7.0,2.0,5.0,113.0,61.0,52.0,51.0,29.0,22.0,4.0,0.0,4.0,8.0,4.0,4.0,0.0,0.0,0.0,39.0,25.0,14.0,2778.0,939.0,1839.0,,
33.0,631.0,5892.0,644003.0,0.0,0.0,VILLAGE,Saragapalli,Rural,709.0,2862.0,1451.0,1411.0,284.0,137.0,147.0,778.0,393.0,385.0,0.0,0.0,0.0,1712.0,964.0,748.0,1150.0,487.0,663.0,1270.0,888.0,382.0,824.0,712.0,112.0,476.0,458.0,18.0,231.0,166.0,65.0,13.0,9.0,4.0,104.0,79.0,25.0,446.0,176.0,270.0,142.0,26.0,116.0,254.0,132.0,122.0,8.0,2.0,6.0,42.0,16.0,26.0,314.0,140.0,174.0,123.0,15.0,108.0,160.0,110.0,50.0,7.0,2.0,5.0,24.0,13.0,11.0,132.0,36.0,96.0,19.0,11.0,8.0,94.0,22.0,72.0,1.0,0.0,1.0,18.0,3.0,15.0,1592.0,563.0,1029.0,,
33.0,631.0,5892.0,644004.0,0.0,0.0,VILLAGE,Kodiyalam,Rural,446.0,1806.0,934.0,872.0,166.0,91.0,75.0,391.0,203.0,188.0,74.0,37.0,37.0,1082.0,635.0,447.0,724.0,299.0,425.0,948.0,583.0,365.0,835.0,527.0,308.0,320.0,226.0,94.0,428.0,244.0,184.0,18.0,6.0,12.0,69.0,51.0,18.0,113.0,56.0,57.0,37.0,17.0,20.0,43.0,18.0,25.0,3.0,0.0,3.0,30.0,21.0,9.0,93.0,40.0,53.0,36.0,17.0,19.0,41.0,16.0,25.0,3.0,0.0,3.0,13.0,7.0,6.0,20.0,16.0,4.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,17.0,14.0,3.0,858.0,351.0,507.0,,
33.0,631.0,5892.0,644005.0,0.0,0.0,VILLAGE,Anniyalam,Rural,614.0,2558.0,1308.0,1250.0,250.0,119.0,131.0,823.0,412.0,411.0,0.0,0.0,0.0,1561.0,890.0,671.0,997.0,418.0,579.0,1486.0,892.0,594.0,1423.0,864.0,559.0,1120.0,684.0,436.0,92.0,33.0,59.0,10.0,9.0,1.0,201.0,138.0,63.0,63.0,28.0,35.0,2.0,1.0,1.0,27.0,8.0,19.0,5.0,1.0,4.0,29.0,18.0,11.0,59.0,25.0,34.0,1.0,0.0,1.0,27.0,8.0,19.0,4.0,1.0,3.0,27.0,16.0,11.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1072.0,416.0,656.0,,
