State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,631.0,5893.0,0.0,0.0,0.0,SUB-DISTRICT,Pochampalli,Total,45413.0,182310.0,93602.0,88708.0,19953.0,10609.0,9344.0,23156.0,11795.0,11361.0,622.0,320.0,302.0,117784.0,67479.0,50305.0,64526.0,26123.0,38403.0,88934.0,54320.0,34614.0,70421.0,45960.0,24461.0,17744.0,11306.0,6438.0,24920.0,13200.0,11720.0,1494.0,654.0,840.0,26263.0,20800.0,5463.0,18513.0,8360.0,10153.0,1648.0,981.0,667.0,10352.0,4239.0,6113.0,759.0,231.0,528.0,5754.0,2909.0,2845.0,15224.0,7030.0,8194.0,1456.0,866.0,590.0,8746.0,3625.0,5121.0,541.0,186.0,355.0,4481.0,2353.0,2128.0,3289.0,1330.0,1959.0,192.0,115.0,77.0,1606.0,614.0,992.0,218.0,45.0,173.0,1273.0,556.0,717.0,93376.0,39282.0,54094.0,,
33.0,631.0,5893.0,0.0,0.0,0.0,SUB-DISTRICT,Pochampalli,Rural,42930.0,172357.0,88413.0,83944.0,18867.0,10019.0,8848.0,21975.0,11160.0,10815.0,559.0,291.0,268.0,111163.0,63610.0,47553.0,61194.0,24803.0,36391.0,84427.0,51456.0,32971.0,66379.0,43367.0,23012.0,16583.0,10611.0,5972.0,23497.0,12411.0,11086.0,1369.0,585.0,784.0,24930.0,19760.0,5170.0,18048.0,8089.0,9959.0,1638.0,973.0,665.0,10029.0,4069.0,5960.0,736.0,219.0,517.0,5645.0,2828.0,2817.0,14783.0,6775.0,8008.0,1446.0,858.0,588.0,8434.0,3461.0,4973.0,522.0,177.0,345.0,4381.0,2279.0,2102.0,3265.0,1314.0,1951.0,192.0,115.0,77.0,1595.0,608.0,987.0,214.0,42.0,172.0,1264.0,549.0,715.0,87930.0,36957.0,50973.0,,
33.0,631.0,5893.0,0.0,0.0,0.0,SUB-DISTRICT,Pochampalli,Urban,2483.0,9953.0,5189.0,4764.0,1086.0,590.0,496.0,1181.0,635.0,546.0,63.0,29.0,34.0,6621.0,3869.0,2752.0,3332.0,1320.0,2012.0,4507.0,2864.0,1643.0,4042.0,2593.0,1449.0,1161.0,695.0,466.0,1423.0,789.0,634.0,125.0,69.0,56.0,1333.0,1040.0,293.0,465.0,271.0,194.0,10.0,8.0,2.0,323.0,170.0,153.0,23.0,12.0,11.0,109.0,81.0,28.0,441.0,255.0,186.0,10.0,8.0,2.0,312.0,164.0,148.0,19.0,9.0,10.0,100.0,74.0,26.0,24.0,16.0,8.0,0.0,0.0,0.0,11.0,6.0,5.0,4.0,3.0,1.0,9.0,7.0,2.0,5446.0,2325.0,3121.0,,
33.0,631.0,5893.0,644117.0,0.0,0.0,VILLAGE,Mahadevagollahalli,Rural,1395.0,5855.0,3015.0,2840.0,638.0,336.0,302.0,204.0,107.0,97.0,48.0,22.0,26.0,3477.0,2028.0,1449.0,2378.0,987.0,1391.0,2899.0,1810.0,1089.0,2491.0,1642.0,849.0,512.0,329.0,183.0,1106.0,576.0,530.0,48.0,35.0,13.0,825.0,702.0,123.0,408.0,168.0,240.0,30.0,13.0,17.0,270.0,88.0,182.0,21.0,8.0,13.0,87.0,59.0,28.0,334.0,124.0,210.0,30.0,13.0,17.0,245.0,77.0,168.0,10.0,4.0,6.0,49.0,30.0,19.0,74.0,44.0,30.0,0.0,0.0,0.0,25.0,11.0,14.0,11.0,4.0,7.0,38.0,29.0,9.0,2956.0,1205.0,1751.0,,
33.0,631.0,5893.0,644118.0,0.0,0.0,VILLAGE,Kannandahalli,Rural,2055.0,8562.0,4485.0,4077.0,936.0,524.0,412.0,638.0,311.0,327.0,0.0,0.0,0.0,5690.0,3273.0,2417.0,2872.0,1212.0,1660.0,3877.0,2599.0,1278.0,2723.0,1935.0,788.0,391.0,268.0,123.0,936.0,505.0,431.0,36.0,16.0,20.0,1360.0,1146.0,214.0,1154.0,664.0,490.0,89.0,59.0,30.0,544.0,220.0,324.0,50.0,17.0,33.0,471.0,368.0,103.0,695.0,450.0,245.0,78.0,53.0,25.0,238.0,111.0,127.0,41.0,13.0,28.0,338.0,273.0,65.0,459.0,214.0,245.0,11.0,6.0,5.0,306.0,109.0,197.0,9.0,4.0,5.0,133.0,95.0,38.0,4685.0,1886.0,2799.0,,
33.0,631.0,5893.0,644119.0,0.0,0.0,VILLAGE,Bommepalli,Rural,870.0,3324.0,1673.0,1651.0,378.0,191.0,187.0,484.0,243.0,241.0,0.0,0.0,0.0,2188.0,1217.0,971.0,1136.0,456.0,680.0,1720.0,1008.0,712.0,1190.0,812.0,378.0,258.0,156.0,102.0,314.0,213.0,101.0,85.0,29.0,56.0,533.0,414.0,119.0,530.0,196.0,334.0,9.0,7.0,2.0,206.0,118.0,88.0,89.0,5.0,84.0,226.0,66.0,160.0,233.0,110.0,123.0,9.0,7.0,2.0,90.0,59.0,31.0,28.0,4.0,24.0,106.0,40.0,66.0,297.0,86.0,211.0,0.0,0.0,0.0,116.0,59.0,57.0,61.0,1.0,60.0,120.0,26.0,94.0,1604.0,665.0,939.0,,
33.0,631.0,5893.0,644120.0,0.0,0.0,VILLAGE,Sevvampatti,Rural,1064.0,4346.0,2234.0,2112.0,503.0,275.0,228.0,1268.0,656.0,612.0,0.0,0.0,0.0,2800.0,1601.0,1199.0,1546.0,633.0,913.0,2143.0,1284.0,859.0,1983.0,1224.0,759.0,513.0,270.0,243.0,635.0,300.0,335.0,52.0,24.0,28.0,783.0,630.0,153.0,160.0,60.0,100.0,2.0,1.0,1.0,45.0,15.0,30.0,13.0,6.0,7.0,100.0,38.0,62.0,146.0,55.0,91.0,2.0,1.0,1.0,37.0,11.0,26.0,11.0,6.0,5.0,96.0,37.0,59.0,14.0,5.0,9.0,0.0,0.0,0.0,8.0,4.0,4.0,2.0,0.0,2.0,4.0,1.0,3.0,2203.0,950.0,1253.0,,
33.0,631.0,5893.0,644121.0,0.0,0.0,VILLAGE,Nagampatti,Rural,1112.0,4688.0,2420.0,2268.0,522.0,272.0,250.0,540.0,275.0,265.0,0.0,0.0,0.0,3033.0,1758.0,1275.0,1655.0,662.0,993.0,2173.0,1385.0,788.0,1411.0,1022.0,389.0,200.0,145.0,55.0,193.0,87.0,106.0,44.0,25.0,19.0,974.0,765.0,209.0,762.0,363.0,399.0,46.0,31.0,15.0,474.0,181.0,293.0,18.0,2.0,16.0,224.0,149.0,75.0,737.0,355.0,382.0,45.0,30.0,15.0,471.0,180.0,291.0,16.0,2.0,14.0,205.0,143.0,62.0,25.0,8.0,17.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,2.0,19.0,6.0,13.0,2515.0,1035.0,1480.0,,
33.0,631.0,5893.0,644122.0,0.0,0.0,VILLAGE,Pichugoundanhalli,Rural,90.0,371.0,170.0,201.0,43.0,17.0,26.0,6.0,2.0,4.0,0.0,0.0,0.0,222.0,128.0,94.0,149.0,42.0,107.0,198.0,100.0,98.0,186.0,97.0,89.0,47.0,17.0,30.0,33.0,13.0,20.0,14.0,4.0,10.0,92.0,63.0,29.0,12.0,3.0,9.0,2.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,5.0,1.0,4.0,11.0,2.0,9.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,5.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,173.0,70.0,103.0,,
33.0,631.0,5893.0,644123.0,0.0,0.0,VILLAGE,Kadappasandampatti,Rural,1392.0,5816.0,3029.0,2787.0,674.0,364.0,310.0,689.0,350.0,339.0,20.0,11.0,9.0,3457.0,1991.0,1466.0,2359.0,1038.0,1321.0,3023.0,1791.0,1232.0,2570.0,1551.0,1019.0,916.0,552.0,364.0,1107.0,542.0,565.0,21.0,8.0,13.0,526.0,449.0,77.0,453.0,240.0,213.0,17.0,8.0,9.0,309.0,145.0,164.0,5.0,2.0,3.0,122.0,85.0,37.0,445.0,236.0,209.0,15.0,7.0,8.0,305.0,144.0,161.0,5.0,2.0,3.0,120.0,83.0,37.0,8.0,4.0,4.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,2793.0,1238.0,1555.0,,
