State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,623.0,5836.0,0.0,0.0,0.0,SUB-DISTRICT,Madurai North,Total,125017.0,494430.0,248631.0,245799.0,52614.0,27195.0,25419.0,83890.0,42115.0,41775.0,2488.0,1302.0,1186.0,379882.0,202085.0,177797.0,114548.0,46546.0,68002.0,207723.0,144415.0,63308.0,177599.0,129698.0,47901.0,6573.0,4955.0,1618.0,26052.0,14499.0,11553.0,6471.0,3094.0,3377.0,138503.0,107150.0,31353.0,30124.0,14717.0,15407.0,1083.0,670.0,413.0,11652.0,5262.0,6390.0,1275.0,312.0,963.0,16114.0,8473.0,7641.0,25738.0,12651.0,13087.0,971.0,596.0,375.0,9739.0,4494.0,5245.0,1048.0,262.0,786.0,13980.0,7299.0,6681.0,4386.0,2066.0,2320.0,112.0,74.0,38.0,1913.0,768.0,1145.0,227.0,50.0,177.0,2134.0,1174.0,960.0,286707.0,104216.0,182491.0,,
33.0,623.0,5836.0,0.0,0.0,0.0,SUB-DISTRICT,Madurai North,Rural,46869.0,186108.0,94032.0,92076.0,21334.0,11020.0,10314.0,50894.0,25526.0,25368.0,390.0,210.0,180.0,129757.0,71753.0,58004.0,56351.0,22279.0,34072.0,85784.0,55424.0,30360.0,68334.0,46887.0,21447.0,5512.0,4174.0,1338.0,22186.0,12058.0,10128.0,2422.0,1209.0,1213.0,38214.0,29446.0,8768.0,17450.0,8537.0,8913.0,855.0,545.0,310.0,10809.0,4905.0,5904.0,513.0,158.0,355.0,5273.0,2929.0,2344.0,14538.0,7271.0,7267.0,755.0,481.0,274.0,9041.0,4207.0,4834.0,389.0,126.0,263.0,4353.0,2457.0,1896.0,2912.0,1266.0,1646.0,100.0,64.0,36.0,1768.0,698.0,1070.0,124.0,32.0,92.0,920.0,472.0,448.0,100324.0,38608.0,61716.0,,
33.0,623.0,5836.0,0.0,0.0,0.0,SUB-DISTRICT,Madurai North,Urban,78148.0,308322.0,154599.0,153723.0,31280.0,16175.0,15105.0,32996.0,16589.0,16407.0,2098.0,1092.0,1006.0,250125.0,130332.0,119793.0,58197.0,24267.0,33930.0,121939.0,88991.0,32948.0,109265.0,82811.0,26454.0,1061.0,781.0,280.0,3866.0,2441.0,1425.0,4049.0,1885.0,2164.0,100289.0,77704.0,22585.0,12674.0,6180.0,6494.0,228.0,125.0,103.0,843.0,357.0,486.0,762.0,154.0,608.0,10841.0,5544.0,5297.0,11200.0,5380.0,5820.0,216.0,115.0,101.0,698.0,287.0,411.0,659.0,136.0,523.0,9627.0,4842.0,4785.0,1474.0,800.0,674.0,12.0,10.0,2.0,145.0,70.0,75.0,103.0,18.0,85.0,1214.0,702.0,512.0,186383.0,65608.0,120775.0,,
33.0,623.0,5836.0,640566.0,0.0,0.0,VILLAGE,Kadavur,Rural,352.0,1329.0,668.0,661.0,187.0,92.0,95.0,20.0,12.0,8.0,0.0,0.0,0.0,792.0,471.0,321.0,537.0,197.0,340.0,484.0,361.0,123.0,469.0,347.0,122.0,30.0,28.0,2.0,266.0,180.0,86.0,11.0,7.0,4.0,162.0,132.0,30.0,15.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,13.0,1.0,15.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845.0,307.0,538.0,,
33.0,623.0,5836.0,640567.0,0.0,0.0,VILLAGE,Naickanpatti,Rural,408.0,1792.0,910.0,882.0,245.0,117.0,128.0,47.0,26.0,21.0,0.0,0.0,0.0,990.0,601.0,389.0,802.0,309.0,493.0,841.0,517.0,324.0,776.0,499.0,277.0,49.0,36.0,13.0,355.0,187.0,168.0,4.0,2.0,2.0,368.0,274.0,94.0,65.0,18.0,47.0,3.0,1.0,2.0,27.0,4.0,23.0,1.0,0.0,1.0,34.0,13.0,21.0,64.0,18.0,46.0,3.0,1.0,2.0,26.0,4.0,22.0,1.0,0.0,1.0,34.0,13.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,951.0,393.0,558.0,,
33.0,623.0,5836.0,640568.0,0.0,0.0,VILLAGE,Poyyakaraipatti,Rural,634.0,2628.0,1332.0,1296.0,351.0,188.0,163.0,402.0,197.0,205.0,0.0,0.0,0.0,1372.0,780.0,592.0,1256.0,552.0,704.0,1271.0,774.0,497.0,1204.0,747.0,457.0,112.0,106.0,6.0,728.0,363.0,365.0,29.0,12.0,17.0,335.0,266.0,69.0,67.0,27.0,40.0,5.0,4.0,1.0,42.0,15.0,27.0,0.0,0.0,0.0,20.0,8.0,12.0,49.0,20.0,29.0,5.0,4.0,1.0,36.0,13.0,23.0,0.0,0.0,0.0,8.0,3.0,5.0,18.0,7.0,11.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,12.0,5.0,7.0,1357.0,558.0,799.0,,
33.0,623.0,5836.0,640569.0,0.0,0.0,VILLAGE,Manjampatti,Rural,573.0,2421.0,1209.0,1212.0,253.0,121.0,132.0,1218.0,590.0,628.0,0.0,0.0,0.0,1713.0,950.0,763.0,708.0,259.0,449.0,1026.0,665.0,361.0,1011.0,661.0,350.0,23.0,18.0,5.0,646.0,374.0,272.0,12.0,6.0,6.0,330.0,263.0,67.0,15.0,4.0,11.0,0.0,0.0,0.0,10.0,4.0,6.0,3.0,0.0,3.0,2.0,0.0,2.0,15.0,4.0,11.0,0.0,0.0,0.0,10.0,4.0,6.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395.0,544.0,851.0,,
33.0,623.0,5836.0,640570.0,0.0,0.0,VILLAGE,Chatrapatti,Rural,714.0,2722.0,1348.0,1374.0,262.0,122.0,140.0,638.0,321.0,317.0,0.0,0.0,0.0,1974.0,1091.0,883.0,748.0,257.0,491.0,1139.0,775.0,364.0,1047.0,738.0,309.0,134.0,98.0,36.0,228.0,134.0,94.0,20.0,8.0,12.0,665.0,498.0,167.0,92.0,37.0,55.0,6.0,6.0,0.0,22.0,7.0,15.0,3.0,0.0,3.0,61.0,24.0,37.0,88.0,37.0,51.0,6.0,6.0,0.0,19.0,7.0,12.0,2.0,0.0,2.0,61.0,24.0,37.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1583.0,573.0,1010.0,,
33.0,623.0,5836.0,640571.0,0.0,0.0,VILLAGE,Malaipatti,Rural,305.0,1255.0,621.0,634.0,122.0,59.0,63.0,331.0,168.0,163.0,0.0,0.0,0.0,966.0,515.0,451.0,289.0,106.0,183.0,514.0,332.0,182.0,301.0,187.0,114.0,56.0,38.0,18.0,87.0,42.0,45.0,20.0,14.0,6.0,138.0,93.0,45.0,213.0,145.0,68.0,34.0,20.0,14.0,49.0,43.0,6.0,10.0,7.0,3.0,120.0,75.0,45.0,207.0,141.0,66.0,30.0,16.0,14.0,49.0,43.0,6.0,9.0,7.0,2.0,119.0,75.0,44.0,6.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,741.0,289.0,452.0,,
33.0,623.0,5836.0,640572.0,0.0,0.0,VILLAGE,Poolampatti,Rural,202.0,788.0,383.0,405.0,80.0,36.0,44.0,202.0,94.0,108.0,0.0,0.0,0.0,607.0,322.0,285.0,181.0,61.0,120.0,393.0,240.0,153.0,371.0,235.0,136.0,38.0,30.0,8.0,126.0,52.0,74.0,3.0,1.0,2.0,204.0,152.0,52.0,22.0,5.0,17.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,17.0,3.0,14.0,19.0,3.0,16.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,2.0,14.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,395.0,143.0,252.0,,
