State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,623.0,5835.0,0.0,0.0,0.0,SUB-DISTRICT,Melur,Total,74851.0,291398.0,146711.0,144687.0,33248.0,17629.0,15619.0,48121.0,24370.0,23751.0,371.0,186.0,185.0,197676.0,111049.0,86627.0,93722.0,35662.0,58060.0,141086.0,85884.0,55202.0,116376.0,74243.0,42133.0,22751.0,15070.0,7681.0,56192.0,30193.0,25999.0,2600.0,1269.0,1331.0,34833.0,27711.0,7122.0,24710.0,11641.0,13069.0,3405.0,1869.0,1536.0,15512.0,6551.0,8961.0,767.0,272.0,495.0,5026.0,2949.0,2077.0,21543.0,10338.0,11205.0,3029.0,1680.0,1349.0,13829.0,5924.0,7905.0,583.0,222.0,361.0,4102.0,2512.0,1590.0,3167.0,1303.0,1864.0,376.0,189.0,187.0,1683.0,627.0,1056.0,184.0,50.0,134.0,924.0,437.0,487.0,150312.0,60827.0,89485.0,,
33.0,623.0,5835.0,0.0,0.0,0.0,SUB-DISTRICT,Melur,Rural,62998.0,243056.0,122129.0,120927.0,27758.0,14749.0,13009.0,41535.0,21063.0,20472.0,213.0,97.0,116.0,160604.0,91086.0,69518.0,82452.0,31043.0,51409.0,122694.0,72103.0,50591.0,99981.0,61644.0,38337.0,21732.0,14363.0,7369.0,52429.0,27788.0,24641.0,2271.0,1083.0,1188.0,23549.0,18410.0,5139.0,22713.0,10459.0,12254.0,3337.0,1822.0,1515.0,14931.0,6263.0,8668.0,668.0,224.0,444.0,3777.0,2150.0,1627.0,19862.0,9340.0,10522.0,2963.0,1635.0,1328.0,13295.0,5657.0,7638.0,516.0,189.0,327.0,3088.0,1859.0,1229.0,2851.0,1119.0,1732.0,374.0,187.0,187.0,1636.0,606.0,1030.0,152.0,35.0,117.0,689.0,291.0,398.0,120362.0,50026.0,70336.0,,
33.0,623.0,5835.0,0.0,0.0,0.0,SUB-DISTRICT,Melur,Urban,11853.0,48342.0,24582.0,23760.0,5490.0,2880.0,2610.0,6586.0,3307.0,3279.0,158.0,89.0,69.0,37072.0,19963.0,17109.0,11270.0,4619.0,6651.0,18392.0,13781.0,4611.0,16395.0,12599.0,3796.0,1019.0,707.0,312.0,3763.0,2405.0,1358.0,329.0,186.0,143.0,11284.0,9301.0,1983.0,1997.0,1182.0,815.0,68.0,47.0,21.0,581.0,288.0,293.0,99.0,48.0,51.0,1249.0,799.0,450.0,1681.0,998.0,683.0,66.0,45.0,21.0,534.0,267.0,267.0,67.0,33.0,34.0,1014.0,653.0,361.0,316.0,184.0,132.0,2.0,2.0,0.0,47.0,21.0,26.0,32.0,15.0,17.0,235.0,146.0,89.0,29950.0,10801.0,19149.0,,
33.0,623.0,5835.0,640481.0,0.0,0.0,VILLAGE,Surappatti,Rural,397.0,1769.0,856.0,913.0,240.0,116.0,124.0,200.0,95.0,105.0,0.0,0.0,0.0,1131.0,638.0,493.0,638.0,218.0,420.0,868.0,504.0,364.0,743.0,477.0,266.0,170.0,90.0,80.0,257.0,163.0,94.0,145.0,69.0,76.0,171.0,155.0,16.0,125.0,27.0,98.0,0.0,0.0,0.0,88.0,14.0,74.0,27.0,4.0,23.0,10.0,9.0,1.0,117.0,22.0,95.0,0.0,0.0,0.0,87.0,14.0,73.0,24.0,3.0,21.0,6.0,5.0,1.0,8.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,4.0,4.0,0.0,901.0,352.0,549.0,,
33.0,623.0,5835.0,640482.0,0.0,0.0,VILLAGE,Pottapatti,Rural,862.0,3382.0,1640.0,1742.0,341.0,178.0,163.0,415.0,217.0,198.0,0.0,0.0,0.0,2166.0,1242.0,924.0,1216.0,398.0,818.0,2067.0,1064.0,1003.0,1855.0,978.0,877.0,738.0,382.0,356.0,881.0,411.0,470.0,17.0,14.0,3.0,219.0,171.0,48.0,212.0,86.0,126.0,44.0,19.0,25.0,136.0,54.0,82.0,8.0,3.0,5.0,24.0,10.0,14.0,153.0,60.0,93.0,16.0,4.0,12.0,106.0,43.0,63.0,7.0,3.0,4.0,24.0,10.0,14.0,59.0,26.0,33.0,28.0,15.0,13.0,30.0,11.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,1315.0,576.0,739.0,,
33.0,623.0,5835.0,640483.0,0.0,0.0,VILLAGE,Tondilingapuram,Rural,445.0,1874.0,936.0,938.0,208.0,104.0,104.0,177.0,93.0,84.0,0.0,0.0,0.0,1152.0,693.0,459.0,722.0,243.0,479.0,1048.0,559.0,489.0,812.0,470.0,342.0,296.0,220.0,76.0,409.0,165.0,244.0,0.0,0.0,0.0,107.0,85.0,22.0,236.0,89.0,147.0,148.0,60.0,88.0,76.0,17.0,59.0,0.0,0.0,0.0,12.0,12.0,0.0,233.0,86.0,147.0,148.0,60.0,88.0,76.0,17.0,59.0,0.0,0.0,0.0,9.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,826.0,377.0,449.0,,
33.0,623.0,5835.0,640484.0,0.0,0.0,VILLAGE,Pallapatti,Rural,912.0,3803.0,1882.0,1921.0,482.0,242.0,240.0,438.0,223.0,215.0,0.0,0.0,0.0,2309.0,1310.0,999.0,1494.0,572.0,922.0,2024.0,1118.0,906.0,1830.0,1061.0,769.0,225.0,153.0,72.0,887.0,465.0,422.0,294.0,96.0,198.0,424.0,347.0,77.0,194.0,57.0,137.0,27.0,2.0,25.0,55.0,25.0,30.0,66.0,11.0,55.0,46.0,19.0,27.0,180.0,53.0,127.0,26.0,2.0,24.0,52.0,24.0,28.0,59.0,10.0,49.0,43.0,17.0,26.0,14.0,4.0,10.0,1.0,0.0,1.0,3.0,1.0,2.0,7.0,1.0,6.0,3.0,2.0,1.0,1779.0,764.0,1015.0,,
33.0,623.0,5835.0,640485.0,0.0,0.0,VILLAGE,Silambakkonepatti,Rural,129.0,560.0,286.0,274.0,61.0,32.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,166.0,116.0,278.0,120.0,158.0,321.0,178.0,143.0,269.0,147.0,122.0,0.0,0.0,0.0,167.0,84.0,83.0,30.0,14.0,16.0,72.0,49.0,23.0,52.0,31.0,21.0,2.0,1.0,1.0,14.0,10.0,4.0,15.0,8.0,7.0,21.0,12.0,9.0,48.0,30.0,18.0,2.0,1.0,1.0,13.0,10.0,3.0,15.0,8.0,7.0,18.0,11.0,7.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,239.0,108.0,131.0,,
33.0,623.0,5835.0,640486.0,0.0,0.0,VILLAGE,Kottampatti,Rural,1375.0,5406.0,2716.0,2690.0,531.0,275.0,256.0,1164.0,608.0,556.0,1.0,0.0,1.0,3959.0,2229.0,1730.0,1447.0,487.0,960.0,2339.0,1559.0,780.0,1964.0,1346.0,618.0,429.0,308.0,121.0,598.0,408.0,190.0,240.0,77.0,163.0,697.0,553.0,144.0,375.0,213.0,162.0,42.0,30.0,12.0,133.0,84.0,49.0,78.0,20.0,58.0,122.0,79.0,43.0,362.0,207.0,155.0,41.0,30.0,11.0,127.0,80.0,47.0,73.0,19.0,54.0,121.0,78.0,43.0,13.0,6.0,7.0,1.0,0.0,1.0,6.0,4.0,2.0,5.0,1.0,4.0,1.0,1.0,0.0,3067.0,1157.0,1910.0,,
33.0,623.0,5835.0,640487.0,0.0,0.0,VILLAGE,Valaichcherippatti,Rural,354.0,1408.0,685.0,723.0,130.0,71.0,59.0,249.0,131.0,118.0,0.0,0.0,0.0,1019.0,551.0,468.0,389.0,134.0,255.0,571.0,389.0,182.0,461.0,315.0,146.0,190.0,161.0,29.0,184.0,91.0,93.0,20.0,16.0,4.0,67.0,47.0,20.0,110.0,74.0,36.0,6.0,2.0,4.0,73.0,53.0,20.0,5.0,3.0,2.0,26.0,16.0,10.0,106.0,72.0,34.0,6.0,2.0,4.0,72.0,52.0,20.0,2.0,2.0,0.0,26.0,16.0,10.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,837.0,296.0,541.0,,
