State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,623.0,5839.0,0.0,0.0,0.0,SUB-DISTRICT,Peraiyur,Total,54835.0,200510.0,100448.0,100062.0,19789.0,10341.0,9448.0,48812.0,24601.0,24211.0,157.0,73.0,84.0,126945.0,72611.0,54334.0,73565.0,27837.0,45728.0,111644.0,60772.0,50872.0,90812.0,51424.0,39388.0,11073.0,6330.0,4743.0,52540.0,25154.0,27386.0,2499.0,1334.0,1165.0,24700.0,18606.0,6094.0,20832.0,9348.0,11484.0,1483.0,630.0,853.0,14614.0,6147.0,8467.0,648.0,221.0,427.0,4087.0,2350.0,1737.0,18459.0,8372.0,10087.0,1184.0,491.0,693.0,13183.0,5609.0,7574.0,490.0,173.0,317.0,3602.0,2099.0,1503.0,2373.0,976.0,1397.0,299.0,139.0,160.0,1431.0,538.0,893.0,158.0,48.0,110.0,485.0,251.0,234.0,88866.0,39676.0,49190.0,,
33.0,623.0,5839.0,0.0,0.0,0.0,SUB-DISTRICT,Peraiyur,Rural,45041.0,163608.0,81863.0,81745.0,15971.0,8354.0,7617.0,45769.0,23036.0,22733.0,140.0,68.0,72.0,101931.0,58762.0,43169.0,61677.0,23101.0,38576.0,94967.0,50119.0,44848.0,77714.0,42573.0,35141.0,10051.0,5704.0,4347.0,48915.0,23257.0,25658.0,2096.0,1171.0,925.0,16652.0,12441.0,4211.0,17253.0,7546.0,9707.0,1397.0,580.0,817.0,12820.0,5237.0,7583.0,442.0,175.0,267.0,2594.0,1554.0,1040.0,15366.0,6761.0,8605.0,1105.0,445.0,660.0,11693.0,4813.0,6880.0,304.0,128.0,176.0,2264.0,1375.0,889.0,1887.0,785.0,1102.0,292.0,135.0,157.0,1127.0,424.0,703.0,138.0,47.0,91.0,330.0,179.0,151.0,68641.0,31744.0,36897.0,,
33.0,623.0,5839.0,0.0,0.0,0.0,SUB-DISTRICT,Peraiyur,Urban,9794.0,36902.0,18585.0,18317.0,3818.0,1987.0,1831.0,3043.0,1565.0,1478.0,17.0,5.0,12.0,25014.0,13849.0,11165.0,11888.0,4736.0,7152.0,16677.0,10653.0,6024.0,13098.0,8851.0,4247.0,1022.0,626.0,396.0,3625.0,1897.0,1728.0,403.0,163.0,240.0,8048.0,6165.0,1883.0,3579.0,1802.0,1777.0,86.0,50.0,36.0,1794.0,910.0,884.0,206.0,46.0,160.0,1493.0,796.0,697.0,3093.0,1611.0,1482.0,79.0,46.0,33.0,1490.0,796.0,694.0,186.0,45.0,141.0,1338.0,724.0,614.0,486.0,191.0,295.0,7.0,4.0,3.0,304.0,114.0,190.0,20.0,1.0,19.0,155.0,72.0,83.0,20225.0,7932.0,12293.0,,
33.0,623.0,5839.0,640846.0,0.0,0.0,VILLAGE,Peryampatti,Rural,580.0,2470.0,1232.0,1238.0,273.0,150.0,123.0,618.0,313.0,305.0,52.0,25.0,27.0,1598.0,903.0,695.0,872.0,329.0,543.0,1418.0,791.0,627.0,1322.0,741.0,581.0,82.0,58.0,24.0,760.0,329.0,431.0,20.0,8.0,12.0,460.0,346.0,114.0,96.0,50.0,46.0,7.0,6.0,1.0,46.0,24.0,22.0,0.0,0.0,0.0,43.0,20.0,23.0,95.0,50.0,45.0,7.0,6.0,1.0,45.0,24.0,21.0,0.0,0.0,0.0,43.0,20.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.0,441.0,611.0,,
33.0,623.0,5839.0,640847.0,0.0,0.0,VILLAGE,Uthapuram,Rural,1381.0,5149.0,2610.0,2539.0,570.0,311.0,259.0,2172.0,1152.0,1020.0,0.0,0.0,0.0,2957.0,1742.0,1215.0,2192.0,868.0,1324.0,3214.0,1644.0,1570.0,2056.0,1140.0,916.0,736.0,393.0,343.0,920.0,429.0,491.0,8.0,7.0,1.0,392.0,311.0,81.0,1158.0,504.0,654.0,319.0,149.0,170.0,725.0,280.0,445.0,48.0,28.0,20.0,66.0,47.0,19.0,874.0,370.0,504.0,105.0,42.0,63.0,698.0,277.0,421.0,11.0,6.0,5.0,60.0,45.0,15.0,284.0,134.0,150.0,214.0,107.0,107.0,27.0,3.0,24.0,37.0,22.0,15.0,6.0,2.0,4.0,1935.0,966.0,969.0,,
33.0,623.0,5839.0,640848.0,0.0,0.0,VILLAGE,E. Kottaipatti,Rural,615.0,1885.0,914.0,971.0,172.0,83.0,89.0,1333.0,662.0,671.0,0.0,0.0,0.0,1002.0,598.0,404.0,883.0,316.0,567.0,1210.0,598.0,612.0,1027.0,522.0,505.0,73.0,51.0,22.0,769.0,335.0,434.0,87.0,59.0,28.0,98.0,77.0,21.0,183.0,76.0,107.0,11.0,6.0,5.0,138.0,52.0,86.0,16.0,9.0,7.0,18.0,9.0,9.0,148.0,63.0,85.0,6.0,3.0,3.0,121.0,47.0,74.0,14.0,8.0,6.0,7.0,5.0,2.0,35.0,13.0,22.0,5.0,3.0,2.0,17.0,5.0,12.0,2.0,1.0,1.0,11.0,4.0,7.0,675.0,316.0,359.0,,
33.0,623.0,5839.0,640849.0,0.0,0.0,VILLAGE,Tadayampatti,Rural,812.0,3227.0,1677.0,1550.0,359.0,187.0,172.0,796.0,431.0,365.0,0.0,0.0,0.0,1747.0,1045.0,702.0,1480.0,632.0,848.0,1990.0,1060.0,930.0,1226.0,690.0,536.0,417.0,245.0,172.0,674.0,348.0,326.0,9.0,5.0,4.0,126.0,92.0,34.0,764.0,370.0,394.0,70.0,27.0,43.0,477.0,229.0,248.0,8.0,4.0,4.0,209.0,110.0,99.0,574.0,290.0,284.0,54.0,23.0,31.0,411.0,207.0,204.0,8.0,4.0,4.0,101.0,56.0,45.0,190.0,80.0,110.0,16.0,4.0,12.0,66.0,22.0,44.0,0.0,0.0,0.0,108.0,54.0,54.0,1237.0,617.0,620.0,,
33.0,623.0,5839.0,640850.0,0.0,0.0,VILLAGE,Manibamettupatti,Rural,90.0,334.0,172.0,162.0,27.0,10.0,17.0,211.0,105.0,106.0,0.0,0.0,0.0,178.0,116.0,62.0,156.0,56.0,100.0,241.0,125.0,116.0,241.0,125.0,116.0,0.0,0.0,0.0,215.0,103.0,112.0,0.0,0.0,0.0,26.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,47.0,46.0,,
33.0,623.0,5839.0,640851.0,0.0,0.0,VILLAGE,Vannankulam,Rural,68.0,236.0,116.0,120.0,17.0,6.0,11.0,50.0,24.0,26.0,0.0,0.0,0.0,127.0,80.0,47.0,109.0,36.0,73.0,151.0,74.0,77.0,150.0,73.0,77.0,1.0,0.0,1.0,144.0,71.0,73.0,0.0,0.0,0.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,42.0,43.0,,
33.0,623.0,5839.0,640852.0,0.0,0.0,VILLAGE,Perungamanallur,Rural,709.0,2662.0,1356.0,1306.0,247.0,117.0,130.0,601.0,290.0,311.0,0.0,0.0,0.0,1679.0,1009.0,670.0,983.0,347.0,636.0,1461.0,804.0,657.0,994.0,647.0,347.0,252.0,154.0,98.0,377.0,219.0,158.0,36.0,15.0,21.0,329.0,259.0,70.0,467.0,157.0,310.0,18.0,12.0,6.0,409.0,122.0,287.0,10.0,6.0,4.0,30.0,17.0,13.0,453.0,153.0,300.0,17.0,11.0,6.0,401.0,121.0,280.0,10.0,6.0,4.0,25.0,15.0,10.0,14.0,4.0,10.0,1.0,1.0,0.0,8.0,1.0,7.0,0.0,0.0,0.0,5.0,2.0,3.0,1201.0,552.0,649.0,,
