State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,623.0,5838.0,0.0,0.0,0.0,SUB-DISTRICT,Usilampatti,Total,53137.0,195756.0,99923.0,95833.0,18898.0,10028.0,8870.0,29782.0,15041.0,14741.0,178.0,91.0,87.0,129342.0,74094.0,55248.0,66414.0,25829.0,40585.0,107041.0,59786.0,47255.0,84527.0,49195.0,35332.0,16421.0,9580.0,6841.0,41447.0,19749.0,21698.0,1877.0,995.0,882.0,24782.0,18871.0,5911.0,22514.0,10591.0,11923.0,2084.0,1026.0,1058.0,14853.0,6323.0,8530.0,625.0,263.0,362.0,4952.0,2979.0,1973.0,20087.0,9522.0,10565.0,1969.0,971.0,998.0,13165.0,5631.0,7534.0,483.0,212.0,271.0,4470.0,2708.0,1762.0,2427.0,1069.0,1358.0,115.0,55.0,60.0,1688.0,692.0,996.0,142.0,51.0,91.0,482.0,271.0,211.0,88715.0,40137.0,48578.0,,
33.0,623.0,5838.0,0.0,0.0,0.0,SUB-DISTRICT,Usilampatti,Rural,44036.0,160537.0,82298.0,78239.0,15471.0,8228.0,7243.0,26984.0,13682.0,13302.0,175.0,90.0,85.0,101734.0,59562.0,42172.0,58803.0,22736.0,36067.0,94010.0,50245.0,43765.0,72662.0,40328.0,32334.0,15978.0,9267.0,6711.0,40334.0,19127.0,21207.0,1460.0,748.0,712.0,14890.0,11186.0,3704.0,21348.0,9917.0,11431.0,2052.0,1002.0,1050.0,14510.0,6152.0,8358.0,549.0,231.0,318.0,4237.0,2532.0,1705.0,19261.0,9035.0,10226.0,1939.0,949.0,990.0,13053.0,5574.0,7479.0,423.0,186.0,237.0,3846.0,2326.0,1520.0,2087.0,882.0,1205.0,113.0,53.0,60.0,1457.0,578.0,879.0,126.0,45.0,81.0,391.0,206.0,185.0,66527.0,32053.0,34474.0,,
33.0,623.0,5838.0,0.0,0.0,0.0,SUB-DISTRICT,Usilampatti,Urban,9101.0,35219.0,17625.0,17594.0,3427.0,1800.0,1627.0,2798.0,1359.0,1439.0,3.0,1.0,2.0,27608.0,14532.0,13076.0,7611.0,3093.0,4518.0,13031.0,9541.0,3490.0,11865.0,8867.0,2998.0,443.0,313.0,130.0,1113.0,622.0,491.0,417.0,247.0,170.0,9892.0,7685.0,2207.0,1166.0,674.0,492.0,32.0,24.0,8.0,343.0,171.0,172.0,76.0,32.0,44.0,715.0,447.0,268.0,826.0,487.0,339.0,30.0,22.0,8.0,112.0,57.0,55.0,60.0,26.0,34.0,624.0,382.0,242.0,340.0,187.0,153.0,2.0,2.0,0.0,231.0,114.0,117.0,16.0,6.0,10.0,91.0,65.0,26.0,22188.0,8084.0,14104.0,,
33.0,623.0,5838.0,640789.0,0.0,0.0,VILLAGE,Kalluthu,Rural,1236.0,4605.0,2416.0,2189.0,494.0,281.0,213.0,249.0,128.0,121.0,0.0,0.0,0.0,3109.0,1818.0,1291.0,1496.0,598.0,898.0,2754.0,1515.0,1239.0,1819.0,1088.0,731.0,397.0,233.0,164.0,1200.0,684.0,516.0,27.0,18.0,9.0,195.0,153.0,42.0,935.0,427.0,508.0,113.0,46.0,67.0,700.0,316.0,384.0,42.0,13.0,29.0,80.0,52.0,28.0,765.0,354.0,411.0,96.0,38.0,58.0,573.0,262.0,311.0,25.0,7.0,18.0,71.0,47.0,24.0,170.0,73.0,97.0,17.0,8.0,9.0,127.0,54.0,73.0,17.0,6.0,11.0,9.0,5.0,4.0,1851.0,901.0,950.0,,
33.0,623.0,5838.0,640790.0,0.0,0.0,VILLAGE,Panamoopanpatti,Rural,517.0,1950.0,984.0,966.0,222.0,108.0,114.0,77.0,34.0,43.0,0.0,0.0,0.0,1110.0,656.0,454.0,840.0,328.0,512.0,1084.0,590.0,494.0,974.0,541.0,433.0,471.0,274.0,197.0,425.0,216.0,209.0,4.0,1.0,3.0,74.0,50.0,24.0,110.0,49.0,61.0,10.0,3.0,7.0,93.0,43.0,50.0,0.0,0.0,0.0,7.0,3.0,4.0,108.0,49.0,59.0,9.0,3.0,6.0,93.0,43.0,50.0,0.0,0.0,0.0,6.0,3.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,866.0,394.0,472.0,,
33.0,623.0,5838.0,640791.0,0.0,0.0,VILLAGE,Eravarpatti,Rural,657.0,2459.0,1228.0,1231.0,288.0,154.0,134.0,56.0,21.0,35.0,0.0,0.0,0.0,1263.0,737.0,526.0,1196.0,491.0,705.0,1486.0,741.0,745.0,1264.0,718.0,546.0,328.0,216.0,112.0,858.0,455.0,403.0,3.0,3.0,0.0,75.0,44.0,31.0,222.0,23.0,199.0,90.0,8.0,82.0,115.0,11.0,104.0,6.0,0.0,6.0,11.0,4.0,7.0,219.0,22.0,197.0,90.0,8.0,82.0,113.0,10.0,103.0,6.0,0.0,6.0,10.0,4.0,6.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,973.0,487.0,486.0,,
33.0,623.0,5838.0,640792.0,0.0,0.0,VILLAGE,Sakkarappanaickanur,Rural,619.0,2507.0,1273.0,1234.0,259.0,126.0,133.0,149.0,79.0,70.0,0.0,0.0,0.0,1551.0,917.0,634.0,956.0,356.0,600.0,1541.0,795.0,746.0,1109.0,588.0,521.0,132.0,75.0,57.0,790.0,385.0,405.0,22.0,15.0,7.0,165.0,113.0,52.0,432.0,207.0,225.0,221.0,114.0,107.0,148.0,61.0,87.0,2.0,1.0,1.0,61.0,31.0,30.0,425.0,203.0,222.0,218.0,112.0,106.0,146.0,60.0,86.0,1.0,0.0,1.0,60.0,31.0,29.0,7.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,966.0,478.0,488.0,,
33.0,623.0,5838.0,640793.0,0.0,0.0,VILLAGE,Thimmanatham,Rural,1311.0,4893.0,2557.0,2336.0,416.0,233.0,183.0,424.0,218.0,206.0,0.0,0.0,0.0,2964.0,1750.0,1214.0,1929.0,807.0,1122.0,3262.0,1641.0,1621.0,2675.0,1365.0,1310.0,1399.0,716.0,683.0,1046.0,504.0,542.0,107.0,62.0,45.0,123.0,83.0,40.0,587.0,276.0,311.0,112.0,58.0,54.0,314.0,140.0,174.0,44.0,18.0,26.0,117.0,60.0,57.0,439.0,214.0,225.0,89.0,47.0,42.0,221.0,102.0,119.0,30.0,14.0,16.0,99.0,51.0,48.0,148.0,62.0,86.0,23.0,11.0,12.0,93.0,38.0,55.0,14.0,4.0,10.0,18.0,9.0,9.0,1631.0,916.0,715.0,,
33.0,623.0,5838.0,640794.0,0.0,0.0,VILLAGE,Uthappanaickanur,Rural,1729.0,6879.0,3522.0,3357.0,775.0,400.0,375.0,493.0,244.0,249.0,0.0,0.0,0.0,4085.0,2339.0,1746.0,2794.0,1183.0,1611.0,3803.0,2164.0,1639.0,3044.0,1811.0,1233.0,613.0,530.0,83.0,1837.0,825.0,1012.0,78.0,45.0,33.0,516.0,411.0,105.0,759.0,353.0,406.0,10.0,6.0,4.0,615.0,267.0,348.0,17.0,10.0,7.0,117.0,70.0,47.0,738.0,346.0,392.0,10.0,6.0,4.0,601.0,263.0,338.0,14.0,9.0,5.0,113.0,68.0,45.0,21.0,7.0,14.0,0.0,0.0,0.0,14.0,4.0,10.0,3.0,1.0,2.0,4.0,2.0,2.0,3076.0,1358.0,1718.0,,
33.0,623.0,5838.0,640795.0,0.0,0.0,VILLAGE,Pappapatti,Rural,356.0,1359.0,748.0,611.0,117.0,66.0,51.0,407.0,213.0,194.0,0.0,0.0,0.0,963.0,617.0,346.0,396.0,131.0,265.0,810.0,394.0,416.0,638.0,322.0,316.0,299.0,149.0,150.0,184.0,89.0,95.0,11.0,2.0,9.0,144.0,82.0,62.0,172.0,72.0,100.0,30.0,13.0,17.0,37.0,12.0,25.0,8.0,3.0,5.0,97.0,44.0,53.0,130.0,55.0,75.0,21.0,9.0,12.0,12.0,2.0,10.0,5.0,2.0,3.0,92.0,42.0,50.0,42.0,17.0,25.0,9.0,4.0,5.0,25.0,10.0,15.0,3.0,1.0,2.0,5.0,2.0,3.0,549.0,354.0,195.0,,
