State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,618.0,5799.0,0.0,0.0,0.0,SUB-DISTRICT,Nagapattinam,Total,70683.0,282784.0,139917.0,142867.0,31553.0,16128.0,15425.0,79095.0,39026.0,40069.0,1154.0,561.0,593.0,215137.0,113236.0,101901.0,67647.0,26681.0,40966.0,110203.0,78993.0,31210.0,88340.0,66841.0,21499.0,6217.0,4807.0,1410.0,28574.0,17384.0,11190.0,1660.0,977.0,683.0,51889.0,43673.0,8216.0,21863.0,12152.0,9711.0,978.0,702.0,276.0,14283.0,7324.0,6959.0,461.0,202.0,259.0,6141.0,3924.0,2217.0,18725.0,10532.0,8193.0,888.0,643.0,245.0,12275.0,6391.0,5884.0,330.0,159.0,171.0,5232.0,3339.0,1893.0,3138.0,1620.0,1518.0,90.0,59.0,31.0,2008.0,933.0,1075.0,131.0,43.0,88.0,909.0,585.0,324.0,172581.0,60924.0,111657.0,,
33.0,618.0,5799.0,0.0,0.0,0.0,SUB-DISTRICT,Nagapattinam,Rural,41735.0,161172.0,79944.0,81228.0,17561.0,8975.0,8586.0,66811.0,33116.0,33695.0,509.0,252.0,257.0,119273.0,63702.0,55571.0,41899.0,16242.0,25657.0,70524.0,46425.0,24099.0,52076.0,36609.0,15467.0,5813.0,4451.0,1362.0,27444.0,16548.0,10896.0,913.0,590.0,323.0,17906.0,15020.0,2886.0,18448.0,9816.0,8632.0,922.0,665.0,257.0,13850.0,7071.0,6779.0,357.0,163.0,194.0,3319.0,1917.0,1402.0,15839.0,8527.0,7312.0,839.0,611.0,228.0,11868.0,6148.0,5720.0,259.0,129.0,130.0,2873.0,1639.0,1234.0,2609.0,1289.0,1320.0,83.0,54.0,29.0,1982.0,923.0,1059.0,98.0,34.0,64.0,446.0,278.0,168.0,90648.0,33519.0,57129.0,,
33.0,618.0,5799.0,0.0,0.0,0.0,SUB-DISTRICT,Nagapattinam,Urban,28948.0,121612.0,59973.0,61639.0,13992.0,7153.0,6839.0,12284.0,5910.0,6374.0,645.0,309.0,336.0,95864.0,49534.0,46330.0,25748.0,10439.0,15309.0,39679.0,32568.0,7111.0,36264.0,30232.0,6032.0,404.0,356.0,48.0,1130.0,836.0,294.0,747.0,387.0,360.0,33983.0,28653.0,5330.0,3415.0,2336.0,1079.0,56.0,37.0,19.0,433.0,253.0,180.0,104.0,39.0,65.0,2822.0,2007.0,815.0,2886.0,2005.0,881.0,49.0,32.0,17.0,407.0,243.0,164.0,71.0,30.0,41.0,2359.0,1700.0,659.0,529.0,331.0,198.0,7.0,5.0,2.0,26.0,10.0,16.0,33.0,9.0,24.0,463.0,307.0,156.0,81933.0,27405.0,54528.0,,
33.0,618.0,5799.0,637624.0,0.0,0.0,VILLAGE,Kongaryanallur,Rural,246.0,1018.0,517.0,501.0,122.0,69.0,53.0,414.0,203.0,211.0,0.0,0.0,0.0,744.0,403.0,341.0,274.0,114.0,160.0,464.0,328.0,136.0,334.0,249.0,85.0,13.0,13.0,0.0,256.0,179.0,77.0,5.0,4.0,1.0,60.0,53.0,7.0,130.0,79.0,51.0,3.0,3.0,0.0,120.0,70.0,50.0,0.0,0.0,0.0,7.0,6.0,1.0,7.0,5.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,123.0,74.0,49.0,3.0,3.0,0.0,118.0,69.0,49.0,0.0,0.0,0.0,2.0,2.0,0.0,554.0,189.0,365.0,,
33.0,618.0,5799.0,637625.0,0.0,0.0,VILLAGE,Ambal,Rural,648.0,2393.0,1192.0,1201.0,219.0,104.0,115.0,953.0,473.0,480.0,0.0,0.0,0.0,1809.0,968.0,841.0,584.0,224.0,360.0,1037.0,695.0,342.0,688.0,447.0,241.0,17.0,15.0,2.0,450.0,249.0,201.0,27.0,16.0,11.0,194.0,167.0,27.0,349.0,248.0,101.0,34.0,30.0,4.0,230.0,141.0,89.0,5.0,3.0,2.0,80.0,74.0,6.0,152.0,135.0,17.0,28.0,25.0,3.0,53.0,45.0,8.0,4.0,2.0,2.0,67.0,63.0,4.0,197.0,113.0,84.0,6.0,5.0,1.0,177.0,96.0,81.0,1.0,1.0,0.0,13.0,11.0,2.0,1356.0,497.0,859.0,,
33.0,618.0,5799.0,637626.0,0.0,0.0,VILLAGE,Kottapadi,Rural,307.0,1211.0,587.0,624.0,109.0,47.0,62.0,726.0,348.0,378.0,0.0,0.0,0.0,928.0,487.0,441.0,283.0,100.0,183.0,747.0,387.0,360.0,633.0,337.0,296.0,1.0,1.0,0.0,607.0,319.0,288.0,1.0,1.0,0.0,24.0,16.0,8.0,114.0,50.0,64.0,0.0,0.0,0.0,114.0,50.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,47.0,58.0,0.0,0.0,0.0,105.0,47.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,0.0,0.0,0.0,9.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,200.0,264.0,,
33.0,618.0,5799.0,637627.0,0.0,0.0,VILLAGE,Ervadi,Rural,333.0,1261.0,638.0,623.0,124.0,63.0,61.0,676.0,344.0,332.0,0.0,0.0,0.0,1021.0,543.0,478.0,240.0,95.0,145.0,755.0,387.0,368.0,329.0,185.0,144.0,13.0,9.0,4.0,282.0,152.0,130.0,0.0,0.0,0.0,34.0,24.0,10.0,426.0,202.0,224.0,5.0,3.0,2.0,410.0,196.0,214.0,2.0,0.0,2.0,9.0,3.0,6.0,391.0,193.0,198.0,5.0,3.0,2.0,379.0,187.0,192.0,1.0,0.0,1.0,6.0,3.0,3.0,35.0,9.0,26.0,0.0,0.0,0.0,31.0,9.0,22.0,1.0,0.0,1.0,3.0,0.0,3.0,506.0,251.0,255.0,,
33.0,618.0,5799.0,637628.0,0.0,0.0,VILLAGE,Kidamangalam,Rural,480.0,1811.0,911.0,900.0,177.0,92.0,85.0,1125.0,567.0,558.0,0.0,0.0,0.0,1334.0,726.0,608.0,477.0,185.0,292.0,839.0,498.0,341.0,776.0,468.0,308.0,59.0,49.0,10.0,608.0,336.0,272.0,28.0,20.0,8.0,81.0,63.0,18.0,63.0,30.0,33.0,17.0,8.0,9.0,34.0,13.0,21.0,3.0,2.0,1.0,9.0,7.0,2.0,59.0,30.0,29.0,17.0,8.0,9.0,31.0,13.0,18.0,3.0,2.0,1.0,8.0,7.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,972.0,413.0,559.0,,
33.0,618.0,5799.0,637629.0,0.0,0.0,VILLAGE,Idaiyathangudi,Rural,134.0,504.0,256.0,248.0,39.0,20.0,19.0,152.0,74.0,78.0,0.0,0.0,0.0,376.0,218.0,158.0,128.0,38.0,90.0,273.0,147.0,126.0,270.0,147.0,123.0,5.0,1.0,4.0,240.0,126.0,114.0,0.0,0.0,0.0,25.0,20.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,109.0,122.0,,
33.0,618.0,5799.0,637630.0,0.0,0.0,VILLAGE,Seshamulai,Rural,252.0,962.0,472.0,490.0,87.0,44.0,43.0,334.0,157.0,177.0,0.0,0.0,0.0,733.0,379.0,354.0,229.0,93.0,136.0,469.0,281.0,188.0,412.0,247.0,165.0,15.0,14.0,1.0,311.0,162.0,149.0,4.0,3.0,1.0,82.0,68.0,14.0,57.0,34.0,23.0,3.0,2.0,1.0,37.0,21.0,16.0,5.0,2.0,3.0,12.0,9.0,3.0,54.0,31.0,23.0,3.0,2.0,1.0,37.0,21.0,16.0,5.0,2.0,3.0,9.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,493.0,191.0,302.0,,
