State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,618.0,5801.0,0.0,0.0,0.0,SUB-DISTRICT,Thirukkuvalai,Total,16202.0,60771.0,30044.0,30727.0,5850.0,2940.0,2910.0,31911.0,15832.0,16079.0,21.0,12.0,9.0,43457.0,23336.0,20121.0,17314.0,6708.0,10606.0,30660.0,18032.0,12628.0,18072.0,11099.0,6973.0,1560.0,1158.0,402.0,12496.0,6641.0,5855.0,282.0,215.0,67.0,3734.0,3085.0,649.0,12588.0,6933.0,5655.0,812.0,540.0,272.0,10300.0,5391.0,4909.0,247.0,146.0,101.0,1229.0,856.0,373.0,11916.0,6600.0,5316.0,747.0,504.0,243.0,9796.0,5175.0,4621.0,230.0,135.0,95.0,1143.0,786.0,357.0,672.0,333.0,339.0,65.0,36.0,29.0,504.0,216.0,288.0,17.0,11.0,6.0,86.0,70.0,16.0,30111.0,12012.0,18099.0,,
33.0,618.0,5801.0,0.0,0.0,0.0,SUB-DISTRICT,Thirukkuvalai,Rural,16202.0,60771.0,30044.0,30727.0,5850.0,2940.0,2910.0,31911.0,15832.0,16079.0,21.0,12.0,9.0,43457.0,23336.0,20121.0,17314.0,6708.0,10606.0,30660.0,18032.0,12628.0,18072.0,11099.0,6973.0,1560.0,1158.0,402.0,12496.0,6641.0,5855.0,282.0,215.0,67.0,3734.0,3085.0,649.0,12588.0,6933.0,5655.0,812.0,540.0,272.0,10300.0,5391.0,4909.0,247.0,146.0,101.0,1229.0,856.0,373.0,11916.0,6600.0,5316.0,747.0,504.0,243.0,9796.0,5175.0,4621.0,230.0,135.0,95.0,1143.0,786.0,357.0,672.0,333.0,339.0,65.0,36.0,29.0,504.0,216.0,288.0,17.0,11.0,6.0,86.0,70.0,16.0,30111.0,12012.0,18099.0,,
33.0,618.0,5801.0,0.0,0.0,0.0,SUB-DISTRICT,Thirukkuvalai,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,618.0,5801.0,637762.0,0.0,0.0,VILLAGE,Thenmarudur,Rural,297.0,1144.0,583.0,561.0,121.0,66.0,55.0,876.0,452.0,424.0,0.0,0.0,0.0,758.0,427.0,331.0,386.0,156.0,230.0,604.0,359.0,245.0,549.0,341.0,208.0,17.0,14.0,3.0,386.0,203.0,183.0,4.0,4.0,0.0,142.0,120.0,22.0,55.0,18.0,37.0,0.0,0.0,0.0,47.0,12.0,35.0,1.0,0.0,1.0,7.0,6.0,1.0,48.0,14.0,34.0,0.0,0.0,0.0,43.0,11.0,32.0,1.0,0.0,1.0,4.0,3.0,1.0,7.0,4.0,3.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,540.0,224.0,316.0,,
33.0,618.0,5801.0,637763.0,0.0,0.0,VILLAGE,Adhamangalam,Rural,432.0,1611.0,827.0,784.0,162.0,83.0,79.0,1022.0,525.0,497.0,0.0,0.0,0.0,1036.0,603.0,433.0,575.0,224.0,351.0,813.0,483.0,330.0,752.0,460.0,292.0,44.0,36.0,8.0,589.0,319.0,270.0,2.0,2.0,0.0,117.0,103.0,14.0,61.0,23.0,38.0,9.0,0.0,9.0,35.0,11.0,24.0,0.0,0.0,0.0,17.0,12.0,5.0,25.0,14.0,11.0,2.0,0.0,2.0,13.0,7.0,6.0,0.0,0.0,0.0,10.0,7.0,3.0,36.0,9.0,27.0,7.0,0.0,7.0,22.0,4.0,18.0,0.0,0.0,0.0,7.0,5.0,2.0,798.0,344.0,454.0,,
33.0,618.0,5801.0,637764.0,0.0,0.0,VILLAGE,Anakkudi,Rural,335.0,1157.0,565.0,592.0,111.0,53.0,58.0,927.0,446.0,481.0,0.0,0.0,0.0,766.0,403.0,363.0,391.0,162.0,229.0,713.0,357.0,356.0,454.0,296.0,158.0,20.0,16.0,4.0,416.0,271.0,145.0,2.0,1.0,1.0,16.0,8.0,8.0,259.0,61.0,198.0,15.0,5.0,10.0,232.0,51.0,181.0,2.0,0.0,2.0,10.0,5.0,5.0,231.0,53.0,178.0,8.0,1.0,7.0,212.0,47.0,165.0,1.0,0.0,1.0,10.0,5.0,5.0,28.0,8.0,20.0,7.0,4.0,3.0,20.0,4.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,444.0,208.0,236.0,,
33.0,618.0,5801.0,637765.0,0.0,0.0,VILLAGE,Vadakkupanaiyur,Rural,156.0,613.0,298.0,315.0,75.0,34.0,41.0,483.0,236.0,247.0,0.0,0.0,0.0,413.0,221.0,192.0,200.0,77.0,123.0,371.0,190.0,181.0,364.0,186.0,178.0,4.0,2.0,2.0,321.0,152.0,169.0,1.0,0.0,1.0,38.0,32.0,6.0,7.0,4.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,7.0,4.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,108.0,134.0,,
33.0,618.0,5801.0,637766.0,0.0,0.0,VILLAGE,Therkupanaiyur,Rural,454.0,1778.0,885.0,893.0,168.0,93.0,75.0,1229.0,625.0,604.0,0.0,0.0,0.0,1247.0,677.0,570.0,531.0,208.0,323.0,835.0,487.0,348.0,733.0,442.0,291.0,50.0,41.0,9.0,571.0,315.0,256.0,2.0,2.0,0.0,110.0,84.0,26.0,102.0,45.0,57.0,11.0,10.0,1.0,72.0,20.0,52.0,0.0,0.0,0.0,19.0,15.0,4.0,82.0,38.0,44.0,11.0,10.0,1.0,54.0,15.0,39.0,0.0,0.0,0.0,17.0,13.0,4.0,20.0,7.0,13.0,0.0,0.0,0.0,18.0,5.0,13.0,0.0,0.0,0.0,2.0,2.0,0.0,943.0,398.0,545.0,,
33.0,618.0,5801.0,637767.0,0.0,0.0,VILLAGE,Valivalam,Rural,497.0,1935.0,934.0,1001.0,147.0,70.0,77.0,556.0,259.0,297.0,0.0,0.0,0.0,1610.0,815.0,795.0,325.0,119.0,206.0,802.0,530.0,272.0,466.0,310.0,156.0,43.0,34.0,9.0,140.0,66.0,74.0,12.0,12.0,0.0,271.0,198.0,73.0,336.0,220.0,116.0,4.0,4.0,0.0,224.0,122.0,102.0,2.0,2.0,0.0,106.0,92.0,14.0,329.0,214.0,115.0,3.0,3.0,0.0,223.0,122.0,101.0,2.0,2.0,0.0,101.0,87.0,14.0,7.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1133.0,404.0,729.0,,
33.0,618.0,5801.0,637768.0,0.0,0.0,VILLAGE,Kodiyalathur,Rural,553.0,2115.0,1017.0,1098.0,178.0,79.0,99.0,1482.0,714.0,768.0,0.0,0.0,0.0,1628.0,836.0,792.0,487.0,181.0,306.0,889.0,518.0,371.0,292.0,189.0,103.0,14.0,13.0,1.0,170.0,87.0,83.0,11.0,8.0,3.0,97.0,81.0,16.0,597.0,329.0,268.0,30.0,14.0,16.0,517.0,279.0,238.0,7.0,6.0,1.0,43.0,30.0,13.0,582.0,321.0,261.0,28.0,13.0,15.0,512.0,277.0,235.0,5.0,4.0,1.0,37.0,27.0,10.0,15.0,8.0,7.0,2.0,1.0,1.0,5.0,2.0,3.0,2.0,2.0,0.0,6.0,3.0,3.0,1226.0,499.0,727.0,,
