State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,615.0,5783.0,0.0,0.0,0.0,SUB-DISTRICT,Perambalur,Total,41709.0,162356.0,81586.0,80770.0,15818.0,8242.0,7576.0,50205.0,24851.0,25354.0,530.0,258.0,272.0,119179.0,64197.0,54982.0,43177.0,17389.0,25788.0,77308.0,45146.0,32162.0,68854.0,40980.0,27874.0,22826.0,12471.0,10355.0,18999.0,8687.0,10312.0,1188.0,666.0,522.0,25841.0,19156.0,6685.0,8454.0,4166.0,4288.0,1023.0,514.0,509.0,4813.0,2065.0,2748.0,224.0,108.0,116.0,2394.0,1479.0,915.0,7524.0,3703.0,3821.0,884.0,443.0,441.0,4440.0,1917.0,2523.0,155.0,77.0,78.0,2045.0,1266.0,779.0,930.0,463.0,467.0,139.0,71.0,68.0,373.0,148.0,225.0,69.0,31.0,38.0,349.0,213.0,136.0,85048.0,36440.0,48608.0,,
33.0,615.0,5783.0,0.0,0.0,0.0,SUB-DISTRICT,Perambalur,Rural,25427.0,100288.0,50783.0,49505.0,9432.0,4940.0,4492.0,32523.0,16187.0,16336.0,180.0,97.0,83.0,70255.0,38755.0,31500.0,30033.0,12028.0,18005.0,51996.0,28006.0,23990.0,46282.0,25395.0,20887.0,20020.0,10657.0,9363.0,15414.0,6838.0,8576.0,783.0,436.0,347.0,10065.0,7464.0,2601.0,5714.0,2611.0,3103.0,717.0,351.0,366.0,3841.0,1585.0,2256.0,144.0,61.0,83.0,1012.0,614.0,398.0,5125.0,2329.0,2796.0,583.0,283.0,300.0,3632.0,1504.0,2128.0,86.0,38.0,48.0,824.0,504.0,320.0,589.0,282.0,307.0,134.0,68.0,66.0,209.0,81.0,128.0,58.0,23.0,35.0,188.0,110.0,78.0,48292.0,22777.0,25515.0,,
33.0,615.0,5783.0,0.0,0.0,0.0,SUB-DISTRICT,Perambalur,Urban,16282.0,62068.0,30803.0,31265.0,6386.0,3302.0,3084.0,17682.0,8664.0,9018.0,350.0,161.0,189.0,48924.0,25442.0,23482.0,13144.0,5361.0,7783.0,25312.0,17140.0,8172.0,22572.0,15585.0,6987.0,2806.0,1814.0,992.0,3585.0,1849.0,1736.0,405.0,230.0,175.0,15776.0,11692.0,4084.0,2740.0,1555.0,1185.0,306.0,163.0,143.0,972.0,480.0,492.0,80.0,47.0,33.0,1382.0,865.0,517.0,2399.0,1374.0,1025.0,301.0,160.0,141.0,808.0,413.0,395.0,69.0,39.0,30.0,1221.0,762.0,459.0,341.0,181.0,160.0,5.0,3.0,2.0,164.0,67.0,97.0,11.0,8.0,3.0,161.0,103.0,58.0,36756.0,13663.0,23093.0,,
33.0,615.0,5783.0,636187.0,0.0,0.0,VILLAGE,Esanai,Rural,1754.0,6340.0,3118.0,3222.0,580.0,310.0,270.0,3374.0,1646.0,1728.0,26.0,12.0,14.0,4462.0,2429.0,2033.0,1878.0,689.0,1189.0,3646.0,1906.0,1740.0,3595.0,1887.0,1708.0,1393.0,744.0,649.0,1473.0,544.0,929.0,13.0,7.0,6.0,716.0,592.0,124.0,51.0,19.0,32.0,4.0,1.0,3.0,28.0,9.0,19.0,1.0,1.0,0.0,18.0,8.0,10.0,48.0,18.0,30.0,3.0,1.0,2.0,28.0,9.0,19.0,1.0,1.0,0.0,16.0,7.0,9.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2694.0,1212.0,1482.0,,
33.0,615.0,5783.0,636188.0,0.0,0.0,VILLAGE,Alangali,Rural,10.0,45.0,24.0,21.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,8.0,18.0,5.0,13.0,22.0,12.0,10.0,22.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,12.0,11.0,,
33.0,615.0,5783.0,636189.0,0.0,0.0,VILLAGE,Keelakkarai ,Rural,1444.0,5334.0,2694.0,2640.0,558.0,303.0,255.0,673.0,345.0,328.0,6.0,3.0,3.0,3460.0,1927.0,1533.0,1874.0,767.0,1107.0,3297.0,1733.0,1564.0,2890.0,1532.0,1358.0,1337.0,694.0,643.0,950.0,447.0,503.0,280.0,151.0,129.0,323.0,240.0,83.0,407.0,201.0,206.0,42.0,19.0,23.0,69.0,24.0,45.0,82.0,42.0,40.0,214.0,116.0,98.0,335.0,166.0,169.0,39.0,18.0,21.0,54.0,15.0,39.0,43.0,25.0,18.0,199.0,108.0,91.0,72.0,35.0,37.0,3.0,1.0,2.0,15.0,9.0,6.0,39.0,17.0,22.0,15.0,8.0,7.0,2037.0,961.0,1076.0,,
33.0,615.0,5783.0,636190.0,0.0,0.0,VILLAGE,Sengunam,Rural,1264.0,4621.0,2319.0,2302.0,456.0,228.0,228.0,2125.0,1071.0,1054.0,0.0,0.0,0.0,2949.0,1660.0,1289.0,1672.0,659.0,1013.0,2310.0,1410.0,900.0,2096.0,1302.0,794.0,724.0,449.0,275.0,1030.0,584.0,446.0,9.0,7.0,2.0,333.0,262.0,71.0,214.0,108.0,106.0,17.0,10.0,7.0,192.0,94.0,98.0,0.0,0.0,0.0,5.0,4.0,1.0,214.0,108.0,106.0,17.0,10.0,7.0,192.0,94.0,98.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2311.0,909.0,1402.0,,
33.0,615.0,5783.0,636191.0,0.0,0.0,VILLAGE,Elambalur,Rural,2256.0,10357.0,5606.0,4751.0,1038.0,530.0,508.0,2503.0,1262.0,1241.0,11.0,6.0,5.0,7369.0,4365.0,3004.0,2988.0,1241.0,1747.0,4267.0,2615.0,1652.0,3727.0,2321.0,1406.0,748.0,402.0,346.0,784.0,330.0,454.0,29.0,18.0,11.0,2166.0,1571.0,595.0,540.0,294.0,246.0,22.0,13.0,9.0,304.0,145.0,159.0,11.0,4.0,7.0,203.0,132.0,71.0,436.0,231.0,205.0,20.0,12.0,8.0,287.0,140.0,147.0,10.0,3.0,7.0,119.0,76.0,43.0,104.0,63.0,41.0,2.0,1.0,1.0,17.0,5.0,12.0,1.0,1.0,0.0,84.0,56.0,28.0,6090.0,2991.0,3099.0,,
33.0,615.0,5783.0,636192.0,0.0,0.0,VILLAGE,Perambalur  ,Rural,516.0,1800.0,890.0,910.0,170.0,89.0,81.0,441.0,206.0,235.0,0.0,0.0,0.0,1178.0,650.0,528.0,622.0,240.0,382.0,1000.0,531.0,469.0,986.0,523.0,463.0,465.0,228.0,237.0,272.0,94.0,178.0,17.0,10.0,7.0,232.0,191.0,41.0,14.0,8.0,6.0,0.0,0.0,0.0,6.0,3.0,3.0,2.0,0.0,2.0,6.0,5.0,1.0,11.0,7.0,4.0,0.0,0.0,0.0,6.0,3.0,3.0,1.0,0.0,1.0,4.0,4.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,800.0,359.0,441.0,,
33.0,615.0,5783.0,636193.0,0.0,0.0,VILLAGE,Aranarai   (North) ,Rural,694.0,9005.0,4696.0,4309.0,220.0,126.0,94.0,1827.0,911.0,916.0,10.0,6.0,4.0,8265.0,4405.0,3860.0,740.0,291.0,449.0,1699.0,817.0,882.0,1540.0,748.0,792.0,537.0,253.0,284.0,634.0,258.0,376.0,13.0,7.0,6.0,356.0,230.0,126.0,159.0,69.0,90.0,2.0,0.0,2.0,119.0,50.0,69.0,0.0,0.0,0.0,38.0,19.0,19.0,158.0,68.0,90.0,2.0,0.0,2.0,119.0,50.0,69.0,0.0,0.0,0.0,37.0,18.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7306.0,3879.0,3427.0,,
