State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,621.0,5826.0,0.0,0.0,0.0,SUB-DISTRICT,Aranthangi,Total,49468.0,195782.0,95245.0,100537.0,21571.0,11048.0,10523.0,20170.0,9923.0,10247.0,458.0,239.0,219.0,141320.0,74863.0,66457.0,54462.0,20382.0,34080.0,87833.0,55463.0,32370.0,73929.0,49429.0,24500.0,22964.0,15679.0,7285.0,28627.0,15537.0,13090.0,1077.0,757.0,320.0,21261.0,17456.0,3805.0,13904.0,6034.0,7870.0,1645.0,971.0,674.0,9129.0,3187.0,5942.0,472.0,89.0,383.0,2658.0,1787.0,871.0,12237.0,5346.0,6891.0,1513.0,917.0,596.0,8206.0,2917.0,5289.0,425.0,67.0,358.0,2093.0,1445.0,648.0,1667.0,688.0,979.0,132.0,54.0,78.0,923.0,270.0,653.0,47.0,22.0,25.0,565.0,342.0,223.0,107949.0,39782.0,68167.0,,
33.0,621.0,5826.0,0.0,0.0,0.0,SUB-DISTRICT,Aranthangi,Rural,39338.0,154968.0,75144.0,79824.0,17231.0,8845.0,8386.0,17825.0,8757.0,9068.0,149.0,83.0,66.0,108277.0,57856.0,50421.0,46691.0,17288.0,29403.0,74812.0,44617.0,30195.0,62420.0,39581.0,22839.0,22502.0,15241.0,7261.0,27926.0,14980.0,12946.0,764.0,546.0,218.0,11228.0,8814.0,2414.0,12392.0,5036.0,7356.0,1571.0,907.0,664.0,8973.0,3071.0,5902.0,219.0,65.0,154.0,1629.0,993.0,636.0,10864.0,4439.0,6425.0,1449.0,861.0,588.0,8058.0,2806.0,5252.0,190.0,48.0,142.0,1167.0,724.0,443.0,1528.0,597.0,931.0,122.0,46.0,76.0,915.0,265.0,650.0,29.0,17.0,12.0,462.0,269.0,193.0,80156.0,30527.0,49629.0,,
33.0,621.0,5826.0,0.0,0.0,0.0,SUB-DISTRICT,Aranthangi,Urban,10130.0,40814.0,20101.0,20713.0,4340.0,2203.0,2137.0,2345.0,1166.0,1179.0,309.0,156.0,153.0,33043.0,17007.0,16036.0,7771.0,3094.0,4677.0,13021.0,10846.0,2175.0,11509.0,9848.0,1661.0,462.0,438.0,24.0,701.0,557.0,144.0,313.0,211.0,102.0,10033.0,8642.0,1391.0,1512.0,998.0,514.0,74.0,64.0,10.0,156.0,116.0,40.0,253.0,24.0,229.0,1029.0,794.0,235.0,1373.0,907.0,466.0,64.0,56.0,8.0,148.0,111.0,37.0,235.0,19.0,216.0,926.0,721.0,205.0,139.0,91.0,48.0,10.0,8.0,2.0,8.0,5.0,3.0,18.0,5.0,13.0,103.0,73.0,30.0,27793.0,9255.0,18538.0,,
33.0,621.0,5826.0,639696.0,0.0,0.0,VILLAGE,Maramadakki,Rural,862.0,3559.0,1758.0,1801.0,319.0,157.0,162.0,127.0,59.0,68.0,0.0,0.0,0.0,2660.0,1445.0,1215.0,899.0,313.0,586.0,1598.0,948.0,650.0,1574.0,939.0,635.0,600.0,429.0,171.0,767.0,339.0,428.0,12.0,10.0,2.0,195.0,161.0,34.0,24.0,9.0,15.0,1.0,1.0,0.0,14.0,1.0,13.0,1.0,1.0,0.0,8.0,6.0,2.0,21.0,6.0,15.0,1.0,1.0,0.0,14.0,1.0,13.0,0.0,0.0,0.0,6.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1961.0,810.0,1151.0,,
33.0,621.0,5826.0,639697.0,0.0,0.0,VILLAGE,Tirunalur,Rural,1057.0,3916.0,1806.0,2110.0,444.0,218.0,226.0,99.0,51.0,48.0,0.0,0.0,0.0,2559.0,1408.0,1151.0,1357.0,398.0,959.0,2091.0,1055.0,1036.0,1658.0,897.0,761.0,981.0,552.0,429.0,487.0,206.0,281.0,11.0,7.0,4.0,179.0,132.0,47.0,433.0,158.0,275.0,7.0,3.0,4.0,385.0,132.0,253.0,6.0,4.0,2.0,35.0,19.0,16.0,276.0,103.0,173.0,6.0,3.0,3.0,248.0,87.0,161.0,5.0,4.0,1.0,17.0,9.0,8.0,157.0,55.0,102.0,1.0,0.0,1.0,137.0,45.0,92.0,1.0,0.0,1.0,18.0,10.0,8.0,1825.0,751.0,1074.0,,
33.0,621.0,5826.0,639698.0,0.0,0.0,VILLAGE,Paravakkottai  ,Rural,820.0,3351.0,1621.0,1730.0,388.0,199.0,189.0,10.0,4.0,6.0,0.0,0.0,0.0,2177.0,1164.0,1013.0,1174.0,457.0,717.0,1756.0,1016.0,740.0,1322.0,801.0,521.0,627.0,401.0,226.0,534.0,275.0,259.0,11.0,8.0,3.0,150.0,117.0,33.0,434.0,215.0,219.0,10.0,4.0,6.0,414.0,203.0,211.0,2.0,1.0,1.0,8.0,7.0,1.0,413.0,207.0,206.0,10.0,4.0,6.0,394.0,195.0,199.0,2.0,1.0,1.0,7.0,7.0,0.0,21.0,8.0,13.0,0.0,0.0,0.0,20.0,8.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,1595.0,605.0,990.0,,
33.0,621.0,5826.0,639699.0,0.0,0.0,VILLAGE,Kurumbur,Rural,1066.0,4332.0,2070.0,2262.0,522.0,267.0,255.0,303.0,143.0,160.0,0.0,0.0,0.0,2873.0,1531.0,1342.0,1459.0,539.0,920.0,2601.0,1226.0,1375.0,2456.0,1188.0,1268.0,1781.0,915.0,866.0,572.0,207.0,365.0,8.0,4.0,4.0,95.0,62.0,33.0,145.0,38.0,107.0,12.0,4.0,8.0,124.0,30.0,94.0,3.0,2.0,1.0,6.0,2.0,4.0,144.0,37.0,107.0,12.0,4.0,8.0,124.0,30.0,94.0,2.0,1.0,1.0,6.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1731.0,844.0,887.0,,
33.0,621.0,5826.0,639700.0,0.0,0.0,VILLAGE,Sirunattanvayal,Rural,64.0,300.0,162.0,138.0,39.0,20.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,142.0,103.0,55.0,20.0,35.0,197.0,108.0,89.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,193.0,104.0,89.0,98.0,96.0,2.0,88.0,4.0,84.0,0.0,0.0,0.0,7.0,4.0,3.0,193.0,104.0,89.0,98.0,96.0,2.0,88.0,4.0,84.0,0.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,54.0,49.0,,
33.0,621.0,5826.0,639701.0,0.0,0.0,VILLAGE,Sengamari,Rural,130.0,554.0,289.0,265.0,55.0,30.0,25.0,134.0,69.0,65.0,0.0,0.0,0.0,351.0,205.0,146.0,203.0,84.0,119.0,221.0,192.0,29.0,209.0,180.0,29.0,107.0,100.0,7.0,79.0,65.0,14.0,1.0,1.0,0.0,22.0,14.0,8.0,12.0,12.0,0.0,6.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,12.0,0.0,6.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,97.0,236.0,,
33.0,621.0,5826.0,639702.0,0.0,0.0,VILLAGE,Narpavalakkudi,Rural,75.0,318.0,152.0,166.0,32.0,14.0,18.0,156.0,78.0,78.0,0.0,0.0,0.0,260.0,129.0,131.0,58.0,23.0,35.0,201.0,107.0,94.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,199.0,105.0,94.0,69.0,69.0,0.0,118.0,25.0,93.0,0.0,0.0,0.0,12.0,11.0,1.0,189.0,101.0,88.0,67.0,67.0,0.0,110.0,23.0,87.0,0.0,0.0,0.0,12.0,11.0,1.0,10.0,4.0,6.0,2.0,2.0,0.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,45.0,72.0,,
