State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,621.0,5825.0,0.0,0.0,0.0,SUB-DISTRICT,Karambakudi,Total,24980.0,110604.0,54694.0,55910.0,13404.0,6957.0,6447.0,29157.0,14393.0,14764.0,8.0,3.0,5.0,71681.0,39757.0,31924.0,38923.0,14937.0,23986.0,55333.0,31166.0,24167.0,47524.0,27886.0,19638.0,15134.0,9389.0,5745.0,24075.0,12175.0,11900.0,725.0,351.0,374.0,7590.0,5971.0,1619.0,7809.0,3280.0,4529.0,444.0,262.0,182.0,5169.0,1990.0,3179.0,257.0,91.0,166.0,1939.0,937.0,1002.0,6581.0,2832.0,3749.0,396.0,239.0,157.0,4343.0,1709.0,2634.0,215.0,87.0,128.0,1627.0,797.0,830.0,1228.0,448.0,780.0,48.0,23.0,25.0,826.0,281.0,545.0,42.0,4.0,38.0,312.0,140.0,172.0,55271.0,23528.0,31743.0,,
33.0,621.0,5825.0,0.0,0.0,0.0,SUB-DISTRICT,Karambakudi,Rural,21628.0,95978.0,47317.0,48661.0,11628.0,6011.0,5617.0,25859.0,12679.0,13180.0,6.0,2.0,4.0,60681.0,33805.0,26876.0,35297.0,13512.0,21785.0,49797.0,27182.0,22615.0,43113.0,24422.0,18691.0,14950.0,9221.0,5729.0,22944.0,11428.0,11516.0,647.0,313.0,334.0,4572.0,3460.0,1112.0,6684.0,2760.0,3924.0,436.0,258.0,178.0,4825.0,1851.0,2974.0,231.0,83.0,148.0,1192.0,568.0,624.0,5573.0,2365.0,3208.0,389.0,235.0,154.0,4052.0,1583.0,2469.0,194.0,80.0,114.0,938.0,467.0,471.0,1111.0,395.0,716.0,47.0,23.0,24.0,773.0,268.0,505.0,37.0,3.0,34.0,254.0,101.0,153.0,46181.0,20135.0,26046.0,,
33.0,621.0,5825.0,0.0,0.0,0.0,SUB-DISTRICT,Karambakudi,Urban,3352.0,14626.0,7377.0,7249.0,1776.0,946.0,830.0,3298.0,1714.0,1584.0,2.0,1.0,1.0,11000.0,5952.0,5048.0,3626.0,1425.0,2201.0,5536.0,3984.0,1552.0,4411.0,3464.0,947.0,184.0,168.0,16.0,1131.0,747.0,384.0,78.0,38.0,40.0,3018.0,2511.0,507.0,1125.0,520.0,605.0,8.0,4.0,4.0,344.0,139.0,205.0,26.0,8.0,18.0,747.0,369.0,378.0,1008.0,467.0,541.0,7.0,4.0,3.0,291.0,126.0,165.0,21.0,7.0,14.0,689.0,330.0,359.0,117.0,53.0,64.0,1.0,0.0,1.0,53.0,13.0,40.0,5.0,1.0,4.0,58.0,39.0,19.0,9090.0,3393.0,5697.0,,
33.0,621.0,5825.0,639648.0,0.0,0.0,VILLAGE,Tattamanipatti,Rural,185.0,827.0,427.0,400.0,83.0,42.0,41.0,371.0,190.0,181.0,0.0,0.0,0.0,466.0,284.0,182.0,361.0,143.0,218.0,464.0,235.0,229.0,451.0,229.0,222.0,366.0,192.0,174.0,49.0,13.0,36.0,10.0,5.0,5.0,26.0,19.0,7.0,13.0,6.0,7.0,0.0,0.0,0.0,10.0,4.0,6.0,1.0,1.0,0.0,2.0,1.0,1.0,13.0,6.0,7.0,0.0,0.0,0.0,10.0,4.0,6.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,192.0,171.0,,
33.0,621.0,5825.0,639649.0,0.0,0.0,VILLAGE,Kirathur,Rural,173.0,721.0,353.0,368.0,84.0,41.0,43.0,91.0,43.0,48.0,0.0,0.0,0.0,474.0,273.0,201.0,247.0,80.0,167.0,442.0,229.0,213.0,440.0,228.0,212.0,172.0,94.0,78.0,226.0,101.0,125.0,0.0,0.0,0.0,42.0,33.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,124.0,155.0,,
33.0,621.0,5825.0,639650.0,0.0,0.0,VILLAGE,Kilangadu,Rural,284.0,1273.0,638.0,635.0,147.0,78.0,69.0,123.0,62.0,61.0,0.0,0.0,0.0,790.0,445.0,345.0,483.0,193.0,290.0,674.0,349.0,325.0,668.0,348.0,320.0,343.0,180.0,163.0,254.0,111.0,143.0,0.0,0.0,0.0,71.0,57.0,14.0,6.0,1.0,5.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,599.0,289.0,310.0,,
33.0,621.0,5825.0,639651.0,0.0,0.0,VILLAGE,Mudalipatti,Rural,200.0,933.0,472.0,461.0,113.0,69.0,44.0,85.0,47.0,38.0,0.0,0.0,0.0,601.0,335.0,266.0,332.0,137.0,195.0,530.0,289.0,241.0,516.0,279.0,237.0,1.0,0.0,1.0,482.0,256.0,226.0,0.0,0.0,0.0,33.0,23.0,10.0,14.0,10.0,4.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,9.0,8.0,1.0,12.0,8.0,4.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,8.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,403.0,183.0,220.0,,
33.0,621.0,5825.0,639652.0,0.0,0.0,VILLAGE,Sengamedu,Rural,594.0,2578.0,1236.0,1342.0,308.0,155.0,153.0,1001.0,478.0,523.0,0.0,0.0,0.0,1671.0,888.0,783.0,907.0,348.0,559.0,1487.0,740.0,747.0,1401.0,708.0,693.0,362.0,253.0,109.0,976.0,414.0,562.0,3.0,0.0,3.0,60.0,41.0,19.0,86.0,32.0,54.0,1.0,1.0,0.0,77.0,26.0,51.0,0.0,0.0,0.0,8.0,5.0,3.0,43.0,15.0,28.0,1.0,1.0,0.0,37.0,11.0,26.0,0.0,0.0,0.0,5.0,3.0,2.0,43.0,17.0,26.0,0.0,0.0,0.0,40.0,15.0,25.0,0.0,0.0,0.0,3.0,2.0,1.0,1091.0,496.0,595.0,,
33.0,621.0,5825.0,639653.0,0.0,0.0,VILLAGE,Kallumadai,Rural,182.0,782.0,367.0,415.0,101.0,51.0,50.0,4.0,2.0,2.0,0.0,0.0,0.0,539.0,279.0,260.0,243.0,88.0,155.0,352.0,188.0,164.0,38.0,29.0,9.0,10.0,10.0,0.0,8.0,3.0,5.0,0.0,0.0,0.0,20.0,16.0,4.0,314.0,159.0,155.0,112.0,97.0,15.0,189.0,52.0,137.0,1.0,0.0,1.0,12.0,10.0,2.0,308.0,159.0,149.0,112.0,97.0,15.0,183.0,52.0,131.0,1.0,0.0,1.0,12.0,10.0,2.0,6.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,179.0,251.0,,
33.0,621.0,5825.0,639654.0,0.0,0.0,VILLAGE,Pappapatti,Rural,408.0,1799.0,870.0,929.0,199.0,89.0,110.0,427.0,208.0,219.0,0.0,0.0,0.0,1073.0,620.0,453.0,726.0,250.0,476.0,1006.0,513.0,493.0,505.0,330.0,175.0,99.0,85.0,14.0,257.0,124.0,133.0,8.0,4.0,4.0,141.0,117.0,24.0,501.0,183.0,318.0,12.0,7.0,5.0,434.0,132.0,302.0,2.0,0.0,2.0,53.0,44.0,9.0,420.0,156.0,264.0,12.0,7.0,5.0,369.0,114.0,255.0,2.0,0.0,2.0,37.0,35.0,2.0,81.0,27.0,54.0,0.0,0.0,0.0,65.0,18.0,47.0,0.0,0.0,0.0,16.0,9.0,7.0,793.0,357.0,436.0,,
