State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,621.0,5827.0,0.0,0.0,0.0,SUB-DISTRICT,Manamelkudi,Total,20228.0,86672.0,42953.0,43719.0,9764.0,4890.0,4874.0,11882.0,5779.0,6103.0,24.0,13.0,11.0,63455.0,34048.0,29407.0,23217.0,8905.0,14312.0,37339.0,25556.0,11783.0,30150.0,22564.0,7586.0,8673.0,6011.0,2662.0,6734.0,3507.0,3227.0,349.0,187.0,162.0,14394.0,12859.0,1535.0,7189.0,2992.0,4197.0,2105.0,1065.0,1040.0,3295.0,1203.0,2092.0,90.0,26.0,64.0,1699.0,698.0,1001.0,6303.0,2573.0,3730.0,2089.0,1056.0,1033.0,2771.0,1051.0,1720.0,55.0,15.0,40.0,1388.0,451.0,937.0,886.0,419.0,467.0,16.0,9.0,7.0,524.0,152.0,372.0,35.0,11.0,24.0,311.0,247.0,64.0,49333.0,17397.0,31936.0,,
33.0,621.0,5827.0,0.0,0.0,0.0,SUB-DISTRICT,Manamelkudi,Rural,17448.0,73746.0,36372.0,37374.0,8153.0,4069.0,4084.0,11580.0,5637.0,5943.0,24.0,13.0,11.0,53725.0,28751.0,24974.0,20021.0,7621.0,12400.0,32848.0,21701.0,11147.0,25841.0,18765.0,7076.0,8358.0,5766.0,2592.0,6529.0,3372.0,3157.0,326.0,179.0,147.0,10628.0,9448.0,1180.0,7007.0,2936.0,4071.0,2101.0,1062.0,1039.0,3289.0,1200.0,2089.0,87.0,24.0,63.0,1530.0,650.0,880.0,6138.0,2533.0,3605.0,2085.0,1053.0,1032.0,2767.0,1050.0,1717.0,55.0,15.0,40.0,1231.0,415.0,816.0,869.0,403.0,466.0,16.0,9.0,7.0,522.0,150.0,372.0,32.0,9.0,23.0,299.0,235.0,64.0,40898.0,14671.0,26227.0,,
33.0,621.0,5827.0,0.0,0.0,0.0,SUB-DISTRICT,Manamelkudi,Urban,2780.0,12926.0,6581.0,6345.0,1611.0,821.0,790.0,302.0,142.0,160.0,0.0,0.0,0.0,9730.0,5297.0,4433.0,3196.0,1284.0,1912.0,4491.0,3855.0,636.0,4309.0,3799.0,510.0,315.0,245.0,70.0,205.0,135.0,70.0,23.0,8.0,15.0,3766.0,3411.0,355.0,182.0,56.0,126.0,4.0,3.0,1.0,6.0,3.0,3.0,3.0,2.0,1.0,169.0,48.0,121.0,165.0,40.0,125.0,4.0,3.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,157.0,36.0,121.0,17.0,16.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,12.0,12.0,0.0,8435.0,2726.0,5709.0,,
33.0,621.0,5827.0,639797.0,0.0,0.0,VILLAGE,Kadai-Edaiyathur,Rural,56.0,256.0,124.0,132.0,34.0,19.0,15.0,134.0,63.0,71.0,0.0,0.0,0.0,148.0,77.0,71.0,108.0,47.0,61.0,166.0,80.0,86.0,16.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,14.0,13.0,1.0,150.0,66.0,84.0,71.0,32.0,39.0,79.0,34.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,65.0,82.0,69.0,31.0,38.0,78.0,34.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,44.0,46.0,,
33.0,621.0,5827.0,639798.0,0.0,0.0,VILLAGE,Kokkumuttai,Rural,18.0,62.0,33.0,29.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,29.0,21.0,12.0,4.0,8.0,36.0,22.0,14.0,24.0,16.0,8.0,20.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,12.0,6.0,6.0,4.0,2.0,2.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,6.0,4.0,2.0,2.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,11.0,15.0,,
33.0,621.0,5827.0,639799.0,0.0,0.0,VILLAGE,Idaiyattur,Rural,61.0,247.0,128.0,119.0,30.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,80.0,51.0,116.0,48.0,68.0,146.0,80.0,66.0,9.0,9.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,137.0,71.0,66.0,28.0,18.0,10.0,109.0,53.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,71.0,66.0,28.0,18.0,10.0,109.0,53.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,48.0,53.0,,
33.0,621.0,5827.0,639800.0,0.0,0.0,VILLAGE,Silattani,Rural,34.0,146.0,76.0,70.0,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,49.0,31.0,66.0,27.0,39.0,102.0,55.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,55.0,47.0,61.0,33.0,28.0,41.0,22.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,55.0,47.0,61.0,33.0,28.0,41.0,22.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,21.0,23.0,,
33.0,621.0,5827.0,639801.0,0.0,0.0,VILLAGE,Solani,Rural,10.0,36.0,18.0,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,17.0,13.0,6.0,1.0,5.0,22.0,13.0,9.0,21.0,12.0,9.0,21.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,9.0,,
33.0,621.0,5827.0,639802.0,0.0,0.0,VILLAGE,Rendani UkkadaiRenganathapuram,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,621.0,5827.0,639803.0,0.0,0.0,VILLAGE,Kumballam,Rural,48.0,182.0,95.0,87.0,12.0,7.0,5.0,19.0,11.0,8.0,0.0,0.0,0.0,146.0,85.0,61.0,36.0,10.0,26.0,98.0,67.0,31.0,98.0,67.0,31.0,72.0,51.0,21.0,24.0,15.0,9.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,28.0,56.0,,
