State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,621.0,5821.0,0.0,0.0,0.0,SUB-DISTRICT,Pudukkottai,Total,55370.0,228282.0,113921.0,114361.0,23814.0,12169.0,11645.0,36798.0,18402.0,18396.0,190.0,99.0,91.0,173611.0,92406.0,81205.0,54671.0,21515.0,33156.0,93453.0,64396.0,29057.0,78939.0,57427.0,21512.0,10783.0,6760.0,4023.0,12010.0,6456.0,5554.0,1583.0,938.0,645.0,54563.0,43273.0,11290.0,14514.0,6969.0,7545.0,1085.0,506.0,579.0,6122.0,2582.0,3540.0,736.0,139.0,597.0,6571.0,3742.0,2829.0,11721.0,5879.0,5842.0,955.0,451.0,504.0,4925.0,2116.0,2809.0,295.0,99.0,196.0,5546.0,3213.0,2333.0,2793.0,1090.0,1703.0,130.0,55.0,75.0,1197.0,466.0,731.0,441.0,40.0,401.0,1025.0,529.0,496.0,134829.0,49525.0,85304.0,,
33.0,621.0,5821.0,0.0,0.0,0.0,SUB-DISTRICT,Pudukkottai,Rural,17711.0,75621.0,37636.0,37985.0,8541.0,4313.0,4228.0,18184.0,9004.0,9180.0,84.0,41.0,43.0,48247.0,27089.0,21158.0,27374.0,10547.0,16827.0,39051.0,22440.0,16611.0,30239.0,18631.0,11608.0,10267.0,6339.0,3928.0,11300.0,5976.0,5324.0,338.0,182.0,156.0,8334.0,6134.0,2200.0,8812.0,3809.0,5003.0,931.0,399.0,532.0,5919.0,2445.0,3474.0,367.0,71.0,296.0,1595.0,894.0,701.0,7099.0,3192.0,3907.0,804.0,346.0,458.0,4743.0,1990.0,2753.0,147.0,52.0,95.0,1405.0,804.0,601.0,1713.0,617.0,1096.0,127.0,53.0,74.0,1176.0,455.0,721.0,220.0,19.0,201.0,190.0,90.0,100.0,36570.0,15196.0,21374.0,,
33.0,621.0,5821.0,0.0,0.0,0.0,SUB-DISTRICT,Pudukkottai,Urban,37659.0,152661.0,76285.0,76376.0,15273.0,7856.0,7417.0,18614.0,9398.0,9216.0,106.0,58.0,48.0,125364.0,65317.0,60047.0,27297.0,10968.0,16329.0,54402.0,41956.0,12446.0,48700.0,38796.0,9904.0,516.0,421.0,95.0,710.0,480.0,230.0,1245.0,756.0,489.0,46229.0,37139.0,9090.0,5702.0,3160.0,2542.0,154.0,107.0,47.0,203.0,137.0,66.0,369.0,68.0,301.0,4976.0,2848.0,2128.0,4622.0,2687.0,1935.0,151.0,105.0,46.0,182.0,126.0,56.0,148.0,47.0,101.0,4141.0,2409.0,1732.0,1080.0,473.0,607.0,3.0,2.0,1.0,21.0,11.0,10.0,221.0,21.0,200.0,835.0,439.0,396.0,98259.0,34329.0,63930.0,,
33.0,621.0,5821.0,639406.0,0.0,0.0,VILLAGE,Agavayal,Rural,6.0,30.0,15.0,15.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,12.0,14.0,4.0,3.0,1.0,7.0,6.0,1.0,7.0,6.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,9.0,14.0,,
33.0,621.0,5821.0,639407.0,0.0,0.0,VILLAGE,Sembattur,Rural,640.0,2630.0,1290.0,1340.0,273.0,136.0,137.0,623.0,291.0,332.0,38.0,21.0,17.0,1820.0,1000.0,820.0,810.0,290.0,520.0,1170.0,733.0,437.0,1096.0,680.0,416.0,395.0,299.0,96.0,482.0,226.0,256.0,12.0,5.0,7.0,207.0,150.0,57.0,74.0,53.0,21.0,33.0,26.0,7.0,9.0,6.0,3.0,1.0,0.0,1.0,31.0,21.0,10.0,72.0,51.0,21.0,33.0,26.0,7.0,7.0,4.0,3.0,1.0,0.0,1.0,31.0,21.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460.0,557.0,903.0,,
33.0,621.0,5821.0,639408.0,0.0,0.0,VILLAGE,Puthambur,Rural,716.0,3032.0,1580.0,1452.0,371.0,188.0,183.0,937.0,477.0,460.0,1.0,1.0,0.0,2084.0,1215.0,869.0,948.0,365.0,583.0,1435.0,916.0,519.0,1295.0,869.0,426.0,407.0,278.0,129.0,511.0,268.0,243.0,17.0,10.0,7.0,360.0,313.0,47.0,140.0,47.0,93.0,28.0,9.0,19.0,90.0,30.0,60.0,4.0,1.0,3.0,18.0,7.0,11.0,136.0,45.0,91.0,27.0,9.0,18.0,87.0,28.0,59.0,4.0,1.0,3.0,18.0,7.0,11.0,4.0,2.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1597.0,664.0,933.0,,
33.0,621.0,5821.0,639409.0,0.0,0.0,VILLAGE,Sanivayal,Rural,39.0,180.0,86.0,94.0,23.0,14.0,9.0,148.0,71.0,77.0,0.0,0.0,0.0,135.0,67.0,68.0,45.0,19.0,26.0,52.0,41.0,11.0,20.0,17.0,3.0,5.0,4.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,12.0,10.0,2.0,32.0,24.0,8.0,0.0,0.0,0.0,12.0,12.0,0.0,3.0,0.0,3.0,17.0,12.0,5.0,32.0,24.0,8.0,0.0,0.0,0.0,12.0,12.0,0.0,3.0,0.0,3.0,17.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,45.0,83.0,,
33.0,621.0,5821.0,639410.0,0.0,0.0,VILLAGE,Kunichipatti,Rural,71.0,369.0,190.0,179.0,50.0,32.0,18.0,369.0,190.0,179.0,0.0,0.0,0.0,237.0,131.0,106.0,132.0,59.0,73.0,214.0,115.0,99.0,214.0,115.0,99.0,80.0,43.0,37.0,120.0,60.0,60.0,0.0,0.0,0.0,14.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,75.0,80.0,,
33.0,621.0,5821.0,639411.0,0.0,0.0,VILLAGE,Kedayapatti,Rural,100.0,405.0,205.0,200.0,41.0,20.0,21.0,214.0,111.0,103.0,0.0,0.0,0.0,244.0,137.0,107.0,161.0,68.0,93.0,181.0,113.0,68.0,181.0,113.0,68.0,103.0,64.0,39.0,40.0,16.0,24.0,0.0,0.0,0.0,38.0,33.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,92.0,132.0,,
33.0,621.0,5821.0,639412.0,0.0,0.0,VILLAGE,Tattampatti,Rural,58.0,281.0,147.0,134.0,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,109.0,79.0,93.0,38.0,55.0,151.0,81.0,70.0,151.0,81.0,70.0,3.0,2.0,1.0,122.0,55.0,67.0,0.0,0.0,0.0,26.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,66.0,64.0,,
