State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,621.0,5822.0,0.0,0.0,0.0,SUB-DISTRICT,Thirumayam,Total,39293.0,158860.0,79002.0,79858.0,16584.0,8415.0,8169.0,29567.0,14735.0,14832.0,112.0,47.0,65.0,106951.0,59851.0,47100.0,51909.0,19151.0,32758.0,72081.0,46419.0,25662.0,55713.0,37994.0,17719.0,18000.0,12702.0,5298.0,20044.0,11558.0,8486.0,843.0,552.0,291.0,16826.0,13182.0,3644.0,16368.0,8425.0,7943.0,2147.0,1451.0,696.0,8637.0,3941.0,4696.0,514.0,190.0,324.0,5070.0,2843.0,2227.0,14446.0,7585.0,6861.0,1939.0,1330.0,609.0,7733.0,3601.0,4132.0,442.0,167.0,275.0,4332.0,2487.0,1845.0,1922.0,840.0,1082.0,208.0,121.0,87.0,904.0,340.0,564.0,72.0,23.0,49.0,738.0,356.0,382.0,86779.0,32583.0,54196.0,,
33.0,621.0,5822.0,0.0,0.0,0.0,SUB-DISTRICT,Thirumayam,Rural,37109.0,149912.0,74537.0,75375.0,15694.0,7982.0,7712.0,28909.0,14374.0,14535.0,112.0,47.0,65.0,100587.0,56333.0,44254.0,49325.0,18204.0,31121.0,68523.0,43859.0,24664.0,53233.0,36093.0,17140.0,17547.0,12410.0,5137.0,19258.0,10954.0,8304.0,807.0,524.0,283.0,15621.0,12205.0,3416.0,15290.0,7766.0,7524.0,2057.0,1380.0,677.0,7958.0,3596.0,4362.0,489.0,177.0,312.0,4786.0,2613.0,2173.0,13521.0,7018.0,6503.0,1853.0,1263.0,590.0,7158.0,3314.0,3844.0,420.0,154.0,266.0,4090.0,2287.0,1803.0,1769.0,748.0,1021.0,204.0,117.0,87.0,800.0,282.0,518.0,69.0,23.0,46.0,696.0,326.0,370.0,81389.0,30678.0,50711.0,,
33.0,621.0,5822.0,0.0,0.0,0.0,SUB-DISTRICT,Thirumayam,Urban,2184.0,8948.0,4465.0,4483.0,890.0,433.0,457.0,658.0,361.0,297.0,0.0,0.0,0.0,6364.0,3518.0,2846.0,2584.0,947.0,1637.0,3558.0,2560.0,998.0,2480.0,1901.0,579.0,453.0,292.0,161.0,786.0,604.0,182.0,36.0,28.0,8.0,1205.0,977.0,228.0,1078.0,659.0,419.0,90.0,71.0,19.0,679.0,345.0,334.0,25.0,13.0,12.0,284.0,230.0,54.0,925.0,567.0,358.0,86.0,67.0,19.0,575.0,287.0,288.0,22.0,13.0,9.0,242.0,200.0,42.0,153.0,92.0,61.0,4.0,4.0,0.0,104.0,58.0,46.0,3.0,0.0,3.0,42.0,30.0,12.0,5390.0,1905.0,3485.0,,
33.0,621.0,5822.0,639448.0,0.0,0.0,VILLAGE,Rarapuram,Rural,148.0,579.0,274.0,305.0,68.0,31.0,37.0,286.0,134.0,152.0,1.0,0.0,1.0,352.0,192.0,160.0,227.0,82.0,145.0,270.0,176.0,94.0,74.0,67.0,7.0,36.0,35.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,37.0,31.0,6.0,196.0,109.0,87.0,0.0,0.0,0.0,103.0,99.0,4.0,1.0,0.0,1.0,92.0,10.0,82.0,113.0,105.0,8.0,0.0,0.0,0.0,102.0,99.0,3.0,1.0,0.0,1.0,10.0,6.0,4.0,83.0,4.0,79.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,82.0,4.0,78.0,309.0,98.0,211.0,,
33.0,621.0,5822.0,639449.0,0.0,0.0,VILLAGE,Kummangudi,Rural,145.0,590.0,306.0,284.0,57.0,34.0,23.0,143.0,78.0,65.0,0.0,0.0,0.0,391.0,224.0,167.0,199.0,82.0,117.0,368.0,193.0,175.0,361.0,190.0,171.0,177.0,86.0,91.0,4.0,2.0,2.0,7.0,1.0,6.0,173.0,101.0,72.0,7.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,3.0,6.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,222.0,113.0,109.0,,
33.0,621.0,5822.0,639450.0,0.0,0.0,VILLAGE,Mallangudi,Rural,76.0,324.0,154.0,170.0,26.0,13.0,13.0,24.0,8.0,16.0,0.0,0.0,0.0,191.0,107.0,84.0,133.0,47.0,86.0,145.0,72.0,73.0,40.0,31.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,1.0,30.0,22.0,8.0,105.0,41.0,64.0,60.0,30.0,30.0,15.0,6.0,9.0,7.0,4.0,3.0,23.0,1.0,22.0,24.0,8.0,16.0,14.0,8.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,8.0,81.0,33.0,48.0,46.0,22.0,24.0,13.0,6.0,7.0,7.0,4.0,3.0,15.0,1.0,14.0,179.0,82.0,97.0,,
33.0,621.0,5822.0,639451.0,0.0,0.0,VILLAGE,Peraiyur,Rural,206.0,805.0,397.0,408.0,78.0,45.0,33.0,201.0,104.0,97.0,0.0,0.0,0.0,492.0,271.0,221.0,313.0,126.0,187.0,456.0,225.0,231.0,82.0,45.0,37.0,17.0,7.0,10.0,6.0,2.0,4.0,1.0,0.0,1.0,58.0,36.0,22.0,374.0,180.0,194.0,31.0,18.0,13.0,98.0,46.0,52.0,0.0,0.0,0.0,245.0,116.0,129.0,308.0,166.0,142.0,30.0,17.0,13.0,97.0,46.0,51.0,0.0,0.0,0.0,181.0,103.0,78.0,66.0,14.0,52.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,64.0,13.0,51.0,349.0,172.0,177.0,,
33.0,621.0,5822.0,639452.0,0.0,0.0,VILLAGE,Arasandampatti,Rural,106.0,466.0,226.0,240.0,46.0,18.0,28.0,134.0,64.0,70.0,0.0,0.0,0.0,328.0,175.0,153.0,138.0,51.0,87.0,222.0,128.0,94.0,103.0,69.0,34.0,59.0,39.0,20.0,7.0,4.0,3.0,0.0,0.0,0.0,37.0,26.0,11.0,119.0,59.0,60.0,47.0,30.0,17.0,51.0,27.0,24.0,2.0,0.0,2.0,19.0,2.0,17.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,116.0,59.0,57.0,46.0,30.0,16.0,51.0,27.0,24.0,1.0,0.0,1.0,18.0,2.0,16.0,244.0,98.0,146.0,,
33.0,621.0,5822.0,639453.0,0.0,0.0,VILLAGE,Kadambavayal,Rural,15.0,58.0,32.0,26.0,6.0,5.0,1.0,49.0,28.0,21.0,0.0,0.0,0.0,38.0,25.0,13.0,20.0,7.0,13.0,24.0,21.0,3.0,19.0,17.0,2.0,6.0,5.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,11.0,23.0,,
33.0,621.0,5822.0,639454.0,0.0,0.0,VILLAGE,Pilakudipatti,Rural,90.0,383.0,194.0,189.0,43.0,24.0,19.0,110.0,58.0,52.0,0.0,0.0,0.0,237.0,138.0,99.0,146.0,56.0,90.0,157.0,115.0,42.0,101.0,92.0,9.0,36.0,35.0,1.0,55.0,49.0,6.0,0.0,0.0,0.0,10.0,8.0,2.0,56.0,23.0,33.0,1.0,1.0,0.0,48.0,18.0,30.0,0.0,0.0,0.0,7.0,4.0,3.0,56.0,23.0,33.0,1.0,1.0,0.0,48.0,18.0,30.0,0.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,79.0,147.0,,
