State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,626.0,5858.0,0.0,0.0,0.0,SUB-DISTRICT,Kamuthi,Total,32847.0,135658.0,68458.0,67200.0,14614.0,7484.0,7130.0,28604.0,14372.0,14232.0,0.0,0.0,0.0,93598.0,52411.0,41187.0,42060.0,16047.0,26013.0,68356.0,39329.0,29027.0,56257.0,33666.0,22591.0,13892.0,8464.0,5428.0,26609.0,13558.0,13051.0,679.0,335.0,344.0,15077.0,11309.0,3768.0,12099.0,5663.0,6436.0,1558.0,837.0,721.0,8622.0,3760.0,4862.0,250.0,90.0,160.0,1669.0,976.0,693.0,11231.0,5230.0,6001.0,1515.0,812.0,703.0,8091.0,3532.0,4559.0,218.0,81.0,137.0,1407.0,805.0,602.0,868.0,433.0,435.0,43.0,25.0,18.0,531.0,228.0,303.0,32.0,9.0,23.0,262.0,171.0,91.0,67302.0,29129.0,38173.0,,
33.0,626.0,5858.0,0.0,0.0,0.0,SUB-DISTRICT,Kamuthi,Rural,27538.0,112760.0,57031.0,55729.0,12212.0,6260.0,5952.0,25482.0,12752.0,12730.0,0.0,0.0,0.0,75091.0,42753.0,32338.0,37669.0,14278.0,23391.0,61085.0,33485.0,27600.0,49384.0,28050.0,21334.0,13401.0,8031.0,5370.0,25927.0,13046.0,12881.0,541.0,265.0,276.0,9515.0,6708.0,2807.0,11701.0,5435.0,6266.0,1529.0,821.0,708.0,8551.0,3731.0,4820.0,207.0,74.0,133.0,1414.0,809.0,605.0,10865.0,5017.0,5848.0,1489.0,798.0,691.0,8023.0,3504.0,4519.0,179.0,65.0,114.0,1174.0,650.0,524.0,836.0,418.0,418.0,40.0,23.0,17.0,528.0,227.0,301.0,28.0,9.0,19.0,240.0,159.0,81.0,51675.0,23546.0,28129.0,,
33.0,626.0,5858.0,0.0,0.0,0.0,SUB-DISTRICT,Kamuthi,Urban,5309.0,22898.0,11427.0,11471.0,2402.0,1224.0,1178.0,3122.0,1620.0,1502.0,0.0,0.0,0.0,18507.0,9658.0,8849.0,4391.0,1769.0,2622.0,7271.0,5844.0,1427.0,6873.0,5616.0,1257.0,491.0,433.0,58.0,682.0,512.0,170.0,138.0,70.0,68.0,5562.0,4601.0,961.0,398.0,228.0,170.0,29.0,16.0,13.0,71.0,29.0,42.0,43.0,16.0,27.0,255.0,167.0,88.0,366.0,213.0,153.0,26.0,14.0,12.0,68.0,28.0,40.0,39.0,16.0,23.0,233.0,155.0,78.0,32.0,15.0,17.0,3.0,2.0,1.0,3.0,1.0,2.0,4.0,0.0,4.0,22.0,12.0,10.0,15627.0,5583.0,10044.0,,
33.0,626.0,5858.0,642002.0,0.0,0.0,VILLAGE,T.Punavasal ,Rural,770.0,2956.0,1461.0,1495.0,329.0,182.0,147.0,982.0,488.0,494.0,0.0,0.0,0.0,1820.0,1045.0,775.0,1136.0,416.0,720.0,1580.0,833.0,747.0,177.0,139.0,38.0,98.0,93.0,5.0,33.0,19.0,14.0,6.0,5.0,1.0,40.0,22.0,18.0,1403.0,694.0,709.0,74.0,42.0,32.0,1293.0,632.0,661.0,15.0,7.0,8.0,21.0,13.0,8.0,1373.0,683.0,690.0,74.0,42.0,32.0,1267.0,624.0,643.0,15.0,7.0,8.0,17.0,10.0,7.0,30.0,11.0,19.0,0.0,0.0,0.0,26.0,8.0,18.0,0.0,0.0,0.0,4.0,3.0,1.0,1376.0,628.0,748.0,,
33.0,626.0,5858.0,642003.0,0.0,0.0,VILLAGE,Vangarupuram,Rural,370.0,1498.0,786.0,712.0,169.0,91.0,78.0,791.0,423.0,368.0,0.0,0.0,0.0,1083.0,636.0,447.0,415.0,150.0,265.0,864.0,453.0,411.0,118.0,60.0,58.0,29.0,17.0,12.0,29.0,14.0,15.0,1.0,1.0,0.0,59.0,28.0,31.0,746.0,393.0,353.0,336.0,186.0,150.0,359.0,184.0,175.0,32.0,12.0,20.0,19.0,11.0,8.0,733.0,387.0,346.0,330.0,182.0,148.0,352.0,182.0,170.0,32.0,12.0,20.0,19.0,11.0,8.0,13.0,6.0,7.0,6.0,4.0,2.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,634.0,333.0,301.0,,
33.0,626.0,5858.0,642004.0,0.0,0.0,VILLAGE,Perianaikkulam ,Rural,449.0,1725.0,885.0,840.0,174.0,85.0,89.0,143.0,77.0,66.0,0.0,0.0,0.0,1107.0,657.0,450.0,618.0,228.0,390.0,1043.0,535.0,508.0,487.0,274.0,213.0,140.0,73.0,67.0,269.0,139.0,130.0,2.0,0.0,2.0,76.0,62.0,14.0,556.0,261.0,295.0,47.0,32.0,15.0,491.0,216.0,275.0,0.0,0.0,0.0,18.0,13.0,5.0,556.0,261.0,295.0,47.0,32.0,15.0,491.0,216.0,275.0,0.0,0.0,0.0,18.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.0,350.0,332.0,,
33.0,626.0,5858.0,642005.0,0.0,0.0,VILLAGE,Achchangulam  ,Rural,622.0,2445.0,1210.0,1235.0,224.0,113.0,111.0,809.0,387.0,422.0,0.0,0.0,0.0,1597.0,907.0,690.0,848.0,303.0,545.0,1193.0,736.0,457.0,751.0,508.0,243.0,51.0,27.0,24.0,491.0,310.0,181.0,9.0,6.0,3.0,200.0,165.0,35.0,442.0,228.0,214.0,13.0,6.0,7.0,345.0,154.0,191.0,1.0,1.0,0.0,83.0,67.0,16.0,298.0,168.0,130.0,8.0,3.0,5.0,244.0,124.0,120.0,1.0,1.0,0.0,45.0,40.0,5.0,144.0,60.0,84.0,5.0,3.0,2.0,101.0,30.0,71.0,0.0,0.0,0.0,38.0,27.0,11.0,1252.0,474.0,778.0,,
33.0,626.0,5858.0,642006.0,0.0,0.0,VILLAGE,A.Tharaikkudi,Rural,357.0,1348.0,666.0,682.0,145.0,81.0,64.0,248.0,119.0,129.0,0.0,0.0,0.0,739.0,410.0,329.0,609.0,256.0,353.0,694.0,388.0,306.0,505.0,284.0,221.0,83.0,49.0,34.0,394.0,216.0,178.0,6.0,3.0,3.0,22.0,16.0,6.0,189.0,104.0,85.0,1.0,1.0,0.0,160.0,93.0,67.0,13.0,2.0,11.0,15.0,8.0,7.0,126.0,77.0,49.0,1.0,1.0,0.0,114.0,73.0,41.0,3.0,0.0,3.0,8.0,3.0,5.0,63.0,27.0,36.0,0.0,0.0,0.0,46.0,20.0,26.0,10.0,2.0,8.0,7.0,5.0,2.0,654.0,278.0,376.0,,
33.0,626.0,5858.0,642007.0,0.0,0.0,VILLAGE,Vallandai,Rural,249.0,1065.0,544.0,521.0,124.0,63.0,61.0,727.0,372.0,355.0,0.0,0.0,0.0,569.0,343.0,226.0,496.0,201.0,295.0,446.0,283.0,163.0,444.0,283.0,161.0,112.0,100.0,12.0,310.0,166.0,144.0,0.0,0.0,0.0,22.0,17.0,5.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,261.0,358.0,,
33.0,626.0,5858.0,642008.0,0.0,0.0,VILLAGE,Eluvanur ,Rural,265.0,871.0,415.0,456.0,78.0,39.0,39.0,190.0,85.0,105.0,0.0,0.0,0.0,541.0,307.0,234.0,330.0,108.0,222.0,506.0,259.0,247.0,376.0,217.0,159.0,152.0,129.0,23.0,140.0,29.0,111.0,3.0,3.0,0.0,81.0,56.0,25.0,130.0,42.0,88.0,49.0,27.0,22.0,39.0,3.0,36.0,1.0,0.0,1.0,41.0,12.0,29.0,123.0,39.0,84.0,45.0,25.0,20.0,38.0,2.0,36.0,1.0,0.0,1.0,39.0,12.0,27.0,7.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,365.0,156.0,209.0,,
