State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,626.0,5857.0,0.0,0.0,0.0,SUB-DISTRICT,Mudukulathur,Total,28974.0,113432.0,56531.0,56901.0,11253.0,5682.0,5571.0,32557.0,16298.0,16259.0,5.0,4.0,1.0,75690.0,42618.0,33072.0,37742.0,13913.0,23829.0,61072.0,32837.0,28235.0,52363.0,28815.0,23548.0,32616.0,17351.0,15265.0,12355.0,5854.0,6501.0,425.0,214.0,211.0,6967.0,5396.0,1571.0,8709.0,4022.0,4687.0,2325.0,1125.0,1200.0,4869.0,2028.0,2841.0,265.0,83.0,182.0,1250.0,786.0,464.0,7713.0,3570.0,4143.0,2025.0,962.0,1063.0,4436.0,1873.0,2563.0,175.0,63.0,112.0,1077.0,672.0,405.0,996.0,452.0,544.0,300.0,163.0,137.0,433.0,155.0,278.0,90.0,20.0,70.0,173.0,114.0,59.0,52360.0,23694.0,28666.0,,
33.0,626.0,5857.0,0.0,0.0,0.0,SUB-DISTRICT,Mudukulathur,Rural,25415.0,98643.0,49067.0,49576.0,9647.0,4871.0,4776.0,28939.0,14428.0,14511.0,5.0,4.0,1.0,64308.0,36523.0,27785.0,34335.0,12544.0,21791.0,56051.0,29088.0,26963.0,48380.0,25728.0,22652.0,32393.0,17190.0,15203.0,11722.0,5457.0,6265.0,353.0,171.0,182.0,3912.0,2910.0,1002.0,7671.0,3360.0,4311.0,1964.0,913.0,1051.0,4665.0,1913.0,2752.0,223.0,60.0,163.0,819.0,474.0,345.0,6959.0,3081.0,3878.0,1763.0,812.0,951.0,4323.0,1803.0,2520.0,147.0,45.0,102.0,726.0,421.0,305.0,712.0,279.0,433.0,201.0,101.0,100.0,342.0,110.0,232.0,76.0,15.0,61.0,93.0,53.0,40.0,42592.0,19979.0,22613.0,,
33.0,626.0,5857.0,0.0,0.0,0.0,SUB-DISTRICT,Mudukulathur,Urban,3559.0,14789.0,7464.0,7325.0,1606.0,811.0,795.0,3618.0,1870.0,1748.0,0.0,0.0,0.0,11382.0,6095.0,5287.0,3407.0,1369.0,2038.0,5021.0,3749.0,1272.0,3983.0,3087.0,896.0,223.0,161.0,62.0,633.0,397.0,236.0,72.0,43.0,29.0,3055.0,2486.0,569.0,1038.0,662.0,376.0,361.0,212.0,149.0,204.0,115.0,89.0,42.0,23.0,19.0,431.0,312.0,119.0,754.0,489.0,265.0,262.0,150.0,112.0,113.0,70.0,43.0,28.0,18.0,10.0,351.0,251.0,100.0,284.0,173.0,111.0,99.0,62.0,37.0,91.0,45.0,46.0,14.0,5.0,9.0,80.0,61.0,19.0,9768.0,3715.0,6053.0,,
33.0,626.0,5857.0,641957.0,0.0,0.0,VILLAGE,Melakodumalur,Rural,425.0,1503.0,753.0,750.0,170.0,93.0,77.0,931.0,460.0,471.0,0.0,0.0,0.0,958.0,539.0,419.0,545.0,214.0,331.0,779.0,407.0,372.0,736.0,392.0,344.0,113.0,91.0,22.0,554.0,250.0,304.0,13.0,10.0,3.0,56.0,41.0,15.0,43.0,15.0,28.0,5.0,2.0,3.0,25.0,8.0,17.0,5.0,3.0,2.0,8.0,2.0,6.0,27.0,8.0,19.0,4.0,2.0,2.0,12.0,2.0,10.0,3.0,2.0,1.0,8.0,2.0,6.0,16.0,7.0,9.0,1.0,0.0,1.0,13.0,6.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,724.0,346.0,378.0,,
33.0,626.0,5857.0,641958.0,0.0,0.0,VILLAGE,Thattanendal,Rural,64.0,183.0,82.0,101.0,21.0,11.0,10.0,183.0,82.0,101.0,0.0,0.0,0.0,71.0,41.0,30.0,112.0,41.0,71.0,120.0,56.0,64.0,119.0,56.0,63.0,79.0,40.0,39.0,40.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,26.0,37.0,,
33.0,626.0,5857.0,641959.0,0.0,0.0,VILLAGE,Sadaikkanendal,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,626.0,5857.0,641960.0,0.0,0.0,VILLAGE,Keelakodumalur ,Rural,294.0,973.0,463.0,510.0,129.0,67.0,62.0,933.0,444.0,489.0,0.0,0.0,0.0,518.0,276.0,242.0,455.0,187.0,268.0,519.0,242.0,277.0,356.0,189.0,167.0,48.0,32.0,16.0,302.0,155.0,147.0,0.0,0.0,0.0,6.0,2.0,4.0,163.0,53.0,110.0,0.0,0.0,0.0,159.0,51.0,108.0,0.0,0.0,0.0,4.0,2.0,2.0,155.0,50.0,105.0,0.0,0.0,0.0,151.0,48.0,103.0,0.0,0.0,0.0,4.0,2.0,2.0,8.0,3.0,5.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,221.0,233.0,,
33.0,626.0,5857.0,641961.0,0.0,0.0,VILLAGE,Vikkiramapandiapuram  ,Rural,629.0,2789.0,1451.0,1338.0,247.0,127.0,120.0,329.0,176.0,153.0,0.0,0.0,0.0,1869.0,1122.0,747.0,920.0,329.0,591.0,1597.0,865.0,732.0,785.0,530.0,255.0,230.0,138.0,92.0,462.0,328.0,134.0,21.0,8.0,13.0,72.0,56.0,16.0,812.0,335.0,477.0,29.0,19.0,10.0,637.0,283.0,354.0,128.0,23.0,105.0,18.0,10.0,8.0,708.0,307.0,401.0,23.0,15.0,8.0,582.0,265.0,317.0,87.0,18.0,69.0,16.0,9.0,7.0,104.0,28.0,76.0,6.0,4.0,2.0,55.0,18.0,37.0,41.0,5.0,36.0,2.0,1.0,1.0,1192.0,586.0,606.0,,
33.0,626.0,5857.0,641962.0,0.0,0.0,VILLAGE,Sathanur    ,Rural,510.0,1950.0,1003.0,947.0,193.0,101.0,92.0,134.0,70.0,64.0,1.0,1.0,0.0,1219.0,728.0,491.0,731.0,275.0,456.0,1212.0,650.0,562.0,782.0,459.0,323.0,542.0,320.0,222.0,188.0,101.0,87.0,2.0,1.0,1.0,50.0,37.0,13.0,430.0,191.0,239.0,32.0,14.0,18.0,372.0,162.0,210.0,4.0,2.0,2.0,22.0,13.0,9.0,415.0,188.0,227.0,26.0,13.0,13.0,363.0,160.0,203.0,4.0,2.0,2.0,22.0,13.0,9.0,15.0,3.0,12.0,6.0,1.0,5.0,9.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,353.0,385.0,,
33.0,626.0,5857.0,641963.0,0.0,0.0,VILLAGE,Koothadiyendal,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
