State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,626.0,5861.0,0.0,0.0,0.0,SUB-DISTRICT,Rameswaram,Total,19101.0,82675.0,41946.0,40729.0,9604.0,4875.0,4729.0,3553.0,1753.0,1800.0,17.0,8.0,9.0,61212.0,32433.0,28779.0,21463.0,9513.0,11950.0,29761.0,24668.0,5093.0,27304.0,23447.0,3857.0,278.0,227.0,51.0,147.0,104.0,43.0,412.0,253.0,159.0,26467.0,22863.0,3604.0,2457.0,1221.0,1236.0,306.0,59.0,247.0,136.0,116.0,20.0,96.0,13.0,83.0,1919.0,1033.0,886.0,1923.0,955.0,968.0,301.0,57.0,244.0,121.0,107.0,14.0,50.0,8.0,42.0,1451.0,783.0,668.0,534.0,266.0,268.0,5.0,2.0,3.0,15.0,9.0,6.0,46.0,5.0,41.0,468.0,250.0,218.0,52914.0,17278.0,35636.0,,
33.0,626.0,5861.0,0.0,0.0,0.0,SUB-DISTRICT,Rameswaram,Rural,8522.0,37819.0,19163.0,18656.0,4582.0,2331.0,2251.0,503.0,223.0,280.0,3.0,1.0,2.0,28304.0,14696.0,13608.0,9515.0,4467.0,5048.0,13116.0,11155.0,1961.0,11937.0,10571.0,1366.0,209.0,172.0,37.0,127.0,92.0,35.0,264.0,197.0,67.0,11337.0,10110.0,1227.0,1179.0,584.0,595.0,295.0,54.0,241.0,110.0,101.0,9.0,52.0,9.0,43.0,722.0,420.0,302.0,1081.0,543.0,538.0,290.0,52.0,238.0,107.0,98.0,9.0,23.0,6.0,17.0,661.0,387.0,274.0,98.0,41.0,57.0,5.0,2.0,3.0,3.0,3.0,0.0,29.0,3.0,26.0,61.0,33.0,28.0,24703.0,8008.0,16695.0,,
33.0,626.0,5861.0,0.0,0.0,0.0,SUB-DISTRICT,Rameswaram,Urban,10579.0,44856.0,22783.0,22073.0,5022.0,2544.0,2478.0,3050.0,1530.0,1520.0,14.0,7.0,7.0,32908.0,17737.0,15171.0,11948.0,5046.0,6902.0,16645.0,13513.0,3132.0,15367.0,12876.0,2491.0,69.0,55.0,14.0,20.0,12.0,8.0,148.0,56.0,92.0,15130.0,12753.0,2377.0,1278.0,637.0,641.0,11.0,5.0,6.0,26.0,15.0,11.0,44.0,4.0,40.0,1197.0,613.0,584.0,842.0,412.0,430.0,11.0,5.0,6.0,14.0,9.0,5.0,27.0,2.0,25.0,790.0,396.0,394.0,436.0,225.0,211.0,0.0,0.0,0.0,12.0,6.0,6.0,17.0,2.0,15.0,407.0,217.0,190.0,28211.0,9270.0,18941.0,,
33.0,626.0,5861.0,642166.0,0.0,0.0,VILLAGE,Pamban   ,Rural,8522.0,37819.0,19163.0,18656.0,4582.0,2331.0,2251.0,503.0,223.0,280.0,3.0,1.0,2.0,28304.0,14696.0,13608.0,9515.0,4467.0,5048.0,13116.0,11155.0,1961.0,11937.0,10571.0,1366.0,209.0,172.0,37.0,127.0,92.0,35.0,264.0,197.0,67.0,11337.0,10110.0,1227.0,1179.0,584.0,595.0,295.0,54.0,241.0,110.0,101.0,9.0,52.0,9.0,43.0,722.0,420.0,302.0,1081.0,543.0,538.0,290.0,52.0,238.0,107.0,98.0,9.0,23.0,6.0,17.0,661.0,387.0,274.0,98.0,41.0,57.0,5.0,2.0,3.0,3.0,3.0,0.0,29.0,3.0,26.0,61.0,33.0,28.0,24703.0,8008.0,16695.0,,
33.0,626.0,5861.0,803813.0,0.0,0.0,TOWN,Rameswaram (M),Urban,10579.0,44856.0,22783.0,22073.0,5022.0,2544.0,2478.0,3050.0,1530.0,1520.0,14.0,7.0,7.0,32908.0,17737.0,15171.0,11948.0,5046.0,6902.0,16645.0,13513.0,3132.0,15367.0,12876.0,2491.0,69.0,55.0,14.0,20.0,12.0,8.0,148.0,56.0,92.0,15130.0,12753.0,2377.0,1278.0,637.0,641.0,11.0,5.0,6.0,26.0,15.0,11.0,44.0,4.0,40.0,1197.0,613.0,584.0,842.0,412.0,430.0,11.0,5.0,6.0,14.0,9.0,5.0,27.0,2.0,25.0,790.0,396.0,394.0,436.0,225.0,211.0,0.0,0.0,0.0,12.0,6.0,6.0,17.0,2.0,15.0,407.0,217.0,190.0,28211.0,9270.0,18941.0,,
33.0,626.0,5861.0,803813.0,1.0,0.0,WARD,Rameswaram (M) WARD NO.-0001,Urban,115.0,493.0,250.0,243.0,33.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,203.0,189.0,101.0,47.0,54.0,160.0,140.0,20.0,160.0,140.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,140.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,110.0,223.0,,
33.0,626.0,5861.0,803813.0,2.0,0.0,WARD,Rameswaram (M) WARD NO.-0002,Urban,202.0,820.0,409.0,411.0,91.0,42.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,351.0,309.0,160.0,58.0,102.0,311.0,262.0,49.0,306.0,258.0,48.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,3.0,5.0,297.0,254.0,43.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,509.0,147.0,362.0,,
33.0,626.0,5861.0,803813.0,3.0,0.0,WARD,Rameswaram (M) WARD NO.-0003,Urban,167.0,734.0,352.0,382.0,76.0,36.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,307.0,284.0,143.0,45.0,98.0,305.0,236.0,69.0,297.0,231.0,66.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,230.0,65.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,3.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,429.0,116.0,313.0,,
33.0,626.0,5861.0,803813.0,4.0,0.0,WARD,Rameswaram (M) WARD NO.-0004,Urban,460.0,1924.0,960.0,964.0,239.0,122.0,117.0,10.0,5.0,5.0,0.0,0.0,0.0,1404.0,753.0,651.0,520.0,207.0,313.0,790.0,605.0,185.0,768.0,598.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,14.0,25.0,729.0,584.0,145.0,22.0,7.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,14.0,20.0,7.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1134.0,355.0,779.0,,
33.0,626.0,5861.0,803813.0,5.0,0.0,WARD,Rameswaram (M) WARD NO.-0005,Urban,177.0,773.0,382.0,391.0,84.0,51.0,33.0,239.0,114.0,125.0,0.0,0.0,0.0,549.0,291.0,258.0,224.0,91.0,133.0,321.0,232.0,89.0,318.0,230.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,316.0,230.0,86.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,150.0,302.0,,
