State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,608.0,5743.0,0.0,0.0,0.0,SUB-DISTRICT,Attur,Total,112668.0,430949.0,217058.0,213891.0,43652.0,22992.0,20660.0,102755.0,51474.0,51281.0,41444.0,20956.0,20488.0,280938.0,156609.0,124329.0,150011.0,60449.0,89562.0,232179.0,130994.0,101185.0,211158.0,121550.0,89608.0,71098.0,39651.0,31447.0,82982.0,37782.0,45200.0,2965.0,1542.0,1423.0,54113.0,42575.0,11538.0,21021.0,9444.0,11577.0,2407.0,1238.0,1169.0,12779.0,4750.0,8029.0,728.0,269.0,459.0,5107.0,3187.0,1920.0,18699.0,8455.0,10244.0,2240.0,1152.0,1088.0,11681.0,4346.0,7335.0,536.0,237.0,299.0,4242.0,2720.0,1522.0,2322.0,989.0,1333.0,167.0,86.0,81.0,1098.0,404.0,694.0,192.0,32.0,160.0,865.0,467.0,398.0,198770.0,86064.0,112706.0,,
33.0,608.0,5743.0,0.0,0.0,0.0,SUB-DISTRICT,Attur,Rural,80006.0,307218.0,155480.0,151738.0,31510.0,16722.0,14788.0,74019.0,37145.0,36874.0,39432.0,19927.0,19505.0,190487.0,108099.0,82388.0,116731.0,47381.0,69350.0,178279.0,94183.0,84096.0,162963.0,87743.0,75220.0,64418.0,35122.0,29296.0,70689.0,31165.0,39524.0,1826.0,974.0,852.0,26030.0,20482.0,5548.0,15316.0,6440.0,8876.0,2209.0,1140.0,1069.0,10306.0,3678.0,6628.0,473.0,193.0,280.0,2328.0,1429.0,899.0,14033.0,5951.0,8082.0,2071.0,1068.0,1003.0,9564.0,3445.0,6119.0,374.0,174.0,200.0,2024.0,1264.0,760.0,1283.0,489.0,794.0,138.0,72.0,66.0,742.0,233.0,509.0,99.0,19.0,80.0,304.0,165.0,139.0,128939.0,61297.0,67642.0,,
33.0,608.0,5743.0,0.0,0.0,0.0,SUB-DISTRICT,Attur,Urban,32662.0,123731.0,61578.0,62153.0,12142.0,6270.0,5872.0,28736.0,14329.0,14407.0,2012.0,1029.0,983.0,90451.0,48510.0,41941.0,33280.0,13068.0,20212.0,53900.0,36811.0,17089.0,48195.0,33807.0,14388.0,6680.0,4529.0,2151.0,12293.0,6617.0,5676.0,1139.0,568.0,571.0,28083.0,22093.0,5990.0,5705.0,3004.0,2701.0,198.0,98.0,100.0,2473.0,1072.0,1401.0,255.0,76.0,179.0,2779.0,1758.0,1021.0,4666.0,2504.0,2162.0,169.0,84.0,85.0,2117.0,901.0,1216.0,162.0,63.0,99.0,2218.0,1456.0,762.0,1039.0,500.0,539.0,29.0,14.0,15.0,356.0,171.0,185.0,93.0,13.0,80.0,561.0,302.0,259.0,69831.0,24767.0,45064.0,,
33.0,608.0,5743.0,634226.0,0.0,0.0,VILLAGE,Neyyamalai,Rural,392.0,1859.0,948.0,911.0,276.0,137.0,139.0,0.0,0.0,0.0,1853.0,943.0,910.0,680.0,401.0,279.0,1179.0,547.0,632.0,1104.0,583.0,521.0,1041.0,565.0,476.0,431.0,238.0,193.0,538.0,294.0,244.0,41.0,20.0,21.0,31.0,13.0,18.0,63.0,18.0,45.0,9.0,1.0,8.0,50.0,15.0,35.0,2.0,1.0,1.0,2.0,1.0,1.0,63.0,18.0,45.0,9.0,1.0,8.0,50.0,15.0,35.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.0,365.0,390.0,,
33.0,608.0,5743.0,634227.0,0.0,0.0,VILLAGE,Tumbal,Rural,1305.0,5011.0,2461.0,2550.0,515.0,265.0,250.0,1910.0,928.0,982.0,473.0,243.0,230.0,3204.0,1750.0,1454.0,1807.0,711.0,1096.0,2654.0,1519.0,1135.0,2571.0,1487.0,1084.0,518.0,306.0,212.0,1348.0,665.0,683.0,117.0,70.0,47.0,588.0,446.0,142.0,83.0,32.0,51.0,6.0,1.0,5.0,45.0,10.0,35.0,0.0,0.0,0.0,32.0,21.0,11.0,68.0,26.0,42.0,4.0,1.0,3.0,36.0,7.0,29.0,0.0,0.0,0.0,28.0,18.0,10.0,15.0,6.0,9.0,2.0,0.0,2.0,9.0,3.0,6.0,0.0,0.0,0.0,4.0,3.0,1.0,2357.0,942.0,1415.0,,
33.0,608.0,5743.0,634228.0,0.0,0.0,VILLAGE,Malayalapatti,Rural,1021.0,4020.0,2056.0,1964.0,486.0,239.0,247.0,142.0,71.0,71.0,2860.0,1464.0,1396.0,2040.0,1202.0,838.0,1980.0,854.0,1126.0,2545.0,1363.0,1182.0,2422.0,1313.0,1109.0,405.0,205.0,200.0,1540.0,734.0,806.0,30.0,11.0,19.0,447.0,363.0,84.0,123.0,50.0,73.0,9.0,3.0,6.0,79.0,32.0,47.0,7.0,0.0,7.0,28.0,15.0,13.0,116.0,48.0,68.0,9.0,3.0,6.0,79.0,32.0,47.0,4.0,0.0,4.0,24.0,13.0,11.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,2.0,2.0,1475.0,693.0,782.0,,
33.0,608.0,5743.0,634229.0,0.0,0.0,VILLAGE,ChinnakalrayanHillsTherkkunadu,Rural,1436.0,5898.0,2923.0,2975.0,756.0,387.0,369.0,44.0,24.0,20.0,5559.0,2759.0,2800.0,2343.0,1337.0,1006.0,3555.0,1586.0,1969.0,3318.0,1729.0,1589.0,3190.0,1666.0,1524.0,1578.0,812.0,766.0,1423.0,726.0,697.0,65.0,30.0,35.0,124.0,98.0,26.0,128.0,63.0,65.0,49.0,28.0,21.0,32.0,13.0,19.0,1.0,0.0,1.0,46.0,22.0,24.0,115.0,59.0,56.0,47.0,27.0,20.0,22.0,10.0,12.0,0.0,0.0,0.0,46.0,22.0,24.0,13.0,4.0,9.0,2.0,1.0,1.0,10.0,3.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,2580.0,1194.0,1386.0,,
33.0,608.0,5743.0,634230.0,0.0,0.0,VILLAGE,ChinnakalrayanHillsvadakkunadu,Rural,2902.0,11734.0,5840.0,5894.0,1527.0,795.0,732.0,89.0,43.0,46.0,10402.0,5176.0,5226.0,5107.0,2892.0,2215.0,6627.0,2948.0,3679.0,7247.0,3676.0,3571.0,6114.0,3161.0,2953.0,2900.0,1526.0,1374.0,2693.0,1277.0,1416.0,18.0,7.0,11.0,503.0,351.0,152.0,1133.0,515.0,618.0,405.0,224.0,181.0,697.0,276.0,421.0,7.0,1.0,6.0,24.0,14.0,10.0,988.0,452.0,536.0,371.0,205.0,166.0,594.0,236.0,358.0,5.0,0.0,5.0,18.0,11.0,7.0,145.0,63.0,82.0,34.0,19.0,15.0,103.0,40.0,63.0,2.0,1.0,1.0,6.0,3.0,3.0,4487.0,2164.0,2323.0,,
33.0,608.0,5743.0,634231.0,0.0,0.0,VILLAGE,Idaiyappatti,Rural,1422.0,5388.0,2763.0,2625.0,516.0,276.0,240.0,775.0,379.0,396.0,271.0,141.0,130.0,3212.0,1824.0,1388.0,2176.0,939.0,1237.0,3087.0,1729.0,1358.0,2757.0,1562.0,1195.0,1475.0,935.0,540.0,1072.0,459.0,613.0,22.0,14.0,8.0,188.0,154.0,34.0,330.0,167.0,163.0,38.0,21.0,17.0,246.0,114.0,132.0,9.0,3.0,6.0,37.0,29.0,8.0,323.0,166.0,157.0,35.0,20.0,15.0,244.0,114.0,130.0,8.0,3.0,5.0,36.0,29.0,7.0,7.0,1.0,6.0,3.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2301.0,1034.0,1267.0,,
33.0,608.0,5743.0,634232.0,0.0,0.0,VILLAGE,Panaimadal   ,Rural,1385.0,5378.0,2693.0,2685.0,554.0,297.0,257.0,1297.0,637.0,660.0,37.0,19.0,18.0,3332.0,1835.0,1497.0,2046.0,858.0,1188.0,3027.0,1662.0,1365.0,3011.0,1655.0,1356.0,1036.0,629.0,407.0,1550.0,671.0,879.0,21.0,15.0,6.0,404.0,340.0,64.0,16.0,7.0,9.0,4.0,2.0,2.0,6.0,1.0,5.0,1.0,1.0,0.0,5.0,3.0,2.0,16.0,7.0,9.0,4.0,2.0,2.0,6.0,1.0,5.0,1.0,1.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2351.0,1031.0,1320.0,,
